date,open,high,low,close,volume
1996-11-18,22.0,22.25,21.5,21.5,18128900
1996-11-19,21.25,21.625,21.0,21.625,8340200
1996-11-20,21.125,21.375,21.125,21.25,1920300
1996-11-21,21.375,21.375,21.0,21.0,5522100
1996-11-22,21.25,21.625,21.25,21.5,2167800
1996-11-25,21.75,21.75,21.5,21.625,1187300
1996-11-26,21.625,21.625,21.375,21.375,642300
1996-11-27,21.5,21.625,21.25,21.375,632700
1996-11-29,21.5,21.625,21.375,21.375,600800
1996-12-02,21.375,21.5,21.25,21.25,789800
1996-12-03,21.25,21.25,21.0,21.0,1027700
1996-12-04,21.0,21.125,20.625,20.875,2322200
1996-12-05,21.0,21.125,20.875,21.0,1100400
1996-12-06,20.625,20.75,20.375,20.625,619200
1996-12-09,20.875,20.875,20.75,20.75,452000
1996-12-10,21.0,21.0,20.875,21.0,583400
1996-12-11,20.75,20.875,20.625,20.75,973500
1996-12-12,20.75,20.75,20.5,20.5,1806700
1996-12-13,20.375,20.375,20.125,20.25,650300
1996-12-16,20.5,20.625,20.5,20.5,517100
1996-12-17,20.5,20.75,20.5,20.75,226700
1996-12-18,20.625,20.625,20.375,20.375,658400
1996-12-19,20.5,20.75,20.5,20.625,302400
1996-12-20,20.75,20.875,20.75,20.875,271200
1996-12-23,20.75,20.875,20.625,20.875,121300
1996-12-24,20.75,20.75,20.5,20.5,271000
1996-12-26,20.625,20.75,20.5,20.5,199500
1996-12-27,20.5,20.75,20.5,20.625,129200
1996-12-30,20.5,20.625,20.5,20.625,97600
1996-12-31,20.375,20.5,20.375,20.375,100000
1997-01-02,20.75,20.875,20.625,20.75,456600
1997-01-03,20.625,20.75,20.375,20.5,164500
1997-01-06,20.5,20.75,20.5,20.625,1068700
1997-01-07,20.625,20.625,20.125,20.25,1331100
1997-01-08,20.125,20.125,19.75,19.875,1294800
1997-01-09,19.75,20.625,19.25,19.25,1627500
1997-01-10,19.125,19.25,19.0,19.25,492200
1997-01-13,19.125,19.125,18.625,18.875,639200
1997-01-14,19.0,19.0,18.75,18.875,277400
1997-01-15,19.0,19.25,18.875,19.125,229100
1997-01-16,19.25,19.375,19.25,19.25,233600
1997-01-17,19.375,19.375,19.25,19.25,150800
