date,open,high,low,close,volume
2009-11-24,64.5,64.5,64.5,64.5,200
2009-11-25,64.5,64.5,64.5,64.5,0
2009-11-27,64.5,64.5,64.5,64.5,0
2009-11-30,64.5,64.5,64.5,64.5,0
2009-12-01,64.5,64.5,64.5,64.5,0
2009-12-02,64.5,64.5,64.5,64.5,0
2009-12-03,64.5,64.5,64.5,64.5,0
2009-12-04,61.0,61.0,61.0,61.0,400
2009-12-07,61.0,61.0,61.0,61.0,0
2009-12-08,61.0,61.0,61.0,61.0,0
2009-12-09,61.0,61.0,61.0,61.0,0
2009-12-10,61.0,61.0,61.0,61.0,0
2009-12-11,61.0,61.0,61.0,61.0,0
2009-12-14,61.0,61.0,61.0,61.0,0
2009-12-15,61.0,61.0,61.0,61.0,0
2009-12-16,61.0,61.0,61.0,61.0,0
2009-12-17,62.5,62.5,62.5,62.5,200
2009-12-18,62.5,62.5,62.5,62.5,0
2009-12-21,62.5,62.5,62.5,62.5,0
2009-12-22,62.5,62.5,62.5,62.5,0
2009-12-23,62.5,62.5,62.5,62.5,0
2009-12-24,62.5,62.5,62.5,62.5,0
2009-12-28,64.69999694824219,64.69999694824219,64.69999694824219,64.69999694824219,100
2009-12-29,64.69999694824219,64.69999694824219,64.69999694824219,64.69999694824219,0
2009-12-30,65.75,65.75,65.75,65.75,600
2009-12-31,65.75,65.75,65.75,65.75,0
2010-01-04,65.75,65.75,65.75,65.75,0
2010-01-05,69.3499984741211,69.3499984741211,69.3499984741211,69.3499984741211,100
2010-01-06,72.25,72.25,72.25,72.25,300
2010-01-07,72.25,72.25,72.25,72.25,0
2010-01-08,73.75,73.75,73.75,73.75,100
2010-01-11,75.0,75.0,75.0,75.0,100
2010-01-12,75.0,75.0,75.0,75.0,0
2010-01-13,75.0,75.0,75.0,75.0,0
2010-01-14,74.25,74.25,74.25,74.25,100
2010-01-15,73.0,73.0,73.0,73.0,100
2010-01-19,73.0,73.0,73.0,73.0,0
2010-01-20,73.0,73.0,73.0,73.0,0
2010-01-21,73.0,73.0,73.0,73.0,0
2010-01-22,73.0,73.0,73.0,73.0,0
2010-01-25,73.0,73.0,73.0,73.0,0
2010-01-26,65.0,65.0,65.0,65.0,600
2010-01-27,65.0,65.0,65.0,65.0,0
2010-01-28,65.0,65.0,65.0,65.0,0
2010-01-29,65.0,65.0,65.0,65.0,0
2010-02-01,65.0,65.0,65.0,65.0,0
2010-02-02,65.0,65.0,65.0,65.0,0
2010-02-03,65.0,65.0,65.0,65.0,0
2010-02-04,65.0,65.0,65.0,65.0,0
2010-02-05,65.0,65.0,65.0,65.0,0
2010-02-08,65.0,65.0,65.0,65.0,0
2010-02-09,65.0,65.0,65.0,65.0,0
2010-02-10,65.0,65.0,65.0,65.0,0
2010-02-11,64.75,64.75,64.75,64.75,600
2010-02-12,64.75,64.75,64.75,64.75,0
2010-02-16,64.75,64.75,64.75,64.75,0
2010-02-17,64.75,64.75,64.75,64.75,0
2010-02-18,67.5,67.5,67.5,67.5,3000
2010-02-19,64.83000183105469,64.83000183105469,64.83000183105469,64.83000183105469,100
2010-02-22,64.83000183105469,64.83000183105469,64.83000183105469,64.83000183105469,0
2010-02-23,64.83000183105469,64.83000183105469,64.83000183105469,64.83000183105469,0
2010-02-24,64.83000183105469,64.83000183105469,64.83000183105469,64.83000183105469,0
2010-02-25,64.83000183105469,64.83000183105469,64.83000183105469,64.83000183105469,0
2010-02-26,64.83000183105469,64.83000183105469,64.83000183105469,64.83000183105469,0
2010-03-01,64.83000183105469,64.83000183105469,64.83000183105469,64.83000183105469,0
2010-03-02,64.83000183105469,64.83000183105469,64.83000183105469,64.83000183105469,0
2010-03-03,64.83000183105469,64.83000183105469,64.83000183105469,64.83000183105469,0
2010-03-04,68.5,68.5,68.5,68.5,300
2010-03-05,68.5,68.5,68.5,68.5,0
2010-03-08,65.0,65.0,65.0,65.0,300
2010-03-09,71.5,71.5,71.5,71.5,200
2010-03-10,70.75,70.75,70.75,70.75,500
2010-03-11,70.75,70.75,70.75,70.75,0
2010-03-12,70.75,70.75,70.75,70.75,0
2010-03-15,70.75,70.75,70.75,70.75,0
2010-03-16,70.75,70.75,70.75,70.75,0
2010-03-17,69.0,73.5,69.0,73.5,500
2010-03-18,72.5,72.5,72.5,72.5,500
2010-03-19,71.0,71.0,71.0,71.0,400
2010-03-22,71.0,71.0,71.0,71.0,0
2010-03-23,71.5,71.5,71.5,71.5,100
2010-03-24,71.5,71.5,71.5,71.5,0
2010-03-25,71.5,71.5,71.5,71.5,0
2010-03-26,71.5,71.5,71.5,71.5,0
2010-03-29,70.0,70.0,70.0,70.0,300
2010-03-30,75.25,75.25,71.0,71.0,1500
2010-03-31,73.75,73.75,73.75,73.75,700
2010-04-01,73.75,73.75,73.75,73.75,0
2010-04-05,71.5,71.5,71.5,71.5,200
2010-04-06,71.5,71.5,71.5,71.5,0
2010-04-07,77.0,77.0,77.0,77.0,100
2010-04-08,73.69999694824219,74.5,73.69999694824219,74.5,300
2010-04-09,74.5,74.5,74.5,74.5,0
2010-04-12,74.5,74.5,74.5,74.5,0
2010-04-13,74.5,74.5,74.5,74.5,0
2010-04-14,76.9000015258789,76.9000015258789,76.9000015258789,76.9000015258789,400
2010-04-15,73.0,73.0,73.0,73.0,300
2010-04-16,75.5,75.5,75.5,75.5,500
2010-04-19,75.5,75.5,75.5,75.5,0
2010-04-20,75.5,75.5,75.5,75.5,0
2010-04-21,74.0,74.0,74.0,74.0,100
2010-04-22,70.19999694824219,70.19999694824219,70.19999694824219,70.19999694824219,300
2010-04-23,70.19999694824219,70.19999694824219,70.19999694824219,70.19999694824219,0
2010-04-26,70.19999694824219,70.19999694824219,70.19999694824219,70.19999694824219,0
2010-04-27,70.19999694824219,70.19999694824219,70.19999694824219,70.19999694824219,0
2010-04-28,70.25,70.25,70.25,70.25,200
2010-04-29,70.25,70.25,70.25,70.25,0
2010-04-30,68.25,68.25,68.25,68.25,1500
2010-05-03,61.5,61.5,61.5,61.5,400
2010-05-04,61.5,61.5,61.5,61.5,200
2010-05-05,61.45000076293945,61.45000076293945,60.0,60.0,700
2010-05-06,60.0,60.0,60.0,60.0,0
2010-05-07,60.0,60.0,60.0,60.0,0
2010-05-10,63.0,63.0,63.0,63.0,200
2010-05-11,63.0,63.0,63.0,63.0,0
2010-05-12,63.0,63.0,63.0,63.0,0
2010-05-13,63.0,63.0,63.0,63.0,0
2010-05-14,63.0,63.0,63.0,63.0,0
2010-05-17,63.0,63.0,63.0,63.0,0
2010-05-18,63.0,63.0,63.0,63.0,0
2010-05-19,63.0,63.0,63.0,63.0,0
2010-05-20,51.75,51.75,51.75,51.75,300
2010-05-21,51.5,51.5,51.5,51.5,200
2010-05-24,51.5,51.5,51.5,51.5,0
2010-05-25,50.650001525878906,50.650001525878906,50.0,50.0,1000
2010-05-26,51.5,51.5,51.5,51.5,100
2010-05-27,51.5,51.5,51.5,51.5,0
2010-05-28,58.0,58.0,58.0,58.0,200
2010-06-01,58.0,58.0,58.0,58.0,0
2010-06-02,58.0,58.0,58.0,58.0,0
2010-06-03,58.0,58.0,58.0,58.0,0
2010-06-04,58.0,58.0,58.0,58.0,0
2010-06-07,53.900001525878906,54.0,53.900001525878906,54.0,1200
2010-06-08,54.0,54.0,54.0,54.0,0
2010-06-09,54.0,54.0,54.0,54.0,0
2010-06-10,57.0,57.0,57.0,57.0,100
2010-06-11,57.0,57.0,57.0,57.0,0
2010-06-14,57.0,57.0,57.0,57.0,0
2010-06-15,59.5,59.5,59.5,59.5,400
2010-06-16,59.5,59.5,59.5,59.5,0
2010-06-17,59.5,59.5,59.5,59.5,0
2010-06-18,59.5,59.5,59.5,59.5,0
2010-06-21,59.5,59.5,59.5,59.5,0
2010-06-22,59.5,59.5,59.5,59.5,0
2010-06-23,59.5,59.5,59.5,59.5,0
2010-06-24,61.5,61.5,61.5,61.5,300
2010-06-25,61.5,61.5,61.5,61.5,0
2010-06-28,61.5,61.5,61.5,61.5,0
2010-06-29,61.5,61.5,61.5,61.5,0
2010-06-30,61.5,61.5,61.5,61.5,0
2010-07-01,61.5,61.5,61.5,61.5,0
2010-07-02,61.5,61.5,61.5,61.5,0
2010-07-06,61.5,61.5,61.5,61.5,0
2010-07-07,61.5,61.5,61.5,61.5,0
2010-07-08,57.0,57.0,57.0,57.0,200
2010-07-09,57.0,57.0,57.0,57.0,0
2010-07-12,57.0,57.0,57.0,57.0,0
2010-07-13,57.0,57.0,57.0,57.0,0
2010-07-14,57.0,57.0,57.0,57.0,0
2010-07-15,58.099998474121094,58.099998474121094,58.099998474121094,58.099998474121094,200
2010-07-16,57.29999923706055,57.29999923706055,57.29999923706055,57.29999923706055,300
2010-07-19,55.79999923706055,56.5,55.79999923706055,56.5,600
2010-07-20,56.5,56.5,56.5,56.5,0
2010-07-21,56.5,56.5,56.5,56.5,0
2010-07-22,56.5,56.5,56.5,56.5,0
2010-07-23,56.5,56.5,56.5,56.5,0
2010-07-26,56.5,56.5,56.5,56.5,0
2010-07-27,63.25,63.25,62.75,62.75,1100
2010-07-28,62.75,62.75,62.75,62.75,0
2010-07-29,62.75,62.75,62.75,62.75,0
2010-07-30,62.75,62.75,62.75,62.75,0
2010-08-02,62.75,62.75,62.75,62.75,0
2010-08-03,65.5,67.0,65.5,67.0,500
2010-08-04,66.25,66.25,66.25,66.25,300
2010-08-05,68.0,68.0,67.5,67.5,200
2010-08-06,67.5,67.5,67.5,67.5,0
2010-08-09,68.5,68.5,67.5,68.4000015258789,1000
2010-08-10,68.4000015258789,68.4000015258789,68.4000015258789,68.4000015258789,0
2010-08-11,68.4000015258789,68.4000015258789,68.4000015258789,68.4000015258789,0
