date,shares,amount,buy_flag
2004-04-19,1528400.0,43010411.519999996,0
2004-04-20,850000.0,23914860.0,0
2004-04-21,750000.0,20830329.0,0
2004-04-22,525000.0,14597240.0,0
2004-04-23,350000.0,9654923.0,0
2004-04-29,175000.0,4677100.0,0
2004-05-25,200000.0,5643761.0,0
2004-06-02,94400.0,2741365.0,0
2004-06-04,265000.0,7698660.0,0
2004-06-07,140600.0,4149671.0,0
2004-07-19,330000.0,10528800.0,0
2004-07-20,320000.0,10262140.0,0
2004-08-26,10000.0,335700.0,0
2004-08-27,10000.0,345918.0,0
2004-08-30,10000.0,339915.56,0
2004-08-31,10000.0,340751.38,0
2004-09-01,10000.0,342704.62,0
2004-09-02,500000.0,17709000.0,0
2004-10-01,500000.0,19403495.0,0
2004-10-06,10000.0,407000.0,0
2004-10-07,10000.0,406900.0,0
2004-10-14,10000.0,430897.8,0
2004-10-15,10000.0,446045.2,0
2004-10-18,720164.0,32759491.81,0
2004-10-19,90000.0,4282429.819999999,0
2004-10-28,300000.0,15176250.0,0
2004-11-02,100000.0,5300000.0,0
2004-11-03,40000.0,2209200.0,0
2004-11-04,131250.0,7218750.0,0
2005-01-03,150000.0,9617670.0,0
2005-01-07,10000.0,676200.0,0
2005-01-10,10000.0,699000.0,0
2005-01-11,10000.0,682500.0,0
2005-01-13,10000.0,738700.0,0
2005-01-14,10000.0,702500.0,0
2005-01-18,1000000.0,68968281.69999999,0
2005-01-25,550000.0,39433160.0,0
2005-01-27,9517.0,688679.95,0
2005-02-04,75000.0,5871641.32,0
2005-02-16,30000.0,2646683.5971999997,0
2005-04-08,20000.0,875000.0,0
2005-04-11,20000.0,884800.0,0
2005-07-11,1300.0,50245.0,0
2005-07-14,20000.0,816400.0,0
2005-07-15,20000.0,817000.0,0
2005-07-18,20000.0,830000.0,0
2005-07-19,20000.0,833000.0,0
2005-07-20,18700.0,801669.0,0
2005-08-18,300000.0,13848900.0,0
2005-08-19,450000.0,20925000.0,0
2005-08-24,300000.0,14100000.0,0
2005-08-26,125000.0,5773766.0,0
2005-09-01,300000.0,14033000.0,0
2005-10-03,300000.0,16226445.0,0
2005-10-17,200000.0,10676224.389999999,0
2005-10-18,200000.0,10604624.42,0
2005-10-19,200000.0,10509059.999999998,0
2005-10-20,170000.0,9482910.729999999,0
2005-10-21,20000.0,1129823.0,0
2005-10-24,40000.0,2252728.0,0
2005-10-25,20000.0,1128000.0,0
2005-10-26,20000.0,1125800.0,0
2005-11-01,300000.0,17202450.0,0
2005-11-03,75000.0,23002730.55,0
2005-11-22,200000.0,13150440.4,0
2005-12-01,300000.0,20878076.25,0
2006-01-03,500000.0,36518904.0,0
2006-01-04,202500.0,15226556.21,0
2006-01-06,20000.0,1509600.0,0
2006-01-09,20000.0,1535800.0000000002,0
2006-01-10,20000.0,1525000.0,0
2006-01-11,20000.0,1677000.0,0
2006-01-30,50000.0,3589938.85,0
2006-01-31,50000.0,3726860.016,0
2006-02-01,300000.0,22645565.0,0
2006-02-14,12500.0,813875.0,0
2006-02-27,50000.0,3556841.125,0
2006-02-28,3600.0,257472.0,1
2006-03-01,300000.0,20704200.0,0
2006-03-24,300000.0,17974803.0,0
2006-03-30,25000.0,1569239.6300000001,0
2006-04-03,350000.0,22151048.15,0
2006-04-04,50000.0,3092511.15,0
2006-04-05,20000.0,1317200.0,0
2006-04-06,45000.0,3132000.0,0
2006-04-07,220000.0,15363757.0,0
2006-04-10,20000.0,1404800.0,0
2006-04-11,20000.0,1380600.0,0
2006-04-17,2200.0,143374.0,0
2006-04-28,112293.0,7962323.7,0
2006-05-01,95437.0,6777076.995000001,0
2006-05-02,50000.0,3507500.0000000005,0
2006-05-03,8500.0,611575.0,0
2006-05-04,150000.0,10804331.89,0
2006-06-07,285.0,17085.75,1
2006-06-16,1400.0,81396.0,0
2006-06-28,25.0,1397.5,0
2006-07-03,50000.0,2867000.0,0
2006-07-05,48125.0,2747937.5,0
2006-07-20,20000.0,1219200.0,0
2006-07-21,20000.0,1202600.0,0
2006-07-24,20000.0,1224200.0,0
2006-07-25,20000.0,1236000.0,0
2006-07-26,20000.0,1240800.0,0
2006-07-31,25000.0,1670750.0,0
2006-08-15,15.0,991.65,1
2006-09-05,10000.0,697930.0,1
2006-09-12,2600.0,189228.0,1
2006-12-29,45000.0,3772459.1,0
2007-01-09,20000.0,1783947.7000000002,0
2007-01-10,45000.0,4274095.75,0
2007-01-11,20000.0,1912313.7600000002,0
2007-01-12,20000.0,1886039.57,0
2007-01-16,20000.0,1914600.0,0
2007-01-26,2900.0,249370.99999999997,1
2007-02-01,470000.0,40475840.93999999,0
2007-02-02,130000.0,10975410.0,0
2007-02-06,202375.0,16805449.790000003,0
2007-04-26,10625.0,1079287.5,0
2007-04-30,10000.0,1000500.0,0
2007-07-12,2600.0,346268.0,0
2007-07-30,255625.0,36925246.45999999,0
2007-08-15,12000.0,1473500.0,0
2007-09-14,13200.0,1802648.0,0
2007-10-26,700000.0,129505098.19000001,0
2007-11-29,20000.0,3673708.1899999995,0
2008-01-28,2900.0,381553.0,0
2008-02-12,25000.0,3209826.1100000003,0
2008-03-24,300000.0,40759027.75999999,0
2008-03-25,252599.0,35121019.58,0
2008-04-28,10000.0,1705448.5,0
2008-04-29,136341.0,23528275.1,0
2008-07-24,158237.0,25877615.941,0
2008-07-28,20866.0,3329587.6199999996,0
2008-07-30,20000.0,3160000.0,0
2008-07-31,22500.0,3623850.0,0
2008-08-01,40000.0,6373231.25,0
2008-08-11,71500.0,12333035.0,0
2008-08-28,30000.0,5257080.0,0
2008-10-31,30000.0,3206805.0,0
2009-04-27,10000.0,1228600.0,0
2009-05-04,7198.0,926382.9197999999,0
2009-07-17,10000.0,1491699.9999999998,0
2009-07-24,171203.0,27085254.338000003,0
2009-07-27,40000.0,6341200.0,0
2009-07-28,45158.0,7226318.634,0
2009-07-29,204842.0,32774720.0,0
2009-07-31,27713.0,4539847.3437,0
2009-10-06,10000.0,1884199.9999999998,0
2009-10-22,93562.0,19090424.78,0
2009-10-26,7065.0,1432803.195,0
2009-12-01,200000.0,40308972.5,0
2010-01-04,10000.0,2135500.0,0
2010-02-23,20000.0,3968514.0,0
2010-03-25,454525.0,104490334.5765,0
2010-04-01,10000.0,2376700.0,0
2010-04-23,47248.0,12638392.459999999,0
2010-04-26,23000.0,6240830.0,0
2010-05-04,45000.0,11795669.999999998,0
2010-06-08,30000.0,7573641.0,0
2010-08-05,125.0,32693.762499999997,0
2010-09-20,10000.0,2781400.0,0
2010-09-22,13682.0,3924906.1634,0
2010-09-23,10000.0,2913900.0,0
2010-10-06,10000.0,2896100.0,0
2010-10-15,10000.0,3074400.0,0
2010-10-18,5000.0,1592500.0,0
2010-10-21,47135.0,14554535.7325,0
2010-10-28,150000.0,45910500.0,0
2010-11-02,15000.0,4605000.0,0
2010-11-30,8000.0,2505280.0,0
2011-01-10,10000.0,3392100.0,0
2011-02-01,24500.0,8439035.6435,0
2011-02-07,8000.0,2800000.0,0
2011-02-08,10000.0,3553700.0,0
2011-03-01,29500.0,10351038.9834,0
2011-03-02,596.0,208600.0,0
2011-03-11,20283.0,7023136.134399999,0
2011-04-01,2500.0,873563.97,0
2011-04-18,3998.0,1294545.1432,0
2011-04-25,41819.0,14715789.6399,0
2011-04-28,92.0,31915.72,0
2011-05-02,6874.0,2392375.2487999997,0
2011-05-03,15000.0,5218644.0,0
2011-06-01,2500.0,872694.06,0
2011-07-01,2000.0,678685.01,0
2011-07-06,500.0,175000.0,0
2011-07-19,3000.0,1133760.0,0
2011-07-25,12017.0,4706377.0,0
2011-07-26,983.0,393200.0,0
2011-08-01,3000.0,1184354.98,0
2011-09-01,3000.0,1151412.97,0
2011-09-16,1000.0,400000.0,0
2011-09-22,13572.0,5479948.9636,0
2011-10-03,3000.0,1133198.02,0
2011-10-11,500.0,200000.0,0
