date,shares,amount,buy_flag
2013-02-04,2000.0,74091.2,1
2013-03-08,28445.0,1067031.9,0
2013-03-11,2500.0,94168.59,1
2013-03-15,46700.0,1795615.0000000002,0
2013-05-01,113656.0,5191388.8082,0
2013-08-09,3845.0,172176.4085,0
2013-08-12,5006.0,225307.04439999998,0
2013-08-19,1270.0,54622.7,0
2013-09-16,4989.0,226999.5,0
2013-09-17,5484.0,253122.72,0
2014-02-05,2147.0,102629.105,0
2014-02-18,465.0,23821.625,0
2014-03-03,13416.0,672658.568,0
2014-03-04,4799.0,245705.91,0
2014-11-24,1500.0,101717.04,0
2014-12-22,8495.0,577660.0,0
2015-02-17,241.0,14146.941,0
2015-02-27,5371.0,324974.457,0
2015-03-02,37314.0,2250034.2,0
2015-04-08,8294.0,536982.6799999999,0
2015-04-28,167183.0,10824387.82,0
2015-05-19,6200.0,409200.0,0
2015-07-29,65000.0,4626920.32,0
2016-02-29,5294.0,292864.048,0
2016-03-01,10792.0,593560.0,0
2016-03-08,25000.0,1402341.0,0
2016-05-10,75021.0,4765754.92,0
2016-05-11,39000.0,2488200.0,0
2016-06-02,285953.0,18249712.050000004,0
2016-06-24,186106.0,11171172.565000001,0
2016-09-07,50000.0,3250000.0,0
2016-11-16,3100.0,192200.0,0
2016-12-02,6600.0,390654.0,0
2017-02-28,2311.0,143030.701,0
2017-03-08,72016.0,4627028.0,0
2017-03-10,67583.0,4411150.76,0
2017-03-28,450000.0,10125000.0,0
2017-05-04,43000.0,2881000.0,0
2017-05-18,38300.0,2502905.0,0
2017-05-19,71235.0,4665062.985,0
2017-06-14,125600.0,8792000.0,0
2017-07-31,4000.0,281782.0,1
2017-07-31,18300.0,1282765.37,0
2017-08-03,65861.0,4676131.175,0
2017-08-04,22038.0,1566166.31,0
2017-08-07,193131.0,13713185.639999999,0
2017-09-11,8300.0,705655.4400000001,0
2017-09-28,6699.0,589512.0,0
2017-10-30,18300.0,1657037.0992,0
2017-11-10,25633.0,2427211.8397,0
2017-11-21,218193.0,20511800.266799998,0
2017-12-14,144367.0,13961270.5956,0
2017-12-15,1143.0,110710.98,0
2017-12-18,87040.0,8569053.184,0
2018-02-20,992.0,119351.4,0
2018-02-28,75790.0,9015412.757299999,0
2018-03-01,138395.0,15920642.2795,0
2018-06-15,17588.0,1749485.3952,0
2018-06-20,1013.0,99908.74579999999,1
2018-06-27,5400.0,496274.04000000004,1
2018-08-17,50000.0,4876060.279999999,0
2018-11-29,42450.0,3824940.27,0
2018-12-04,94140.0,8809552.3638,0
2018-12-11,16850.0,1495437.5,0
2018-12-12,60000.0,5400000.0,0
2018-12-28,25000.0,2250000.0,0
2019-03-05,15797.0,1248479.5619,0
2019-03-14,25000.0,2000000.0,0
2019-03-25,475.0,37852.75,0
2019-06-26,49400.0,3326920.0,1
2019-07-29,30000.0,2018385.0,1
2019-07-30,10000.0,663500.0,1
2019-07-31,30000.0,1980690.0,1
2019-08-01,25000.0,1641400.0000000002,1
2019-08-16,15552.0,1002169.3248,1
2019-08-29,7525.0,498057.175,1
2019-09-16,25000.0,1760522.5,1
2019-09-27,15515.0,1163873.24,0
2020-03-03,2875.0,252617.05,1
2020-03-18,2200.0,150004.8,1
2020-03-20,800.0,54000.0,1
2020-03-30,750.0,51750.0,1
2020-05-05,19445.0,1652825.0,0
2020-05-12,23024.0,2072210.6528,0
