date,shares,amount,buy_flag
2003-09-12,3343.0,144985.91,0
2003-09-16,23055.0,1003323.6285000001,0
2004-01-26,11880.0,516780.0,0
2004-02-06,48000.0,2124038.4,0
2004-09-01,3509.0,147378.0,0
2004-11-10,1000.0,45070.0,1
2005-01-21,8728.0,400157.8528,0
2005-04-15,1000.0,49810.0,1
2005-10-04,43021.0,1864586.6,0
2005-11-01,5729.0,246347.0,0
2005-12-01,2130.0,79960.2,0
2006-01-30,3998.0,169115.4,0
2006-01-30,1500.0,64513.950000000004,1
2006-01-31,2063.0,88151.98999999999,0
2006-02-03,1000.0,42580.0,1
2006-02-14,1036.0,45282.89,0
2006-02-15,1756.0,76845.86,0
2006-02-17,2000.0,88820.0,0
2006-02-21,2243.0,98253.36459999999,0
2006-04-03,10000.0,424099.99999999994,0
2006-05-01,137.0,5892.37,0
2006-05-08,5998.0,254082.26,0
2006-05-09,3162.0,133752.59999999998,0
2006-06-02,174.0,7509.839999999999,0
2006-06-05,58400.0,2501291.36,0
2006-06-26,2500.0,105025.0,0
2006-06-29,163.0,6995.96,0
2006-06-30,4280.0,184246.4,0
2006-07-19,1870.0,84150.0,0
2006-07-25,1796.0,86208.0,0
2006-07-26,320.0,15200.0,0
2006-08-02,10000.0,470000.0,0
2006-09-14,1000.0,49100.0,0
2007-01-03,66.0,3236.64,0
2007-01-04,1617.0,80850.0,0
2007-01-18,1383.0,72566.01,0
2007-01-29,111660.0,5865327.9976,0
2007-01-30,38919.0,2064781.3198000002,0
2007-01-31,8737.0,463166.808,0
2007-02-01,1304.0,68930.74399999999,0
2007-02-02,8648.0,455256.38399999996,0
2007-02-12,389.0,20473.07,0
2007-02-13,6657.0,350556.14900000003,0
2007-02-15,7000.0,369679.8,0
2007-02-20,10884.0,570481.048,0
2007-03-01,20529.0,1110600.602,0
2007-05-16,8000.0,474008.0,0
2007-05-30,6000.0,337560.0,1
2007-06-01,48130.0,2725327.559,0
2007-06-20,9192.0,498675.192,0
2007-07-30,17021.0,857936.6966,0
2007-08-07,56911.0,3126965.9388,0
2007-08-08,8642.0,482111.254,0
2007-09-04,13245.0,683428.755,0
2007-09-12,16327.0,856815.5,0
2007-09-13,250000.0,13092316.6,0
2007-09-14,76400.0,3992026.0,0
2007-09-17,10000.0,522503.0,0
2007-09-18,4390.0,230420.125,1
2007-09-18,250000.0,13091981.0,0
2007-09-19,249178.0,13373176.4,0
2007-11-05,2600.0,141700.0,0
2007-11-07,7400.0,403300.0,0
2007-11-12,10000.0,550000.0,0
2007-11-20,10000.0,555000.0,0
2007-11-26,2442.0,135531.0,0
2007-12-27,8977.0,516850.775,0
2008-02-08,266898.0,15191660.117999995,0
2008-02-11,41241.0,2316399.68,0
2008-02-19,7858.0,440474.099,0
2008-02-29,962.0,51788.588,0
2008-03-03,14638.0,778892.22,0
2008-03-04,10096.0,535486.2799999999,0
2008-03-05,1217.0,64443.80100000001,0
2008-03-19,1157.0,63635.0,0
2008-03-24,10321.0,571896.931,0
2008-03-27,11318.0,613435.6,0
2008-03-28,1306.0,69619.9868,0
2008-04-01,5124.0,282178.222,0
2008-04-23,5124.0,259237.26400000002,0
2008-05-14,9936.0,546480.0,0
2008-06-02,15000.0,838977.86,0
2008-06-30,2569.0,135914.09999999998,0
2008-07-22,30000.0,1725338.0,0
2008-08-06,136568.0,8025004.4,0
2008-08-08,10000.0,590000.0,0
2008-08-25,5114.0,296332.7756,0
2008-08-28,2197.0,127953.28,0
2008-09-16,5000.0,294614.39999999997,0
2008-10-29,4000.0,219494.184,1
2009-01-26,12500.0,672357.257,0
2009-01-27,40895.0,2225446.11,0
2009-01-28,277213.0,15250726.303,0
2009-01-29,68231.0,3759937.81,0
2009-01-30,2983.0,166212.76,0
2009-02-02,202293.0,11118018.6533,0
2009-02-03,15773.0,883288.0,0
2009-02-04,881.0,49556.402,0
2009-02-05,11808.0,666443.52,0
2009-02-06,39540.0,2253875.6799999997,0
2009-02-09,9901.0,564275.5700000001,0
2009-02-17,24329.0,1318312.8962000003,0
2009-02-18,4710.0,253952.25999999998,0
2009-02-25,56397914.0,1240817368.0,1
2009-02-26,44720768.0,983856896.0,1
2009-02-27,32960.0,1576491.334,0
2009-03-03,10000.0,462564.1,0
2009-03-04,3294.0,152281.84999999998,0
