date,shares,amount,buy_flag
2009-10-06,12120.0,460947.83999999997,0
2009-10-07,25000.0,960537.5,0
2009-10-12,10000.0,392670.00000000006,0
2009-10-13,6387.0,252222.63,0
2009-10-16,20000.0,770400.0000000001,0
2009-10-23,6957.0,264066.849,0
2009-11-09,166100.0,6644000.0,0
2009-11-10,444.0,17760.0,0
2009-11-11,49.0,1960.0,0
2009-11-16,118.0,4802.246,0
2009-12-22,141811.0,5772012.975,0
2009-12-30,45000.0,1875735.0,0
2010-01-04,42500.0,1785000.0,0
2010-01-08,24115.0,1036945.0,0
2010-01-12,18501.0,906910.0,0
2010-03-30,134513.0,5656276.2,0
2010-04-13,25383.0,1089321.6349999998,0
2010-04-19,36000.0,1534680.0,0
2010-04-21,40000.0,1760000.0,0
2010-04-23,15000.0,667560.0,0
2010-06-29,74386.0,2890252.416,0
2010-07-08,15000.0,592500.0,0
2010-07-13,15138.0,605520.0,0
2010-10-05,61452.0,2752141.5039999997,0
2010-10-21,21496.0,982711.136,0
2010-10-25,273178.0,12488759.415000001,0
2010-10-28,25000.0,1120950.0,0
2010-10-29,25000.0,1116950.0,0
2010-11-02,10715.0,482357.155,0
2010-11-04,20000.0,909820.0,0
2010-11-08,25000.0,1126225.0,0
2010-12-21,340455.0,16560431.655000001,0
2011-01-04,32529.0,1571150.7,0
2011-01-05,28121.0,1355718.29,0
2011-01-11,2968.0,143781.79200000002,0
2011-01-13,10000.0,497480.0,0
2011-01-14,5374.0,268700.0,0
2011-01-25,10000.0,511770.0,0
2011-01-26,5076.0,262936.8,0
2011-02-04,10000.0,525300.0,0
2011-02-10,71875.0,3792987.5,0
2011-03-29,107638.0,5801567.675,0
2011-04-06,1311.0,71964.723,0
2011-04-19,7959.0,445186.66500000004,0
2011-04-26,26000.0,1474590.0,0
2011-04-28,8975.0,512221.2,0
2011-05-10,3750.0,210937.5,0
2011-06-28,7525.0,451970.7,0
2011-06-30,14000.0,839860.0,0
2011-07-20,1250.0,76798.75,0
2011-07-21,7845.0,484360.936,0
2011-08-15,1250.0,68482.5,0
2011-10-03,6000.0,319854.0,0
2011-10-04,1250.0,65625.0,0
2011-10-18,4167.0,237819.024,0
2011-10-20,1250.0,71245.0,0
2011-10-24,72323.0,4227892.304,0
2011-10-28,10000.0,614170.0,0
2011-11-15,24711.0,1436758.487,0
2011-12-20,47250.0,2565473.08,0
2012-01-06,20556.0,1067925.312,0
2012-01-18,20064.0,1098604.32,0
2012-01-20,11250.0,624617.6,0
2012-01-24,13443.0,759462.2849999999,0
2012-02-13,2119.0,121842.5,0
2012-02-15,1250.0,72846.25,0
2012-03-27,186293.0,12151184.555,0
2012-03-28,5000.0,322495.0,0
2012-03-30,26025.0,1681381.025,0
2012-04-02,2636.0,172423.396,0
2012-04-04,1332.0,85490.424,0
2012-04-09,11250.0,719218.75,0
2012-04-20,1250.0,79405.0,0
2012-04-30,10000.0,648760.0,0
2012-05-15,1250.0,74596.55,0
2012-07-03,81763.0,4973487.816,0
2012-07-23,3652.0,210779.2752,0
2012-08-02,2152.0,128711.12000000001,0
2012-10-02,116000.0,8101059.76,0
2012-10-03,20000.0,1410000.0,0
2012-10-15,5000.0,348327.5,0
2012-10-22,32734.0,2210554.6065999996,0
2012-11-01,15808.0,1085597.7148,0
2012-12-24,164802.0,10991897.3274,0
2013-01-04,4938.0,341442.83819999994,0
2013-01-07,2400.0,164832.48,0
2013-01-16,5000.0,348900.0,0
2013-01-23,20000.0,1410000.0,0
2013-04-02,13034.0,1002314.6000000001,0
2013-04-03,1339.0,102459.34270000001,0
2013-04-05,10000.0,760172.0,0
2013-04-10,17114.0,1310136.599,0
2013-04-12,5000.0,385000.0,0
2013-04-16,4291.0,329797.678,0
2013-04-29,10000.0,799021.9999999999,0
2013-04-30,2500.0,202628.75,0
2013-05-01,7581.0,619901.4024,0
2013-05-08,2939.0,235120.0,0
2013-05-09,7061.0,564880.0,0
2013-07-02,2500.0,180116.0,0
2013-07-02,20000.0,1439747.9999999998,1
2013-07-10,7500.0,558750.0,0
2013-07-15,7500.0,570000.0,0
2013-07-23,7796.0,582582.6546,0
2013-10-21,29237.0,2142289.5195999998,0
2013-11-01,15000.0,1099421.28,0
2013-12-23,4761.0,385364.4117,0
2013-12-24,42196.0,3420146.0454,0
2013-12-26,9248.0,758475.6448,0
2014-01-03,7575.0,616522.4325,0
2014-02-04,3392.0,265217.7664,0
2014-03-31,1744.0,137981.38,0
2014-04-01,35333.0,2802035.4987,0
2014-04-23,2000.0,158889.0,0
2014-05-12,2000.0,158509.19999999998,0
2014-06-30,4700.0,380516.57999999996,0
2014-07-01,35333.0,2876045.0001999997,0
2014-07-02,10210.0,827905.142,0
2014-07-03,4500.0,366642.9,0
2014-07-22,3574.0,287387.127,0
2014-07-24,2000.0,161362.0,0
2014-07-25,2946.0,236541.4104,0
2014-08-12,2000.0,157329.19999999998,0
2014-09-26,95542.0,7544557.689700001,0
2014-10-02,7052.0,561104.3684,0
2014-10-03,8154.0,654528.3012,0
