date,shares,amount,buy_flag
2004-03-09,20000.0,415400.0,0
2004-04-07,280000.0,6171200.0,0
2004-08-24,1000.0,16000.0,1
2004-09-28,20000.0,322400.0,0
2004-10-01,60000.0,1035000.0,0
2005-02-18,486110.0,8463175.1,0
2005-05-20,6250.0,99276.875,1
2005-07-08,420000.0,6947000.0,0
2005-08-19,445000.0,8100751.0,0
2005-08-22,99000.0,1822298.0,0
2005-08-26,140000.0,2510760.0,0
2005-09-13,26666.0,483987.89999999997,0
2005-09-30,10000.0,170000.0,0
2005-10-07,40000.0,671384.0,0
2005-11-21,38000.0,659680.0,0
2005-11-25,265700.0,4868367.96,0
2005-11-28,44000.0,796400.0000000001,0
2005-11-30,88000.0,1600376.8,0
2005-12-01,664300.0,12249625.57,0
2006-01-03,240000.0,4302600.0,0
2006-09-01,8031.0,135804.21,0
2006-10-05,6424.0,116274.40000000001,0
2006-11-20,77500.0,1398760.0,0
2007-02-16,50000.0,952000.0,0
2007-02-22,70000.0,1345400.0,0
2007-03-22,8302.0,156037.32,0
2007-04-02,22300.0,407867.0,0
2007-06-21,50000.0,1005008.0,0
2007-06-22,40000.0,807050.0,0
2007-06-27,40000.0,808000.0,0
2007-06-28,60000.0,1206000.0,0
2007-07-03,107500.0,2167200.0,0
2007-07-05,1500.0,29849.999999999996,0
2007-07-09,155739.0,3151501.7,0
2007-07-12,44261.0,898498.3,0
2007-07-16,60000.0,1236000.0,0
2007-07-17,127500.0,2736825.0,0
2007-07-30,95000.0,2094200.0,0
2007-08-17,145000.0,3002291.75,0
2007-08-21,75000.0,1569000.0000000002,0
2007-08-31,20000.0,428086.0,0
2007-09-04,46100.0,1001391.78,0
2007-09-13,67652.0,1402655.96,0
2007-09-21,63000.0,1346755.9,0
2007-10-01,35000.0,747505.5,0
2007-10-02,17000.0,368730.0,0
2007-10-03,93486.0,2000600.4,0
2007-10-05,684000.0,14488620.040000001,0
2008-03-05,98000.0,1990520.0,0
2008-03-11,50000.0,1043850.0,0
2008-03-18,40000.0,844104.0,0
2008-03-19,19358.0,409824.3464,0
2008-03-24,80000.0,1689492.2359999998,0
2008-04-02,119003.0,2458375.8743000003,0
2008-06-12,14191.0,275305.4,0
2008-06-17,4304.0,88232.0,0
2008-08-14,240000.0,4594471.0,0
2008-08-15,79000.0,1520108.4,0
2008-09-02,41143.0,730238.8783999999,0
2008-12-08,35000.0,347900.0,0
2008-12-10,2152.0,22361.432,0
2008-12-16,34000.0,356320.0,0
2008-12-30,40000.0,401599.99999999994,0
2009-03-26,20000.0,222200.0,0
2009-05-14,27000.0,303685.2,1
2009-06-01,59673.0,683822.7435,0
2009-06-11,10000.0,111401.0,0
