date,shares,amount,buy_flag
2004-01-23,2000.0,30760.0,1
2004-02-11,200000.0,3129569.0,0
2004-02-26,5000.0,76250.0,0
2004-04-19,200000.0,3240520.0,0
2004-04-22,12000.0,199200.00000000003,0
2004-04-23,12000.0,195600.0,0
2004-08-03,2500.0,30099.999999999996,1
2004-08-19,2000.0,23300.0,1
2004-10-18,13500.0,190866.0,0
2004-11-01,45000.0,765000.0,0
2004-11-09,45000.0,778525.0,0
2004-11-10,7275.0,126584.99999999999,0
2004-11-11,33501.0,609718.2,0
2004-11-15,41205.0,876043.7200000001,0
2005-02-07,25000.0,432235.0,1
2005-02-24,10000.0,174600.0,0
2005-02-25,22500.0,399375.0,0
2005-05-02,25000.0,357440.0,1
2005-05-17,2500.0,38855.0,1
2005-07-20,8722.0,179847.64,0
2005-07-26,50000.0,973590.0,0
2005-08-05,1965.0,39516.15,1
2005-08-10,35750.0,750750.0,0
2005-08-15,2250.0,46662.5,0
2005-08-22,7750.0,160249.5,0
2005-08-29,3500.0,73467.0,0
2005-09-01,15010.0,311157.3,0
2005-09-06,4500.0,94650.0,0
2005-09-12,5625.0,134096.85,0
2005-09-19,5625.0,125566.0,0
2005-09-26,5625.0,134506.25,0
2005-10-03,21760.0,556110.7,0
2005-10-10,5625.0,136027.5,0
2005-10-17,4500.0,96735.54999999999,0
2005-10-20,60000.0,1291271.0,0
2005-10-24,29500.0,647972.0,0
2005-10-31,5625.0,127009.375,0
2005-11-01,15010.0,344179.3,0
2005-11-02,43750.0,1051194.375,0
2005-11-07,5625.0,139575.9375,0
2005-11-14,5625.0,140985.0,0
2005-11-16,7652.0,195518.54760000002,0
2005-11-17,22500.0,581841.0,0
2005-11-21,6750.0,182490.6,0
2005-11-28,6750.0,180233.16,0
2005-12-01,15010.0,395886.3,0
2005-12-05,7875.0,217404.5,0
2005-12-12,6750.0,184537.8,0
2005-12-19,7875.0,221326.25,0
2005-12-21,5000000.0,60000000.0,1
2005-12-27,9000.0,277991.14,0
2006-01-03,24010.0,750622.58,0
2006-01-09,9000.0,303366.0,0
2006-01-17,9000.0,293499.0,0
2006-01-23,9000.0,322309.0,0
2006-01-25,22500.0,840150.0000000001,0
2006-01-26,281551.0,11213484.5,0
2006-01-30,20250.0,821105.5,0
2006-02-01,15010.0,614813.3,0
2006-02-02,8195.0,336344.9265,0
2006-02-06,28935.0,1166295.3,0
2006-02-13,23670.0,934340.9900000001,0
2006-02-21,9000.0,365620.0,0
2006-02-24,16208.0,662910.4416,0
2006-02-27,23625.0,966045.1500000001,0
2006-02-28,14000.0,569397.0,0
2006-03-01,15010.0,590233.13,0
2006-03-06,23625.0,937517.95,0
2006-03-13,9000.0,316830.0,0
2006-03-20,23625.0,805248.3300000001,0
2006-03-21,45000.0,1538494.0,0
2006-03-27,9000.0,323280.0,0
2006-04-03,35318.0,1154218.9300000002,0
2006-04-05,2250.0,76500.0,0
2006-04-10,9000.0,307655.0,0
2006-04-17,14750.0,468905.45,0
2006-04-24,9000.0,285915.0,0
2006-04-25,8000.0,264230.39999999997,0
2006-05-01,32760.0,1064854.396,0
2006-05-03,5000.0,165050.0,0
