date,shares,amount,buy_flag
2003-09-08,9000.0,612000.0,0
2004-01-27,210461.0,13663971.41,0
2004-02-04,4000.0,264720.0,1
2004-02-17,16000.0,1043162.9299999999,0
2004-02-24,10000.0,640086.56,0
2004-02-25,10000.0,642200.0,0
2004-03-02,15000.0,971224.5,0
2004-04-27,176578.0,10506522.034,0
2004-05-14,5000.0,284440.6,1
2004-05-17,12851.0,723617.0041,0
2004-06-07,40000.0,2198365.21,0
2004-07-27,225136.0,12612291.8752,0
2004-08-05,12400.0,696692.5,0
2004-08-06,50000.0,2726174.0,0
2004-08-18,25000.0,1427200.0,0
2004-09-03,20000.0,1192200.0,0
2004-10-26,182360.0,9832162.976,0
2004-10-29,20000.0,1121400.0,0
2004-11-12,120813.0,7201002.9788,0
2004-11-18,35000.0,2102800.0,0
2004-11-23,59998.0,3575130.74,0
2005-01-31,39000.0,2415855.0,0
2005-02-01,204340.0,12771165.636,0
2005-02-03,34400.0,2141423.0,0
2005-02-04,27896.0,1745494.564,0
2005-02-11,7000.0,443760.0,0
2005-03-07,62000.0,3848595.0,0
2005-04-26,141800.0,8226483.0,0
2005-05-09,76000.0,4469355.0,0
2005-05-17,40851.0,2559172.5594,0
2005-05-23,30000.0,1847100.0,0
2005-07-25,350183.0,28400421.472,0
2005-07-27,63800.0,5167396.7,0
2005-07-28,263857.0,21395001.934100006,0
2005-08-03,65000.0,5368511.5185,0
2005-08-04,16000.0,1324320.0,0
2005-08-16,50000.0,4020771.58,0
2005-08-27,200.0,16180.000000000002,0
2005-11-07,25000.0,2000000.0,0
2005-11-08,970460.0,77835439.4605,0
2005-11-10,112168.0,9145618.14,0
2005-11-14,25000.0,2040313.9600000002,0
2005-11-15,15000.0,1228950.0,0
2005-11-17,100000.0,8233073.300000002,0
2005-11-18,30000.0,2489100.0,0
2006-02-17,4705.0,350427.459,1
2006-02-17,40000.0,2979588.4499999997,0
2006-02-22,6000.0,450769.0,0
2006-02-24,28800.0,2145024.0,0
2006-03-01,2000.0,152373.0,0
2006-03-03,1600.0,122850.0,0
2006-05-17,24413.0,1689263.7045,0
2006-06-01,30000.0,2045400.0000000002,0
2006-07-27,752.0,52139.66,0
2006-10-26,40000.0,2991286.4999999995,0
2006-10-31,30000.0,2280000.0,0
2006-11-07,40000.0,3012505.3799999994,0
2006-12-08,20000.0,1403000.0,0
2007-06-04,15143.0,858908.1000000001,0
2007-12-07,6908.0,362670.0,0
2007-12-07,2025.425,141718.98725,1
2008-05-27,14000.0,602949.0012,0
2008-06-03,24080.0,1059583.44,0
2008-10-23,104714.0,5724212.018000001,0
2008-10-24,62590.0,3426554.5792,0
2008-10-29,17712.0,1063011.04,0
2008-10-31,10000.0,611345.0,0
2008-11-04,1700.0,102816.0,0
2008-11-04,8265.0,500032.5,1
2008-11-10,180000.0,10450776.5461,0
2008-11-13,16000.0,912012.7999999999,0
2008-12-03,32.393,1815.7863757000002,0
2008-12-05,21000.0,1204748.97,0
2008-12-08,16000.0,929870.5,0
2009-01-27,16000.0,852610.04,0
2009-01-29,3496.0,191271.852,0
2009-02-19,87000.0,4981863.6,0
2009-03-09,3300.0,152790.0,0
2009-05-12,36411.0,1764091.1034,0
2009-05-22,2500.0,124360.98,0
2009-06-02,85000.0,4340865.0,0
2009-06-03,16884.0,862679.9164,0
2009-06-09,21000.0,1072563.87,0
2009-11-05,31854.0,1718127.14,0
2009-11-17,5000.0,280364.11,0
2009-11-18,800.0,44912.0,1
2009-11-23,5351.0,299713.561,0
2010-01-26,31226.0,1759160.602,0
2010-02-02,17000.0,1003224.01,0
2010-02-22,450.0,25650.3,0
2010-08-26,800.0,41404.0,0
2010-08-30,3000.0,157020.0,0
2010-09-08,800.0,41888.0,0
2010-10-26,5900.0,335954.26,0
2010-12-02,3500.0,187600.0,0
2010-12-08,750.0,40029.15,0
2011-02-01,5000.0,279000.0,0
2011-08-01,24950.0,1372621.3,0
2011-08-04,1000.0,53019.5,1
2011-08-15,15000.0,773470.5,0
2011-08-31,20000.0,1108828.0,0
2011-09-07,1000.0,54730.0,0
2011-11-08,64000.0,3724945.75,0
2012-01-27,970348.0,66548775.1474,0
2012-01-30,26150.0,1784931.01,0
2012-02-01,7745.0,539320.7515,0
2012-02-02,75000.0,5237325.0,0
2012-02-07,20000.0,1377678.0,0
2012-02-13,5000.0,341500.0,0
2012-03-01,5000.0,337826.0,0
2012-03-02,452388.0,4976268.0,1
2012-03-05,2035994.0,22395934.0,1
2012-03-06,2170710.0,23877810.0,1
2012-03-07,27132931.0,298462241.0,1
2012-04-26,132925.0,9419306.43,0
2012-05-01,20000.0,1415571.0,0
2012-05-03,68572.0,4852673.9046,0
2012-05-17,3334.0,236025.86239999998,0
2012-05-18,16000.0,1104988.8,0
2012-07-27,615384.0,50671540.385000005,0
2012-07-30,125637.0,10570139.788999999,0
2012-07-31,32150.0,2658387.05,0
2012-08-01,5125.0,425697.875,0
2012-08-09,4500.0,368692.2,0
2012-08-24,5000.0,421832.5,0
2012-08-30,5000.0,416253.5,0
2012-09-11,349625.0,29355365.304,0
2012-10-24,263000.0,23178598.187,0
2012-11-26,26000.0,2264984.8000000003,0
2012-11-29,5000.0,440512.0,0
2012-12-07,15000.0,1318830.0,0
2012-12-10,6800.0,605220.4,0
2013-02-08,5000.0,434715.0,0
2013-02-28,886.0,82344.84,0
2013-04-24,6924.0,733565.2572,0
2013-04-25,8662.0,935029.1182,0
2013-04-26,10000.0,1079872.0,0
2013-04-29,10000.0,1070191.0,0
2013-05-02,8000.0,850589.6,0
2013-05-14,35000.0,3790483.0,0
2013-05-16,3544.0,372147.9976,0
