date,shares,amount,buy_flag
2004-02-02,311250.0,15336673.625,0
2004-02-03,208320.0,9632003.328,0
2004-02-04,100000.0,4537290.0,0
2004-02-17,318979.0,14564697.067499999,0
2004-02-18,200000.0,8977940.0,0
2004-02-19,50000.0,2258005.0,0
2004-02-23,139063.0,6140233.5189,0
2004-03-01,14063.0,608961.6512,0
2004-03-22,50000.0,2089849.9999999998,0
2004-03-31,80000.0,3470784.0,0
2004-05-03,234500.0,10426615.5,0
2004-05-04,200000.0,8812400.0,0
2004-05-05,100000.0,4447260.0,0
2004-05-11,4000.0,167640.0,0
2004-05-14,39067.0,1690776.7863,0
2004-05-17,207500.0,8718729.75,0
2004-05-18,204000.0,8574060.0,0
2004-05-19,50000.0,2128990.0,0
2004-05-21,14063.0,576152.6722,0
2004-05-24,125000.0,5198767.5,0
2004-05-26,2972.0,133740.0,0
2004-05-27,4528.0,204665.6,0
2004-05-28,14063.0,665565.2261999999,0
2004-06-01,96874.0,4774256.9059999995,0
2004-08-02,205000.0,7820304.499999999,0
2004-08-03,200000.0,7596220.0,0
2004-08-04,100000.0,3699450.0,0
2004-08-16,221880.0,8294020.608,0
2004-08-17,200000.0,7722400.0,0
2004-08-18,50000.0,1922000.0,0
2004-08-19,39900.0,1602171.21,0
2004-08-23,39732.0,1588969.304,0
2004-08-25,16870.0,674800.0,0
2004-08-30,4376.0,168875.9664,0
2004-09-03,4687.0,187480.0,0
2004-10-01,75500.0,3088110.4000000004,0
2004-11-01,283500.0,9805894.8,0
2004-11-02,200000.0,7177639.999999999,0
2004-11-03,100000.0,3635240.0000000005,0
2004-11-12,26000.0,1040000.0,0
2004-11-15,300319.0,12306176.751699999,0
2004-11-16,200000.0,8017040.0,0
2004-11-17,50000.0,1999755.0,0
2004-11-22,4376.0,167664.252,0
2004-11-29,4376.0,167178.0784,0
2004-12-01,17029.0,681160.0,0
2004-12-02,109845.0,4393800.0,0
2005-02-08,15000.0,533556.0,0
2005-02-14,18127.0,647133.9,0
2005-02-15,10500.0,377101.2,0
2005-02-17,1000.0,35740.0,1
2005-02-22,5625.0,196895.25,0
2005-02-25,2883.0,99982.44,1
2005-02-28,5625.0,196875.0,0
2005-03-31,48000.0,1641273.6,0
2005-04-04,5000.0,175000.0,0
2005-05-02,25000.0,814299.5,0
2005-05-18,18127.0,634445.0,0
2005-05-23,25625.0,912229.75,0
2005-05-31,5625.0,198875.8125,0
2005-07-11,743.0,26361.045599999998,0
2005-07-29,140000.0,6297158.0,0
2005-08-01,310976.0,13861808.6096,0
2005-08-15,83752.0,3703227.4173999997,0
2005-08-22,5625.0,248232.375,0
2005-08-29,5625.0,238974.75,0
2005-09-30,11250.0,506250.0,0
2005-10-03,42500.0,1933652.5,0
2005-11-01,77500.0,3101051.0,0
2005-11-14,86879.0,3703528.8193,0
2005-11-15,43125.0,1945055.0625,0
2005-11-17,18000.0,825966.0,0
2005-11-21,11250.0,537525.0,0
2005-11-28,26250.0,1277542.5,0
2005-11-29,15612.0,766942.6224,0
2006-01-09,870.0,40805.697,0
2006-02-15,101250.0,3905762.1396000003,0
2006-02-21,17497.0,678127.7296,0
2006-02-28,17497.0,657285.3032000001,0
2006-03-31,40000.0,1465408.0,0
2006-05-15,20000.0,650508.0,0
2006-05-22,20000.0,680000.0,0
2006-05-23,40002.0,1415138.7534,0
2006-05-30,6250.0,220284.375,0
2006-06-19,8000.0,0.0,0
2006-08-02,12000.0,314283.60000000003,0
2006-08-30,20000.0,600000.0,0
2006-09-05,6000.0,192000.0,0
2006-10-02,27848.0,883719.12,0
2006-11-01,66252.0,2512905.234,0
2006-11-06,2500.0,95500.0,1
2006-11-07,1400.0,54600.0,0
2006-11-08,66745.0,2606697.2952,0
2006-11-14,500009.0,20101890.2826,0
2006-11-15,38347.0,1609635.9640000002,0
2006-11-21,162500.0,6968817.500000001,0
2006-11-28,12501.0,507965.634,0
2007-02-15,206695.0,8265009.9638,0
2007-02-26,4500.0,183870.0,0
2007-03-30,4500.0,180000.0,0
2007-04-30,20000.0,1238606.0,0
2007-05-01,355765.0,21748702.888899997,0
2007-05-11,62500.0,3811062.5,0
2007-05-14,141254.0,8621987.168,0
2007-05-15,17227.0,1057737.8,0
2007-05-29,4500.0,307935.00000000006,0
2007-06-25,4500.0,312075.0,0
2007-07-27,361979.0,30384698.2495,0
2007-07-30,9500.0,781577.7,0
2007-08-01,78480.0,6075850.77,0
2007-08-02,9489.0,749946.9837,0
2007-08-03,5000.0,400000.0,0
2007-08-08,62499.0,4936946.0076,0
2007-08-14,141254.0,10410211.5466,0
2007-08-15,11786.0,863227.01,0
2007-08-27,4500.0,362520.0,0
2007-09-05,8928.0,750185.72,0
2007-09-06,5000.0,425000.0,0
2007-09-24,4500.0,410805.0,0
2007-10-01,27848.0,2597210.3600000003,0
2007-11-01,32000.0,2804032.75,0
2007-11-08,162500.0,13830846.25,0
2007-11-14,141254.0,11276121.815,0
2007-11-15,25218.0,1995752.52,0
2007-11-23,7500.0,600825.0,0
2008-02-15,1972975.0,144550913.1656,0
2008-02-19,7030.0,512979.803,0
2008-02-21,7030.0,515778.446,0
2008-02-25,7030.0,509016.992,0
2008-02-29,2500.0,167500.0,0
2008-03-26,8400.0,622776.0,0
2008-03-31,2500.0,175625.0,0
2008-05-01,1097186.0,86793157.5,0
2008-05-02,1085940.0,84242330.31,0
