date,shares,amount,buy_flag
2014-12-03,20500.0,1459674.0,0
2014-12-08,5000.0,309476.0,0
2014-12-11,20000.0,1325694.0,0
2014-12-12,36780.0,0.0,0
2014-12-17,20000.0,1358386.0000000002,0
2014-12-24,20000.0,1297320.0,0
2015-01-08,2500.0,165113.25,0
2015-02-10,2500.0,150000.0,0
2015-02-20,1000.0,72035.0,0
2015-02-23,2500000.0,168250000.0,0
2015-02-24,1150.0,77847.525,0
2015-02-25,1150.0,77318.985,0
2015-03-02,14285.0,985665.0,0
2015-03-03,2380.0,164220.0,0
2015-03-04,6150.0,423557.95999999996,0
2015-03-05,52800.0,1297200.0,0
2015-03-09,2500.0,170935.5,0
2015-03-11,1150.0,78709.45,0
2015-03-12,23380.0,1613244.871,0
2015-03-16,14285.0,985665.0,0
2015-03-17,2880.0,206519.86000000002,0
2015-03-18,13050.0,955148.5349999999,0
2015-03-19,11900.0,873956.23,0
2015-03-20,2380.0,173820.20599999998,0
2015-03-23,1636808.0,116238796.9,0
2015-03-25,1150.0,79330.22,0
2015-03-31,16665.0,1149890.0,0
2015-04-01,13050.0,903832.47,0
2015-04-08,3650.0,247771.745,0
2015-04-15,1150.0,77061.96,0
2015-04-22,1150.0,75897.47,0
2015-04-29,1150.0,75034.05,0
2015-05-06,1150.0,73005.45,0
2015-05-13,1150.0,76185.20000000001,0
2015-05-14,21240.0,1465560.0,0
2015-05-20,1150.0,77478.95000000001,0
2015-05-26,222240.0,15334560.0,0
2015-05-27,1150.0,78606.525,0
2015-05-28,23800.0,1642200.0,0
2015-05-29,10800.0,748001.882,0
2015-06-01,35285.0,2461809.7505,0
2015-06-03,2650.0,191971.005,0
2015-06-05,5250.0,404461.05,0
2015-06-09,2380.0,187553.044,0
2015-06-10,13050.0,1032328.0149999999,0
2015-06-11,11900.0,961277.24,0
2015-06-12,2380.0,190296.23200000002,0
2015-06-15,42285.0,3491994.0745,0
2015-06-16,1000.0,85000.0,0
2015-06-17,1150.0,98402.165,0
2015-06-18,7000.0,609000.0,0
2015-06-23,2380.0,208369.0,0
2015-06-24,13050.0,1142513.32,0
2015-06-25,1518950.0,124614970.435,0
2015-06-26,2380.0,201895.4,0
2015-06-29,35285.0,2884520.522,0
2015-07-01,5650.0,464717.41,0
2015-07-07,2380.0,188793.024,0
2015-07-08,13050.0,1016108.06,0
2015-07-09,11900.0,932211.49,0
2015-07-10,2380.0,189126.7,0
2015-07-13,25285.0,2008921.0634999997,0
2015-07-15,1150.0,94268.03,0
2015-07-20,1000.0,85236.5,0
2015-07-21,2380.0,199892.392,0
2015-07-22,13050.0,1084570.065,0
2015-07-23,12900.0,1103321.93,0
2015-07-24,2380.0,202081.04,0
2015-07-27,14285.0,1186923.5080000001,0
2015-07-29,1150.0,92372.485,0
2015-07-31,6916.0,583399.18,0
2015-08-03,2250.0,189057.6,0
2015-08-04,2380.0,199653.44,0
2015-08-05,13050.0,1096855.33,0
