date,shares,amount,buy_flag
2004-04-26,5000.0,168684.0,1
2004-05-03,2000.0,63820.0,1
2004-07-26,20000.0,598000.0,1
2004-07-27,2000.0,59466.0,1
2004-07-30,1000.0,31410.0,1
2004-09-07,3900.0,117288.99,0
2004-09-09,12500.0,375600.0,0
2004-10-26,17700.0,597761.7000000001,0
2004-10-27,116300.0,3977410.38,0
2004-11-15,60384.0,2163407.7600000002,0
2005-01-24,105400.0,3914566.5399999996,0
2005-01-25,14600.0,546472.16,0
2005-04-25,42800.0,1702220.2000000002,0
2005-04-26,18500.0,743004.3999999999,0
2005-05-04,6700.0,266469.05000000005,0
2005-05-11,40000.0,1570816.0,0
2005-05-12,80000.0,3160000.0,0
2005-05-13,25000.0,987500.0,0
2005-05-17,28000.0,1145650.8,0
2005-05-27,13600.0,571874.5599999999,0
2005-06-02,4500.0,190719.0,0
2005-06-07,12500.0,535630.0,0
2005-07-25,54308.0,2389552.0,0
2005-07-26,32670.0,1465161.291,0
2005-07-27,57560.0,2596585.2,0
2005-10-27,20000.0,800150.0,0
2005-10-28,30000.0,1171806.0,0
2005-11-17,92784.0,3669430.9104,0
2005-11-18,15000.0,601239.0,0
2005-11-21,50000.0,2005320.0,0
2005-11-22,100000.0,4113570.0,0
2005-11-23,89570.0,3766105.0050000004,0
2006-01-23,16800.0,830355.12,0
2006-01-24,41000.0,2024809.5999999999,0
2006-04-28,6000.0,173280.0,1
2006-05-04,124520.0,7596231.483999999,0
2006-08-08,12300.0,701100.0,0
2006-08-14,50700.0,2889900.0,0
2006-08-29,7700.0,446918.01,0
2006-08-30,2300.0,133400.0,0
2006-10-23,60400.0,4053278.4,0
2006-10-24,91600.0,6212000.0,0
2006-10-25,74000.0,5035056.2,0
2006-10-31,29800.0,2027201.6199999999,0
2006-11-06,20200.0,1353400.0,0
2006-11-30,22200.0,1520700.0,0
2006-12-05,34672.0,2387877.9760000003,0
2007-01-23,50000.0,3250115.0000000005,0
2007-01-24,50000.0,3370105.0,0
2007-04-23,120800.0,4297688.4,0
2007-04-24,154200.0,5499781.680000001,0
2007-04-25,260500.0,9294252.25,0
2007-04-26,394500.0,14085188.549999999,0
2007-05-02,139100.0,4995010.72,0
2007-05-03,185711.0,6685936.293099999,0
2007-05-04,23989.0,863848.6878,0
2007-05-29,94000.0,3287349.2,0
2007-06-13,74200.0,2634352.28,0
2007-07-23,100000.0,3726110.0,0
2007-07-25,2600.0,94903.38,0
2007-08-01,41836.0,1496009.3403999999,0
2007-08-02,8164.0,292352.84,0
2007-08-14,100.0,3575.0,0
2007-08-30,97300.0,3528886.13,0
2007-10-18,4000.0,172000.0,0
2007-10-22,136000.0,5795984.8,0
2007-10-23,30000.0,1315533.0,0
2007-10-25,20000.0,873088.0,0
2007-10-26,83600.0,3710795.0000000005,0
2007-10-29,132800.0,5926538.12,0
2007-11-06,1100.0,48400.0,0
2007-11-07,100.0,4400.0,0
2007-11-08,100.0,4400.0,0
2007-11-28,70700.0,3048117.38,0
2007-12-10,18800.0,870817.8799999999,0
2008-05-01,40000.0,1892096.0,0
2008-05-06,90000.0,4238046.0,0
2008-07-21,329533.0,16745750.068500001,0
2008-07-22,274538.0,13692665.3162,0
2008-07-23,250000.0,12421370.0,0
2008-07-29,57900.0,2850417.0,0
2008-07-30,17100.0,851251.6799999999,0
2008-08-05,10000.0,485224.0,0
2008-08-08,54777.0,2725460.8305,0
2008-08-11,104073.0,5302977.2712,0
2008-08-12,88927.0,4564382.8071,0
2008-08-25,1000.0,47590.0,1
2008-10-20,10000.0,268648.5,1
2008-10-24,1000.0,24840.0,1
2008-10-28,2000.0,48175.2,1
2009-07-22,300.0,10125.0,1
2009-08-05,2000.0,65980.0,1
2009-10-30,70300.0,2895657.0,0
2009-11-02,319620.0,13141495.92,0
2009-11-03,372080.0,15328579.760000002,0
2009-11-04,418400.0,17415900.0,0
2009-11-05,119600.0,5025711.600000001,0
2009-11-09,40000.0,1700788.0,0
2009-11-10,25000.0,1072645.0,0
2010-03-09,4000.0,177000.0,0
2010-04-23,19200.0,897626.8799999999,0
2010-04-26,19200.0,909120.0,0
2010-07-23,28800.0,1296000.0,0
2010-08-23,1000.0,40890.0,1
2010-09-03,56000.0,2555672.0,0
2010-10-22,199000.0,9756180.9,0
2010-10-25,37600.0,1886692.7999999998,0
2010-11-01,20000.0,1002840.0000000001,0
2010-11-02,22000.0,1122314.5999999999,0
2010-11-04,82000.0,4299445.6,0
2010-12-07,357500.0,19094611.25,0
2010-12-08,12500.0,662622.5,0
2010-12-09,41000.0,2175344.0,0
2011-01-21,200000.0,10648240.0,0
2011-01-25,10000.0,550000.0,0
2011-01-26,92800.0,5118848.0,0
2011-01-27,4000.0,224333.59999999998,0
2011-05-02,24000.0,1346577.4100000001,0
2011-08-04,2000.0,89354.0,1
2011-08-05,115300.0,4993908.19,1
2011-08-26,1000.0,42000.0,1
2012-01-20,6000.0,110370.0,0
2012-01-24,5000.0,275000.0,0
2012-01-26,9661.0,532321.1,0
2012-02-01,25339.0,1396964.409,0
2012-02-03,49500.0,2731457.25,0
2012-02-06,12500.0,688780.0,0
2012-02-08,400.0,22026.0,0
2012-02-09,49600.0,2740138.0,0
2012-02-23,12000.0,668176.7999999999,0
2012-02-27,22000.0,1236213.0,0
2012-02-28,29850.0,1678137.1500000001,0
2012-04-20,55000.0,3181123.0,0
2012-04-24,37000.0,2094718.0,0
2012-04-27,216500.0,12720355.85,0
2012-05-01,24500.0,1431289.45,0
2012-07-20,150869.0,8830909.5774,0
2012-07-25,81831.0,4806180.123,0
2012-07-26,41000.0,2453925.0,0
2012-07-27,169700.0,10199497.75,0
2012-07-31,16000.0,950508.7999999999,0
2012-08-07,42000.0,2576360.0,0
2012-08-14,58000.0,3584980.0,0
2012-08-17,64000.0,3993600.0,0
2012-10-19,8000.0,489760.0,0
2012-10-22,6000.0,369000.0,0
2012-11-01,52000.0,3152198.4,0
2012-11-06,29200.0,1823960.48,0
2012-11-12,8000.0,486682.39999999997,0
2012-11-20,21383.0,1293883.1917,0
2012-11-21,18617.0,1126792.0633,0
2012-11-26,7000.0,429205.0,0
2012-11-29,93402.0,5785127.808,0
2012-11-30,43598.0,2703686.372,0
2012-12-03,6000.0,372558.0,0
2012-12-06,25000.0,1516583.0,0
2012-12-07,74000.0,4524570.4,0
2013-01-22,60000.0,4053300.0000000005,0
2013-01-23,20000.0,1352366.0,0
2013-02-07,33000.0,2281613.4,0
