date,shares,amount,buy_flag
2021-04-19,3802.0,304160.0,1
2021-04-19,5000000.0,389520000.0,0
2021-05-17,91883.249,5476434.9032447,1
2021-05-18,50000.0,3220776.0,1
2021-08-16,16500.0,916955.121,0
2021-08-17,25000.0,1500000.0,1
2021-08-18,13139.0,855874.46,0
2021-08-19,136861.0,8969573.636000002,0
2021-08-20,50000.0,3474824.584,0
2021-08-23,1930.0,138960.0,0
2021-08-24,25473.0,1837724.1120000002,0
2021-08-31,16500.0,1175259.051,0
2021-09-01,35000.0,2612463.84,0
2021-09-02,68527.0,5329344.79,0
2021-09-10,20100.0,1609309.2,0
2021-09-14,16500.0,1250451.904,0
2021-09-24,27402.0,2199525.9036,0
2021-09-28,16500.0,1206670.5584,0
2021-10-07,46498.0,3849527.98,0
2021-10-08,86664.0,7398080.822899999,0
2021-10-12,33300.0,2929674.2604,0
2021-10-13,29166.0,2559228.49,0
2021-10-14,218366.0,19612105.200000003,0
2021-10-19,210000.0,20096443.073999997,0
2021-10-26,22500.0,2122228.2672,0
2021-10-27,74999.0,7206791.5838,0
2021-10-28,44976.0,4505349.7952,0
2021-11-01,44169.0,4436480.051,0
2021-11-02,5450.0,546289.47,0
2021-11-03,37462.0,3753654.938,0
2021-11-04,2800.0,280812.84,0
2021-11-05,2766.0,277199.94539999997,0
2021-11-08,29267.0,2931210.0447,0
2021-11-09,83810.0,8501484.667,0
2021-11-10,74999.0,7284044.6436,0
2021-11-11,606800.0,66421214.12469999,0
2021-11-15,1000.0,110230.0,0
2021-11-16,400000.0,41559291.32,0
2021-11-17,31381.0,3339731.9077000003,0
2021-11-18,137515.0,13858805.24,0
2021-11-19,88250.0,8842650.0,0
2021-11-22,662.0,66200.0,0
2021-12-07,17030000.0,1371085300.0,0
2022-02-22,17000.0,998118.3819,0
2022-03-02,22500.0,1310870.51,0
2022-05-16,90000.0,3390509.82,0
2022-05-19,2009.0,80569.9405,0
2022-05-20,14991.0,603564.6438,0
2022-05-25,22500.0,784297.9883999999,0
2022-08-15,110090.0,3755156.433,0
2022-08-16,88822.0,2865181.6044000005,0
2022-08-24,22500.0,598268.25,0
2022-11-16,22500.0,329564.25,0
2022-11-23,358423.0,5047241.0013999995,0
2022-11-25,48562.0,682441.7860000001,0
2022-11-28,720665.0,9793796.8864,0
2022-11-29,349295.0,4720512.348,0
2022-11-30,557207.0,7717627.680299999,0
2022-12-01,412858.0,5826252.096,0
2022-12-05,373667.0,4928696.2511,0
2022-12-06,373666.0,4250420.3373,0
2022-12-07,373666.0,4041571.4560000002,0
2022-12-08,373666.0,3941092.6686000004,0
2022-12-09,373667.0,3878476.6265000002,0
2022-12-12,373668.0,3947017.7172000003,0
2023-02-13,25000.0,369140.0,0
2023-03-06,65155.0,897770.745,0
2023-03-07,65167.0,874006.7705999999,0
2023-05-11,50000.0,1095327.7296,0
2023-05-17,31904762.0,670000002.0,0
2023-05-23,52193.0,1307147.5885,0
2023-05-24,52193.0,1275074.99,0
2023-06-01,30000000.0,690000000.0,0
2023-06-13,35188.0,793911.48,0
2023-07-27,25000.0,773500.0,0
2023-08-14,20000000.0,740000000.0,0
2023-08-21,30030922.0,1106699440.44,0
2023-08-22,27576.0,1095318.72,0
2023-08-23,52193.0,2081456.84,0
2023-08-31,202.0,8658.73,0
2023-09-12,475861.0,19871955.36,0
2023-09-13,378514.0,15574325.360000001,0
2023-11-14,5142.0,221569.8084,0
2023-11-20,927.0,36301.32,0
2023-11-24,52193.0,2054316.48,0
2023-11-27,325000.0,12855481.66,0
2023-11-28,628619.0,24349059.02,0
2023-12-11,271637.0,10046286.790000001,0
2023-12-12,103889.0,3750392.9,0
2023-12-13,383539.0,14228546.32,0
2023-12-14,6076.0,238422.24000000002,0
