date,shares,amount,buy_flag
2018-04-13,344761.0,85478486.44,1
2018-04-16,20000.0,4960660.8,0
2018-05-15,20000.0,4857823.300000001,0
2018-05-29,10000.0,2503710.0,0
2018-06-13,20000.0,5236891.699999999,0
2018-06-15,30604.0,8256961.245999999,0
2018-06-27,20000.0,5026209.25,0
2018-07-11,20000.0,4912339.165,0
2018-07-16,20000.0,4041530.0,0
2018-08-15,20000.0,4098076.88,0
2018-09-17,20000.0,4772457.7,0
2018-09-28,1194.0,294342.492,0
2018-10-15,20000.0,4620600.0,0
2018-11-15,20000.0,4578861.949999999,0
2018-12-13,32500.0,8376265.831,0
2018-12-14,2000.0,521620.0,0
2018-12-17,20000.0,5129448.38,0
2019-01-07,5223.0,1220353.95,0
2019-01-15,20000.0,5099771.393,0
2019-02-15,20000.0,5639272.237,0
2019-03-15,20000.0,5825332.8040000005,0
2019-03-19,9330.0,2760980.25,0
2019-03-20,14494.0,4282306.944999999,0
2019-03-21,10000.0,2950450.0,0
2019-04-01,4000.0,1225224.0,0
2019-04-02,10000.0,3045070.0,0
2019-04-15,20000.0,6301314.974,0
2019-05-15,20000.0,6090630.92,0
2019-06-17,20000.0,5279927.601000001,0
2019-06-19,13466.0,3754051.4799999995,0
2019-06-26,11922.0,3321230.76,0
2019-07-15,20000.0,5843279.9,0
2019-08-15,20000.0,5409277.052,0
2019-09-16,20000.0,5774171.791,0
2019-10-11,2000.0,560000.0,0
2019-10-15,20000.0,5757445.825,0
2019-11-15,20000.0,6222532.032,0
2019-12-16,20000.0,6396343.535999998,0
2020-01-08,75000.0,23326571.617000002,0
2020-01-15,73646.0,22341560.456,0
2020-01-22,62500.0,19619344.083,0
2020-02-10,75000.0,23461999.099999998,0
2020-02-18,73646.0,22864248.862000003,0
2020-02-24,62500.0,18303673.684,0
2020-03-09,75000.0,18961702.910000004,0
2020-03-16,73646.0,14595187.011,0
2020-03-30,5000.0,1177510.0,0
2020-04-07,3348.0,870902.372,0
2020-06-09,67290.0,21215494.862000003,0
2020-06-10,26750.0,8463957.303,0
2020-06-16,60171.0,18692181.464,0
2020-06-22,5000.0,1545990.0,0
2020-06-23,57171.0,17934393.878,0
2020-06-30,57431.0,18021143.625,0
2020-07-07,57171.0,18058097.042,0
2020-07-09,5000.0,1612555.0000000002,0
2020-07-14,57171.0,17808386.464,0
2020-07-21,57171.0,18018973.445,0
2020-07-28,57171.0,17636676.17,0
2020-08-04,57171.0,18560086.204,0
2020-08-11,57172.0,18771221.735,0
2020-08-18,57172.0,18833154.096,0
2020-08-25,57172.0,19155358.106,0
2020-09-01,57172.0,20465930.584000003,0
2020-09-08,57172.0,20364701.863,0
2020-09-09,4586.0,1623489.8599999999,0
2020-09-09,84.0,30080.82,1
2020-09-10,83.0,30129.0,1
2020-09-10,4778.0,1740238.382,0
2020-09-15,78125.0,28797039.722,0
2020-09-16,2000.0,735080.0,0
2020-09-18,101740.0,36773923.0,1
2020-09-28,6142.0,2229477.84,0
2020-09-29,78125.0,28657010.744999997,0
2020-09-30,2636.0,975346.36,0
2020-10-05,5000.0,1820275.0,0
2020-10-09,14500.0,5465630.0,0
2020-10-13,78125.0,29871965.784,0
2020-10-27,78125.0,28228586.782,0
2020-11-10,78125.0,28534178.825999998,0
2020-11-24,78125.0,30484140.323,0
2020-12-08,78125.0,33002552.305999998,0
2020-12-15,120.0,50016.0,1
2020-12-15,7080.0,2941456.8,0
2020-12-16,1790.0,748503.5,0
2020-12-17,14025.0,5959222.5,0
2020-12-18,972.0,417171.70800000004,0
2020-12-22,79385.0,34233140.215,0
2020-12-23,100.0,42757.0,0
2020-12-29,991.0,428407.996,0
2020-12-30,530.0,228785.1,0
2021-01-12,530.0,238349.81400000004,0
2021-01-13,530.0,238939.56399999998,0
2021-01-26,530.0,246250.53699999995,0
2021-01-27,530.0,238076.68899999998,0
2021-02-09,530.0,250763.37900000002,0
2021-02-10,530.0,249498.86199999996,0
2021-02-23,530.0,247386.829,0
2021-02-24,530.0,247372.14500000002,0
2021-03-09,530.0,233127.209,0
2021-03-10,91.0,39752.804,1
2021-03-10,530.0,234652.75999999998,0
2021-03-16,16827.0,8053527.792,0
2021-03-23,7567.0,3582826.4469999997,0
2021-03-24,6530.0,3034589.162,0
2021-03-26,5890.0,2766948.65,0
2021-03-29,100.0,47423.200000000004,0
2021-04-06,530.0,256741.005,0
2021-04-07,530.0,254884.194,0
2021-04-20,530.0,242579.49899999998,0
2021-04-21,530.0,241741.629,0
2021-05-04,530.0,234424.89500000002,0
2021-05-05,530.0,237123.175,0
2021-05-18,530.0,232659.026,0
2021-05-19,530.0,230848.323,0
2021-06-08,530.0,246839.777,0
2021-06-09,530.0,246175.336,0
2021-09-08,1000.0,495100.0,0
2021-09-10,17264.0,8652766.547,0
2021-09-13,340.0,170680.0,0
2021-09-15,149.0,74621.435,0
2021-09-21,151.0,74516.99,1
2021-09-23,4517.0,2280703.97,0
2021-09-27,3150.0,1587889.8,0
2021-09-29,152.0,74409.32,1
2021-12-14,81.0,49621.41,1
2021-12-15,81.0,49815.0,1
2021-12-15,276.0,171540.9,0
2021-12-16,159.0,99691.0,1
2021-12-16,3645.0,2306701.8000000003,0
2021-12-21,2000.0,1296200.0,0
2021-12-22,2000.0,1291066.0,0
2022-03-08,34.0,19704.156,1
2022-03-08,800.0,457735.99999999994,0
2022-03-09,66.0,38860.14,1
2022-03-10,68.0,39610.0,1
2022-03-16,13863.0,8113928.57,0
2022-03-24,13734.0,8402652.72,0
2022-03-25,200.0,124934.20000000001,0
2022-03-28,3000.0,1877565.0,0
2022-03-29,2000.0,1272460.0,0
2022-04-05,476.0,299665.8,0
2022-12-13,370.0,213638.19999999998,0
2022-12-14,1170.0,672750.0,0
2023-03-14,3475.0,2172494.775,0
2023-03-16,30000.0,18781200.0,0
2023-03-27,740.0,472860.0,0
2023-03-28,7000.0,4338040.0,0
2023-06-08,7645.0,6105123.85,0
2023-09-06,11000.0,9592281.600000001,1
2023-09-12,1500.0,1283520.9,0
2023-09-15,1000.0,858958.2000000001,1
2023-12-14,22143.0,24182242.0,0
2023-12-18,6532.0,7395216.887999999,0
2023-12-20,800.0,912239.2,0
2023-12-21,20000.0,22449112.880999997,0
2024-01-05,2500.0,2607860.0,0
2024-03-12,3150.0,4064583.24,0
2024-03-21,9160.0,12715310.649999999,0
2024-03-25,7500.0,10100875.0,0
2024-03-28,2500.0,3297437.5,0
2024-04-02,2000.0,2624500.0,0
2024-04-03,2500.0,3418800.0,0
2024-04-05,3000.0,4029435.0,0
2024-04-10,2610.0,3436680.0,0
2024-06-17,2832.0,5175596.5200000005,0
2024-06-20,254.0,444566.04,0
2024-07-11,7502.0,12798036.9,0
2024-09-17,50000.0,8168550.000000001,0
2024-09-19,25200.0,4240504.8,0
2024-09-24,150000.0,25941000.0,0
2024-09-25,750.0,130897.5,0
2024-10-01,10000.0,1671410.0,0
2024-10-03,20000.0,3446500.0,0
2024-10-04,20000.0,3497480.0,0
2024-10-07,20280.0,3591547.4400000004,0
2024-10-09,18900.0,3456337.5,0
2024-10-11,34850.0,6323452.75,0
2024-12-17,6540.0,1569626.16,0
2024-12-20,12570.0,2886323.4,0
2024-12-23,15000.0,3400200.0,0
2024-12-24,65168.0,15614136.888,0
2025-01-02,40000.0,9279200.0,0
2025-01-06,48000.0,11296800.0,0
2025-01-08,4000.0,918548.0,0
2025-03-24,30000.0,5839500.0,0
2025-03-26,663976.0,120576862.61999999,0
2025-04-11,25000.0,4500000.0,0
2025-04-14,800.0,148000.0,0
2025-05-14,800.0,184152.0,0
2025-06-11,10000.0,2528810.0,0
2025-06-12,117758.0,29782175.78,0
2025-06-16,800.0,200280.0,0
2025-06-18,56310.0,14175986.19,0
2025-06-23,50000.0,12664250.0,0
2025-06-24,126350.0,33089098.15,0
2025-06-25,473898.0,125737538.36999999,0
2025-06-26,43000.0,11527110.0,0
2025-07-14,800.0,219440.0,0
2025-08-14,800.0,245967.99999999997,0
2025-09-08,2050.0,706797.77,1
2025-09-09,1000.0,339385.0,1
2025-09-10,500.0,181687.5,1
2025-09-10,148154.0,49879007.18,0
2025-09-15,800.0,288000.0,0
2025-09-16,17971.0,6476457.658000001,0
2025-09-17,27949.0,9716569.496000001,0
2025-09-23,100000.0,33958393.264,0
2025-09-24,368797.0,124620221.75999999,0
2025-10-14,800.0,280120.0,0
2025-11-14,800.0,264912.0,0
