date,shares,amount,buy_flag
2003-08-06,2280.0,100183.2,1
2003-08-11,4500.0,198000.0,0
2003-09-09,12709.0,580298.12,0
2003-09-10,330900.0,15069186.0,0
2003-09-11,40512.0,1855449.5999999999,0
2003-09-17,14963.0,680716.5,0
2003-09-19,20692.0,974618.6,0
2003-09-24,10500.0,495255.0,1
2003-11-05,133000.0,6249910.0,0
2003-11-18,20000.0,890192.0,1
2004-01-30,160715.0,8227467.3,0
2004-02-02,18000.0,950592.0,0
2004-02-03,3950.0,207075.0,1
2004-02-05,96743.0,5041412.02,0
2004-02-11,23055.0,1239331.35,0
2004-02-13,100000.0,5311783.0,0
2004-03-19,136000.0,6990400.0,0
2004-03-25,4000.0,200600.0,1
2004-05-27,1150.0,58512.0,1
2004-08-03,40000.0,2001255.0,0
2004-08-11,19000.0,950959.0,0
2004-10-25,2000.0,103820.0,1
2004-10-27,9732.0,507912.76,0
2004-10-28,1000.0,52930.0,1
2004-11-08,32400.0,1772836.0,0
2004-11-09,10000.0,549000.0,1
2004-11-10,13000.0,710463.0,0
2004-11-23,28000.0,1567156.0,0
2004-12-16,94668.0,5301408.0,0
2004-12-22,24917.0,1418317.15,0
2004-12-31,10000.0,567068.0,0
2005-02-07,137000.0,7585758.619999999,0
2005-02-08,20000.0,1102400.0,1
2005-02-22,3000.0,162567.0,1
2005-06-01,100000.0,5435829.0,0
2005-06-13,65162.0,3580677.76,0
2005-06-17,116180.0,6391510.0,0
2005-07-29,66463.0,3686037.98,0
2005-08-01,204400.0,11234400.0,0
2005-08-08,38100.0,2131848.0,0
2005-08-10,51900.0,2925914.4,0
2005-08-11,165000.0,9377912.0,0
2005-08-19,51293.0,2876003.6393,0
2005-10-26,20000.0,995000.0,1
2005-10-28,1000.0,49100.0,1
2005-11-07,53014.0,2637772.62,0
2005-11-09,3403.0,167575.69,1
2005-12-14,5000.0,257225.0,1
2006-01-27,161288.0,8604533.92,0
2006-01-30,304500.0,16092825.0,0
2006-02-01,9500.0,499875.0,1
2006-02-02,3000.0,157737.0,1
2006-02-13,271418.0,14417121.600000001,0
2006-02-17,3600.0,195513.0,1
2006-02-21,275225.0,14877205.25,0
2006-02-27,194835.0,10685888.5,0
2006-04-27,417989.0,22036572.98,0
2006-04-28,15000.0,808950.0,1
2006-05-01,2000.0,106500.0,1
2006-11-13,437185.0,25771305.75,0
2006-11-14,14210.0,836826.9,0
