date,shares,amount,buy_flag
2000-02-03,1000.0,48000.0,1
2003-08-01,57144.0,4663753.32,0
2003-08-15,49000.0,3981893.0,0
2003-08-20,50000.0,4062076.08,0
2003-09-02,87144.0,6930133.4,0
2003-09-05,38814.0,2955639.6,0
2003-09-10,50000.0,3770243.0,0
2003-10-01,87144.0,6829324.640000001,0
2003-10-06,38074.0,3038687.6799999997,0
2003-10-10,28635001.0,229859717.0,0
2003-10-23,1400.0,114072.0,0
2003-10-30,5000.0,376165.0,1
2003-11-03,87136.0,6580966.739999999,0
2003-11-03,3000.0,227250.0,1
2003-11-05,655.0,49878.25000000001,1
2003-11-05,38074.0,2875632.7399999998,0
2003-11-10,50000.0,3792719.45,0
2003-11-11,875.0,65940.0,1
2003-11-25,442.0,33335.64,0
2003-12-01,30000.0,2273134.53,0
2003-12-05,38074.0,2871555.882599999,0
2004-01-05,19000.0,1503777.0,0
2004-01-12,50000.0,3919289.0,0
2004-02-02,20000.0,1628223.33,0
2004-02-05,38074.0,3111419.76,0
2004-02-10,50000.0,4072219.0,0
2004-02-20,75000.0,6077305.0,0
2004-03-05,38074.0,3139413.5,0
2004-03-10,50000.0,4061446.0,0
2004-04-01,25000.0,2040295.0,0
2004-04-05,57148.0,4591772.019999999,0
2004-04-15,6000.0,480460.0,1
2004-04-16,69.0,5545.530000000001,0
2004-04-23,1000.0,81050.0,1
2004-05-05,38074.0,3099593.54,0
2004-05-26,1800.0,149004.0,1
2004-06-07,19074.0,1604162.76,0
2004-07-01,25000.0,2112188.88,0
2004-07-06,19074.0,1601602.74,0
2004-07-21,133272.0,11374787.56,0
2004-08-05,19065.0,1621509.2,0
2004-08-11,77950.0,104453.0,0
2004-08-12,42972.0,55004.16,0
2004-08-13,25000.0,29250.0,0
2004-08-16,40400.0,48076.0,0
2004-08-17,25000.0,30500.0,0
2004-08-18,245292.0,17827743.88,0
2004-09-01,200000.0,282000.0,0
2004-09-08,3000.0,132090.0,1
2004-09-17,9741.0,13442.579999999998,0
2004-09-30,12316561.063,8999929.92899,0
2004-10-01,50000.0,2196085.0,0
2004-10-12,1600.0,71552.0,0
2004-10-20,2000.0,87420.0,1
2004-10-22,38418.0,49943.4,0
2004-10-25,100000.0,131000.0,0
2004-10-26,100000.0,141000.0,0
2004-10-29,100000.0,141000.0,0
2004-11-08,100000.0,143000.0,0
2004-11-10,65000.0,3000790.0,1
2004-11-10,200000.0,310000.0,0
2004-11-11,83500.0,138610.0,0
2004-11-12,60471.0,95544.18000000001,0
2004-11-15,28746.0,1361918.1,1
2004-11-15,43008.0,67522.56,0
2004-11-22,34841.0,1597833.3299999998,0
2004-12-01,15428.0,711919.6192,0
2004-12-01,400.0,18500.0,1
2005-01-03,15428.0,715285.68,0
2005-01-20,49950.0,2255834.0,0
2005-01-24,23800.0,1083509.0,0
2005-01-25,41800.0,1902205.0,0
2005-02-01,15428.0,718804.28,0
2005-02-08,464.0,21747.68,1
2005-02-15,3000.0,140700.0,1
2005-02-16,55000.0,2566966.0,0
2005-03-01,15428.0,724711.28,0
2005-03-02,10000.0,466273.0,1
2005-03-31,332.0,14647.839999999998,0
2005-04-01,15428.0,679806.7368000001,0
2005-04-06,55000.0,148250.0,1
