date,shares,amount,buy_flag
2003-11-04,26708.0,1038413.24,0
2003-12-22,500.0,20685.0,1
2004-02-03,1000.0,43070.0,0
2004-02-04,5400.0,236263.0,0
2004-02-06,5291.0,238095.0,0
2004-02-10,2016.0,87796.79999999999,0
2004-02-13,1375.0,61091.25,0
2004-05-06,2910.0,127914.9,0
2004-08-03,2000.0,101864.0,0
2004-08-05,32000.0,1627056.0,0
2004-08-11,10000.0,494500.0,0
2004-08-12,5000.0,246700.00000000003,0
2004-11-01,13566.0,675966.14,0
2004-11-03,19103.0,980597.51,0
2004-11-04,6000.0,304212.0,0
2004-11-10,2962.82,158214.58800000002,0
2005-02-08,2590.0,137383.6,0
2005-02-16,10578.0,571203.42,0
2005-02-17,6867.0,372140.07,0
2005-02-22,5954.0,311691.9,0
2005-05-16,14924.0,897519.0,0
2005-08-01,10864.0,716670.2,0
2005-08-02,12014.0,796107.9199999999,0
2005-08-04,57494.0,3806004.64,0
2005-08-09,29488.0,1973647.6,0
2005-08-10,100.0,6716.0,0
2005-08-11,10000.0,670810.0,0
2005-08-19,2000.0,134420.0,1
2005-10-31,4000.0,260424.0,0
2005-11-01,51332.0,3352080.0596000003,0
2005-11-10,27451.0,1801584.9300000002,0
2005-11-14,11996.0,790733.348,0
2005-11-15,6234.0,415371.42,0
2006-02-06,11401.0,813005.31,0
2006-02-07,10000.0,712910.0,0
2006-02-08,3547.0,254319.90000000002,0
2006-02-10,1279.0,92599.6,0
2006-02-13,16888.0,1215091.6,0
2006-02-14,7207.0,522507.5,0
2006-02-17,4800.0,350207.99999999994,0
2006-05-03,98401.0,8421358.79,0
2006-05-04,19296.0,1671996.52,0
2006-05-05,39713.0,3495248.33,0
2006-05-08,1979.0,174290.53,0
2006-05-09,21591.0,1894327.37,0
2006-05-23,6000.0,513200.0,0
2006-08-02,750.0,59025.0,1
2006-11-01,24890.0,1994451.2,0
2006-11-03,14009.0,1117918.2,0
2006-11-07,48922.0,3984244.2800000003,0
2006-11-08,8542.0,727351.3,0
2007-02-06,24863.0,2255444.62,0
2007-02-08,5508.0,495045.6,0
2007-02-14,9994.0,898230.72,0
2007-02-20,16400.0,1492863.0,0
2007-05-02,1492.0,140248.0,0
2007-05-15,1115.0,105820.19,0
2007-07-30,22500.0,2372716.5,0
2007-07-31,10549.0,1104683.9519999998,0
2007-08-01,507.0,52779.7,0
2008-02-04,3000.0,247846.0,0
2008-02-05,3000.0,245262.5,0
2008-02-11,1539.0,122304.33,0
2008-02-12,3000.0,252276.0,0
2008-02-13,2400.0,202512.0,0
2008-04-30,300.0,25495.28,1
2008-08-04,10000.0,620600.0,1
2009-07-22,800.0,33968.0,1
2009-11-05,2400.0,118785.6,0
2010-02-01,27064.0,1664765.3599999999,0
2010-02-02,2400.0,147166.08000000002,0
2010-02-11,2400.0,145200.0,0
2010-04-26,334.0,25002.238,1
2010-04-26,24464.0,1832365.4900000002,0
2010-04-27,8159.0,595525.4099999999,0
2010-04-29,14175.0,1046115.0,0
2010-04-30,2800.0,206976.0,0
2010-08-05,38637042.0,1332977949.0,1
2010-10-27,25000.0,1747771.0,0
2010-10-28,14893.0,1056286.3573,0
2010-11-03,291.0,20011.488,1
2011-01-31,502.0,34988.898,1
2011-02-02,2400.0,169680.0,0
2011-02-08,7400.0,536907.84,0
2011-02-15,4200.0,300570.89999999997,1
2011-05-02,22618.0,1798669.4499999997,0
2011-05-03,10204.0,813871.04,0
2011-05-04,7937.0,627975.4400000001,0
2011-05-10,3200.0,256000.0,0
2011-08-11,346.0,20053.814000000002,1
2011-11-02,20000.0,1290740.0000000002,0
2011-11-03,1000.0,65071.399999999994,1
2011-11-15,6558.0,445495.4328,0
2012-01-30,20000.0,1477936.0,0
2012-02-08,12340.0,930276.542,0
2012-04-30,22622.0,1728247.486,0
2012-05-01,10072.0,777724.994,0
2012-05-02,10205.0,787305.545,0
2012-05-10,10000.0,747950.0,0
2012-11-13,2400.0,176625.59999999998,0
2013-04-30,87604.0,7987197.52,0
2013-05-01,1500.0,137389.5,1
2013-05-01,2965.0,269963.25,0
2013-05-02,16459.0,1501554.57,0
2013-05-06,11084.0,1045886.24,0
2013-05-07,3188.0,302066.188,0
2013-08-01,24513.0,2620439.7,0
2013-08-02,107268.0,11500170.670000002,0
2013-08-05,29600.0,3177856.0,0
2013-08-08,304132.0,32306499.669999998,0
2013-08-13,15287.0,1611402.67,0
2014-02-04,15000.0,1830975.0,0
2014-02-05,3911.0,472143.74199999997,0
2014-02-18,29957.0,3906716.79,0
2014-04-29,48246.0,6157323.4205,0
2014-04-30,23408.0,3021721.446,0
2014-05-01,10100.0,1299991.2,0
2014-05-02,4888.0,635678.848,0
2014-05-05,2912.0,382200.0,0
2014-05-08,65820.0,8607083.94,0
2014-10-28,10354.0,1268188.982,0
2014-10-29,10100.0,1251137.5,0
2014-10-31,19500.0,2437950.45,0
2014-11-06,42030.0,5234277.501,0
2015-02-02,62998.0,9068162.236,0
2015-02-03,88681.02,13078947.337199999,0
2015-02-05,10100.0,1491456.9000000001,0
2015-02-18,85050.0,12822988.5,0
2015-05-01,14029.0,2025128.2370000002,0
2015-05-04,18954.0,2733223.662,0
2015-05-05,4334.0,619293.928,0
2015-08-07,268443.0,38190464.05500001,0
2015-08-10,17427.0,2541638.1119999997,0
2015-10-30,58700.0,8726933.0,0
2015-11-03,11690.0,1726390.8900000001,0
2016-05-03,1850.0,244477.5,1
2016-05-03,16809.0,2220031.1100000003,0
2016-05-05,20000.0,2632160.0,0
2016-05-13,6279.0,836130.4770000001,0
2016-05-16,22341.0,2984668.236,0
2016-05-17,6047.0,810298.0,0
2016-08-01,1871.0,250508.18999999997,1
2016-08-01,18045.0,2401968.2580000004,0
2016-10-31,200754.0,28599414.84,0
2016-11-01,88369.0,12581095.376,0
2016-11-04,14031.0,1958924.034,0
2017-01-30,23226.0,3826640.75,0
2017-01-31,32209.0,5296469.82,0
2017-02-01,72462.0,11841920.04,0
2017-02-02,3573.0,580005.0900000001,0
2017-02-07,102080.0,17022476.64,0
2017-05-01,13383.0,2443681.6,0
2017-05-02,26177.0,4807871.29,0
2017-05-03,7447.0,1361290.25,0
2017-05-05,32500.0,5996575.0,0
2017-07-31,80463.0,19629627.58,0
2017-08-01,2871.0,691767.45,0
2017-08-07,134.0,32320.8,0
2018-02-08,36079.0,12174118.090000002,0
2018-05-03,1132.0,373378.87999999995,0
2018-05-04,7340.0,2424441.2,0
2018-05-07,2241.0,762543.19,0
2018-05-09,9000.0,3097170.0,0
2018-10-29,5000.0,1750350.0,0
2018-11-09,1640.0,602732.7999999999,0
2019-02-04,26557.0,10502619.24,0
2019-02-08,32137.0,12859847.99,0
2019-02-11,2137.0,873712.4500000001,0
2019-02-12,8500.0,3488886.0,0
2019-02-13,2916.0,1198009.44,0
2020-08-05,1152.0,199710.72000000003,1
2021-02-02,26737.0,5398134.55,0
2021-05-13,2000.0,449940.0,0
2021-11-05,990.0,219651.30000000002,0
2022-02-01,480.0,100027.2,1
2022-02-14,5000.0,1044550.0,1
2022-11-04,26285.0,4173889.1100000003,1
2023-05-01,412.0,84196.32,0
