date,shares,amount,buy_flag
2003-07-30,20433.0,0.0,0
2004-02-12,400000.0,9604240.0,0
2004-02-17,26945.0,649106.55,0
2004-05-06,4000.0,97120.0,1
2004-06-15,5181.0,141182.25,0
2004-12-01,5000.0,0.0,0
2005-05-09,5181.0,132737.22,0
2005-11-03,34027.0,833661.5,0
2005-11-04,44359.0,1071946.75,0
2005-12-01,28579.0,699642.08,0
2006-02-28,14945.0,362754.25,0
2006-04-27,3000.0,75000.0,0
2006-05-03,21000.0,0.0,0
2006-05-04,7000.0,0.0,0
2006-05-08,7235.0,0.0,0
2006-05-12,20000.0,0.0,0
2006-05-18,8271.0,0.0,0
2006-05-25,8695.0,0.0,0
2006-05-26,28184.0,0.0,0
2006-06-01,3000.0,0.0,0
2006-07-03,3000.0,0.0,0
2006-08-01,3000.0,0.0,0
2006-08-16,42360.0,0.0,0
2006-09-01,2500.0,0.0,0
2006-10-23,48000.0,0.0,0
2006-11-14,2742.0,112970.40000000001,0
2007-01-03,11666.0,0.0,0
2007-01-18,2400.0,96000.0,0
2007-01-19,2499600.0,99984000.0,0
2007-02-28,4482.0,0.0,0
2007-03-05,113333.0,0.0,0
2007-03-08,5000.0,0.0,0
2007-03-15,12000.0,0.0,0
2007-05-07,5181.0,0.0,0
2007-05-15,12000.0,0.0,0
2007-05-24,5000.0,0.0,0
2007-05-30,10000.0,0.0,0
2007-06-07,8347.0,0.0,0
2007-08-13,56223.0,4341164.03,0
2007-09-10,114444.0,8800653.870000001,0
2007-09-24,10000.0,886117.6499999999,0
2007-11-01,10000.0,912079.8500000001,0
2007-11-13,100000.0,10870000.0,1
2007-11-14,5800.0,624389.2,0
2007-11-17,200.0,21584.0,0
2007-11-20,2000.0,206820.0,0
2007-11-28,21084.0,2334450.08,0
2007-12-20,2000.0,226240.0,0
2008-01-22,2000.0,189700.0,0
2008-02-19,34666.0,4232712.04,0
2008-02-20,2000.0,246704.77,0
2008-02-28,20417.0,2477873.28,0
2008-03-05,20000.0,2289459.3400000003,0
2008-03-10,10000.0,1149848.8,0
2008-03-12,4000.0,480000.0,0
2008-03-19,900.0,107334.0,0
2008-03-20,2000.0,235222.19999999998,0
2008-04-21,2900.0,373329.83,0
2008-05-09,4500.0,630000.0,0
2008-05-19,900.0,121743.00000000001,0
2008-05-20,2000.0,262830.07999999996,0
2008-06-02,50000.0,6542737.680000001,0
2008-06-16,10000.0,1257724.5799999998,0
2008-06-19,900.0,115740.0,0
2008-06-20,2000.0,259256.82,0
2008-07-21,2900.0,296474.0,0
2008-08-19,900.0,89775.0,0
2008-08-20,2000.0,198824.0,0
2008-09-18,10000.0,813900.0,0
2008-09-19,900.0,82863.0,0
2008-09-22,2000.0,167220.0,0
2008-11-10,17500.0,954975.0,0
2008-11-12,1389.0,74353.17,0
2008-12-17,4000.0,280000.0,0
2008-12-22,2000.0,140000.0,0
2009-01-02,1367.0,102525.0,0
2009-01-20,166.0,11620.0,0
2009-01-23,1834.0,128380.0,0
2009-02-20,2000.0,162645.56000000003,0
2009-02-24,20000.0,1650248.0,0
2009-02-26,12570.0,1106034.3,0
2009-03-02,69396.0,5732356.891199999,0
2009-03-03,9683.0,806590.9951000001,0
2009-03-10,5000.0,394331.00000000006,0
2009-03-20,2000.0,153586.2798,0
2009-04-09,8000.0,720000.0,0
2009-04-20,2000.0,182286.4,0
2009-04-30,10000.0,1000000.0,0
2009-05-11,7000.0,770526.0,0
2009-05-12,28333.0,3125256.7257999997,0
2009-05-13,110000.0,11323444.0546,0
2009-05-20,2000.0,210405.474,0
2009-05-27,10000.0,1065851.0,0
2009-06-01,14000.0,1561102.4900000002,0
2009-06-22,2000.0,214699.0403,0
2009-07-20,2000.0,236699.27459999998,0
2009-08-10,2342.0,334624.95999999996,0
2009-08-12,30333.0,4617038.609999999,0
2009-08-20,2000.0,302036.75,0
2009-09-01,14000.0,2157323.3584000003,0
2009-09-21,2000.0,327026.49820000003,0
2009-10-20,2000.0,349451.3435,0
2009-11-11,48666.0,9743717.24,0
2009-12-01,14000.0,2992044.16,0
2010-02-19,5439.0,1262609.46,0
2010-02-23,50000.0,11290977.84,0
2010-03-01,14000.0,3218911.4,0
2010-03-05,50309.0,11759702.01,0
2010-03-08,4598.0,1085788.32,0
2010-05-12,116054.0,25253349.33,0
2010-05-24,3333.0,648325.51,0
2010-06-01,14000.0,2669263.0,0
2010-08-20,2000.0,597802.48,0
2010-08-23,6000.0,1814651.9999999998,0
2010-09-01,14000.0,4133804.12,0
2010-09-20,2000.0,695223.03,0
2010-10-20,2000.0,697199.2,0
2010-11-11,5000.0,2090915.1199999999,0
2010-11-22,27999.0,11729221.6,0
2010-12-01,13499.0,5468240.3,0
2010-12-20,2000.0,800583.0,0
2011-01-20,2000.0,847822.99,0
2011-02-22,2000.0,872595.0,0
2011-02-25,41428.0,19185371.09,0
2011-02-28,11500.0,5222696.15,0
2011-03-01,53031.0,23760034.560000006,0
2011-03-02,28500.0,12816445.0,0
2011-03-03,11500.0,5299482.88,0
2011-03-04,2000.0,930000.0,0
2011-03-07,4865.0,2282314.9,0
2011-03-08,4000.0,1880000.0,0
2011-03-09,1000.0,469168.0,0
2011-03-16,1000.0,458376.0,0
2011-03-21,17000.0,7606935.0,0
2011-03-23,1000.0,457883.0,0
2011-03-28,15000.0,7308195.079999999,0
2011-03-30,1000.0,499258.0,0
2011-05-10,105556.0,55676882.58,0
2011-05-16,7333.0,3784172.54,0
2011-06-15,2000.0,951725.67,0
2011-07-15,2000.0,1044560.0,0
2011-08-08,10000.0,5166204.719999999,0
2011-08-10,7000.0,3577000.0,0
2011-08-15,10000.0,5034162.0,0
2011-08-16,700.0,352121.0,0
2011-08-30,2800.0,1470112.0,0
2011-09-12,1000.0,518255.0,0
2011-09-15,2000.0,1065836.95,0
2011-09-20,1728.0,950400.0,0
2011-10-12,600.0,299664.0,0
2011-10-17,2000.0,994375.5,0
2011-11-09,5000.0,2720100.0,0
2011-11-11,500.0,266111.0,0
2011-11-14,1000.0,536844.74,0
2011-11-15,4500.0,2408084.0,0
2011-12-15,2000.0,902067.6,0
2012-01-17,2500.0,1226023.1,0
2012-01-18,500.0,257216.0,0
2012-01-26,500.0,265621.0,0
2012-02-03,500.0,270188.0,0
2012-02-13,2500.0,1409653.0,0
2012-02-14,500.0,291471.0,0
2012-02-15,2000.0,1158984.0,0
2012-02-21,500.0,295000.0,0
2012-02-24,500.0,297500.0,0
2012-02-28,14000.0,8833884.0,0
2012-02-29,63500.0,40014524.46,0
2012-03-05,6597.0,4267647.33,0
2012-03-12,1700.0,1103333.3499999999,0
2012-03-14,2601.0,1690250.92,0
2012-03-15,6289.0,4110920.41,0
