date,shares,amount,buy_flag
2024-12-04,48700.0,50441710.756500006,0
2024-12-05,54000.0,56485636.118999995,0
2024-12-06,54190.0,56676092.4994,0
2025-01-21,10000.0,10100000.0,0
2025-01-30,10000.0,10726364.783200001,0
2025-02-28,430.0,408229.1,0
2025-03-05,79600.0,1324544.0,1
2025-03-06,79600.0,1322952.0,1
2025-03-07,79600.0,1313400.0,1
2025-03-10,86000.0,1408680.0,1
2025-03-11,86000.0,1396639.9999999998,1
2025-03-12,86000.0,1412980.0,1
2025-03-13,86000.0,1411260.0,1
2025-03-14,86000.0,1389760.0,1
2025-03-17,101600.0,1643888.0,1
2025-03-18,101600.0,1637792.0,1
2025-03-19,101600.0,1646936.0,1
2025-03-20,101600.0,1657095.9999999998,1
2025-03-21,101600.0,1645920.0,1
2025-03-24,46745.0,763813.3,1
2025-04-21,2000.0,1704012.2,0
2025-04-24,10000.0,9125002.0,0
2025-04-29,16485.0,15119633.807600003,0
2025-07-24,19262.0,21619664.6326,0
2025-07-25,30090.0,33867197.0543,0
2025-07-30,17142.0,19207562.0222,0
2025-10-20,12000.0,13980505.876799999,0
