date,shares,amount,buy_flag
2003-12-17,1.0,82400.0,1
2004-01-26,5.0,15000.0,1
2004-05-12,23.0,2000000.0,1
2004-10-19,40.0,3412000.0,0
2004-10-20,50.0,4227000.0,0
2004-10-21,10.0,845000.0,0
2004-10-22,20.0,1645000.0,0
2004-10-27,30.0,2550000.0,0
2004-12-16,20.0,56860.0,1
2005-01-05,5.0,428500.0,1
2005-03-07,12.0,35880.0,0
2005-03-30,35.0,3054249.8,0
2005-04-05,10.0,873991.0,0
2005-04-25,10.0,27600.0,1
2005-06-01,9.0,759600.0,0
2005-06-02,3.0,254250.0,0
2005-06-03,12.0,1000200.0,0
2005-06-08,6.0,498600.0,0
2006-06-14,20.0,1801000.0,0
2006-06-15,100.0,9143000.0,0
2006-06-16,20.0,1833000.0,0
2006-06-19,40.0,3693500.0,0
2006-06-20,10.0,923000.0,0
2006-06-21,20.0,1847000.0,0
2006-06-22,10.0,923000.0,0
2006-06-26,20.0,1820000.0,0
2006-06-27,30.0,2749000.0,0
2006-06-28,30.0,2758500.0,0
2006-06-29,10.0,920000.0,0
2006-07-10,20.0,1817000.0,0
2006-07-11,10.0,910000.0,0
2006-07-19,10.0,910000.0,0
2006-07-24,20.0,1822000.0,0
2006-07-25,10.0,910000.0,0
2006-07-26,20.0,1822000.0,0
2006-08-02,6969274.0,278770960.0,1
2006-08-03,719400.0,32710649.0,1
2006-08-07,82900.0,3796819.9999999995,1
2006-08-08,1200.0,54972.0,1
2006-08-09,587100.0,26994858.0,1
2006-08-10,118500.0,5452185.0,1
2006-08-11,23500.0,1081705.0,1
2006-08-21,567218.0,26046650.560000002,1
2006-08-22,390200.0,17937494.0,1
2006-08-23,734700.0,33722730.0,1
2006-08-24,7000.0,322210.0,1
2006-10-04,371200.0,17112320.0,1
2006-12-12,90.0,9726500.0,0
2006-12-13,10.0,1096500.0,0
2006-12-19,10.0,1132000.0,0
2007-03-23,35.0,3784500.0,0
2007-04-04,427900.0,35003877.4,1
2007-04-05,1219000.0,98963296.0,1
2007-08-03,1133600.0,91144614.08,1
2007-08-06,424300.0,33712501.92,1
2007-08-07,62400.0,4978284.4799999995,1
2007-08-15,500700.0,39535272.0,1
2007-08-16,900800.0,68911200.0,1
2007-08-23,4319500.0,345387220.0,1
2007-08-24,2439100.0,195054827.0,1
2007-08-27,3322170.0,265773600.0,1
2007-08-28,845000.0,67473250.0,1
2007-09-20,6000.0,479820.0,1
2008-01-07,29600.0,2265880.0,1
2008-01-08,240000.0,18693600.0,1
2008-01-09,435700.0,33601184.0,1
2008-01-10,46100.0,3585658.0,1
2008-01-14,141400.0,11054652.000000002,1
2008-01-15,807400.0,62726906.0,1
2008-01-16,44200.0,3383510.0,1
2008-01-17,205800.0,16017414.0,1
2008-01-18,996100.0,76669817.0,1
2008-01-22,10300.0,777753.0,1
2008-10-28,825000.0,65711250.00000001,1
2008-10-31,1634921.0,0.0,0
2009-01-15,1800000.0,111945960.0,1
2009-01-16,681000.0,43196851.5,1
2009-01-20,1882000.0,116030757.80000001,1
2009-07-01,800.0,2333865.3,0
2009-07-02,400.0,1152348.2,0
2009-07-06,800.0,2281552.1,0
2009-07-07,300.0,847820.6,0
2009-07-08,1000.0,2793732.8,0
2009-07-09,400.0,1114314.2000000002,0
2009-07-10,400.0,1102713.0,0
2009-07-13,1510.0,4249122.2,0
2009-07-14,1340.0,3832997.1,0
2009-07-15,1400.0,4094348.8000000003,0
2009-07-16,960.0,2808271.6,0
2009-07-17,1360.0,4000137.1999999997,0
2009-07-20,1818090.0,55434783.7,0
2009-07-21,3915950.0,107927724.56950001,0
2009-07-22,2255510.0,63963224.9183,0
2009-07-23,800.0,2422442.2,0
2009-07-24,600.0,1857039.0,0
2009-07-27,670.0,2088716.5,0
2009-07-28,600.0,1873483.8,0
2009-07-29,300.0,937300.0,0
2009-07-30,470.0,1479727.7,0
2009-07-31,300.0,953073.5,0
2009-08-03,900.0,2936727.5,0
2009-08-04,800.0,2629990.4,0
2009-08-05,1300.0,4387510.2,0
2009-08-06,900.0,3157910.1,0
2009-08-07,800.0,2827381.0,0
2009-08-10,570.0,1936302.5000000002,0
2009-08-11,230.0,751089.0,0
2009-08-12,500.0,1683201.7999999998,0
2009-08-13,700.0,2360964.0,0
2009-08-14,300.0,1000400.0,0
