date,shares,amount,buy_flag
2003-10-24,35000.0,2253661.0,0
2003-10-27,457.0,29756.800000000003,1
2003-11-03,96185.0,6598611.999999999,0
2003-11-12,92500.0,3145000.0,0
2003-11-18,25000.0,843627.0,0
2003-11-19,25000.0,852500.0,0
2003-11-24,100000.0,3576250.0,0
2003-11-26,289000.0,10116818.0,0
2003-11-28,6000.0,216120.0,1
2003-12-04,2303.0,22528.028,1
2003-12-05,6000.0,59838.99,1
2003-12-09,6000.0,59899.200000000004,1
2003-12-10,47200.0,469491.15,1
2003-12-11,90219.0,930183.74,1
2003-12-12,6100.0,63689.0,1
2003-12-12,300000.0,10373995.0,0
2003-12-15,50000.0,1738878.0,0
2003-12-15,179403.0,2039032.96,1
2003-12-16,73700.0,857276.0,1
2003-12-17,25000.0,893750.0,0
2003-12-23,25000.0,856250.0,0
2004-01-15,50000.0,1838083.3599999999,0
2004-01-26,25000.0,1000000.0,0
2004-01-27,325000.0,13000010.0,0
2004-01-28,4000.0,160000.0,0
2004-01-29,157000.0,6280000.0,0
2004-01-30,289000.0,11570493.0,0
2004-02-05,100000.0,4102000.0000000005,0
2004-02-06,170000.0,7148770.0,0
2004-02-11,75000.0,3209066.0,0
2004-02-17,25000.0,1074500.0,0
2004-02-18,100000.0,4150000.0,0
2004-02-26,252500.0,10339865.0,0
2004-02-27,175000.0,7156993.0,0
2004-03-04,75000.0,3300000.0,0
2004-03-05,225000.0,10125000.0,0
2004-03-23,35000.0,1440700.0,0
2004-03-26,15000.0,630000.0,0
2004-04-05,325000.0,14635134.0,0
2004-04-06,325000.0,14787625.0,0
2004-04-07,325000.0,14657430.0,0
2004-04-19,25000.0,1100000.0,0
2004-04-22,25400.0,1066711.0,0
2004-04-26,500000.0,20687208.0,0
2004-04-27,4300.0,172987.0,1
2004-04-27,711100.0,28616116.0,0
2004-05-04,2700.0,107600.0,1
2004-05-26,165000.0,7269029.0,0
2004-05-27,10000.0,450499.0,1
2004-05-27,98000.0,4395960.0,0
2004-05-28,100000.0,4442000.0,0
2004-06-08,500000.0,8105000.0,1
2004-06-24,25000.0,1047518.0,0
2004-06-25,25000.0,1042386.0,0
2004-07-29,30219.0,457633.68,1
2004-07-30,11131.0,169859.06,1
2004-08-02,33456.0,518539.98,1
2004-08-03,33456.0,516775.7727999999,1
2004-08-04,33456.0,517192.4241,1
2004-08-05,33456.0,516240.179,1
2004-08-06,33456.0,506178.95749999996,1
2004-08-09,32973.0,504486.9,1
2004-08-10,68446.0,1049711.2,1
2004-08-12,32973.0,510467.5,1
2004-08-13,10372.0,160695.89,1
2004-08-16,25745.0,397279.875,1
2004-08-17,31990.0,495350.46,1
2004-08-18,31990.0,494672.04,1
2004-08-19,11300.0,175150.0,1
2004-08-31,300.0,4725.0,1
2004-09-01,300.0,4725.0,1
2004-09-02,17590.0,291970.3,1
2004-09-03,17590.0,307109.245,1
2004-09-07,15327.0,268163.7,1
2004-09-08,15327.0,276621.75,1
2004-09-09,15327.0,282370.34,1
2004-09-10,15327.0,284305.7,1
2004-09-13,16203.0,302663.5785,1
2004-09-14,10000.0,390000.0,0
2004-09-14,16203.0,307770.91000000003,1
2004-09-15,16203.0,300237.73,1
2004-09-16,16203.0,299639.52,1
2004-09-17,16203.0,294969.04000000004,1
2004-09-27,50000.0,1892593.0,0
2004-10-28,1000.0,35550.0,1
2004-11-08,82500.0,2999550.0,0
2005-02-09,32500.0,1068443.0,0
2005-03-22,10000.0,213968.87,1
2005-03-23,17500.0,367036.71,1
2005-03-28,76000.0,2686325.8499999996,1
2005-03-29,75140.0,2992855.7399999998,1
2005-03-30,15000.0,318304.0,1
2005-03-31,62500.0,1345115.0100000002,1
2005-04-04,41000.0,891047.8,1
2005-04-05,4515.0,99095.58,1
2005-04-06,60000.0,1309766.8099999998,1
2005-04-07,45121.0,995761.9100000001,1
2005-04-08,13553.0,301698.13,1
2005-04-11,33500.0,767346.81,1
2005-04-12,2400.0,55184.0,1
2005-04-13,800.0,18400.0,1
2005-04-14,2611.0,60041.9,1
2005-04-21,61758.0,1527383.34,1
2005-04-22,29900.0,754506.72,1
2005-04-25,85000.0,2219136.8,1
2005-04-26,150000.0,3894068.62,1
2005-04-27,141900.0,3589218.0999999996,1
2005-04-28,36286.0,965444.1,1
2005-05-04,150000.0,4404720.0,0
2005-05-05,250000.0,7320627.0,0
2005-05-16,11666.0,356086.82,0
2005-05-31,52500.0,1433547.0,0
2005-07-13,75488.0,2114712.5199999996,1
2005-07-14,57677.0,1671891.12,1
2005-07-15,50000.0,1441398.07,1
2005-08-03,26000.0,741000.0,0
2005-12-19,6000.0,153120.0,0
2006-02-09,10000.0,222300.0,1
2006-02-13,15000.0,328300.0,1
2006-02-15,200000.0,4486940.0,1
2006-02-16,3000.0,72930.0,1
2006-02-21,4103.0,99990.11,1
2006-02-28,20000.0,489000.0,1
2006-04-24,10000.0,221700.00000000003,1
2006-05-02,5000.0,110300.0,1
2006-05-03,5000.0,109350.0,1
2006-05-03,77810.0,1711820.0,0
2006-05-04,2553.0,55936.23,0
2006-05-10,60000.0,1281277.0,1
2006-05-15,1500.0,30480.0,1
2006-05-16,3500.0,72100.0,1
2006-05-17,3000.0,62100.0,1
2006-05-23,10000.0,194500.0,1
2006-05-31,12000.0,245090.0,0
2006-08-03,25000.0,405500.0,1
2006-11-02,15000.0,240450.00000000003,1
2006-11-14,5000.0,77600.0,1
2007-04-26,340000.0,5393807.0,0
2007-04-30,10000.0,157694.0,1
2007-05-01,320000.0,5045741.0,0
2007-05-02,300000.0,4853498.0,0
2007-05-03,300000.0,4877040.0,0
2007-05-04,964000.0,15630384.0,0
2007-05-07,16300.0,270944.0,0
2007-05-25,828250.0,13044911.46,0
2007-07-24,3214535.0,32466803.5,0
2007-08-13,15000.0,196200.0,1
2007-08-21,93467.0,1138651.4,0
2007-10-04,3570000.0,48552000.0,0
2007-10-31,56000.0,780080.0,0
2007-11-29,9000.0,113612.35,0
2008-02-08,5500.0,67535.19,1
2008-07-25,10000.0,122300.0,1
2008-07-28,20000.0,238200.0,0
2008-09-17,1176471.0,400000.14,0
2008-10-08,8920000.0,80608760.7309,0
2008-10-09,9206250.0,79393160.115,0
2008-10-10,12662590.0,93132779.894,0
2008-10-13,300000.0,2711520.0,0
2008-10-14,1611249.0,15016840.68,0
2008-10-15,388751.0,3646484.3800000004,0
2008-10-16,1238066.0,10659376.8402,0
2008-10-17,783968.0,6803198.1106,0
2008-10-20,1418200.0,12621980.0,0
2008-10-21,132144.0,1177403.04,0
2008-10-22,900000.0,7794000.0,0
2008-10-23,1030400.0,8489980.799999999,0
2008-10-24,10000.0,82040.0,1
2008-10-27,1000000.0,7600500.0,0
2008-10-28,15000.0,110936.0,1
2008-10-28,3050000.0,21585450.0,0
2008-10-29,60000.0,483007.00000000006,0
2008-10-30,8000.0,69992.196,1
2008-10-31,1600.0,11440.0,1
2008-11-14,4600.0,36110.0,0
2008-11-17,200000.0,1475000.0,0
2008-11-18,753900.0,5465401.9,0
2008-11-18,10000.0,73400.0,1
2008-11-19,15000.0,104445.0,1
2008-11-19,727200.0,4918092.0,0
2008-11-20,15000.0,84000.0,1
2008-11-20,2015900.0,12029575.0,0
2008-11-21,3130200.0,17926831.8,0
2008-11-24,1250000.0,7409300.0,0
2008-11-25,3000.0,18630.0,1
2008-11-25,1219100.0,7515148.0,0
2008-11-26,2800000.0,17022000.0,0
2008-11-28,963000.0,5937459.0,0
2008-12-01,740209.0,4416266.267,0
2008-12-02,640209.0,3880765.495,0
2008-12-03,240457.0,1556658.402,0
2008-12-04,100000.0,665000.0,0
2008-12-05,100000.0,691348.3999999999,0
2008-12-08,100000.0,744800.0,0
2008-12-09,100000.0,735800.0,0
2008-12-10,100000.0,725300.0,0
2008-12-11,200000.0,1486000.0,0
2008-12-12,200000.0,1423700.0,0
2008-12-15,200000.0,1450000.0,0
2008-12-16,200000.0,1445400.0,0
2008-12-17,200000.0,1541400.0,0
2008-12-18,200000.0,1586400.0,0
2008-12-19,200000.0,1559200.0,0
2008-12-22,200000.0,1502600.0,0
2008-12-23,200000.0,1496800.0,0
2008-12-24,200000.0,1476000.0,0
2008-12-26,200000.0,1475400.0,0
2008-12-29,200000.0,1466400.0,0
2008-12-30,200000.0,1468200.0,0
2008-12-31,200000.0,1519400.0,0
2009-01-02,200000.0,1550200.0,0
2009-01-05,200000.0,1540000.0,0
2009-01-06,200000.0,1585200.0,0
2009-01-07,200000.0,1578800.0,0
2009-01-08,200000.0,1536200.0,0
2009-01-09,200000.0,1543000.0,0
2009-01-12,200000.0,1488200.0,0
2009-01-13,200000.0,1478000.0,0
2009-01-14,200000.0,1455800.0,0
2009-01-15,200000.0,1480600.0,0
2009-01-16,200000.0,1556000.0,0
2009-01-20,200000.0,1528000.0,0
2009-01-21,200000.0,1541000.0,0
2009-01-22,200000.0,1568700.0,0
2009-01-23,200000.0,1530200.0,0
2009-01-26,200000.0,1594600.0,0
2009-01-27,200000.0,1689999.9999999998,0
2009-01-28,200000.0,1732000.0,0
2009-01-29,200000.0,1778400.0,0
2009-01-30,200000.0,1785000.0000000002,0
2009-02-11,150000.0,1309800.0,0
2009-02-12,150000.0,1312650.0,0
2009-02-13,175000.0,1559775.0,0
2009-02-18,150000.0,1267800.0,0
