date,shares,amount,buy_flag
2007-06-21,813500.0,25218500.0,1
2007-11-16,3000.0,69120.0,1
2008-03-17,5000.0,70940.0,1
2008-09-18,3000.0,45510.0,1
2008-11-11,10000.0,71950.0,1
2008-11-14,20000.0,144600.0,1
2008-12-02,5000.0,29150.0,1
2009-08-13,806.0,11662.82,0
2009-08-14,806.0,11332.36,0
2009-08-17,628.0,8245.640000000001,0
2009-08-19,1312.0,17396.32,0
2009-08-20,1047.0,14040.27,0
2009-08-21,1105.0,15016.95,0
2009-08-24,849.0,11419.05,0
2009-08-25,784.0,10192.0,0
2009-08-26,794.0,10337.88,0
2009-08-27,806.0,10445.76,0
2009-08-28,806.0,10502.18,0
2009-08-31,806.0,10324.86,0
2009-09-01,331.0,4220.25,0
2009-09-08,806.0,10203.960000000001,0
2009-09-09,966.0,12586.98,0
2009-09-10,1135.0,15401.95,0
2009-09-11,849.0,11580.36,0
2009-09-14,1189.0,16360.64,0
2009-09-15,1274.0,17772.3,0
2009-09-16,2406.0,35079.48,0
2009-09-17,2830.0,42478.3,0
2009-09-21,2153.0,31916.260000000002,0
2009-09-22,1019.0,14989.490000000002,0
2009-09-23,937.0,13802.01,0
2009-09-25,991.0,13903.73,0
2009-09-28,1588.0,22229.63,0
2009-09-29,481.0,6791.719999999999,0
2009-09-30,1105.0,15668.9,0
2009-10-01,568.0,7929.280000000001,0
2009-10-02,734.0,9923.68,0
2009-10-05,738.0,10095.84,0
2009-10-06,1274.0,18422.04,0
2009-10-07,628.0,9168.8,0
2009-10-08,1135.0,16843.4,0
2009-10-09,708.0,10520.88,0
2009-10-12,3498.0,55863.060000000005,0
2009-10-13,1135.0,18103.25,0
2009-10-14,3849.0,64971.119999999995,0
2009-10-15,1019.0,17088.63,0
2009-10-19,1585.0,25688.51,0
2009-10-20,2520.0,40320.0,0
2009-11-02,1402984.0,22102459.05,0
2009-11-02,237669.0,4040373.0,1
2009-11-09,5017514.0,75965161.96000001,0
2009-11-11,4500000.0,67500000.0,0
2010-03-03,1022745.0,14686618.2,0
2010-03-04,100000.0,1423000.0,0
2010-05-20,69900.0,629799.0,1
2010-05-21,200000.0,1798000.0,1
2010-05-24,200000.0,1800000.0,1
2010-05-25,54900.0,479826.0,1
2010-05-26,64200.0,580368.0,1
2010-05-27,42100.0,389004.0,1
2010-05-28,2800.0,26711.999999999996,1
2010-06-01,50000.0,459500.0,1
2010-06-02,12700.0,120014.99999999999,1
2010-06-07,50000.0,495500.0,1
2010-06-08,25000.0,250000.0,1
2010-06-09,24700.0,249717.0,1
2010-09-09,7493201.0,264509995.29999998,0
2010-11-15,9040313.0,436285505.38,0
2010-11-17,12500.0,172520.0,1
2010-11-29,35000.0,486153.5,1
2010-11-30,25000.0,348647.5,1
2010-12-01,46000.0,644763.6000000001,1
2010-12-09,13000.0,184213.89999999997,1
2010-12-13,75000.0,1058557.5,1
2010-12-15,10000000.0,134100000.0,0
2011-02-02,6728057.0,172574662.04999998,0
2011-03-02,7950000.0,129827475.0,0
2011-04-05,830000.0,13554315.0,0
2011-04-28,500000.0,9550000.0,0
2011-04-29,375000.0,7106250.0,0
2011-05-02,375000.0,7020000.0,0
2011-07-18,452400.0,4374708.0,0
2011-07-19,1197600.0,11532888.000000002,0
2012-03-26,3905637.0,113714964.63720001,0
2012-05-24,800000.0,5000000.0,1
2012-07-05,9125000.0,209875000.0,0
2012-08-17,1752.0,2628000.0,0
2012-09-17,8000000.0,223360000.0,0
2012-12-24,8000000.0,230800000.0,0
2012-12-31,792572.0,22865702.200000003,0
2013-02-13,1750791.0,31899412.02,0
2013-02-14,1349209.0,24704016.79,0
2013-02-15,9988990.0,326086357.90000004,0
2013-02-20,9215354.0,544627421.4,0
2013-02-21,20639163.0,392768597.1265,0
2013-03-05,550000.0,10494078.78,0
2013-03-15,1874229.0,19843399.537499998,0
2013-04-24,19900000.0,505062000.0,0
2013-05-17,8188306.0,282372913.5794,0
2013-05-29,1960784.0,49999992.0,1
2013-06-12,7975000.000000001,208865250.0,0
2013-07-29,368424.0,8495857.44,0
2013-07-30,469100.0,10737699.0,0
2013-07-31,662476.0,14985207.120000001,0
2013-10-23,1277221.0,35570604.85,0
2013-10-24,900000.0,24327000.0,0
2013-10-25,1072779.0,28713493.83,0
2013-11-14,10000.0,273800.0,0
2013-11-26,6104832.0,238637882.88000003,0
2013-12-17,41693203.0,1100858787.825,0
2013-12-26,2550000.0,65654594.99999999,0
2014-01-10,7499999.999999999,204375000.0,0
2014-02-11,114100.0,3603278.0,0
2014-02-12,85900.0,2711004.0,0
2014-02-21,200000.0,6400000.0,0
2014-02-24,250000.0,8187500.0,0
2014-02-28,15000.0,504299.99999999994,0
2014-03-10,6104832.0,282348480.0,0
2014-04-01,25000.0,25000000.0,1
2014-04-09,19000000.0,548625000.0,0
2014-06-05,40000.0,1292400.0,0
2014-06-06,5211681.0,245365941.48,0
2014-06-17,15191339.0,451942335.25,0
2014-06-27,103500000.0,2270531250.0,0
2014-07-01,34442500.0,749771894.0,0
2014-07-15,8797500.0,86655374.99999999,0
2014-08-12,16100000.0,339669750.0,0
2014-09-12,14825000.0,472917499.9999999,0
2014-10-10,6750000.0,62977500.0,0
2014-10-14,2249999.0,71774968.1,0
2014-11-06,90000000.0,2205000000.0,0
2014-11-10,13500000.0,330750000.0,0
2014-11-12,15000.0,479250.0,0
2014-11-14,25000000.0,578907500.0,0
2014-11-17,3750000.0,86836125.00000001,0
2014-11-21,20675000.0,663874250.0000001,0
2014-11-25,23000000.0,446200000.0,0
2014-12-05,3000000.0,96330000.0,0
2014-12-16,5190967.0,222588664.96000004,0
2015-01-16,17500000.0,455000000.0,0
2015-01-28,11122800.0,251152824.0,0
2015-02-17,111504.0,4141258.56,0
2015-02-18,250000.0,9315000.0,0
2015-02-19,81736.0,2650698.48,0
2015-02-24,300000.0,11346000.0,0
2015-03-02,870000.0,33164399.999999996,0
2015-03-03,475000.0,18016750.0,0
2015-03-04,655000.0,25064521.96,0
2015-03-09,23982522.0,0.0,0
2015-03-13,14224145.0,527289055.1499999,0
2015-03-27,22500000.0,584646750.0,0
2015-03-30,20750000.0,0.0,0
2015-04-02,3112500.0,0.0,0
2015-04-06,3375000.0,87697012.5,0
2015-04-14,171471.0,3525443.76,1
2015-04-29,12000.0,506160.0,0
2015-05-14,90000000.0,2673900000.0000005,0
2015-06-08,12299753.0,345992051.89,0
2015-06-10,22000.0,920260.0,0
2015-06-11,1844963.0,51898809.19,0
2015-07-14,6118347.0,162197378.97,0
2015-07-28,26184.0,1014630.0,0
2015-09-03,2800.0,95389.94,0
2015-10-06,2301741.0,41327759.655,0
2015-10-30,177167.0,2179940.4671,1
2015-11-02,50000.0,618505.0,1
2015-11-03,100000.0,1272320.0,1
2015-11-04,60000.0,827304.0,1
2015-11-06,50000.0,623500.0,1
2015-11-06,14000000.0,363440000.00000006,0
2015-11-09,56152.0,717061.0399999999,1
2015-11-10,4900000.0,69384000.0,0
2015-11-10,20346.0,267753.36,1
2015-11-18,10000000.0,166400000.0,0
2015-12-11,4000.0,114880.0,1
2016-02-10,7351708.0,705102314.28,0
2016-02-16,2140.0,24481.6,1
2016-02-17,2527.0,29565.899999999998,1
2016-02-18,2938.0,34668.4,1
2016-02-19,111805.0,2913638.3,0
2016-02-22,231111.0,6138308.16,0
2016-03-29,8320952.0,217010428.16,0
2016-04-19,9272378.0,185447560.0,0
2016-05-02,153544.0,3896946.7199999997,0
2016-05-03,104228.0,2638010.6799999997,0
2016-05-04,20046972.0,503800604.32000005,0
2016-05-09,62221.0,1653211.97,1
2016-05-24,11737281.0,274064695.16359997,0
2016-05-25,23275.0,575823.5,0
2016-05-27,1751094.0,40871584.616399996,0
2016-06-09,8785539.0,215333560.89000002,0
2016-06-14,66037.0,1699132.01,0
2016-06-15,31800.0,825210.0,0
2016-07-06,20000000.0,520200000.0000001,0
2016-07-18,5500000.0,152405000.0,0
2016-07-19,12209704.0,252374581.68000004,0
2016-08-04,426960.0,12082968.0,1
2016-08-05,30000000.0,822900000.0,0
2016-08-15,11000.0,306570.0,0
2016-08-16,42400000.0,1157519999.9999998,0
2016-09-07,11500.0,304865.0,0
2016-09-09,17100705.0,403234623.9,0
2016-10-04,9966668.0,141128018.88000003,0
2016-11-15,55000000.0,1285350000.0,0
2016-11-16,16451722.0,359799160.14,0
2016-11-18,9350000.0,138006000.00000003,0
2016-11-21,9728297.0,220443210.02,0
2016-12-09,50000.0,287585.0,0
2016-12-12,50000.0,280765.0,0
2016-12-16,20750000.0,408067500.0,0
2016-12-19,10000.0,290000.0,0
2017-01-10,8626311.0,301920885.0,0
2017-01-11,40708.0,259476.86280000003,0
2017-01-12,31536.0,200253.59999999998,0
