date,shares,amount,buy_flag
2003-12-03,632.0,24085.52,1
2003-12-17,40.0,1612.0,1
2003-12-22,28.0,1176.0,1
2003-12-23,60.0,2520.0,1
2004-02-11,7128.0,555088.2,0
2004-04-16,84.0,3407.88,1
2004-04-28,2984.0,240243.68,0
2004-05-03,76.0,3011.88,1
2004-05-05,11842.0,935518.0,0
2004-05-17,116.0,4264.16,1
2004-05-27,104.0,3912.4799999999996,0
2004-06-02,72.0,2743.92,1
2004-06-08,92.0,3540.16,0
2004-06-16,96.0,3559.68,1
2004-06-30,56.0,2226.0,1
2004-07-28,2400.0,174312.0,0
2004-08-02,400.0,29152.0,0
2004-09-29,10340.0,827200.0,0
2004-10-26,2221.0,176066.46000000002,0
2004-10-28,300.0,23985.0,0
2004-11-02,20472.0,1678223.14,0
2004-11-03,8386.0,702578.56,0
2004-11-04,20696.0,1758018.38,0
2004-11-05,3152.0,275595.0,0
2004-11-11,2109.0,189810.0,0
2004-12-01,350.0,32298.0,1
2004-12-15,4351.0,413345.0,0
2005-01-03,97705.0,9389450.5,0
2005-02-01,102821.0,9251472.099,0
2005-02-02,21399.0,1926337.98,0
2005-02-03,376.0,17126.8,1
2005-02-03,16865.0,1528115.0,0
2005-02-07,15889.0,1461264.35,0
2005-02-17,17093.0,1581786.2200000002,0
2005-02-25,5400.0,513000.0,0
2005-03-01,19205.0,1862885.0,0
2005-03-03,192.0,9290.880000000001,0
2005-03-04,15000.0,1485000.0,0
2005-04-11,152.0,6887.120000000001,0
2005-04-26,5805.0,526803.75,0
2005-05-04,7628.0,679136.68,0
2005-05-06,4473.0,405998.39999999997,0
2005-05-16,120.0,5364.0,1
2005-05-18,500.0,47000.0,0
2005-05-23,7500.0,705000.0,0
2005-06-01,1000.0,95000.0,0
2005-06-09,132.0,6424.4400000000005,1
2005-06-09,10000.0,970000.0,0
2005-06-17,42095.0,4209500.0,0
2005-07-08,12.0,596.04,1
2005-07-12,116.0,5758.24,1
2005-07-13,412.0,20476.4,1
2005-07-19,55132.0,2893016.8,0
2005-07-26,162027.0,8411219.732800001,0
2005-07-27,14036.0,727523.7772,0
2005-07-28,118653.0,6397325.47,0
2005-07-29,1000.0,53940.0,1
2005-07-29,12760.0,687244.14,0
2005-08-01,1500.0,81033.0,0
2005-08-02,5482.0,297535.55,0
2005-08-03,3284.0,178452.56,0
2005-08-05,37205.0,2007689.6945,0
2005-08-10,32326.0,1777930.0,0
2005-08-17,172.0,9205.44,1
2005-09-01,19396.0,1086176.0,0
2005-09-07,50000.0,2950000.0,0
2005-09-15,170.0,9815.800000000001,1
2005-10-21,182.0,8888.880000000001,0
2005-10-21,182.0,8888.880000000001,1
2005-10-26,10000.0,509303.0,1
2005-10-26,3698.0,188598.0,0
2005-10-27,70000.0,3497613.0,1
2005-10-28,70000.0,3554180.0,1
2005-11-01,24456.0,1285162.8,0
2005-11-03,4000.0,214800.0,0
2005-11-04,7200.0,387238.32,0
2005-11-07,8000.0,433600.0,0
2005-11-14,15000.0,825000.0,0
2005-11-15,19396.0,1082296.8,0
2005-11-16,38410.0,2170165.0,0
2005-11-18,5000.0,290000.0,0
2005-11-22,19396.0,1134666.0,0
2006-01-06,81582.0,4893526.8,0
2006-01-12,5000.0,310000.0,0
2006-01-26,23000.0,1472000.0,0
2006-01-31,207393.0,13894642.5014,0
2006-02-01,69392.0,4788988.1392,0
2006-02-02,33112.0,2254436.96,0
2006-02-03,22172.0,1512742.8476,0
2006-07-26,110000.0,7718370.0,1
2006-07-27,12000.0,846508.8,0
2006-08-04,50000.0,3634100.0,1
2006-08-07,2497.0,182549.4275,0
2007-05-07,3825.0,278001.0,0
