date,shares,amount,buy_flag
2003-04-06,34230.0,1301766.9000000001,0
2003-10-20,100000.0,3336999.9999999995,0
2004-02-10,5000.0,196350.00000000003,0
2004-03-05,40000.0,1517052.0,0
2004-03-17,200000.0,7447420.0,0
2004-04-15,45000.0,1682973.0,0
2004-04-16,38770.0,1474452.1,0
2004-06-07,110000.0,4313053.0,0
2004-06-09,30000.0,1217700.0,0
2004-06-10,30000.0,1238868.0,0
2004-06-15,7500.0,312206.25,0
2004-06-17,144196.0,5999995.56,0
2004-06-22,10000.0,420081.0,0
2004-06-24,30000.0,1285500.0,0
2004-08-19,30000.0,1250037.0,0
2004-08-26,30000.0,1274084.0,0
2004-10-11,16000.0,707200.0,0
2004-10-14,50000.0,2267875.0,0
2004-10-19,10000.0,462190.0,0
2004-10-21,25000.0,1150750.0,0
2004-10-26,25000.0,1180750.0,0
2004-10-28,12000.0,578100.0,0
2004-11-01,24000.0,1140328.8,0
2004-11-02,27000.0,1309500.0,0
2004-11-08,25000.0,1223500.0,0
2004-11-11,25000.0,1217250.0,0
2004-11-16,20000.0,979910.0,0
2004-11-23,2500.0,123750.0,0
2005-01-14,16000.0,772000.0,0
2005-01-19,2000.0,97800.0,0
2005-03-03,1000.0,45120.0,1
2005-03-04,16000.0,715520.0,0
2005-03-08,15000.0,692923.5,0
2005-03-10,10000.0,448471.25,1
2005-03-11,100000.0,4506000.0,0
2005-03-17,100000.0,0.0,0
2005-06-06,375000.0,8018838.0,0
2005-06-07,15000.0,693600.0,0
2005-06-16,90000.0,4121000.0,0
2005-07-26,5000.0,230400.0,0
2005-07-28,10000.0,465900.00000000006,0
2005-10-10,70000.0,3173051.0000000005,0
2005-10-14,10000.0,463935.99999999994,0
2005-10-25,115000.0,5505650.0,0
2005-11-10,5000.0,250200.0,0
2005-11-18,35000.0,1745710.0,0
2005-12-14,30000.0,1470715.0,0
2005-12-21,10000.0,495000.0,0
2005-12-23,7500.0,0.0,0
2006-01-20,266700.0,13368657.54,0
2006-01-25,33300.0,1666764.9,0
2006-03-06,86000.0,4567880.0,0
2006-03-08,20000.0,1074282.0,0
2006-03-09,200000.0,10674320.0,0
2006-03-14,10000.0,551708.64,0
2006-03-15,20000.0,1103018.0,0
2006-03-16,16000.0,880000.0,0
2006-03-29,19000.0,1036260.0,0
2006-04-10,120000.0,6600000.0,0
2006-04-18,60000.0,3303000.0,0
2006-04-24,15000.0,813750.0,0
2006-04-27,12000.0,655460.0,0
2006-04-28,300000.0,16306628.000000002,0
2006-05-15,750.0,40875.0,0
2006-06-15,2250.0,119385.0,0
2006-07-17,1500.0,80235.0,0
2006-08-15,1500.0,78600.0,0
2006-09-13,2000.0,99100.0,1
2006-09-15,1500.0,75840.0,0
2006-10-16,264000.0,3399331.0,0
2006-10-17,75000.0,3925750.0,0
2006-10-20,50000.0,2587500.0,0
2006-10-23,50000.0,2613625.0,0
2006-10-26,57500.0,3045561.48,0
2006-11-15,1500.0,78600.0,0
2006-12-15,1500.0,81600.0,0
2007-01-09,10000.0,540000.0,0
2007-01-10,158000.0,8524600.0,0
2007-01-11,20000.0,1105567.92,0
2007-01-12,48000.0,2679580.8,0
2007-01-16,1500.0,83640.0,0
