date,shares,amount,buy_flag
2004-07-21,100000.0,1152050.0,1
2004-12-20,160000.0,2397625.0,0
2004-12-21,85000.0,1355596.0,0
2004-12-22,30000.0,488500.0,0
2005-01-03,80000.0,1312800.0,0
2005-01-05,10000.0,170000.0,0
2005-01-06,10000.0,180000.0,0
2005-01-10,5000.0,86850.0,0
2005-01-19,5000.0,74532.0,0
2005-01-21,5000.0,72000.0,0
2005-01-28,5000.0,66999.0,0
2005-02-02,5000.0,66499.0,0
2005-02-14,3700.0,50685.0,0
2005-02-15,3300.0,46827.0,0
2005-02-18,4000.0,65400.00000000001,0
2005-02-23,110000.0,1726624.0,0
2005-02-24,120100.0,1923992.0,0
2005-02-25,25100.0,415014.0,0
2005-02-28,28800.0,465101.0,0
2005-03-01,12500.0,203149.0,0
2005-03-02,42500.0,713455.0,0
2005-03-03,10000.0,167689.0,0
2005-03-04,10000.0,165602.0,0
2005-03-07,10000.0,165139.0,0
2005-03-08,10000.0,165405.0,0
2005-03-09,15000.0,247022.0,0
2005-03-10,10000.0,155937.0,0
2005-03-11,10000.0,154467.0,0
2005-03-14,10000.0,154691.0,0
2005-03-15,10000.0,152819.0,0
2005-03-16,10000.0,151924.0,0
2005-03-17,15000.0,232917.0,0
2005-03-18,10000.0,152402.0,0
2005-03-21,10000.0,151592.0,0
2005-03-22,10000.0,152910.0,0
2005-03-23,10000.0,148154.0,0
2005-03-24,15000.0,218691.0,0
2005-03-28,10000.0,145731.0,0
2005-03-29,10000.0,144429.0,0
2005-03-30,10000.0,142384.0,0
2005-03-31,10000.0,149858.0,0
2005-04-01,145400.0,2164970.0,0
2005-04-04,30215.0,449384.0,0
2005-04-05,10000.0,152868.0,0
2005-04-06,10000.0,152403.0,0
2005-04-07,10000.0,153078.0,0
2005-04-08,10000.0,152932.0,0
2005-04-11,15000.0,229841.0,0
2005-04-12,10000.0,154129.0,0
2005-04-13,30000.0,477393.0,0
2005-04-14,10000.0,150215.0,0
2005-04-15,10000.0,148069.0,0
2005-04-18,15000.0,221617.0,0
2005-04-19,10000.0,144746.0,0
2005-04-20,10000.0,144324.0,0
2005-04-21,10000.0,148959.0,0
2005-04-22,10000.0,147949.0,0
2005-04-25,10000.0,142901.0,0
2005-04-26,10000.0,140370.0,0
2005-04-27,10000.0,144765.0,0
2005-04-28,10000.0,145591.0,0
2005-04-29,15000.0,216143.0,0
2005-05-02,25000.0,359314.0,0
2005-05-03,18000.0,259889.0,0
2005-05-04,15000.0,222955.0,0
2005-05-05,97615.0,1463840.0,0
2005-05-06,10000.0,152320.0,0
2005-05-09,10000.0,153845.0,0
2005-05-10,10000.0,154291.0,0
2005-05-11,10000.0,154956.0,0
2005-05-12,10000.0,151286.0,0
2005-05-13,10000.0,148867.0,0
2005-05-16,10000.0,149397.0,0
2005-05-17,17500.0,269524.5,0
2005-05-18,10000.0,158685.0,0
2005-05-19,55000.0,973809.0,0
2005-05-20,12500.0,228165.0,0
2005-05-23,90000.0,1722883.0,0
2005-05-24,10000.0,195081.0,0
2005-05-25,87410.0,1736544.0,0
2005-05-26,10000.0,200079.0,0
2005-05-27,95000.0,1900148.0,0
2005-05-31,10000.0,200304.0,0
2005-06-01,122927.0,2464856.04,0
2005-06-02,58200.0,1207152.0,0
2005-06-03,10000.0,206573.0,0
2005-06-06,10000.0,203050.0,0
2005-06-07,10000.0,197631.0,0
2005-06-08,10000.0,198459.0,0
2005-06-09,15000.0,299297.0,0
2005-06-10,10000.0,198361.0,0
2005-06-13,30000.0,600869.0,0
2005-06-14,10000.0,204080.0,0
2005-06-15,10000.0,200871.0,0
2005-06-16,10000.0,198092.0,0
2005-06-17,10000.0,199119.0,0
2005-06-20,15000.0,306760.0,0
2005-06-21,85200.0,1812310.0,0
2005-06-22,10000.0,198480.0,0
2005-06-23,10000.0,198290.0,0
2005-06-24,15000.0,303475.0,0
2005-06-27,10000.0,204005.0,0
2005-06-28,10000.0,200919.0,0
2005-06-29,20000.0,420535.0,0
2005-06-30,10000.0,209100.0,0
2005-07-01,129793.0,2562090.2800000003,0
2005-07-05,18000.0,350170.0,0
2005-07-06,10000.0,194450.0,0
2005-07-07,10000.0,192630.0,0
2005-07-08,15000.0,290749.0,0
2005-07-11,10000.0,195910.0,0
2005-07-12,10000.0,196826.0,0
2005-07-13,10000.0,200760.0,0
2005-07-14,55000.0,1209547.0,0
2005-07-15,30000.0,683545.0,0
2005-07-18,10000.0,225260.0,0
2005-07-19,15000.0,339122.0,0
2005-07-20,10000.0,226074.0,0
2005-07-21,10000.0,226180.0,0
2005-07-22,10000.0,223492.0,0
2005-07-25,10000.0,224750.0,0
2005-07-26,10000.0,224875.0,0
2005-07-27,10000.0,225668.0,0
2005-07-28,30000.0,714731.0,0
2005-07-29,10000.0,237141.0,0
2005-08-01,118050.0,2790660.0,0
2005-08-02,18000.0,417727.0,0
2005-08-03,10000.0,236595.0,0
2005-08-04,10000.0,236275.0,0
2005-08-05,10000.0,235885.0,0
2005-08-08,10000.0,236428.0,0
2005-08-09,10000.0,241440.0,0
2005-08-10,35000.0,867474.0,0
2005-08-11,10000.0,240693.0,0
2005-08-12,10000.0,236244.0,0
2005-08-15,10000.0,225650.0,0
2005-08-16,10000.0,219617.0,0
2005-08-17,10000.0,220855.0,0
2005-08-18,10000.0,200665.0,0
2005-08-19,15000.0,306895.0,0
2005-08-22,20000.0,405616.0,0
2005-08-23,20000.0,401321.0,0
2005-08-24,20000.0,397056.0,0
2005-08-25,20000.0,393387.0,0
2005-08-26,20000.0,385667.0,0
2005-08-29,20000.0,381446.0,0
2005-08-30,20000.0,379308.0,0
2005-08-31,45000.0,859764.0,0
2005-09-01,103425.0,1987583.1099999996,0
2005-09-02,33000.0,636950.0,0
2005-09-06,71800.0,1442593.0,0
2005-09-07,40000.0,839117.0,0
2005-09-08,25000.0,536672.0,0
2005-09-09,45000.0,985328.0,0
2005-09-12,20000.0,438704.0,0
2005-09-13,45000.0,1037353.0,0
2005-09-14,20000.0,471015.0,0
2005-09-15,20000.0,463851.0,0
2005-09-16,20000.0,466007.0,0
2005-09-19,20000.0,465297.0,0
2005-09-20,20000.0,467644.0,0
2005-09-21,20000.0,465639.0,0
2005-09-22,20000.0,455300.0,0
2005-09-23,20000.0,456774.0,0
2005-09-26,20000.0,462672.0,0
2005-09-27,20000.0,473581.0,0
2005-09-28,20000.0,468476.0,0
2005-09-29,20000.0,456236.0,0
2005-09-30,25000.0,574634.0,0
2005-10-03,150044.0,3600332.01,0
2005-10-04,20000.0,481929.0,0
2005-10-05,25000.0,585114.0,0
2005-10-06,20000.0,462394.0,0
2005-10-07,20000.0,454778.0,0
2005-10-10,20000.0,451071.0,0
2005-10-11,20000.0,440389.0,0
2005-10-12,20000.0,426580.0,0
2005-10-13,20000.0,428658.0,0
2005-10-14,20000.0,441739.0,0
2005-10-17,20000.0,449617.0,0
2005-10-18,20000.0,456538.0,0
2005-10-19,20000.0,453559.0,0
2005-10-20,27500.0,649143.0,0
2005-10-21,20000.0,485838.0,0
2005-10-24,40000.0,1000847.0,0
2005-10-25,20000.0,501521.0,0
2005-10-26,20000.0,508558.0,0
2005-10-27,20000.0,493168.0,0
2005-10-28,20000.0,488512.0,0
2005-10-31,27500.0,690592.0,0
2005-11-01,119046.0,2961680.56,0
2005-11-02,68000.0,1784189.0,0
2005-11-03,20000.0,539931.0,0
