date,shares,amount,buy_flag
2003-08-19,100000.0,1842500.0,0
2003-08-20,50000.0,937560.0,0
2003-08-22,50000.0,961500.0,0
2003-08-28,50000.0,962500.0,0
2003-09-03,100000.0,2041500.0,0
2003-11-13,2000000.0,45180509.400000006,0
2003-11-18,843750.0,18606313.450000003,0
2003-11-24,50000.0,1137500.0,0
2003-12-01,50000.0,1150000.0,0
2003-12-03,150000.0,3525000.0,0
2004-02-10,124000.0,3065526.5100000002,0
2004-02-24,58591.0,1347593.0,0
2004-03-02,150000.0,3518000.0,0
2004-03-03,650000.0,14828416.0,0
2004-03-04,200000.0,4587500.0,0
2004-03-15,50000.0,1158065.0,0
2004-03-17,100000.0,2344480.0,0
2004-03-19,137360.0,3169845.2,0
2004-05-17,2000.0,41980.0,1
2004-06-16,255000.0,6086850.0,0
2004-06-23,200000.0,4783000.0,0
2004-08-17,1008345.0,18650825.4092,0
2004-09-23,261000.0,4938730.0,0
2004-11-16,825912.0,15988881.32,0
2004-12-13,360000.0,6922800.0,0
2004-12-14,50000.0,966978.8400000001,0
2004-12-22,100000.0,1932499.9999999998,0
2005-02-11,5000.0,87500.0,1
2005-02-15,828498.0,14923083.41,0
2005-02-18,4575000.0,79740750.0,0
2005-03-07,7840760.0,143630034.98000002,0
2005-03-09,890000.0,16481789.28,0
2005-03-15,400000.0,7320000.3,0
2005-03-16,305184.0,5545387.4399999995,0
2005-03-17,284816.0,5183520.4,0
2005-03-24,134062.0,2413116.0,0
2005-05-13,41667.0,785839.62,0
2005-05-17,826621.0,15650099.0,0
2005-05-18,117734.0,2262842.7800000003,0
2005-05-24,35000.0,700000.0,0
2005-06-06,5000.0,96250.0,1
2005-06-23,10000.0,200000.0,0
2005-08-16,1377825.0,24470358.15,0
2005-08-25,5000.0,87600.0,1
2005-09-08,146250.0,2705625.0,0
2005-11-01,17027.0,52661.105599999995,0
2005-11-16,1379107.0,23706575.52,0
2005-12-22,5000.0,86000.0,1
2005-12-22,183750.0,3160500.0,0
2006-01-03,21915.0,376718.85,0
2006-01-06,30000.0,555000.0,0
2006-01-24,324.0,5961.599999999999,1
2006-02-09,45000.0,897750.0,0
2006-02-13,900000.0,17657396.71,0
2006-02-14,1373089.0,27054690.57,0
2006-02-23,150000.0,2942254.21,0
2006-02-28,65000.0,1300000.0,0
2006-03-01,215000.0,4515000.0,0
2006-03-03,150000.0,3172036.0,0
2006-03-09,324.0,6648.48,0
2006-03-23,40000.0,855702.85,0
2006-03-24,1629.0,34678.71,0
2006-03-31,337500.0,7416392.18,0
2006-05-05,22300.0,490600.0,0
2006-05-16,1287408.0,26258139.15,0
2006-06-12,65107.0,1302140.0,0
2006-06-15,234893.0,4697906.0,0
2006-06-22,995.0,19510.4575,1
2006-06-22,6250.0,123000.0,0
2006-08-15,1289576.0,26572092.370000005,0
2006-08-16,300000.0,6300985.32,0
2006-08-31,677700.0,14903800.0,0
2006-09-05,54000.0,1195720.0,0
2006-09-12,30000.0,673500.0,0
2006-09-18,100000.0,2300000.0,0
2006-09-19,111.0,2530.8,0
2006-09-20,350000.0,8062500.0,0
2006-10-06,200000.0,4800000.0,0
2006-11-07,108964.0,2724100.0,0
2006-11-08,91036.0,2275900.0,0
2006-11-09,468750.0,12647226.700000001,0
2006-11-13,1206751.0,32144294.880000003,0
2006-11-14,131250.0,3500082.6500000004,0
2006-11-15,2081258.0,55397626.44,0
