date,shares,amount,buy_flag
2004-02-17,6000.0,524373.6,0
2004-02-18,11000.0,951756.3,0
2004-03-01,9000.0,806112.0,0
2004-05-05,3200.0,300553.92000000004,0
2004-06-01,1543.0,141009.83239999998,0
2004-07-07,238.0,22257.76,1
2004-08-04,2100.0,204203.0,1
2004-08-09,24300.0,2307975.1199999996,0
2004-08-26,28200.0,2659572.0,0
2004-08-31,17400.0,1687800.0,0
2004-11-04,38400.0,2063558.08,0
2004-11-08,13200.0,704553.9600000001,0
2004-11-12,3522.0,190188.0,0
2005-02-07,20660.0,1162150.2,0
2005-02-09,43200.0,2435801.0,0
2005-05-11,19000.0,1008864.0,1
2005-08-12,5200.0,324116.0,0
2005-08-22,37400.0,2258960.0,0
2005-08-30,20948.0,1266129.401,0
2005-11-03,17800.0,1046462.0,0
2006-05-03,620400.0,38491568.0,0
2006-05-04,114400.0,7089054.0,0
2006-08-02,98000.0,6517000.0,0
2006-11-03,5000.0,345800.5,0
2006-11-07,66000.0,4548470.0,0
2006-11-08,1759.0,122250.5,0
2006-11-10,86000.0,6027287.0,0
2007-02-07,600000.0,43702358.0,0
2007-02-12,6400.0,460800.64,0
2007-02-26,66000.0,4752000.0,0
2007-05-02,58200.0,4570913.0,0
2007-05-03,3148.0,250839.646,0
2007-05-04,233000.0,18638662.0,0
2007-05-07,63627.0,5054443.4224,0
2007-05-09,4078.0,323104.8336,0
2007-05-21,66000.0,5497463.95,0
2007-05-24,96891014.0,939455271.744,0
2007-08-22,8000.0,681782.69,0
2007-08-27,2130.0,185201.3,0
2007-11-07,98000.0,8822148.16,0
2007-12-05,120000.0,10681151.409999998,0
2008-05-07,985333.0,94438570.52500004,0
2008-05-08,50000.0,4837662.75,0
2008-05-09,37690.0,3642265.555,0
2008-05-16,60000.0,5988000.0,0
2008-05-28,160000.0,15841571.985,0
2009-02-27,5045.0,306433.3,1
2009-11-06,8000.0,616900.8,0
2009-11-23,35605.0,2810954.1905,0
2010-05-06,11400.0,902216.52,1
2010-05-10,9762.0,780960.0,0
2010-08-09,9074.0,718927.4136,0
2010-11-12,18000.0,1533960.0,0
2010-11-23,42000.0,3443248.2,0
2011-01-31,7048.0,668646.5792,0
2011-02-02,6667.0,643499.5067,0
2011-02-03,85000.0,8245144.5,0
2011-02-07,44035.0,4299439.7,0
2011-02-15,10000.0,964336.0,1
2011-08-01,26000.0,2744853.8,0
2011-10-31,1400.0,149520.0,0
2012-02-24,282500.0,30808862.0,0
2012-04-30,36000.0,3821011.2,0
2012-06-08,6.0,601.2,1
2012-08-06,7320.0,819954.924,0
2012-08-07,102680.0,11510910.595999999,0
2012-08-17,9.0,1016.1899999999999,1
2012-08-24,28000.0,3121666.8000000003,0
2013-02-26,1659.0,190668.87000000002,1
2013-04-29,88667.0,10695332.7412,0
2013-04-30,46667.0,5646716.3334,0
2013-05-01,98229.0,11902676.523599999,0
2013-05-02,29104.0,3522189.3632,0
2013-05-03,40000.0,4940168.0,0
2013-05-20,141000.0,17569556.5,0
2013-05-21,40000.0,5000000.0,0
2014-02-14,2000.0,226817.2,1
2014-05-06,150000.0,18784980.0,0
2014-05-12,38000.0,4750000.0,0
2014-08-29,75000.0,9686362.5,0
2015-05-11,180000.0,19458000.0,1
2015-08-05,3335.0,286197.3605,1
2015-08-07,5950.0,498270.85,1
2015-08-24,2500.0,183243.0,1
2015-11-02,14000.0,1331517.6,0
2015-11-19,44000.0,4050160.4,0
2016-05-02,869.0,89744.8453,0
2016-08-01,125000.0,12558547.1218,0
2016-08-02,21000.0,2074197.2999999998,0
2016-08-10,10945.0,1110232.3429999999,0
2016-08-12,13000.0,1326000.0,0
2016-08-15,487.0,50095.9855,1
2016-08-15,13000.0,1339000.0,0
2016-08-25,7000.0,711893.0,0
2016-11-03,5637.0,593387.2605,0
2016-11-04,3000.0,315750.0,0
2016-11-16,25500.0,2759209.65,0
2016-11-17,10000.0,1100000.0,0
2016-12-08,10000.0,1150000.0,0
2017-02-02,45000.0,5030892.0,0
2017-03-13,125000.0,13787587.5,0
2017-08-01,11000.0,1216526.3,0
2017-08-02,59000.0,6543590.0,0
2017-08-16,2312.0,248273.6576,0
2017-10-16,25500.0,3060000.0,0
2017-11-07,1229.0,145022.0,0
2017-11-13,23250.0,2716690.4250000003,0
2017-11-16,13143.0,1511522.5437,0
2017-11-20,34668.0,3986927.4708000002,0
