date,shares,amount,buy_flag
2002-10-18,100.0,9185.0,1
2002-10-18,100.0,9290.0,0
2003-07-24,62500.0,813125.0,0
2003-07-25,240000.0,3076800.0,0
2003-07-28,143000.0,1857570.0,0
2003-07-29,226600.0,2717558.0,0
2003-07-30,50000.0,558500.0,0
2003-07-31,265000.0,3410100.0,0
2003-08-01,250000.0,3210000.0,0
2003-08-04,205000.0,2632200.0,0
2003-08-07,130000.0,1589900.0,0
2003-08-08,132000.0,1587960.0,0
2003-08-11,300000.0,3798000.0,0
2003-08-12,140000.0,1780800.0,0
2003-08-13,400000.0,5240000.0,0
2003-08-14,225000.0,2958750.0,0
2003-08-15,200000.0,2638000.0,0
2003-08-18,500000.0,7075000.0,0
2003-08-19,550000.0,8035500.0,0
2003-08-20,500000.0,7455000.0,0
2003-08-21,500000.0,7825000.0,0
2003-08-22,370000.0,5894100.0,0
2003-08-25,274000.0,4118220.0,0
2003-08-26,623200.0,9266984.0,0
2003-09-04,1132400.0,20122748.0,0
2003-09-05,100000.0,1832000.0,0
2003-09-26,1890639.0,37812780.0,0
2004-01-22,200000.0,558000.0,0
2004-01-26,150000.0,390000.0,0
2004-01-27,150000.0,342500.0,0
2004-01-28,350000.0,598500.0,0
2004-01-29,76600.0,97282.0,0
2004-01-30,60100.0,75726.0,0
2004-02-02,117500.0,170990.0,0
2004-02-03,96600.0,112055.99999999999,0
2004-02-04,120000.0,126000.0,0
2004-02-05,95000.0,106400.00000000001,0
2004-02-06,50000.0,55500.00000000001,0
2004-02-09,40000.0,45599.99999999999,0
2004-02-10,99000.0,157180.0,0
2004-02-11,105000.0,248700.0,0
2004-02-12,59000.0,987600.0,0
2004-02-13,45000.0,49950.00000000001,0
2004-02-17,75000.0,79500.0,0
2004-02-18,70000.0,77700.0,0
2004-02-19,40000.0,44000.0,0
2004-02-20,51200.0,54272.0,0
2004-02-23,42900.0,45474.0,0
2004-02-24,45000.0,48150.0,0
2004-02-25,72600.0,76956.0,0
2004-02-26,113500.0,111230.0,0
2004-02-27,127000.0,127000.0,0
2004-03-01,100000.0,96000.0,0
2004-03-02,120000.0,120000.0,0
2004-03-03,87000.0,81780.0,0
2004-04-16,1400.0,70336.0,0
2004-07-16,1300.0,57187.0,0
2004-08-10,5000.0,219700.0,0
2004-08-25,490.0,22515.5,0
2004-10-27,100.0,4388.0,0
2004-11-16,60000.0,2763000.0,0
2005-01-31,25000.0,367000.0,0
2005-02-01,36500.0,549800.0,0
2005-02-02,147500.0,2262650.0,0
2005-02-03,250000.0,3892500.0,0
2005-02-04,342500.0,5438900.0,0
2005-02-07,166419.0,2739256.74,0
2005-03-24,75000.0,3674250.0,0
2005-04-18,470.0,21676.399999999998,1
2005-06-10,79.0,3764.35,0
2005-07-19,6000.0,266870.0,0
2005-08-05,4200.0,183288.0,0
2005-08-10,500.0,21800.0,0
2005-08-15,20700.0,113850.0,0
2005-08-16,147582.0,5802046.04,0
2005-08-17,58500.0,321165.0,0
2005-08-18,3910.0,21896.0,0
