date,shares,amount,buy_flag
2004-02-02,70000.0,6440700.0,0
2004-02-27,1000.0,90220.0,1
2004-04-27,80000.0,7636017.0,0
2004-07-26,24000.0,1217690.0,0
2005-01-28,27000.0,1477321.8,0
2005-07-28,188000.0,10537521.0,0
2005-07-29,80000.0,4456862.0,0
2006-01-30,65000.0,3656287.0,0
2006-01-31,65000.0,3663789.0,0
2006-02-01,65000.0,3667187.0,0
2006-02-02,68000.0,3815883.0,0
2006-02-03,67400.0,3751318.0,0
2006-04-21,3000000.0,194850000.0,0
2006-04-25,188700.0,12244717.0,0
2006-04-26,313300.0,20394491.0,0
2006-05-09,100000.0,6758420.0,0
2006-09-07,8000.0,516984.79999999993,0
2006-10-25,3000000.0,209250000.0,0
2006-10-30,80000.0,5689316.0,0
2007-01-26,8000.0,588846.0,0
2007-01-29,9000.0,651780.0,0
2007-02-01,562000.0,41583706.8,0
2007-04-20,40000.0,2861867.0,0
2007-07-27,120000.0,8880062.0,0
2007-07-30,670000.0,51334241.410000004,0
2007-07-31,338142.0,25727491.759999998,0
2007-08-01,331858.0,24837836.66,0
2007-08-08,15500.0,1272410.5,0
2007-08-09,24500.0,2000484.14,0
2007-11-06,16000.0,1331898.0,0
2008-01-31,28351.0,2124980.96,1
2008-02-13,928.0,69823.34,1
2008-02-27,919.0,69897.085,1
2008-02-28,810.0,59891.4,1
2008-05-05,6340.0,488643.6,0
2008-05-09,6601.0,508555.0800000001,0
2008-05-16,5880.0,470400.0,0
2008-07-21,198825.0,16223581.5,0
2008-10-23,1000.0,53900.0,1
2008-11-18,1000.0,52670.0,1
2008-11-18,4000.0,214800.0,0
2008-11-24,4000.0,224293.2,0
2009-01-29,9600.0,545856.0,0
2009-04-27,510000.0,30033080.0,0
2009-04-28,490000.0,28262716.169999998,0
2009-04-30,40000.0,2359384.0,0
2009-05-01,40000.0,2332696.132,0
2009-05-05,6779.0,416095.02,0
2009-05-12,53335.0,3192707.5,0
2009-05-13,40000.0,2328802.8400000003,0
2009-05-27,53335.0,3254652.8330000006,0
2009-05-28,53335.0,3207919.3355000005,0
2009-05-29,53335.0,3199487.6665000003,0
2009-06-09,53335.0,3402596.8695,0
2009-06-11,53335.0,3382393.7,0
2009-06-22,53335.0,3198025.9275,0
2009-06-25,53335.0,3252673.5325,0
2009-07-09,40000.0,2325293.4699999997,0
2009-07-10,40000.0,2345518.63,0
2009-07-20,53335.0,3354716.4835,0
2009-07-22,53335.0,3400102.0634999997,0
2009-07-30,985000.0,60662475.0,0
2009-07-31,280000.0,17267600.0,0
2009-08-03,7400.0,458708.0,0
2009-08-06,53335.0,3260196.7585000005,0
2009-08-07,53335.0,3291485.529,0
2009-08-18,40000.0,2381588.0,0
2009-08-21,53335.0,3299384.273,0
2009-08-31,53335.0,3222308.2145,0
2009-09-04,66670.0,4360897.027000001,0
2009-09-15,66670.0,4514645.04,0
2009-09-18,66670.0,4570743.516,0
2009-09-30,66670.0,4470615.409,0
2009-10-01,126670.0,8387895.231,0
2009-10-12,66670.0,4522045.5922,0
2009-10-14,66670.0,4616413.5370000005,0
2009-10-27,66670.0,4609210.598999999,0
2009-10-28,66670.0,4533621.93,0
2009-10-30,4000.0,272821.4,0
2009-11-02,60000.0,4087314.0,0
2009-11-04,19353.0,1365712.1805,0
2009-11-09,103632.0,7502347.593,0
2009-11-10,43292.0,3146244.752,0
2009-11-11,4000.0,291648.0,0
2009-11-16,175000.0,12817965.95,0
2009-11-17,161710.0,11787038.207999999,0
2009-11-18,20000.0,1447978.0,0
2009-11-23,4000.0,289936.0,0
2009-12-01,60000.0,4314342.0,0
2010-01-04,60000.0,4513277.2,0
2010-02-01,30000.0,2141730.0,0
2010-02-17,30000.0,2241390.0,0
2010-02-18,30000.0,2259660.0,0
2010-02-24,4756.0,355082.95999999996,0
2010-03-01,5000.0,368950.00000000006,0
2010-04-01,5000.0,400349.99999999994,0
2010-04-26,122040.0,10347977.72,0
2010-04-28,11655.0,972254.48,0
2010-05-05,18573.0,1536396.6400000001,0
2010-05-06,121602.0,10073960.4,0
2010-05-27,3800.0,303810.0,1
2010-07-27,50000.0,1929200.0000000002,0
2010-07-29,10000.0,383126.00000000006,0
2010-08-06,100000.0,3900000.0,0
2010-08-09,100000.0,3909100.0,0
2010-10-25,173010.0,7431259.5,0
2010-10-26,19988.0,857477.2960000001,0
2010-11-01,8000.0,346400.0,0
2010-11-03,3144.0,136770.288,0
2010-11-04,8000.0,356720.0,0
2011-01-18,51190.0,2422725.0,0
2011-01-26,48810.0,2318475.0,0
2011-02-14,70000.0,3589180.0,0
2011-02-24,5358.0,265381.74,0
2011-02-25,12078.0,604020.78,0
2011-02-28,20122.0,1016502.22,0
2011-08-09,7500.0,312525.0,1
2011-08-30,30000.0,1342880.0,0
2011-10-24,8000.0,384000.0,0
2011-10-25,87464.0,4194752.0,0
2011-10-26,175122.0,8339029.080000001,0
2011-10-27,263982.0,13097461.948,0
2011-11-15,75000.0,3657000.0,0
2012-02-02,145782.0,7706374.814,0
2012-02-10,247144.0,12734960.82,0
2012-02-13,50000.0,2588800.0,0
2012-02-16,20000.0,1041540.0,0
2012-02-23,15000.0,801690.0,0
2012-02-27,23510.0,1252730.3499999999,0
2012-02-28,17431.0,927404.084,0
2012-04-23,426456.0,22441354.38,0
2012-05-01,53040.0,2906331.04,0
2012-05-02,8000.0,436160.0,0
2012-05-18,8000.0,417216.0,0
2012-08-03,86504.0,4621649.269,0
2012-08-06,33000.0,1767579.0,0
2012-10-22,1144024.0,60604571.5,0
2012-10-24,15000000.0,755550000.0,0
2012-10-25,7452.0,384746.76,0
2012-10-26,17000.0,877710.0,0
2012-11-01,90000.0,4700010.0,0
2012-11-06,4000.0,211564.0,0
2012-11-30,8000.0,431200.0,0
2013-01-30,136960.0,8291159.422,0
2013-01-31,18500.0,1107225.0,0
2013-02-06,4000.0,241084.0,0
2013-02-21,131561.0,8011607.269,0
2013-02-25,28018.0,1716890.037,0
2013-04-22,39000.0,2291822.0,0
2013-04-24,13000.0,781300.0,0
2013-04-25,13000.0,782054.0,0
2013-05-13,22519.0,1390548.25,0
2013-05-15,500000.0,30962000.0,0
2013-05-16,8000.0,501736.0,0
2013-05-21,55000.0,3514060.0,0
2013-07-01,50000.0,3233240.0,0
2013-07-19,5852.0,401242.38,0
2013-07-22,54540.0,3716301.0599999996,0
2013-07-24,20000.0,1350800.0000000002,0
2013-08-06,48000.0,3218064.0000000005,0
2013-08-29,8000.0,522000.0,0
2013-10-01,50000.0,3468900.0,0
2013-10-18,20000.0,1439760.0,0
2013-10-24,50000.0,3582650.0000000005,0
2013-11-13,4600000.0,251160000.0,0
2014-02-25,6250.0,480312.49999999994,0
2014-05-01,11158.0,819900.9979999999,0
2014-05-02,63133.0,4632678.883,0
2014-05-12,9973.0,747945.081,0
2014-05-28,10500.0,872470.0,0
2014-07-18,111540.0,8269240.98,0
2014-08-01,3545.0,261408.3,0
2014-10-17,65000.0,4886010.5,0
2014-10-20,40000.0,2986120.0,0
2014-10-29,8450.0,671386.2999999999,0
2014-10-30,20000.0,1585499.5,0
2014-10-31,25238.0,2028885.4449999998,0
2014-11-03,50000.0,3998400.0,0
2014-11-20,3606.0,296954.1,0
2015-01-28,75000.0,6344503.0,0
2015-02-02,106000.0,8757454.056,0
2015-02-03,8000.0,678560.0,0
2015-02-20,56000.0,4873904.0,0
2015-02-24,9961.0,864335.8920000001,0
2015-02-26,4179.0,366861.873,0
2015-04-24,127345.0,10636774.225,0
2015-05-14,135865.0,11956120.0,0
2015-05-15,49755.0,4328889.359999999,0
2015-05-19,30232.0,2626850.2199999997,0
2015-05-22,8000.0,696000.0,0
2015-05-28,5959.0,518814.37599999993,0
2015-07-24,44300.0,3909428.9,0
2015-07-27,82970.0,7260132.12,0
2015-07-28,13370.0,1175480.17,0
2015-10-23,87900.0,8188021.399999999,0
2015-10-30,39740.0,3697508.52,0
2015-11-24,55840.0,5382808.48,0
2016-01-27,25300.0,2124654.0,0
2016-02-10,8000.0,688000.0,0
2016-02-26,12656.0,1126824.0,0
2016-02-29,60000.0,5354348.4,0
2016-04-22,175350.0,16803710.580000002,0
2016-04-27,58954.0,5714494.994,0
2016-05-12,8392.0,820460.664,0
2016-07-27,96446.0,7800331.643999999,0
2016-08-01,45897.0,3737980.482,0
2016-10-21,36125.0,2878295.5,0
2017-02-01,329645.0,27609406.46,0
2017-02-14,10578.0,888340.4400000001,0
2017-02-15,21156.0,1783556.58,0
2017-02-24,37870.0,3241596.26,0
2017-02-27,16294.0,1403459.976,0
2017-02-28,983.0,84533.085,0
2017-04-21,600.0,49653.0,1
2017-04-21,54006.0,4456641.712,0
2017-04-25,17444.0,1449055.636,0
2017-05-23,10815.0,910212.03,0
2017-07-21,18036.0,1496991.42,0
2017-07-31,9772.0,799154.16,0
2017-08-31,43688.0,3619827.6440000003,0
2017-10-23,99373.0,9052044.696,0
2017-10-24,10578.0,960736.272,0
2017-11-01,125989.0,11670991.015,0
2017-11-16,37870.0,3534331.3600000003,0
2018-02-01,62989.0,6422106.484,0
2018-02-02,174054.0,17772162.711999997,0
2018-02-21,51080.0,4968133.203,0
2018-02-23,13798.0,1353834.9,0
2018-02-26,14559.0,1459279.0470000003,0
2018-04-20,145560.0,14731899.123000002,0
2018-04-23,53173.0,5413011.399999999,0
2018-04-26,18001.0,1827196.702,0
2018-07-23,9074.0,932099.428,0
2018-07-24,14555.0,1512637.48,0
2018-07-26,77407.0,8044778.172,0
2018-07-30,94624.0,9637454.4,0
2018-07-31,1080.0,110505.59999999999,1
2018-07-31,10289.0,1051052.217,0
2018-08-09,18125.0,1845831.875,0
2018-08-10,84961.0,8528220.949,0
2018-10-23,10578.0,1013086.794,0
2018-10-24,7063.0,693240.5129999999,0
2018-10-25,22721.0,2226658.0,0
2018-11-05,53433.0,5430739.102,0
2018-11-07,31212.0,3222733.256,0
2018-11-08,25000.0,2615225.0,0
2019-02-24,18082.0,2311258.962,0
2019-02-27,229456.0,29131329.728,0
2019-04-24,1913.0,247771.76,0
2019-04-29,236616.0,31048804.025999997,0
2019-04-30,10772.0,1422388.7399999998,0
2019-05-10,1900.0,248485.23,1
2019-05-16,30271.0,4015713.2560000005,0
2019-05-21,7534.0,989018.316,0
2019-05-24,164164.0,21739886.368,0
2019-05-29,12950.0,1682513.4,0
2019-07-19,138923.0,19714056.858,0
2019-07-22,2601.0,368452.458,0
2019-07-23,20000.0,2846060.0,0
2019-07-25,14668.0,2101652.691,0
2019-07-26,1010.0,145480.4,0
2019-08-23,2500.0,348800.0,1
2020-01-31,248278.0,40303263.43400001,0
2020-02-03,32671.0,5281043.001,0
2020-02-04,50000.0,8162949.999999999,0
2020-02-07,20492.0,3320257.2839999995,0
2020-02-10,26747.0,4365349.874,0
2020-02-20,26370.0,4225191.012,0
2020-03-04,0.4427,65.315958,0
2020-05-08,81875.0,13342865.103,0
2020-05-12,1226.0,199838.0,1
2020-05-18,18259.0,3025078.084,0
2020-05-28,14344.0,2376665.35,0
2020-05-29,141420.0,23291084.59,1
2020-07-24,279440.189,54208283.543029994,0
2020-07-27,30588.0,6036939.0600000005,0
2020-07-28,83982.0,16689570.42,0
2020-07-29,7457.0,1516925.311,0
2020-08-28,38954.0,7985570.0,0
2020-08-31,38955.0,8024730.0,0
2020-10-23,107385.0,25081252.589,0
2020-11-03,8898.0,2079594.12,0
2020-11-19,26784.0,6056933.76,1
2021-02-12,15665.0,3834382.395,0
2021-02-26,6600.0,1462260.0,1
2021-04-23,16369.0,4175390.278,0
2021-04-27,17169.0,4442633.271000001,0
2021-05-07,4350.0,1128042.0,0
2021-05-21,6006.0,1530028.18,0
2021-05-27,4548.0,1160194.8,0
2021-07-27,16467.0,4766435.461,0
2021-07-28,24310.0,7103781.526,0
2021-07-30,6700.0,2002817.6,0
2021-08-13,5000.0,1567001.284,0
2021-11-02,343861.0,107609073.21,0
2021-11-03,343861.0,105686759.86,0
2021-11-04,538119.0,164610072.34,0
2021-11-10,5000.0,1487750.0,0
2021-11-11,2185.0,663628.2000000001,0
2021-11-18,4548.0,1404627.06,0
2021-11-26,14889.0,4844241.6,0
2021-11-29,40922.0,13386345.007,0
2021-11-30,12294.0,4007844.0,0
2022-01-31,20508.0,5849753.19,0
2022-02-02,5365.0,1577247.766,0
2022-02-25,3777.0,1052406.2835,0
2022-04-25,6500.0,1662277.5,0
2022-05-16,200.0,49578.0,1
2022-07-22,3906.0,1069619.0399999998,0
2022-07-25,12000.0,3253573.717,0
