date,shares,amount,buy_flag
2019-04-12,33000.0,4253000.0,0
2019-05-15,2000.0,268460.0,0
2019-05-16,2000.0,272487.19999999995,0
2019-06-07,2200.0,304099.84,0
2019-06-13,4000.0,562000.0,0
2019-06-14,17200.0,2445489.96,0
2019-06-19,49561.0,6938540.0,0
2019-07-05,94462.0,13336145.16,0
2019-07-11,2000.0,288500.0,0
2019-07-29,2200.0,322700.0,0
2019-11-12,4617.0,642686.3999999999,0
2019-11-13,39000.0,5691550.0,0
2019-11-14,26751.0,4012650.0,0
2019-11-26,4000.0,608620.0,0
2019-12-11,2000.0,294900.0,0
2019-12-19,1852.0,270984.64,0
2019-12-23,4246.0,620510.44,0
2019-12-24,6147.0,888865.1400000001,0
2020-01-22,42.0,6066.9,0
2020-10-13,2000.0,261899.99999999997,0
2020-11-09,144124.0,20529741.04,0
2020-11-24,59708.0,8943850.0,0
2020-12-02,14731.0,2257995.6900000004,0
2020-12-11,5000.0,848550.0,0
2020-12-17,35906.0,6224064.5298,0
2020-12-21,3078.0,519997.31999999995,0
2020-12-22,10908.0,1854360.0,0
2020-12-23,3046.0,526836.16,0
2021-01-15,4139.0,716047.0,0
2021-01-20,483003.0,84976286.0377,0
2021-01-21,1300.0,227500.0,0
2021-01-22,15640.0,2737103.224,0
2021-01-25,25000.0,4300000.0,0
2021-02-02,237136.0,41743371.5444,0
2021-02-08,220000.0,41826466.0,0
2021-02-16,7436.0,1380129.7796,0
2021-02-18,33969.0,6220406.6769,0
2021-02-23,220000.0,42985294.0,0
2021-02-24,196158.0,39258454.0302,0
2021-03-08,120946.0,24288513.1146,0
2021-06-01,550570.0,98668462.5338,0
2021-06-02,8400.0,1493058.0,0
2021-08-13,8000.0,1492600.0,0
2021-08-31,10587.0,1926834.0,0
2022-01-04,2868.0,455696.51999999996,0
2022-01-12,10000.0,1586000.0,0
2022-01-13,10000.0,1580000.0,0
2022-01-14,10000.0,1520600.0,0
2022-01-18,15342.0,2324926.6799999997,0
2022-03-10,226.0,29945.0,0
2022-08-12,3000.0,357090.0,0
2023-01-12,60643.0,5970909.779999999,0
2023-01-24,1139.0,120407.6765,0
2023-02-21,1139.0,117818.16,0
2023-03-21,1139.0,108444.18999999999,0
2023-04-25,1145.0,113538.2,0
2023-08-01,959.0,85398.95,0
2023-12-07,1078.0,99918.155,1
2023-12-18,18788.0,1747096.1199999999,0
2024-01-02,898.0,80918.78,0
2024-02-15,4792.0,539087.0616,0
2024-04-01,1857.0,226405.44,0
2024-05-08,20000.0,2120628.0,1
2024-05-09,4400.0,466400.0,0
2024-08-08,11756.0,999993.5743999999,1
2024-11-11,2798.0,279772.01999999996,0
2024-11-20,5000.0,568101.0,0
2024-11-22,372412.0,42667113.4964,0
2024-12-11,8000.0,917920.0,0
2024-12-17,3078.0,342766.08,0
2025-01-22,689.0,74935.64,0
2025-05-13,1000.0,110845.0,0
2025-08-25,1971.0,233701.46999999997,0
