date,shares,amount,buy_flag
2024-01-02,194910.0,31595360.832599998,0
2024-01-03,194910.0,31742317.025,0
2024-01-04,194910.0,31705801.626000002,0
2024-01-05,194910.0,31696009.352400005,0
2024-01-08,194910.0,31798292.770800002,0
2024-01-09,194910.0,31779230.331199996,0
2024-01-10,194910.0,31723188.2121,0
2024-01-11,194910.0,31673255.423699997,0
2024-01-12,194910.0,31729363.1799,0
2024-01-16,194910.0,31666091.9371,0
2024-01-17,194910.0,32017536.8743,0
2024-01-18,194910.0,32070264.0816,0
2024-01-19,194910.0,32231109.112499997,0
2024-01-22,194910.0,32130779.788,0
2024-01-23,194910.0,32068176.444199998,0
2024-01-24,194910.0,31721419.7126,0
2024-01-25,194910.0,31661499.1482,0
2024-01-26,194910.0,31819236.1904,0
2024-01-29,194910.0,31545821.2553,0
2024-01-30,194910.0,31600328.297000002,0
2024-01-31,194910.0,31458859.2596,0
2024-02-01,194910.0,31557997.665400002,0
2024-02-02,194910.0,31581538.2614,0
2024-02-05,194910.0,31484894.2076,0
2024-02-06,194910.0,31406699.8262,0
2024-02-07,194910.0,31523612.499599997,0
2024-02-08,194910.0,31271642.243199997,0
2024-02-09,194910.0,31454223.820100002,0
2024-02-12,194910.0,31506876.724000003,0
2024-02-13,194910.0,31320033.478400003,0
2024-02-14,194910.0,31454137.560000002,0
2024-02-15,194910.0,31471380.0426,0
2024-02-16,194910.0,31279000.29,0
2024-02-20,194910.0,31594101.2367,0
2024-02-21,194910.0,31906085.274299998,0
2024-02-22,194910.0,31873199.376700003,0
2024-02-23,194910.0,32076779.569399998,0
2024-02-26,194910.0,31935472.9704,0
2024-02-27,194910.0,31897030.240499996,0
2024-02-28,194910.0,31927269.057799995,0
2024-02-29,194910.0,31774438.038,0
2024-03-01,194910.0,31803819.056,0
2024-03-04,194910.0,31815357.545599997,0
2024-03-05,194910.0,32288072.3002,0
2024-03-06,194910.0,32652319.348400004,0
2024-03-07,204801.0,33899231.5616,0
2024-03-08,194910.0,32007304.576199997,0
2024-03-11,194910.0,32059079.32,0
2024-03-12,189670.0,31084981.796,0
2024-03-13,189670.0,31070166.985,0
2024-03-14,189670.0,30843062.633,0
2024-03-15,189670.0,30756335.5419,0
2024-03-18,189670.0,30548063.287100002,0
2024-03-19,189670.0,30543720.399100002,0
2024-03-20,189670.0,30528552.9965,0
2024-03-21,189670.0,30534245.369,0
2024-03-22,186704.0,29971238.3824,0
2024-03-25,189670.0,30533227.6265,0
2024-03-26,189670.0,30558876.627400003,0
2024-03-27,189670.0,30701796.068,0
2024-03-28,202789.0,33116382.3382,0
2024-04-01,189670.0,30800230.167200003,0
2024-04-02,189670.0,30674635.770999998,0
2024-04-03,189670.0,30820214.5004,0
2024-04-04,189670.0,30853121.1766,0
2024-04-05,189670.0,30614643.330999997,0
2024-04-08,189670.0,30574339.0278,0
2024-04-09,189670.0,30473426.1986,0
2024-04-10,170903.0,27335365.4815,0
2024-04-11,189670.0,30431723.4478,0
2024-04-12,170703.0,27326953.024299998,0
2024-04-15,170703.0,27352676.474299997,0
2024-04-16,170703.0,27253159.971899997,0
2024-04-17,170703.0,27309569.5482,0
2024-04-18,189670.0,30472590.837,0
2024-04-19,189670.0,30702830.487999998,0
2024-04-22,189670.0,30837014.006099995,0
2024-04-23,189670.0,30983611.257,0
2024-04-24,189670.0,31032711.5337,0
2024-04-25,189670.0,31041124.387600005,0
2024-04-26,189670.0,30965299.253399998,0
2024-04-29,189670.0,31134332.976,0
2024-04-30,189670.0,31059839.384600002,0
2024-05-01,189670.0,31423285.995399997,0
2024-05-02,189670.0,31299321.3258,0
2024-05-03,189670.0,31225521.3777,0
2024-05-06,189670.0,30807331.898000002,0
2024-05-07,189670.0,30750148.9734,0
2024-05-08,189670.0,30956467.4252,0
2024-05-09,189670.0,31061752.4231,0
2024-05-10,189670.0,31149510.294499997,0
2024-05-13,189670.0,30952856.314999998,0
2024-05-14,189670.0,30869187.943899997,0
2024-05-15,189670.0,30903506.270399995,0
2024-05-16,189670.0,30958068.985999998,0
2024-05-17,189670.0,31037919.707999997,0
2024-05-20,189670.0,31101477.046499997,0
2024-05-21,189670.0,31129900.551,0
2024-05-22,189670.0,31307407.9456,0
2024-05-23,189670.0,31291013.5977,0
2024-05-28,189670.0,31699767.536799997,0
2024-05-29,208637.0,35119911.430099994,0
2024-05-30,208637.0,35518815.2546,0
2024-05-31,455208.0,78426383.99620001,0
2024-06-03,455208.0,78591766.5496,0
2024-06-04,455208.0,80499246.969,0
2024-06-05,227604.0,40960667.3576,0
2024-06-06,227604.0,41011320.7689,0
2024-06-07,227604.0,40969134.018,0
2024-06-10,227604.0,41140312.88999999,0
2024-06-11,227604.0,40776283.7812,0
2024-06-12,133461.0,23102139.3576,0
2024-06-13,137002.0,23910492.8968,0
2024-06-14,135969.0,23874128.2678,0
2024-06-17,133461.0,23643979.2907,0
2024-06-18,133461.0,23660061.4076,0
2024-06-20,133461.0,23581681.3823,0
2024-06-21,133461.0,23552207.892300002,0
2024-06-24,133461.0,23761570.770699997,0
2024-06-25,133461.0,23740127.6598,0
2024-06-26,133461.0,23470113.4712,0
2024-06-27,133461.0,23638459.845799997,0
2024-06-28,133461.0,23599064.753700003,0
2025-06-12,69840.0,15975878.4204,0
2025-06-13,69840.0,15920349.352799999,0
2025-06-16,69840.0,16074510.1578,0
2025-06-17,69840.0,15466554.242099999,0
2025-06-18,69840.0,15481435.240500001,0
2025-06-20,69840.0,15490427.275400002,0
2025-06-23,69840.0,15755914.6832,0
2025-06-24,69840.0,16009579.505900001,0
2025-06-25,69840.0,16102094.935200002,0
2025-06-26,69840.0,16106017.2064,0
2025-06-27,69840.0,16366189.98,0
2025-06-30,69840.0,16594438.6761,0
2025-07-01,69840.0,16866122.9793,0
2025-07-02,69840.0,16614424.1208,0
2025-07-03,69840.0,16734463.271899998,0
2025-07-07,69840.0,16627552.127999999,0
2025-07-08,69840.0,16449279.847000001,0
2025-07-09,69840.0,16222062.356,0
2025-07-10,69390.0,15858144.383000001,0
2025-07-11,69840.0,15892275.457499998,0
2025-07-14,69840.0,15947381.8602,0
2025-07-15,69840.0,15794370.09,0
2025-07-16,69840.0,15943261.479600001,0
2025-07-17,69840.0,15877161.295599999,0
2025-07-18,69840.0,15862909.4388,0
2025-07-21,69840.0,16243339.4511,0
2025-07-22,69840.0,16316722.1758,0
2025-07-23,69840.0,16246932.7069,0
2025-07-24,69840.0,17344073.0504,0
2025-07-25,69840.0,17109247.4551,0
2025-07-28,69840.0,16664471.0211,0
2025-07-29,69840.0,16711065.1325,0
2025-07-30,69840.0,16837353.4234,0
2025-07-31,69840.0,16739783.3054,0
2025-08-01,69840.0,16572498.341500001,0
2025-08-04,69840.0,16708602.820200004,0
2025-08-05,69840.0,16695055.290299999,0
2025-08-06,69840.0,16741223.949300002,0
2025-08-07,69840.0,16847846.979900002,0
2025-08-08,69840.0,17124343.01,0
2025-08-11,69840.0,17291168.5675,0
2025-08-12,69840.0,17534348.060700003,0
2025-08-13,69840.0,17566131.4476,0
2025-08-14,69840.0,17520674.9298,0
2025-08-15,69840.0,17756077.3479,0
2025-08-18,69840.0,17841445.6494,0
2025-08-19,69840.0,17965097.890600003,0
2025-08-20,69840.0,18149404.9209,0
2025-08-21,69840.0,18028973.0386,0
2025-08-22,69840.0,17794636.6291,0
2025-08-25,69840.0,17551999.0134,0
2025-08-26,69840.0,17507240.6872,0
2025-08-27,69840.0,17554019.540400002,0
2025-08-28,69840.0,17496628.6548,0
2025-08-29,69840.0,17545801.29,0
2025-09-02,69840.0,17909904.9597,0
2025-09-03,69840.0,17638092.0274,0
2025-09-04,69840.0,17665051.038099997,0
2025-09-05,69840.0,17674497.3149,0
2025-09-08,69840.0,17003858.7441,0
2025-09-09,69840.0,16932501.7233,0
2025-09-10,69840.0,16767251.320999999,0
2025-09-11,64426.0,15516371.7074,0
2025-09-12,64426.0,15568669.9946,0
2025-09-15,64452.0,15510122.856999999,0
2025-09-16,64426.0,15311037.2943,0
2025-09-17,64426.0,15419593.424,0
2025-09-18,64426.0,15409110.6632,0
2025-09-19,64426.0,15366452.6844,0
2025-09-22,64426.0,15317437.706,0
2025-09-23,64426.0,15359653.2302,0
2025-09-24,64426.0,15357820.370599998,0
2025-09-25,64426.0,15396566.8911,0
2025-09-26,64426.0,15341079.034400001,0
2025-09-29,64415.0,15338035.282800002,0
2025-09-30,64426.0,15432576.909099998,0
2025-10-01,64426.0,15102853.459300002,0
2025-10-02,64426.0,14844461.778,0
2025-10-03,64426.0,14767016.588600002,0
2025-10-06,64426.0,14469866.0429,0
2025-10-07,64426.0,14644755.1475,0
2025-10-08,64426.0,14571096.228,0
2025-10-09,64426.0,14626835.8004,0
2025-10-10,64426.0,14716103.9481,0
2025-10-13,64426.0,14570174.7459,0
2025-10-14,64426.0,14756661.751999998,0
2025-10-15,64426.0,14672830.641800001,0
2025-10-16,64426.0,14626148.5176,0
2025-10-17,64426.0,14726051.922100002,0
2025-10-20,64426.0,14743759.1149,0
