date,shares,amount,buy_flag
2003-08-15,1429590.0,0.0,0
2003-08-20,2857162.0,1919112.69,0
2003-09-05,3696288.0,1496996.6400000001,0
2003-12-10,5000.0,32410.0,0
2003-12-11,2900.0,18162.989999999998,0
2004-01-27,257722.0,8817372.3,0
2004-01-28,30000.0,1028999.9999999999,0
2004-02-12,4953.0,163399.47,0
2004-02-17,33700.0,816038.0,0
2004-02-18,5000.0,17400.0,0
2004-02-19,11000.0,360029.99999999994,1
2004-02-19,5700.0,18411.0,0
2004-02-20,15000.0,488970.0,1
2004-04-07,98491.0,1657603.5299999998,0
2004-04-19,16963.0,526468.0700000001,0
2004-04-20,18397.0,106702.59999999999,0
2004-04-26,21136.0,651834.24,0
2004-04-27,17719.0,541138.26,0
2004-05-11,3900.0,117862.0,1
2004-06-04,1440000.0,28080000.0,0
2004-06-10,1285.0,11603.55,0
2004-06-15,6500.0,52650.0,0
2004-06-16,1800.0,14580.0,0
2004-06-21,600.0,4860.0,0
2004-06-22,1300.0,10530.0,0
2004-07-07,48800.0,588528.0,0
2004-07-08,34700.0,352552.0,0
2004-07-14,223134.0,7389615.24,0
2004-07-15,67175.0,2239497.75,0
2004-07-16,150974.0,5035074.9,0
2004-07-20,10000.0,331097.0,1
2004-07-20,35010.0,1158827.6,0
2004-08-05,2000.0,64540.00000000001,1
2004-08-06,7000.0,222350.0,1
2004-08-11,34117.0,1086862.3,0
2004-08-18,13115.0,420729.19999999995,0
2004-08-20,44072.0,1436747.2,0
2004-08-25,13070.0,425036.4,0
2004-09-01,57070.0,1872336.25,0
2004-09-14,21000.0,707070.0,0
2004-10-19,27978.0,947894.64,0
2004-10-26,4441.0,148329.4,0
2004-10-27,5156.0,174449.04,0
2004-11-01,1000.0,34085.0,1
2004-11-03,10660.0,366224.0,0
2004-12-21,18000.0,667980.0,0
2005-01-24,1400.0,49148.0,1
2005-01-24,13350.0,469920.00000000006,0
2005-01-25,6145.0,219130.69999999998,0
2005-02-01,91785.0,3313112.8000000003,0
2005-02-07,27590.0,998237.2,1
2005-02-11,2000000.0,27500000.0,0
2005-02-23,56000.0,1968400.0,0
2005-03-23,99871586.0,2577785506.246,0
2005-04-01,16000.0,578880.0,0
2005-04-20,23900.0,855968.0,1
2005-04-21,3000.0,107260.0,1
2005-04-25,14985.0,542606.85,0
2005-04-26,27425.0,999791.25,0
2005-05-10,2000.0,71765.0,1
2005-05-12,2000.0,72400.0,1
2005-05-12,3427.0,124400.09999999999,0
2005-05-13,4000.0,143220.0,1
2005-05-16,48025.0,1735242.75,0
2005-05-17,70000.0,2532362.6,0
2005-05-18,5725.0,211653.25,0
2005-05-20,4000.0,147800.0,1
2005-05-20,141377.0,5223878.6899999995,0
2005-06-01,16000.0,583680.0,0
2005-06-22,17000.0,615556.0,0
2005-06-24,15000.0,521250.0,1
