date,shares,amount,buy_flag
2004-02-03,56716.0,3212023.64,0
2004-02-05,74200.0,4166100.0,0
2004-02-06,30000.0,1694600.0,0
2004-02-09,8000.0,465000.0,0
2004-05-03,48000.0,2911102.0,0
2004-05-05,65000.0,3790400.0,0
2004-05-12,4000.0,220240.0,0
2004-06-09,4000.0,259360.0,0
2004-07-14,4000.0,260880.0,0
2004-08-04,68000.0,4313050.0,0
2004-08-11,64000.0,4190755.0,0
2004-08-17,30032.0,1942512.36,0
2004-08-18,38088.0,2462819.33,0
2004-08-30,10000.0,686314.5,0
2004-09-08,8000.0,277200.0,0
2004-10-13,8000.0,306400.0,0
2004-10-27,22000.0,759005.0,0
2004-10-28,180000.0,6335589.5,0
2004-11-01,770.0,26888.4,0
2004-11-02,9400.0,332102.0,0
2004-11-05,181432.0,6811346.3384,0
2004-11-10,41260.0,1485008.9,0
2004-11-12,30000.0,1105680.0,0
2004-11-19,104800.0,3617255.84,0
2004-12-08,8000.0,283440.0,0
2005-02-09,85000.0,2720425.0,0
2005-02-15,172696.0,5725208.93,0
2005-02-25,55000.0,1923706.25,0
2005-03-04,15000.0,527820.0,0
2005-04-29,30000.0,1087751.0,0
2005-05-02,57900.0,2165769.0,0
2005-05-04,307200.0,11979279.35,0
2005-05-05,120000.0,4661800.0,0
2005-05-06,186504.0,7166913.76,0
2005-05-10,93518.0,3622108.0118,0
2005-05-16,13000.0,503891.6,0
2005-05-27,20000.0,821500.0,0
2005-07-22,30000.0,1319605.05,0
2005-07-27,126720.0,5675192.0,0
2005-08-09,15000.0,635929.65,0
2005-08-17,110000.0,4634100.0,0
2005-08-31,10000.0,421036.05,0
2005-10-25,150000.0,7132506.0,0
2005-11-09,15000.0,778277.0,0
2005-11-15,15000.0,787919.6599999999,0
2005-11-18,400.0,21812.0,1
2005-11-18,29600.0,1610338.0,0
2005-11-21,174010.0,9401565.1,0
2005-11-22,196890.0,10645864.932,0
2006-02-02,60000.0,3623737.5,0
2006-02-03,25000.0,1529972.0,0
2006-02-06,30000.0,1815881.0,0
2006-02-07,40000.0,2408200.0,0
2006-02-08,10000.0,605000.0,0
2006-02-09,35472.0,2105001.4800000004,0
2006-02-14,166488.0,9871831.52,0
2006-02-15,20000.0,1215025.0,0
2006-02-16,120000.0,7406480.0,0
2006-02-22,20000.0,1222597.1600000001,0
2006-03-06,30000.0,1791945.45,0
2006-03-08,6500.0,384600.0,0
2006-05-10,36500.0,2101718.2199999997,0
2006-05-15,120000.0,6845085.0,0
2006-05-17,100000.0,5562699.5,0
2006-07-12,6500.0,400308.88999999996,0
2006-07-25,65000.0,3958656.4399999995,0
2006-08-01,240000.0,14526347.25,0
2006-08-08,30000.0,1857008.7,0
2006-08-09,107896.0,6719227.5,0
2006-08-16,51432.0,3275723.4,0
2006-08-17,3550.0,228014.18000000002,0
2006-09-01,3550.0,225703.84000000003,0
2006-09-12,35000.0,2200037.45,0
2006-09-13,6500.0,412907.23,0
2006-09-27,2400.0,160800.0,0
2006-10-02,3550.0,230101.5,0
2006-10-10,35000.0,2257677.7,0
2006-10-12,1200.0,80400.0,0
2006-10-23,30000.0,2079548.65,0
2006-10-24,25000.0,1730382.0,0
2006-10-25,140000.0,9496875.379999999,0
2006-10-26,61000.0,4212113.959999999,0
2006-10-30,30000.0,2060442.08,0
2006-11-01,4750.0,324012.08,0
2006-11-08,36500.0,2512735.0,0
2006-11-14,35000.0,2333217.1000000006,0
2006-11-17,66348.0,4565859.78,0
2006-11-20,100.0,7000.0,0
2006-12-01,3550.0,230610.0,0
2006-12-04,1200.0,80400.0,0
2006-12-12,35000.0,2293304.5,0
2007-01-03,3550.0,229375.0,0
2007-01-09,35000.0,2286851.8000000003,0
2007-01-10,6500.0,418284.04000000004,0
2007-02-01,20650.0,1448192.0,0
2007-02-06,39000.0,2733551.0,0
2007-02-09,133920.0,9540213.6,0
2007-02-13,35000.0,2479811.9,0
2007-02-15,20000.0,1440308.93,0
2007-02-16,32000.0,2302693.66,0
2007-02-20,30000.0,2168608.9299999997,0
2007-02-21,20000.0,1474394.0,0
2007-02-22,20000.0,1472251.0,0
2007-02-23,20000.0,1465430.0,0
2007-02-28,6000.0,428088.0,0
2007-03-01,4750.0,333762.5,0
2007-03-06,30000.0,2117839.67,0
2007-03-13,35000.0,2459114.3,0
2007-03-14,6500.0,447284.0,0
2007-03-23,15100.0,1132500.0,0
2007-04-02,4750.0,363079.0,0
2007-04-10,35000.0,2735434.3600000003,0
2007-04-19,14500.0,1160000.0,0
2007-04-23,92796.0,7709317.94,0
2007-04-24,121.0,10067.2,1
2007-04-24,9000.0,748583.5900000001,0
2007-04-25,19148.0,1590902.79,0
2007-04-30,3750.0,304596.875,0
2007-05-01,8500.0,699421.125,0
2007-05-02,235000.0,19642599.119999997,0
2007-05-08,35000.0,2875751.4,0
2007-05-09,36500.0,3036201.43,0
2007-05-21,80250.0,6646012.040000001,0
2007-06-01,4750.0,395763.0,0
2007-06-04,30000.0,2473613.4,0
2007-06-12,35000.0,2761034.9000000004,0
2007-07-02,9500.0,373645.0,0
2007-07-03,30000.0,1180854.0,0
2007-07-10,70000.0,2775938.5,0
2007-07-11,13000.0,515252.46,0
2007-08-08,60000.0,2268985.55,0
2007-08-14,70000.0,2633808.4299999997,0
2007-09-04,60000.0,2203575.38,0
2007-09-11,70000.0,2655712.4659,0
2007-09-12,13000.0,492866.0,0
2007-10-09,10000.0,418400.00000000006,1
2007-10-09,90000.0,3752685.0,0
2007-10-23,35000.0,1491350.0,0
2007-10-25,6500.0,290875.0,0
2007-10-26,220000.0,10136507.015,0
2007-11-07,60000.0,2727634.83,0
2007-11-13,70000.0,2952780.0,0
2007-11-14,13000.0,565863.3300000001,0
2007-12-03,60000.0,2766845.0,0
2007-12-11,70000.0,3254930.0,0
2008-01-02,56000.0,2574844.25,0
2008-01-04,40500.0,1903500.0,0
2008-01-07,30000.0,1403480.0,0
2008-01-08,70000.0,3360490.0,0
2008-01-09,13000.0,611140.3099999999,0
2008-01-29,96000.0,4129325.13,0
2008-01-31,10000.0,450264.98000000004,0
2008-02-01,6000.0,275090.0,0
2008-02-08,158820.0,7063188.919999999,0
2008-02-12,70000.0,3183706.6799999997,0
2008-02-13,13450.0,613237.1599999999,0
2008-02-26,48000.0,2098520.31,0
2008-02-29,500.0,23500.0,0
2008-03-03,66500.0,3193911.5,0
2008-03-11,70000.0,3240943.0,0
2008-03-12,13450.0,640683.69,0
2008-03-25,51500.0,2578583.0,0
2008-04-01,14500.0,758891.5,0
2008-04-08,70000.0,3662091.0,0
2008-04-09,13450.0,701848.5,0
2008-04-10,30000.0,1545572.0,0
2008-04-21,96000.0,4992085.76,0
2008-04-30,180000.0,9374910.55,0
2008-05-01,7000.0,366920.01,0
