date,shares,amount,buy_flag
2015-10-12,5290.0,3468335.6,0
2015-10-15,5056.0,3333865.6821999997,0
2015-10-19,33332.0,22669136.7674,0
2015-10-20,33332.0,21650672.755699996,0
2015-10-21,33332.0,22100820.506300002,0
2015-10-22,33332.0,22182760.1466,0
2015-10-23,33340.0,24062366.241600003,0
2015-10-26,33332.0,24049238.4924,0
2015-10-27,33332.0,23980788.465599995,0
2015-10-28,33332.0,24038128.662299998,0
2015-10-29,33332.0,24270948.201800004,0
2015-10-30,33340.0,24231880.4254,0
2015-11-12,5290.0,3942954.3999999994,0
2015-11-16,37951.0,27752262.9024,0
2015-11-17,33332.0,24634534.1322,0
2015-11-18,33332.0,24736610.610700004,0
2015-11-19,33332.0,24998380.7627,0
2015-11-20,33340.0,25444038.4935,0
2015-11-23,33332.0,25609465.013800003,0
2015-11-24,33332.0,25270611.2396,0
2015-11-25,33332.0,25316661.858599998,0
2015-11-27,33332.0,25349525.084699996,0
2015-11-30,33340.0,25221965.7564,0
2015-12-14,5292.0,3947605.6346,0
2015-12-15,4440.0,3333551.7916,0
2015-12-21,33332.0,25088823.6057,0
2015-12-22,33332.0,25252664.7438,0
2015-12-23,33332.0,25216147.036299996,0
2015-12-24,33332.0,25263415.4357,0
2015-12-28,33340.0,25542655.216999996,0
2015-12-29,33332.0,26149692.963900004,0
2015-12-30,33332.0,26091903.422000002,0
2015-12-31,33332.0,25771677.4554,0
2016-01-04,33332.0,24844473.7357,0
2016-01-05,33340.0,25125846.0145,0
2016-01-12,5000.0,3655300.0,0
2016-01-15,4789.0,3333698.1672000005,0
2016-02-01,33332.0,25311878.788599994,0
2016-02-02,33332.0,26206772.6726,0
2016-02-03,38132.0,28749038.4679,0
2016-02-04,33332.0,24059013.624899995,0
2016-02-05,33340.0,23335370.148799993,0
2016-02-08,33332.0,22725461.122299995,0
2016-02-09,33332.0,23186169.682299994,0
2016-02-10,33332.0,23411136.1456,0
2016-02-11,33332.0,22940110.7919,0
2016-02-12,38340.0,26733690.9758,0
2016-02-17,20072.0,14053728.75,0
2016-02-22,33332.0,23936446.558999997,0
2016-02-23,33332.0,23693364.452800002,0
2016-02-24,33332.0,23305093.465099998,0
2016-02-25,33332.0,23676709.364099998,0
2016-02-26,33340.0,23926785.2484,0
2016-02-29,33332.0,23827760.861299995,0
2016-03-01,33332.0,24095322.632699996,0
2016-03-02,37332.0,27115194.670299996,0
2016-03-03,33332.0,24083594.8721,0
2016-03-04,33340.0,23997996.4824,0
2016-03-14,5000.0,3678425.0,0
2016-03-16,4000.0,2913985.0,0
2016-03-21,33332.0,24941545.8325,0
2016-03-22,33332.0,25054234.743799996,0
2016-03-23,33332.0,24987869.0768,0
2016-03-24,33332.0,24787369.977500003,0
2016-03-28,33340.0,24846287.0702,0
2016-03-29,33332.0,24963673.55999999,0
2016-03-30,33332.0,25421180.762599997,0
