date,shares,amount,buy_flag
2004-02-25,555000.0,20108038.5,0
2004-05-27,15000.0,535300.0,1
2004-08-25,3400.0,123857.0,0
2004-09-03,1640.0,62008.4,0
2004-11-18,15000.0,642000.0,0
2004-11-22,10032.0,431075.04,0
2004-11-23,30000.0,1291200.0,0
2004-11-29,1013.0,43538.74,0
2004-12-10,20000.0,860000.0,0
2004-12-13,20000.0,853050.0,0
2004-12-14,160000.0,6805314.0,0
2004-12-15,5000.0,212507.0,1
2005-03-14,12000.0,472439.99999999994,0
2005-03-23,5000.0,188500.0,1
2005-05-18,30000.0,1194300.0,0
2005-05-19,17500.0,701925.0,0
2005-05-31,175000.0,6934901.0,0
2005-06-01,725000.0,28735356.73,0
2005-06-14,50000.0,2000000.0,0
2005-07-01,4077.1815,134812.0062975,1
2005-08-23,150000.0,6072901.0,0
2005-08-29,15000.0,609171.0,0
2005-08-30,25000.0,986440.0,0
2005-09-06,10000.0,410000.0,0
2005-09-07,16755.0,701710.0,0
2005-09-12,10000.0,412600.0,0
2005-09-13,12500.0,509375.0,0
2005-11-17,34500.0,1456965.0,0
2005-11-18,13500.0,574028.0,0
2005-12-14,10000.0,425000.0,0
2005-12-15,12750.0,541875.0,0
2006-03-06,6170.0,259271.10000000003,0
2006-03-07,22248.0,919567.24,0
2006-03-08,25500.0,1046444.0,0
2006-03-09,130.0,5340.4,0
2006-03-16,2603.0,110918.86,0
2006-03-17,41750.0,1793601.5,0
2006-03-20,217275.0,9316657.74,0
2006-05-18,192418.0,7481317.0,0
2006-06-07,5000.0,184746.0,1
2006-08-24,6067.0,201424.40000000002,0
2006-08-25,50.0,1704.0,1
2006-08-29,17000.0,578000.0,0
2006-09-13,32000.0,1188955.0,0
2006-11-28,22500.0,835178.45,0
2007-03-08,2500.0,97075.0,1
2007-06-13,2000.0,75400.0,1
2007-09-13,34695.0,1236623.7,0
2007-12-11,3511.0,104592.69,0
2007-12-18,1862.0,48058.22,0
2008-03-17,1132907.0,28991090.13,1
2008-05-21,3398490.0,91725245.1,1
2008-05-23,546100.0,14504416.0,1
2008-05-27,462871.0,12482930.87,1
2008-05-28,129500.0,3534055.0,1
2008-05-29,400.0,10928.0,1
2008-05-30,338668.0,9293049.92,1
2008-06-02,711903.0,19335285.48,1
2008-06-03,206495.0,5538195.9,1
2008-06-04,5000.0,137200.0,1
2008-06-06,1299900.0,35539266.0,1
2008-06-13,247301.0,6734006.23,1
2008-06-19,10000.0,266400.0,1
2008-08-29,881.0,24108.16,0
2008-11-26,20774.0,477802.0,0
2008-12-04,20774.0,477802.0,0
2010-03-17,2314200.0,75211500.0,0
2010-03-18,3476700.0,112540778.99999999,0
2010-03-19,2100000.0,68103000.0,0
2010-06-14,3342404.0,107825953.03999999,0
2010-06-15,734800.0,23337248.0,0
2010-06-21,265200.0,8324628.0,0
2010-06-22,885600.0,27648432.0,0
2010-06-24,23140.0,687952.2,0
2010-08-18,11000.0,311630.0,0
2010-11-17,1699794.0,53203552.2,0
2010-11-18,1446504.0,44725903.68,0
2010-11-19,2420900.0,75096318.0,0
2010-11-22,1406570.0,43814655.5,0
2010-11-23,1006650.0,31125618.0,0
2010-11-24,1165880.0,36398773.6,0
2010-12-20,14558.0,512459.60000000003,0
2011-02-25,109830.0,4097833.2,0
2011-05-18,27000.0,1006560.0,0
2011-05-25,72139.0,2627799.18,0
2011-08-17,5000.0,166650.0,0
2011-11-16,57160.508499999996,2152820.32249,0
2012-02-22,116500.0,5447830.0,0
2012-02-23,175250.0,8222680.0,0
2012-02-24,30500.0,1433805.0,0
2012-03-08,350000.0,16698500.0,0
2012-03-12,15000.0,728850.0,0
2012-03-13,20500.0,1004910.0000000001,0
2012-05-22,20650.0,998840.5,1
2012-08-15,267720.0,14730954.4,0
2012-08-17,85000.0,4806200.0,0
2012-09-19,58920.0,3512221.2,0
2012-09-21,1667.0,99086.48,1
2012-11-19,298572.0,18747309.96,0
2012-12-06,5000.0,318500.0,1
2013-05-22,369190.0,29865581.21,0
2013-05-30,1000.0,79660.0,1
2013-09-11,3500.0,260609.99999999997,0
2013-09-12,10000.0,752000.0,1
2013-11-20,8856.0,708568.56,0
2013-11-21,313.0,24955.49,1
2013-11-21,114916.0,9150100.66,0
2014-03-03,623051.0,50589404.39,0
2014-03-06,101426.0,8368659.260000001,0
2014-03-07,3200.0,264224.0,0
2014-03-11,10183.0,832256.5900000001,0
2014-05-23,14916.0,1180452.24,0
2014-06-12,350.0,27471.5,1
2014-08-25,309344.0,28244522.560000002,0
2014-11-21,100000.0,9827000.0,0
2014-12-16,1100.0,107920.89,1
2015-02-25,155052.0,18036148.77,0
2015-03-02,70117.0,8168579.079999999,0
2015-03-03,11315.0,1312653.1500000001,0
2015-03-04,1600.0,183792.0,0
2015-03-27,350.0,39788.0,1
2015-05-29,71732.0,8003281.0600000005,0
2015-06-01,11671.0,1302600.31,0
2015-08-20,6000.0,730800.0,0
2015-12-09,1380.0,184339.4,1
2015-12-09,34386.0,4596720.48,0
2016-02-24,40000.0,4989200.0,1
2016-02-24,133758.0,16563451.280000001,0
2016-05-18,43026.0,5642429.64,0
