date,shares,amount,buy_flag
2004-01-26,800.0,79024.0,0
2004-01-30,8000.0,791488.7999999999,0
2004-02-27,5032.0,485032.84,0
2004-04-28,800.0,72240.0,0
2004-05-10,114644.0,10014795.406399999,0
2004-05-20,5500.0,481799.99999999994,0
2004-05-21,18000.0,1576620.0,0
2004-08-16,9802.0,825530.5,0
2004-10-20,4000.0,356000.0,0
2004-10-25,17024.0,1493856.0,0
2004-10-26,15462.0,1379165.5602000002,0
2004-10-28,4901.0,439508.9,0
2004-11-02,19044.0,1731480.48,0
2004-11-04,15242.0,1387366.7896000003,0
2004-11-10,4000.0,376240.0,0
2004-11-11,73864.0,6929211.3856,0
2004-11-15,2486.0,237718.06,0
2004-11-17,3000.0,288540.0,0
2005-01-26,4000.0,370840.0,0
2005-02-10,31886.0,2944491.1962,0
2005-05-12,131352.0,9656393.609000001,0
2005-05-24,123617.0,9378339.6837,0
2005-07-20,156844.0,13266053.7328,0
2005-08-10,34472.0,2895648.0,0
2005-08-11,16000.0,1312000.0,0
2005-08-22,4284.0,355332.95279999997,0
2005-10-24,24431.0,2026465.53,0
2005-11-07,79600.0,6646918.4,0
2005-11-29,9553.0,851679.9500000001,0
2005-11-30,10000.0,888716.0,0
2006-01-19,16044.0,1338926.3496,0
2006-01-26,1508.0,122835.648,0
2006-01-27,19228.0,1559531.1644,0
2006-02-13,4000.0,322946.0,0
2006-02-16,3615.0,291369.0,0
2006-02-22,17472.0,1420831.4576,0
2006-04-26,4000.0,333000.0,0
2006-04-27,2000.0,167900.0,0
2006-05-15,1228.0,101322.28000000001,0
2006-05-17,121274.0,9947851.5446,0
2006-07-25,6459.0,489192.43,0
2006-08-17,6000.0,474401.99999999994,0
2006-08-28,197228.0,15778240.0,0
2006-10-19,43046.0,3885839.9028,0
2006-10-20,49414.0,4465225.9774,0
2006-10-23,22262.0,2034826.24,0
2006-10-27,38920.0,3555703.9560000002,0
2006-11-01,101179.0,9296016.726400001,0
2006-11-03,20349.0,1860771.5720999998,0
2006-11-06,2000.0,184996.0,0
2006-11-27,23355.0,2169572.067,0
2007-01-31,144000.0,14247288.0,0
2007-02-01,66853.0,6602699.640000001,0
2007-02-08,8000.0,794704.0,0
2007-02-09,11000.0,1091950.2,0
2007-02-16,26470.0,2623586.95,0
2007-02-27,4000.0,384000.0,0
2007-04-25,30727.0,3070577.5418999996,0
2007-04-26,27173.0,2743979.7663000003,0
2007-04-27,12974.0,1304409.8522,0
2007-05-01,130092.0,13313528.380800001,0
2007-05-16,5000.0,524650.0,0
2007-05-18,9014.0,965210.3256,0
2007-07-20,20000.0,2286966.0,0
2007-07-24,12218.0,1422283.9402,0
2007-07-25,86951.431,10098265.1721336,0
2007-07-27,12000.0,1404788.4000000001,0
2007-08-03,60218.0,6850336.595500001,0
2007-08-27,45000.0,5082237.779999999,0
2007-11-19,85000.0,8887277.0,0
2007-11-21,18446.0,1896585.67,0
2008-01-22,34200.0,3516709.6100000003,0
2008-02-12,3682.0,390292.0,0
2008-02-28,4151.0,477662.44,0
2008-04-30,213125.0,26179211.572500005,0
2008-05-01,29400.0,3601500.0,0
2008-05-06,27076.0,3275526.755,0
2008-05-08,74107.0,9243472.044999998,0
2008-05-09,20603.0,2556922.35,0
2008-05-12,4840.0,606458.88,0
2008-05-14,27984.0,3581628.04,0
2008-05-15,9849.0,1260672.0,0
2008-05-19,39586.0,5066579.04,0
2008-05-23,39076.0,4852425.392,0
2008-07-24,103407.0,13444848.96,0
2008-07-25,103565.0,13282582.069999998,0
2008-07-28,60849.0,7715950.1725,0
2008-08-07,20000.0,2566790.3,0
2008-08-12,128123.0,15997450.710000003,0
2008-08-21,98876.0,12067991.76,0
2008-08-27,149733.0,18568940.47,0
2008-08-28,274032.0,34189739.93000001,0
2009-01-28,34200.0,3168641.1199999996,0
