date,shares,amount,buy_flag
2004-01-22,384000.0,12236882.0,0
2004-01-23,251475.0,7992052.5,0
2004-01-26,250000.0,7989950.0,0
2004-01-28,150000.0,4806515.96,0
2004-01-29,26259.0,818492.0300000001,0
2004-01-30,102000.0,3115460.0,0
2004-04-15,500.0,13355.0,1
2004-07-19,1000.0,22880.0,1
2004-10-15,384000.0,7902719.999999999,0
2004-10-18,500.0,10280.0,1
2004-10-19,360000.0,7210800.0,0
2004-10-20,336000.0,7103040.0,0
2004-10-25,100000.0,2140000.0,0
2004-10-27,100000.0,2187500.0,0
2005-01-13,125000.0,2878750.0,0
2005-01-14,131000.0,3013000.0,0
2005-01-19,512000.0,11688960.0,0
2005-01-25,1700.0,38250.0,1
2005-01-25,270000.0,6044500.0,0
2005-01-26,69451.0,1562229.4600000002,0
2005-01-27,50000.0,1116000.0,0
2005-04-21,500.0,11615.0,1
2005-04-22,4000.0,93200.0,0
2005-04-29,75000.0,1758750.0,0
2005-05-03,4000.0,94960.0,0
2005-05-05,80000.0,1943200.0,0
2005-06-27,1000.0,30000.0,0
2005-07-21,435000.0,11799000.0,0
2005-07-21,500.0,13770.0,1
2005-07-22,63200.0,1705136.0,0
2005-07-26,601.0,16214.98,0
2005-07-28,54478.0,1486770.96,0
2005-08-01,7200.0,197640.0,0
2005-12-12,1400.0,37268.0,1
2005-12-12,244602.0,6506538.340000001,0
2006-01-20,500.0,11105.0,1
2006-01-23,2000.0,42660.0,1
2006-01-30,284000.0,6145760.0,0
2006-02-01,22725.0,483508.0,0
2006-02-02,13200.0,280104.0,0
2006-02-09,4000.0,84840.0,1
2006-03-14,192000.0,3799408.48,0
2006-04-21,150000.0,2860500.0,0
2006-04-24,500.0,9530.0,1
2006-05-02,296415.0,5821575.5,0
2006-05-04,250000.0,4841500.0,0
2006-05-05,700000.0,13615000.0,0
2006-07-21,185000.0,3143149.9999999995,0
2006-07-27,1400.0,24654.0,0
2006-08-03,660500.0,11426650.0,0
2006-08-04,273000.0,4722900.0,0
2006-10-24,36000.0,782640.0,0
