date,shares,amount,buy_flag
2003-08-13,10000.0,151058.0,0
2004-02-14,7861.0,378495.0,0
2004-02-15,21177.0,1013973.0,0
2004-07-30,10000.0,225700.0,0
2004-11-02,5000.0,149943.02000000002,0
2004-11-23,15000.0,505457.44,0
2004-11-30,3000.0,107680.0,0
2004-12-01,6000.0,220150.0,0
2005-02-15,12500.0,596375.8200000001,0
2005-03-03,2500.0,117550.0,0
2005-05-11,5000.0,209200.00000000003,0
2005-05-27,1000.0,49920.0,0
2005-08-01,79607.0,5389567.369999998,0
2005-08-02,3927.0,264404.91,0
2005-08-03,6000.0,408000.0,0
2005-08-18,35625.0,1275502.5,0
2005-08-19,5000.0,369050.0,0
2005-08-25,236000.0,18092895.84,0
2005-08-26,67000.0,4841283.6,0
2005-09-06,5500.0,389785.0,0
2005-09-12,5500.0,388025.0,0
2005-10-31,28750.0,2545925.0,0
2005-11-01,20000.0,1757540.0,0
2005-11-02,60000.0,5402192.1,0
2005-11-10,10000.0,990125.92,0
2005-11-11,168590.0,16513439.75,0
2005-11-14,5000.0,500000.0,0
2005-11-15,3000.0,322404.0,0
2005-12-07,5000.0,576342.0,0
2005-12-12,12500.0,1489601.3,0
2005-12-13,4000.0,480000.0,0
2005-12-14,100.0,12000.0,0
2006-02-15,7500.0,758376.75,0
2006-02-16,27375.0,2766363.5999999996,0
2006-03-10,5500.0,488941.75,0
2006-03-14,15000.0,1419300.0,0
2006-03-15,16000.0,1510005.5,0
2006-05-03,19500.0,2419400.0,0
2006-05-04,15000.0,1877926.78,0
2006-05-05,10000.0,1281739.15,0
2006-05-09,7500.0,952252.3799999999,0
2006-05-10,61100.0,7891161.600000001,0
2006-05-11,1875.0,240712.5,0
2006-05-15,5000.0,588683.5,0
2006-05-16,1385.0,167622.5,0
2006-05-23,700.0,80609.0,0
2006-06-02,7500.0,862500.0,0
2006-06-12,5500.0,612504.2000000001,0
2006-06-13,11239.0,1202573.0,0
2006-08-02,15000.0,1468125.0,0
2006-08-04,9724.0,967762.57,0
2006-08-08,5000.0,490400.0,0
2006-08-10,5500.0,522456.0,0
2006-08-24,5000.0,458986.0,0
2006-09-14,46000.0,4519440.99,0
2006-09-15,5000.0,496900.0,0
2006-11-01,899.0,88102.0,0
2006-11-02,12163.0,1191293.0,0
2006-11-07,28000.0,2773632.98,0
2006-11-08,50000.0,4909032.600000001,0
2006-11-09,40000.0,3874237.2,0
2006-11-10,8000.0,771381.6000000001,0
2006-11-14,100000.0,9506373.33,0
2006-11-15,100000.0,9520639.3,0
2006-11-16,88500.0,8396903.4,0
2006-12-06,12998.0,1346225.095,0
2007-02-06,12313.0,1423365.9400000002,0
2007-02-12,18000.0,2005947.7999999998,0
2007-02-20,7000.0,805000.0,0
2007-04-24,24449.0,3239801.35,0
2007-04-30,7500.0,980597.16,0
2007-05-03,10000.0,1341783.99,0
2007-05-04,2000.0,266800.0,0
2007-05-07,1666.0,223310.63999999998,0
2007-05-10,15000.0,2003055.0199999996,0
2007-06-04,8000.0,1120985.35,0
2007-06-13,15000.0,2082500.0,0
2007-06-15,7500.0,1065869.69,0
2007-07-24,26085.0,5269170.0,0
2007-07-26,1500.0,304470.14999999997,0
2007-07-31,5000.0,1066015.1800000002,0
2007-08-01,6007.0,1258920.36,0
2007-08-02,3993.0,840064.79,0
2007-08-03,4542.0,964090.78,0
2007-08-24,8000.0,1680000.0,0
2007-09-04,1041.0,232559.4,0
2007-09-11,17002.0,3738068.31,0
2007-09-12,6000.0,1344560.6,0
2007-10-23,27940.0,8302924.4744,0
2007-10-26,1000.0,335000.0,0
2007-11-05,1042.0,322317.94,0
2007-11-12,7000.0,1932420.0,0
2007-12-04,5000.0,1621838.0,0
2007-12-06,542.0,180431.8,0
2007-12-11,2500.0,875346.0,0
2007-12-14,1000.0,332000.0,0
2008-02-05,2500.0,781950.0,0
2008-02-11,7000.0,2096709.9999999998,0
2008-02-12,10000.0,3022998.0,0
2008-02-14,9062.0,2826147.83,0
2008-03-05,499.0,142738.95,0
2008-03-12,4480.0,1252160.0,0
2008-04-22,10000.0,2850200.0,0
2008-04-23,242.0,68365.0,0
2008-05-12,7000.0,2018436.5,0
2008-05-16,8001.0,2375299.0,0
2008-05-23,10501.0,2977033.5,0
