date,shares,amount,buy_flag
2004-03-08,8000.0,429000.0,0
2004-04-27,18400.0,993608.0,0
2004-05-26,40000.0,2222400.0,0
2004-06-02,142800.0,999600.0,1
2004-08-03,12000.0,668218.0,0
2004-08-31,31700.0,1838600.0,0
2004-09-03,52500.0,3042253.0,0
2004-10-20,4000.0,227672.0,0
2004-11-05,3885.0,231152.5,0
2004-12-01,20000.0,1223009.0,0
2005-02-15,694327.0,13539376.5,0
2005-02-17,30000.0,1965599.9999999998,0
2005-03-01,7600.0,506963.0,0
2005-03-08,6000.0,409320.0,0
2005-04-25,54800.0,3757920.0,0
2005-09-16,10000.0,644800.0,0
2005-11-10,12630.0,776618.7000000001,0
2005-11-17,18000.0,1136340.0,0
2005-11-18,4800.0,300363.0,0
2005-12-16,320.0,19488.0,1
2006-03-03,78200.0,4516050.0,0
2006-04-19,5000.0,290200.0,1
2006-04-28,50.0,2928.0,0
2006-05-15,17900.0,1068815.0,0
2006-05-16,2200.0,132545.0,0
2006-08-29,125000.0,8058448.0,0
2006-09-05,5000.0,321700.0,0
2006-10-24,218000.0,14948821.0,0
2006-11-28,8125.0,495728.1,0
2006-12-05,2200.0,145530.0,0
2006-12-15,163.0,10798.75,0
2007-02-02,5000.0,333900.0,1
2007-04-26,157.0,10157.9,0
2007-06-14,200.0,12460.0,0
2007-08-09,75.0,4686.75,0
2007-10-17,7500.0,488462.0,0
2007-11-13,1.544,84.05636,0
2007-11-16,66863.0,4487625.3,0
2007-11-19,30500.0,2064225.0,0
2007-11-20,1800.0,121914.0,0
2007-11-21,14600.0,985500.0,0
2007-12-04,19199.0,1304334.05,0
2008-01-30,130.0,8135.4,0
2008-05-21,7300.0,484532.0,0
2008-05-22,1530.0,100398.6,0
2008-05-23,58900.0,3829217.0,0
2008-05-28,65085.0,4214591.74,0
2008-06-05,150.0,10047.0,0
2008-07-24,3000.0,207209.99999999997,0
2008-08-06,10600.0,754084.0,0
2008-08-18,25800.0,1838250.0,0
2008-10-17,2000.0,125300.0,1
2008-10-22,1000.0,62000.0,1
2008-10-30,1000.0,59750.0,1
2008-12-04,3000.0,170970.0,0
2009-02-02,1893.0,109207.17,0
2009-02-12,323.0,18220.43,0
2009-02-19,2000.0,111620.0,1
