date,shares,amount,buy_flag
2003-07-25,35000.0,1211987.0,0
2003-08-04,2637.0,11418.210000000001,0
2003-08-11,417576.0,12079354.08,0
2003-08-12,65000.0,2144600.0,0
2003-08-13,147933.0,4344849.89,0
2003-10-27,8000.0,281760.0,0
2003-11-06,14170.0,514656.714,0
2003-11-13,13810.0,494950.4,0
2003-11-19,6000000.0,697590000000000.0,0
2003-11-24,539526.0,593478.6000000001,1
2003-12-08,795454.0,874999.4,1
2004-01-23,27859.0,1112688.46,0
2004-01-30,1500000.0,0.0,1
2004-02-09,83797.0,855380.5489999999,0
2004-02-10,10075.0,102160.5,0
2004-02-11,1154465.0,8112749.05,0
2004-02-12,20000.0,806964.0,0
2004-02-17,6800.0,67592.0,0
2004-02-24,5309273.0,100876187.0,0
2004-03-05,249938.0,1749566.0,0
2004-04-27,64685.0,671189.6,0
2004-04-28,9316.0,96514.5,0
2004-04-29,10000.0,101614.92,0
2004-05-03,50000.0,506536.58,0
2004-05-04,23075.0,233561.0,0
2004-05-05,13809.0,138780.45,0
2004-05-06,50000.0,504000.0,0
2004-05-17,580518.0,4627307.08,0
2004-06-02,810223.0,31193585.5,0
2004-06-08,3072379.0,71586430.7,0
2004-06-18,10000.0,98800.00000000001,0
2004-06-21,343350.0,3336858.5000000005,0
2004-07-30,1459.0,54099.72,1
2004-08-02,14535.0,542351.0,1
2004-08-09,100000.0,3609000.0000000005,1
2004-08-11,402365.0,495968.45,0
2004-08-13,100000.0,3679000.0,1
2004-08-16,188443.0,220478.31,0
2004-08-17,200221.0,238262.99,0
2004-08-18,329777.0,385839.08999999997,0
2004-08-19,200221.0,240265.19999999998,0
2004-08-20,235554.0,282664.8,0
2004-08-23,221329.0,274447.96,0
2004-08-24,139787.0,174733.75,0
2004-08-25,116489.0,142116.58,0
2004-08-26,131956.0,159666.76,0
2004-08-27,93191.0,111829.2,0
2004-08-30,120271.0,138311.65,0
2004-08-31,209680.0,241131.99999999997,0
2004-09-01,419360.0,574172.7499999999,0
2004-09-02,222520.0,273699.6,0
2004-09-03,180079.0,216094.8,0
2004-09-07,161150.0,193380.0,0
2004-09-16,262262.0,327827.5,0
2004-09-17,237997.0,291117.8,0
2004-09-21,100000.0,121000.0,0
2004-09-22,50000.0,60000.0,0
2004-09-28,353850.0,3440473.5000000005,0
2004-09-29,46300.0,450611.0,0
2004-09-30,30400.0,291536.0,0
2004-10-01,50000.0,477870.0,0
2004-10-04,784305.0,6887972.899999999,0
2004-10-22,245395.0,304961.04,0
2004-10-26,50000.0,399850.0,0
2004-10-27,50000.0,400475.0,0
2004-10-28,1017500.0,41399900.0,0
2004-10-29,55000.0,439850.0,0
2004-11-01,10000.0,79500.0,0
2004-11-02,10000.0,80000.0,0
2004-11-03,10000.0,79750.0,0
2004-11-05,2500.0,19875.0,0
2004-11-10,776640.0,1250390.4000000001,0
2004-11-11,25583.0,41956.119999999995,0
2004-11-12,33527.0,148152.12,0
2004-11-15,137770.0,1110146.23,0
2004-11-16,3052.0,4700.08,0
2004-11-17,694444.0,12291658.8,0
2004-12-13,1274472.0,2867562.0,0
2004-12-15,353445.0,8132769.45,0
2004-12-20,181174.0,2531000.7800000003,0
2004-12-21,957067.0,15576265.424999999,0
2004-12-30,297338.0,1941794.56,0
2004-12-30,297338.0,1941794.56,1
2004-12-31,238304.0,634209.8600000001,0
2004-12-31,238304.0,634209.8600000001,1
2005-02-11,200000.0,7503300.0,1
2005-02-11,20217.0,758168.67,0
2005-04-27,70000.0,2465379.0,1
2005-05-11,70000.0,2451932.0,1
2005-05-12,60000.0,2100906.0,1
2005-05-13,100000.0,3422849.9999999995,1
2005-07-25,6950.0,246655.5,1
2005-07-28,24972.0,882320.6928,0
2005-08-05,3046.0,107527.1506,0
2005-08-10,9438.0,330518.76,0
2005-10-25,10000.0,356500.0,1
2006-01-10,40.0,1621.12,1
2006-01-19,18230.0,713339.9,0
2006-01-24,20000.0,764800.0,1
2006-02-16,240.0,9780.0,1
2006-05-01,13200.0,599327.52,0
2006-05-03,8615.0,390259.5,0
2006-05-05,13740.0,637810.8,0
2006-05-08,46008.0,2132930.88,0
2006-05-10,152285.0,3197985.0,0
2006-10-20,19494.0,913011.2370000001,0
2006-10-24,20000.0,940978.0000000001,0
2006-10-25,7216.0,340234.39999999997,0
2007-01-22,21000.0,1046640.0000000001,0
2007-02-01,4000.0,203560.0,1
2007-02-12,10000.0,504200.0,0
2007-04-20,150000.0,7832700.000000001,0
2007-04-27,4305.0,224767.06350000002,0
