date,shares,amount,buy_flag
2003-07-30,35792.0,1835413.76,0
2003-07-31,44100.0,2323897.3,0
2003-08-04,50000.0,2612500.0,0
2003-08-06,1000.0,50686.0,0
2003-08-14,25000.0,1300000.0,0
2003-08-15,25000.0,1300022.5,0
2003-08-18,40000.0,2170862.5785,0
2003-08-19,50000.0,2722685.0,0
2003-08-21,115000.0,6416400.0,0
2003-08-22,55000.0,3179445.0,0
2003-08-25,50000.0,2882055.0,0
2003-08-27,5000.0,291900.0,0
2003-09-08,9000.0,520774.19999999995,0
2003-09-16,30000.0,1712556.0,0
2003-10-27,5000.0,267350.0,0
2003-10-28,4229.0,235555.30000000002,0
2003-10-29,5000.0,286925.0,0
2003-10-30,55000.0,3156598.5,0
2003-11-11,2925.0,173043.0,0
2003-11-12,10000.0,595151.0,0
2003-11-24,521.0,29582.38,0
2003-12-01,10000.0,591123.0,0
2003-12-03,20000.0,1190764.0,0
2003-12-12,1369.0,78033.0,0
2003-12-16,50000.0,2754000.0,0
2004-01-28,50000.0,2928770.0,0
2004-01-29,47749.0,2700110.452,0
2004-02-27,8819.0,467407.0,0
2004-03-12,7500.0,397500.0,0
2004-05-13,35000.0,1540000.0,0
2004-05-18,15000.0,672295.5,0
2004-05-19,15000.0,693199.5,0
2004-05-20,15000.0,677749.5,0
2004-05-26,25000.0,1157025.0,0
2004-06-01,5000.0,237300.0,1
2004-06-15,5000.0,229477.0,0
2004-09-13,25000.0,1001355.0,0
2004-09-14,10000.0,403312.0,0
2004-10-26,21167.0,926948.6299999999,0
2004-11-01,25000.0,1130097.5,0
2004-12-02,2639.0,125352.5,0
2004-12-03,56361.0,2778622.8405999998,0
2004-12-06,17625.0,863977.5,0
2004-12-10,10000.0,463877.0,0
2004-12-14,5000.0,235829.0,0
2004-12-15,25000.0,1174522.5,0
2005-02-28,43968.0,2220063.0336,0
2005-03-01,20000.0,1000024.0,0
2005-03-10,5000.0,240400.0,0
2005-05-26,10009.0,452373.825,0
2005-06-01,5000.0,228611.0,0
2005-06-28,16899.0,760455.0,0
2005-08-02,150000.0,7690125.0,0
2005-08-09,7500.0,370152.0,0
2005-08-17,40000.0,1970344.0,0
2005-08-18,5000.0,246500.0,0
2005-08-19,3000.0,148196.4,0
2005-08-23,50000.0,2481655.0,0
2005-08-29,15000.0,746250.0,0
2005-09-12,5000.0,251050.0,0
2005-09-13,10000.0,506136.0,0
2005-09-15,67500.0,3409350.75,0
2005-11-03,7000.0,351079.4,0
2005-11-04,50000.0,2475130.0,0
2005-11-18,73000.0,3733255.0,0
2005-11-22,12500.0,657725.25,0
2005-11-29,5000.0,259795.5,0
2005-11-30,50000.0,2586910.0,0
2005-12-16,54813.0,2789674.7472,0
2006-02-08,86032.0,4638458.296,0
2006-02-27,100280.0,5192390.68,0
2006-03-01,5000.0,266150.0,0
2006-05-09,7500.0,364900.0,0
2007-02-08,53476.0,2726421.5215999996,0
2007-02-26,50000.0,2707990.0,0
2007-05-01,11250.0,625143.1400000001,0
2007-05-08,10000.0,562500.0,0
2007-05-18,32830254.0,54169919.099999994,1
2007-05-24,11196557.0,18474319.049999997,1
2008-09-10,1150.0,38617.0,1
2009-08-07,3350.0,104320.675,0
2009-11-05,6904.0,226395.96800000002,0
2010-02-02,874.0,25634.42,0
2010-02-18,5000.0,149410.0,0
2010-08-10,592.0,18944.0,0
2010-10-11,7000.0,242307.80000000002,0
2010-11-03,20000.0,715128.0,0
2010-11-10,2000.0,74831.0,0
2010-11-15,4000.0,147766.0,0
2010-12-03,3793.0,151720.0,0
2011-01-05,115.0,4386.1,0
2011-01-14,27792.0,1162817.28,0
2011-01-26,75023.0,3301012.0,0
2011-01-27,12593.0,566685.0,0
2011-01-28,2532.0,114598.31999999999,0
2011-02-01,22001.0,982377.665,0
2011-02-09,4748.0,218550.9148,0
2011-02-17,30643.0,1524489.25,0
2011-05-05,3399.0,152955.0,0
2011-07-05,426.0,17568.24,0
2011-08-26,10000.0,354228.0,0
2011-09-08,8000.0,284921.60000000003,0
2011-10-07,24684.0,1025620.2,0
2011-11-01,7736.0,351862.6768,0
2011-11-17,1394.0,65936.2,0
2011-11-30,9500.0,434502.44999999995,0
2011-12-06,2500.0,123375.0,0
2012-01-03,677.0,32983.44,0
2012-01-05,204.0,9557.4,0
2012-01-18,29828.0,1487234.5,0
2012-01-19,760.0,38501.6,0
2012-01-27,107916.0,5694569.0,0
2012-01-31,21000.0,1082434.5,0
2012-02-01,17540.0,910495.34,0
2012-02-16,10000.0,505867.99999999994,0
2012-03-20,27084.0,1428681.0,0
2012-03-26,11660.0,629640.0,0
2012-04-26,1267.0,69887.72,0
2012-05-01,5881.0,306192.50070000003,0
2012-05-02,13750.0,712525.0,0
2012-05-07,2532.0,125409.96,0
2012-05-15,20000.0,997988.0,0
2012-07-02,1394.0,68403.58,0
2012-07-05,348.0,16912.8,0
2012-07-31,17542.0,897217.1656,0
2012-08-06,10313.0,539201.242,0
2012-08-15,20000.0,1052476.0,0
2012-09-10,1250.0,65865.0,0
2012-11-06,4647.0,224655.03269999998,0
2012-11-15,3338.0,149575.78,0
2013-01-07,177.0,8619.9,0
2013-01-25,100173.0,5508539.550000001,0
2013-01-29,29811.0,1656371.4318,0
2013-01-31,2500.0,138725.0,0
2013-02-06,4647.0,260829.13950000002,0
2013-03-01,115002.0,6245007.920000001,0
2013-04-25,30000.0,1680000.0,0
2013-04-30,1250.0,67750.0,0
2013-05-06,4651.0,252316.75,0
2013-05-15,25000.0,1358500.0,0
2013-06-03,3200.0,182400.0,0
2013-06-12,1250.0,69012.5,0
2013-07-01,35.0,1975.75,0
2013-07-03,334.0,18186.3,0
2013-07-12,7800.0,468000.0,0
2013-07-30,36950.0,2156155.4,0
2013-08-01,3100.0,186000.0,0
2013-08-05,56664.0,3330143.52,0
2013-08-08,10495.0,613493.282,0
2013-08-15,25000.0,1442625.0,0
2013-09-06,2500.0,147536.25,0
2013-09-09,489.0,28777.65,0
2013-09-10,1498.0,88382.0,0
2013-09-16,1560.0,94333.2,0
2013-10-17,15000.0,945000.0,0
2013-10-22,4000.0,259564.00000000003,0
2013-10-29,44375.0,2890551.25,0
2013-10-30,280.0,18365.76,0
2013-11-05,6967.0,442892.19,0
2013-11-15,25000.0,1561215.0,0
2013-11-27,11250.0,718713.75,0
2014-01-03,348.0,22049.28,0
2014-01-28,2500.0,154317.5,0
2014-02-05,9465.0,570395.94,0
2014-02-07,3853.0,238924.53,0
2014-02-25,3750.0,244570.0,0
2014-03-03,20000.0,1283400.0,0
2014-05-01,1250.0,78837.5,0
2014-05-05,6960.0,436044.0,0
2014-05-15,12243.0,762371.61,0
2014-07-02,584.0,42503.520000000004,0
2014-07-29,2500.0,180411.25,0
2014-07-30,1250.0,90112.5,0
2014-08-04,11320.0,808361.2,0
2014-08-06,17156.0,1216531.96,0
2014-08-07,3203.0,231576.9,0
2014-08-08,5740.0,411672.8,0
2014-08-15,27757.0,2046293.4699999997,0
2014-10-16,3894.0,259446.33,0
2014-11-05,5204.0,417985.27999999997,0
2014-11-17,10478.0,830473.2,0
2015-01-02,4241.0,299499.42000000004,0
2015-01-05,177.0,12349.289999999999,0
2015-02-05,963.0,60813.45,0
2015-02-09,3841.0,238180.41,0
2015-02-18,3841.0,244710.11000000002,0
2015-03-03,67.0,4317.212,1
2015-05-05,5204.0,311407.36000000004,0
2015-05-26,14000.0,815056.321,0
2015-07-02,644.0,36534.119999999995,0
2015-07-28,135.0,6826.95,0
2015-08-03,1877.0,98992.98000000001,0
2015-08-05,6740.0,352097.6,0
2015-08-07,19395.0,1005296.9469999999,0
2015-08-10,4586.0,242691.12,0
2015-09-08,7894.0,382622.18,0
2015-09-10,3108.0,152820.36000000002,0
2015-10-21,16771.0,1079884.69,0
2015-11-04,6345.0,420610.05000000005,0
2015-12-01,1600.0,106832.0,0
2016-01-04,6343.0,431641.14999999997,0
2016-01-05,355.0,24274.899999999998,0
2016-02-08,10745.0,694126.9999999999,0
2016-03-01,1147.0,78248.34,0
2016-05-04,6343.0,438808.74000000005,0
2016-07-05,363.0,26219.49,0
2016-10-25,59120.0,4412435.833000001,0
2016-11-11,17173.0,1293745.128,0
2016-11-22,6000.0,494669.99999999994,0
2016-12-08,35000.0,2771020.0,0
2017-02-01,43255.0,3696906.909,0
2017-02-07,3064.0,266230.96,0
2017-03-16,10933.0,1023438.13,0
2017-05-02,10000.0,988809.9,0
2017-05-11,1663.0,165988.58000000002,0
2017-05-15,3848.0,390595.088,0
2017-06-12,5695.0,572575.3,0
2017-07-05,3074.0,280982.82399999996,0
2017-08-01,840.0,77994.0,0
2017-08-07,25632.0,2285092.8,0
2017-08-08,2407.0,221419.93,0
2017-08-09,967.0,87107.36,0
2017-08-15,37377.0,3396120.342,0
2017-08-17,1000.0,91500.0,0
2017-08-21,3526.0,317093.18000000005,0
2017-09-06,6659.0,624148.0700000001,0
2017-09-08,2893.0,275529.32,0
2017-10-02,4236.0,446938.23000000004,0
2017-10-31,1678.0,183641.998,0
2017-11-01,500.0,55000.0,0
2017-11-06,3120.0,330002.39999999997,0
2017-11-10,3652.0,373234.4,0
2017-11-13,8038.0,816017.76,0
2017-11-16,10914.0,1144898.4360000002,0
2017-11-17,836.0,88415.36,0
2017-11-20,1566.0,161298.0,0
2017-12-01,500.0,50630.0,0
2018-01-02,500.0,52921.5,0
2018-01-18,2375.0,273125.0,0
2018-01-25,1775.0,213000.0,0
2018-01-30,47.0,5234.86,0
2018-01-31,13299.0,1464219.9,0
2018-02-01,4737.0,517611.99,0
2018-02-02,1120.0,123244.8,0
2018-02-09,2975.0,296637.25,0
2018-02-14,204.0,21845.951999999997,1
2018-03-01,854.0,96433.68000000001,0
2018-04-27,107.0,10868.097,1
2018-05-10,2400.0,263232.0,0
2018-07-02,235.0,24407.1,0
2018-07-03,705.0,73221.29999999999,0
2018-08-06,20124.0,2386767.903,0
2018-08-07,29423.0,3468573.31,0
2018-08-08,17062.0,1991959.2280000001,0
2018-08-09,4142.0,486388.805,0
2018-08-10,3851.0,444058.81,0
2018-08-30,649.0,75556.58,0
2018-09-04,16393.0,1923664.4260000002,0
2018-09-05,1041.0,122275.86,0
2018-09-07,1418.0,151215.52,0
2018-11-02,886.0,84258.59999999999,0
2018-11-12,2065.0,193573.09999999998,0
2018-11-14,8823.0,830733.8099999999,0
2018-11-23,2525.0,239875.0,0
2019-02-01,1114.0,119198.0,0
2019-02-13,3851.0,414059.51999999996,0
2019-03-01,1669.0,194650.463,0
2019-03-12,2141.0,251417.63,0
2019-05-08,3633.0,422336.25,0
2019-05-14,1500.0,165562.5,0
2019-07-01,822.0,99757.92,0
2019-08-05,8198.0,1066559.8,0
2019-08-06,1652.0,217849.24,0
2019-08-07,7810.0,1047789.6000000001,0
2019-08-08,2500.0,340805.0,0
2019-08-19,8962.0,1243906.0,0
2019-08-21,7307.0,1034817.3400000001,0
2019-09-03,2500.0,375000.0,0
2019-09-04,1505.0,228127.90000000002,0
2019-09-20,6751.0,1066725.51,0
2019-11-04,885.0,154680.3,0
2019-11-05,2500.0,432187.54799999995,0
2019-11-11,10419.0,1824094.47,0
2019-11-20,7067.0,1244710.71,0
2020-02-03,2569.0,435457.87,0
2020-02-07,590.0,99327.68000000001,0
2020-02-19,3754.0,646476.3400000001,0
2020-02-20,2797.0,472402.11199999996,0
2020-02-25,3877.0,602020.56,0
2020-03-04,1418.0,222753.62,0
2020-05-01,5000.0,759187.52,0
2020-05-11,37266.0,6295564.48,0
2020-05-20,2530.0,444015.0,0
2020-07-02,136.0,26460.16,0
2020-08-03,5217.0,1065118.98,0
2020-08-04,5575.0,1121788.142,0
2020-08-05,5299.0,1091699.98,0
2020-08-07,5582.0,1126782.52,0
2020-08-11,9000.0,1836180.0,0
2020-08-19,35115.0,7401389.175000001,0
2020-08-20,9954.0,2057790.42,0
2020-09-04,2421.0,483812.64,0
2020-09-08,1129.0,204563.51,0
2020-11-02,2500.0,502691.1033999999,0
2020-11-12,1390.0,326830.7,0
2020-11-19,3415.0,806383.95,0
2021-02-01,2431.0,701243.504,0
2021-02-03,4216.0,1271545.6,0
2021-02-08,1287.0,387258.3,0
2021-02-19,274.0,90250.12,0
2021-02-25,3795.0,1224608.55,0
2021-05-10,15000.0,4649250.0,0
2021-05-11,377.0,113486.42499999999,1
2021-05-20,1418.0,440952.624,0
2021-05-24,5000.0,1575000.0,0
2021-07-01,136.0,44084.399999999994,0
2021-07-02,192.0,60236.16,0
2021-08-02,2171.0,755855.3600000001,0
2021-08-03,2086.0,724321.78,0
2021-08-04,3229.0,1120107.8099999998,0
2021-08-06,2796.0,982905.8400000001,0
2021-08-09,1896.0,669250.0800000001,0
2021-08-10,41790.0,14364761.659999996,0
2021-08-25,12806.0,4170914.1999999997,0
2021-09-08,1129.0,385169.64,0
2021-09-09,6617.0,2222782.64,0
2021-09-22,3505.0,1258750.65,0
2021-11-02,590.0,224813.6,0
2021-11-18,4768.0,2014909.1199999999,0
2022-02-22,1418.0,503475.08,0
2022-03-01,1772.0,614139.76,0
2022-05-24,1020.0,343760.39999999997,0
2022-07-05,114.0,32635.92,0
