date,shares,amount,buy_flag
2003-10-22,745.0,33770.85,1
2003-10-30,1200.0,54936.0,1
2004-03-11,1035.0,49938.75,1
2004-08-12,1300.0,57264.99999999999,0
2004-08-16,900.0,39942.0,0
2004-09-21,100000.0,4057090.0,1
2004-11-17,2450.0,98318.5,1
2004-11-19,5655.0,225029.80000000002,1
2004-11-19,13100.0,526489.0,0
2005-08-08,1150.0,50025.0,1
2005-11-11,7075.0,300026.5,1
2006-03-01,1180.0,49984.8,1
2006-04-25,7250.0,300511.0,1
2006-05-02,243898.0,10280918.7,1
2006-05-03,200000.0,8400000.0,1
2006-05-04,56102.0,2350484.8,1
2006-09-21,13200.0,583440.0,0
2007-02-20,5500.0,261458.00000000003,1
2007-03-01,2000.0,92980.0,1
2007-03-09,1000.0,47480.0,1
2007-04-26,80775.0,4202927.0,0
2007-10-30,23950.0,1483030.9,0
2008-02-19,2000.0,117148.0,1
2008-02-29,500.0,29250.0,1
2008-05-09,4500.0,251808.0,1
2009-03-02,500000.0,19953300.0,1
2009-03-03,13000.0,506125.89999999997,1
2009-09-29,1902.0,100006.9698,0
2009-10-26,510000.0,27556830.0,1
2009-10-29,13024.0,699636.1699999999,0
2009-11-06,2800.0,151647.8,1
2009-12-07,78955.0,4546344.84,0
2009-12-10,25000.0,1455250.0,0
2010-03-01,154905.0,8203345.325999999,1
2010-05-11,18000.0,972000.0,0
2010-10-05,33104.0,1969688.0,0
2010-10-06,31188.0,1865042.4,0
2010-10-18,42500.0,2550000.0,0
2010-10-19,16633.0,997980.0,0
2010-10-25,119942.0,7376540.9478,0
2010-10-27,226500.0,13690090.35,0
2010-11-01,63482.0,3901258.1597999996,0
2010-11-01,120000.0,7382604.0,1
2010-11-02,38749.0,2396304.0333000002,0
2010-11-04,53634.0,3325308.0,0
2010-11-05,3500.0,218400.0,0
2010-11-11,270000.0,16899786.0,1
2010-12-02,20875.0,1355831.25,0
2010-12-16,29500.0,1917500.0,0
2011-02-23,3896.0,249994.632,1
2011-02-28,235000.0,15142930.0,1
2011-03-01,33823.0,2196407.5,0
2011-04-06,30000.0,2032508.9999999998,0
2011-04-12,97553.0,6529983.2034,0
2011-04-14,58924.0,4006832.0,0
2011-07-19,36500.0,2541255.0,0
2011-08-15,65431.0,4417914.2062,0
2011-08-16,106394.0,7219083.143800001,0
2011-08-30,208166.0,14571620.0,0
2011-09-08,16500.0,1179255.0,0
2011-09-15,20122.0,1405924.1400000001,0
2011-09-19,50000.0,3503370.0000000005,0
2011-09-20,50000.0,3550385.0,0
2011-10-27,20000.0,1379000.0,0
2011-11-01,100000.0,6711290.0,1
2011-11-03,43242.0,2958998.1695999997,0
2011-11-04,63241.0,4259471.073,0
2011-11-10,89031.0,5990326.1916000005,0
2011-11-11,48000.0,3269995.1999999997,0
2011-12-01,52292.0,3514074.692,0
2012-02-21,151258.0,10389596.662,0
2012-02-22,3000.0,207810.0,1
2012-02-24,1000.0,68859.7,1
2012-02-24,75949.0,5228594.981500001,0
2012-02-28,3626.0,249688.173,1
2012-03-01,20000.0,1394199.9999999998,0
2012-03-02,19017.0,1315080.6993,0
2012-03-22,15000.0,1071750.0,0
2012-03-28,85000.0,6120000.0,0
2012-03-29,15000.0,1101750.0,0
2012-03-30,51449.0,3788704.36,0
2012-04-27,85000.0,6460000.0,0
2012-04-27,270507.0,20820958.2867,1
2012-04-30,91782.0,7006169.791800001,0
2012-05-01,20000.0,1535694.0,0
2012-05-07,200.0,15427.92,1
2012-05-09,22950.0,1763847.4949999999,0
2012-05-11,6642.0,515097.063,0
2012-05-18,80000.0,5902448.000000001,0
2012-05-21,97073.0,7205942.3506000005,0
2012-07-02,12500.0,981250.0,0
2012-07-27,101524.0,8116420.0,0
2012-07-31,12500.0,1015625.0,0
2012-08-01,50548.0,4093863.2196000004,0
2012-10-23,1000.0,36699.2,1
2012-12-18,50000.0,1875000.0,0
2013-02-05,50000.0,1900000.0,0
2013-02-22,2539.0,97455.4526,0
2013-02-26,208286.0,7903662.213199999,0
2013-03-05,35000.0,1354521.0,0
2013-03-08,90476.0,3537892.0755999996,0
2013-03-12,600.0,23495.999999999996,1
2013-03-20,291500.0,11514250.0,0
2013-03-21,187000.0,7480000.0,0
2013-03-26,320000.0,12960000.0,0
2013-04-09,425482.0,17444762.0,0
2013-04-10,30000.0,1225000.0,0
2013-04-16,50000.0,2107500.0,0
2013-04-17,125852.0,5348710.0,0
2013-05-01,42306.0,1792445.9916,0
2013-05-07,149268.0,6306244.6104,0
2013-05-15,20000.0,860000.0,0
2013-08-08,6200.0,248386.26,0
2013-11-06,92000.0,3673044.8,0
2013-11-11,50000.0,1991225.0,0
2014-02-24,10481.0,392931.26499999996,1
2014-02-25,10500.0,398050.8,1
2014-02-27,1500.0,57090.0,1
2014-03-11,2585.0,100192.015,1
2014-03-13,95490.0,3666529.53,0
2014-05-05,3760.0,153869.35199999998,0
2014-05-08,300282.0,31024429.2124,1
2014-05-09,875855.0,93746629.0625,1
2014-05-09,39760.0,1623798.4000000001,0
2014-05-12,1629454.0,177545707.3409,1
2014-05-13,194000.0,7954000.0,0
2014-05-14,22460.0,919925.664,0
2014-06-26,9399.0,394758.0,0
2014-08-15,13960.0,572360.0,0
2014-09-02,250000.0,10403100.0,0
2014-09-19,174140.0,7312138.600000001,0
2014-10-03,180000.0,7740000.0,0
2014-10-28,56499.0,2297757.831,0
2014-11-03,180040.0,7529650.884,0
2014-11-10,9140.0,387201.47599999997,0
2014-11-12,151600.0,6474184.12,0
2014-12-03,124946.0,5545003.5232,0
2014-12-08,306500.0,13300720.75,0
2014-12-09,75000.0,3147780.0,0
2015-02-11,6378286.0,831595826.0512,1
2015-02-24,10000.0,420949.0,1
2015-02-24,171800.0,7258309.48,0
2015-02-26,500.0,21215.0,1
2015-02-26,114784.0,4850358.6175999995,0
2015-03-02,77720.0,3355980.688,0
2015-03-12,51424.0,2077591.3088000002,0
2015-04-29,2000.0,81074.0,1
2015-05-21,500.0,20600.0,1
2015-09-28,32767.0,1297245.53,0
2015-09-30,12400.0,495380.00000000006,0
2015-10-12,75660.0,3177720.0,0
2015-10-23,29050.0,1249155.81,0
2015-10-26,137580.0,5882356.721999999,0
2015-10-27,387246.0,16506476.9238,0
2015-10-28,364682.0,15552736.2878,0
2015-10-29,199084.0,8516538.982,0
2015-11-02,280000.0,11816840.0,0
2015-11-18,80000.0,3357432.0,0
