date,shares,amount,buy_flag
2018-11-23,693.0,108447.57,1
2018-11-29,10187.387,1558486.471353,0
2018-12-19,1800.0,284462.82,0
2019-02-01,7749.0,1278507.51,0
2019-02-25,4129.0,722481.28,0
2019-03-20,3159.0,558416.43,0
2019-03-22,6600.0,1136256.0,1
2019-04-05,7773.0,1438094.11,0
2019-04-08,54994.0,10144193.24,0
2019-05-15,4870.0,872752.7000000001,1
2019-05-17,19056.0,3586910.88,0
2019-06-06,56574.0,11160352.98,0
2019-08-15,335.0,62454.05,0
2019-11-18,1583.0,331964.43970000005,0
2019-11-19,2355.0,493398.40499999997,0
2019-12-20,2402.0,509632.33999999997,0
2020-02-18,11821.0,2646769.04,0
2020-03-09,3000.0,527781.0,1
2020-03-12,336.0,54764.64,0
2020-03-12,2000.0,324800.0,1
2020-03-13,3400.0,545054.0,1
2020-03-16,2000.0,304940.0,1
2020-03-17,1400.0,222208.0,1
2020-05-18,862.0,165473.83000000002,0
2020-06-03,6671.0,1414051.8699999999,0
2020-08-06,7.0,1718.71,0
2020-08-19,5.0,1238.5,0
2020-11-09,79256.0,20842133.770000003,0
2021-02-12,2559.0,643991.43,0
2021-02-26,493.0,121248.42,1
2021-05-25,21.0,6344.625,0
2021-11-02,4872.0,1594069.68,0
2022-02-18,375.0,113626.79999999999,1
2022-03-08,3750.0,1007325.0,1
2022-05-03,186.0,57948.3,0
2022-11-11,74227.0,24532765.77,0
2022-11-14,2166.0,726931.26,0
2022-11-16,2932.0,979015.6769999999,0
2023-03-03,4060.0,1462272.4,0
2023-05-01,59957.0,22313270.550000004,0
2023-05-15,2194.0,814016.38,0
2023-06-14,1966.0,734222.36,0
2023-08-01,39695.0,15545355.9,0
2023-09-07,12484.0,4825491.7044,0
2023-09-14,1245.0,482605.11,0
2024-02-08,300.0,124383.5,0
2024-03-04,90821.0,41313538.44,0
2024-03-05,13134.0,6030381.88,0
2024-03-06,8306.0,3837704.24,0
2024-03-07,2523.0,1174835.62,0
2024-03-12,11311.065999999999,5308522.45666,0
2024-08-16,5191.0,2366496.38,0
2024-09-10,10025.0,4639068.75,0
2024-12-04,4385.0,2020279.125,0
2024-12-12,100.0,44134.0,1
2024-12-16,2218.0,963388.3,0
2025-02-10,2900.0,1323154.0,0
2025-02-18,1400.0,640570.0,0
2025-02-20,6782.0,3117142.4299999997,0
2025-03-03,2477.0,1163545.98,0
2025-03-11,4833.0,2231154.4499999997,0
2025-05-16,1987.16,908211.6064,0
2025-05-22,7261.459,3314272.013587,0
2025-08-07,50309.0,23815274.419999998,0
