date,shares,amount,buy_flag
2003-08-05,10000.0,648716.0,0
2003-08-15,5000.0,308350.0,0
2004-02-25,120000.0,8717760.0,0
2004-02-26,140000.0,10271090.0,0
2004-03-08,140000.0,10269636.0,0
2004-04-20,100000.0,7282949.0,0
2004-04-26,140000.0,10263364.0,0
2004-04-27,135000.0,10025364.0,0
2004-04-29,100000.0,7367215.0,0
2004-05-03,150000.0,11210138.0,0
2004-05-05,100000.0,7549597.0,0
2004-05-07,100000.0,7617191.0,0
2004-05-18,100000.0,7263989.0,0
2004-05-27,150000.0,11103379.0,0
2004-06-01,175000.0,13011429.0,0
2004-06-03,140000.0,10469110.0,0
2004-06-07,140000.0,10532949.0,0
2004-06-14,90000.0,6593651.0,0
2004-06-15,100000.0,7290597.0,0
2004-07-27,100000.0,6295682.0,0
2004-07-29,80000.0,5104104.0,0
2004-08-03,80000.0,5090150.0,0
2004-08-06,60000.0,3648368.0,0
2004-08-09,125000.0,7559701.0,0
2004-08-11,90000.0,5574700.0,0
2004-08-17,100000.0,6300424.0,0
2004-08-19,110000.0,7033150.0,0
2004-08-20,75000.0,4835847.0,0
2005-02-03,2000.0,110000.0,0
2005-02-07,6000.0,336000.0,0
2005-03-01,2000.0,112160.0,0
2005-04-19,150000.0,8909278.0,0
2005-04-20,100000.0,5880479.0,0
2005-04-25,120000.0,7053289.0,0
2005-05-02,140000.0,8210717.0,0
2005-05-10,110000.0,6525485.0,0
2005-05-17,125000.0,7399310.0,0
2005-05-18,170000.0,10257036.0,0
2005-05-31,20780.0,1215072.8,0
2005-07-27,150000.0,8203408.0,0
2005-07-28,160000.0,8869466.0,0
2005-08-01,180000.0,10199104.0,0
2005-08-02,150000.0,8391909.0,0
2005-08-03,36600.0,2012435.0,0
2005-08-08,63400.0,3364414.0,0
2005-08-09,170000.0,9128230.0,0
2005-08-10,200000.0,10813580.0,0
2005-08-11,200000.0,10724504.0,0
2005-08-15,128200.0,6818567.0,0
2005-08-16,100000.0,5302165.0,0
2005-08-17,125000.0,6603236.0,0
2005-08-18,115000.0,6029787.0,0
2005-08-19,100000.0,5282261.0,0
2005-08-23,150000.0,8046134.0,0
2005-08-24,125000.0,6707469.0,0
2005-08-25,100000.0,5343613.0,0
2005-08-29,140000.0,7507264.0,0
2005-08-30,80000.0,4310319.0,0
2005-08-31,155271.0,8474465.55,0
2005-09-15,2864.0,158808.80000000002,0
2005-11-30,22217.0,1120347.99,0
2005-12-15,5000.0,280700.0,0
2006-02-02,6201.0,353457.0,0
2006-02-28,21169.0,1189769.87,0
2006-03-08,200000.0,11409115.0,0
2006-03-09,200000.0,11422959.0,0
2006-03-13,225000.0,12874838.0,0
2006-03-14,150000.0,8603292.0,0
2006-03-15,200000.0,11382207.0,0
2006-04-21,25000.0,1320000.0,0
2006-04-25,225000.0,11737976.0,0
2006-04-26,200000.0,10446700.0,0
2006-04-27,150000.0,7899698.0,0
2006-05-02,200000.0,10414394.0,0
2006-05-03,200000.0,10401573.0,0
2006-05-04,200000.0,10393396.0,0
2006-05-09,200000.0,10452652.0,0
2006-05-11,150000.0,7682106.0,0
2006-05-12,150000.0,7588717.0,0
2006-05-16,150000.0,7779991.0,0
2006-05-17,120000.0,6158296.0,0
2006-05-19,100000.0,5080400.0,0
2006-05-24,100000.0,5067068.0,0
2006-05-25,180000.0,9253844.0,0
2006-05-30,100000.0,5180213.0,0
2006-06-01,150000.0,7756506.0,0
2006-06-06,120000.0,6134859.0,0
2006-06-07,120000.0,6192740.0,0
2006-06-12,125000.0,6501550.0,0
2006-06-15,2055.0,110723.4,0
2006-07-25,150000.0,8376563.0,0
2006-07-27,150000.0,8342812.0,0
2006-07-31,25000.0,1412750.0,0
2006-08-01,125000.0,7032608.0,0
2006-08-03,180000.0,10240496.0,0
2006-08-09,150000.0,8308667.0,0
2006-08-15,175000.0,9663019.0,0
2006-08-21,1400.0,77042.0,0
2006-08-22,125000.0,6836670.0,0
2006-08-23,125000.0,6873283.0,0
2006-08-24,185000.0,10214421.0,0
2006-08-28,130000.0,7270533.0,0
2006-08-29,150000.0,8433452.0,0
2006-08-30,120000.0,6728799.0,0
2006-09-06,100000.0,5524124.0,0
2006-09-08,100000.0,5517449.0,0
2006-09-13,125000.0,6899907.0,0
2006-09-18,1250.0,68475.0,0
2006-10-20,10650.0,606378.48,0
2006-10-23,25000.0,1421750.0,0
2006-10-25,160000.0,9190927.0,0
2006-10-26,150000.0,8568675.0,0
2006-11-01,170000.0,9509966.0,0
2006-11-02,140000.0,7893918.0,0
2006-11-07,120000.0,6853797.0,0
2006-11-09,100000.0,5533733.0,0
2006-11-28,110000.0,5923198.0,0
2006-11-29,115000.0,6219132.0,0
2006-11-30,150000.0,8055071.0,0
2006-12-05,100000.0,5449221.0,0
2006-12-14,2141.0,115870.92,0
2007-02-08,10092.0,548233.52,0
2007-02-12,7290.0,396430.2,0
2007-03-12,7289.0,381870.71,0
2007-04-04,4533.0,249315.0,0
2007-04-19,125000.0,7486134.0,0
2007-04-20,150000.0,9056936.68,0
2007-04-24,110000.0,6514796.84,0
2007-04-25,125000.0,7412773.43,0
2007-04-26,100000.0,5967200.84,0
2007-04-30,110000.0,6506240.0,0
2007-05-01,300000.0,17693432.0,0
2007-05-02,101565.0,6015799.71,0
2007-05-03,125000.0,7387087.0,0
2007-05-07,125000.0,7472610.0,0
2007-05-09,160000.0,9540104.35,0
2007-05-15,210000.0,12461241.110000001,0
2007-05-16,180000.0,10648768.450000001,0
2007-05-18,90000.0,5344564.67,0
2007-05-22,200000.0,11914175.920000002,0
2007-05-23,115000.0,6848412.0,0
2007-06-01,4533.0,266223.08999999997,0
2007-06-04,125000.0,7385936.19,0
2007-07-31,125000.0,6789345.0,0
2007-09-04,296933.0,17220804.96,0
2007-09-05,67900.0,3891817.12,0
2008-02-04,19822.0,1022881.3,0
2008-02-25,19558.0,1000000.54,1
2008-02-26,10000.0,515000.0,0
2008-07-28,100000.0,4783686.069999999,0
2008-07-29,110000.0,5314045.86,0
2008-07-30,90000.0,4291627.8,0
2008-08-04,120000.0,5686570.0,0
2008-08-05,140000.0,6668217.07,0
2008-08-06,90000.0,4309976.18,0
2008-08-08,115000.0,5563802.22,0
2008-08-11,80000.0,3925005.88,0
2008-08-12,110000.0,5430746.75,0
2008-08-15,155000.0,7563198.959999998,0
2008-08-22,150000.0,7165964.17,0
2008-08-25,120000.0,5719198.6,0
2008-08-28,160000.0,7500992.91,0
2008-09-02,165000.0,7738586.399999999,0
2008-09-09,130000.0,6094254.5,0
2009-11-20,2673.0,97965.45,0
2010-02-03,8200.0,288880.0,0
2010-02-17,2000.0,68700.0,0
2010-03-02,4811.0,166989.81,0
2010-03-11,4000.0,141625.0,0
2010-08-16,3100.0,109523.0,0
2010-09-16,3100.0,110204.99999999999,0
2010-10-15,3100.0,116715.0,0
2010-11-16,3100.0,106733.0,0
2010-12-16,3100.0,108810.0,0
2011-01-14,3100.0,108096.99999999999,0
2011-02-03,35194.0,1243921.5699999998,0
2011-02-09,23435.0,837801.25,0
2011-02-15,12441.0,429836.55,0
2011-02-16,3100.0,106919.0,0
2011-03-04,5000.0,172500.0,0
2011-03-11,11000.0,383460.0,0
2011-04-11,5700.0,203832.0,0
2011-04-20,12000.0,431759.99999999994,0
2011-05-11,5700.0,217797.0,0
2011-05-17,3378.0,132147.36,0
2011-06-13,5700.0,212325.0,0
2011-06-20,5000.0,186900.0,0
2011-06-23,95743.0,5189270.600000001,0
2011-06-27,5000.0,183667.0,0
2011-06-29,93991.0,5066114.899999999,0
2011-07-06,54103.0,2886173.97,0
2011-07-11,5700.0,213123.0,0
2011-08-11,5700.0,193458.0,0
2011-09-12,5700.0,204686.99999999997,0
2011-10-11,5700.0,217170.0,0
2011-11-11,5700.0,214034.99999999997,0
2011-11-18,5000.0,184400.0,0
2011-12-12,5787.0,226271.7,0
2012-02-01,17584.0,700722.4,0
2012-02-02,3800.0,150518.0,0
2012-02-13,7900.0,306915.0,0
2012-03-12,2000.0,79200.0,0
2012-04-02,5000.0,201500.0,0
2012-04-17,2000.0,80000.0,0
2012-05-01,5000.0,206600.0,0
2012-05-14,2000.0,82080.0,0
2012-05-18,1295.0,52434.55,0
2012-06-01,5000.0,203000.0,0
2012-06-14,2125.0,88400.0,0
2012-07-02,5000.0,215000.0,0
2012-08-01,5000.0,220799.99999999997,0
2012-10-24,10000.0,504500.0,0
2013-01-30,15000.0,812100.0,0
2013-02-01,5000.0,271400.0,0
2013-02-05,29646.0,1607109.66,0
2013-02-08,3000.0,161730.0,0
2013-03-12,19000.0,1052220.0,0
2013-03-26,5000.0,280000.0,0
2013-04-15,5000.0,285500.0,0
2013-04-29,3500.0,197155.0,0
2013-05-10,10000.0,544900.0,0
2013-05-15,5000.0,280750.0,0
2013-06-17,5000.0,262250.0,0
2013-07-15,5000.0,257150.0,0
2013-07-29,7500.0,403050.0,0
2013-08-15,5000.0,268950.0,0
2014-01-31,12431.0,0.0,1
2014-02-03,19648.0,0.0,0
2014-04-15,733445.0,5134115.0,1
2014-04-28,150000.0,8796000.0,0
2014-04-29,200000.0,11886000.0,0
2014-05-06,190000.0,11170792.0,0
2014-05-12,17157.0,1015437.83,1
2014-05-12,210000.0,12459300.0,0
2014-05-21,230000.0,13547000.0,0
2014-06-05,190000.0,11310700.0,0
2014-06-16,200000.0,11746000.0,0
2014-06-20,230000.0,14156084.0,0
2014-06-25,245000.0,15356768.0,0
2014-07-01,235000.0,14640500.0,0
2014-07-25,40000.0,2554900.0,0
2014-07-28,2065.0,130714.5,0
2014-07-29,250000.0,15757683.0,0
2014-09-02,5000.0,318000.0,0
2014-09-03,200000.0,12798000.0,0
2014-09-10,210000.0,13601700.0,0
2014-09-30,200000.0,13013999.999999998,0
2014-10-01,5000.0,324300.0,0
2014-10-06,210000.0,13782299.999999998,0
2014-10-24,2750.0,180867.5,0
2014-10-30,175000.0,11651562.999999998,0
2014-10-31,197376.0,13107409.440000001,0
2014-11-03,5000.0,330150.0,0
2014-11-04,15000.0,1005000.0,0
2014-11-05,180000.0,12060000.0,0
2014-11-11,750.0,51367.49999999999,0
2014-11-12,164963.0,2227000.5,1
2014-11-13,200000.0,13546000.0,0
2014-12-02,180000.0,12624394.850000001,0
2014-12-04,190000.0,13664800.0,0
2015-02-02,64837.0,4607816.3100000005,0
2015-02-03,71711.0,5071401.92,0
2015-02-04,19548.0,1369215.33,0
2015-02-05,374.0,26565.22,0
2015-03-09,4000.0,277080.0,0
2015-03-23,190000.0,14624034.399999999,0
2015-03-30,180000.0,13308660.0,0
2015-05-01,200000.0,14617599.999999998,0
2015-05-08,195000.0,14289795.000000002,0
2015-05-15,200000.0,14566399.999999998,0
2015-05-20,190000.0,13951320.0,0
2015-05-29,20200.0,1577266.0,0
2015-06-01,220000.0,17460080.0,0
2015-06-04,200000.0,15579998.600000001,0
2015-06-10,210000.0,17302518.873999998,0
2015-07-28,25000.0,2124000.0,0
2015-09-18,250000.0,22260310.456,0
2015-10-05,260000.0,22479558.66,0
2015-10-09,215000.0,18459442.43,0
2015-10-29,200000.0,16455723.680999998,0
2015-11-20,205000.0,17331231.4,0
2015-12-02,210000.0,17869067.65,0
2015-12-09,25000.0,2097000.0,0
2015-12-15,215000.0,18402925.0,0
2015-12-21,205000.0,17630000.0,0
2016-01-29,5000.0,393750.0,0
2016-02-01,3170.0,249225.40000000002,1
2016-02-01,12231.0,958493.52,0
2016-02-03,7122.0,546590.27,0
2016-02-05,15230.0,1201190.1,0
2016-04-08,200000.0,14857800.0,0
2016-04-12,500000.0,5000000.0,1
2016-04-27,12000.0,915240.0,0
2016-04-29,181000.0,13655501.856,0
2016-05-02,600.0,45918.0,0
2016-05-12,190000.0,14414035.242,0
2016-05-12,1080.0,81810.0,1
2016-05-31,200000.0,15023200.0,0
2016-06-10,992.0,73179.84,0
2016-06-29,220000.0,17129162.589999996,0
2016-06-30,215000.0,16869941.9,0
2016-07-07,225000.0,17806358.115,0
2016-07-12,210000.0,16703820.0,0
2016-07-28,241213.0,19989441.007999998,0
2016-07-29,205000.0,17001880.0,0
2016-08-12,2560.0,205875.2,1
2016-10-04,413.0,33502.560000000005,0
2016-10-05,1835.0,149424.05000000002,0
2016-12-16,1875.0,135805.0,1
2016-12-16,223335.0,16233329.763999999,0
2017-02-01,220000.0,17016840.371,0
2017-02-02,9270.0,714611.9,0
2017-02-03,3892.0,301513.24,0
2017-02-06,15000.0,1164900.0,0
2017-02-17,230000.0,18462790.0,0
2017-02-27,225000.0,18688950.0,0
2017-03-30,210000.0,17781540.0,0
2017-05-04,25000.0,2069000.0000000002,0
2017-06-09,22833.0,1825955.01,0
2017-06-12,1900.0,153482.0,0
2017-06-20,215000.0,17855363.0,0
2017-06-22,210000.0,17730720.0,0
2017-07-31,220000.0,18279477.836999997,0
2017-08-31,180000.0,14590080.0,0
2017-09-15,190000.0,15679771.991999999,0
2017-09-29,195000.0,16602600.832,0
2017-10-04,205000.0,17795025.0,0
2017-11-10,2003.0,167591.01,0
2017-12-04,40117.0,3456647.3000000003,0
2017-12-11,12500.0,1080750.0,0
2017-12-13,200000.0,17639176.0,0
2018-02-05,10525.0,853761.0,0
2018-02-21,876.0,67933.8,0
2018-03-01,860.0,65790.0,0
2018-03-16,3000.0,237600.0,0
2018-04-13,5165.0,413923.1,0
2018-04-16,17379.0,1391710.32,0
2018-04-25,180000.0,14553614.200000001,0
2018-05-03,9027.0,708619.5,0
2018-05-11,140000.0,11475940.0,0
2018-05-29,8426.0,691774.6,0
2018-05-30,180000.0,15092640.0,0
