date,shares,amount,buy_flag
2003-07-28,10000.0,225200.0,0
2003-07-29,50000.0,1109000.0,0
2003-07-30,50000.0,1132000.0,0
2003-08-15,17994.0,389543.95999999996,0
2003-08-20,50000.0,1208500.0,0
2003-08-21,140000.0,3459500.0,0
2003-08-22,50000.0,1259000.0,0
2003-08-25,77025.0,1881112.5000000002,0
2003-08-27,45000.0,1113750.0,0
2003-08-28,200000.0,5160500.0,0
2003-09-08,86000.0,2270840.0,0
2003-10-21,10000.0,270150.0,0
2003-10-28,359800.0,10086538.0,0
2003-10-29,128589.0,3734709.22,0
2003-10-30,28911.0,847031.4099999999,0
2003-11-03,40000.0,1180000.0,0
2003-11-06,50000.0,1527000.0,0
2003-11-07,50000.0,1542000.0,0
2003-11-12,250000.0,7785500.0,0
2003-11-13,35000.0,1090800.0,0
2003-11-25,100000.0,3086000.0,0
2003-12-01,100000.0,3214000.0,0
2003-12-02,155000.0,5035200.0,0
2003-12-05,55900.0,1794949.0,0
2003-12-09,8000.0,244960.0,0
2003-12-12,175000.0,5603330.0,0
2004-02-19,100000.0,2849000.0,0
2004-03-25,20000.0,500000.0,0
2004-03-26,20000.0,500000.0,0
2004-03-29,20000.0,500800.0,0
2004-03-30,20000.0,500200.00000000006,0
2004-03-31,20000.0,500400.0,0
2004-04-01,25000.0,632000.0,0
2004-04-02,30000.0,800300.0,0
2004-04-05,30000.0,802900.0,0
2004-04-06,25000.0,668000.0,0
2004-04-07,25000.0,656500.0,0
2004-04-08,25000.0,669500.0,0
2004-04-12,30000.0,799800.0,0
2004-04-13,30000.0,818200.0,0
2004-04-14,30000.0,810900.0,0
2004-04-15,25000.0,667700.0,0
2004-04-16,20000.0,500400.0,0
2004-04-19,5000.0,125000.0,0
2004-04-20,20000.0,507800.0,0
2004-04-23,40000.0,1000000.0,0
2004-04-26,20000.0,500200.00000000006,0
2004-05-28,40000.0,1000000.0,0
2004-06-01,20000.0,500000.0,0
2004-06-07,25000.0,625250.0,0
2004-06-23,20000.0,500000.0,0
2004-06-24,20000.0,500400.0,0
2004-06-25,25000.0,631000.0,0
2004-06-28,25000.0,651050.0,0
2004-06-29,25000.0,634400.0,0
2004-06-30,25000.0,654000.0,0
2004-07-01,25000.0,664550.0,0
2004-07-02,20000.0,502000.0,0
2004-07-09,20000.0,500000.0,0
2004-07-27,25000.0,564500.0,0
2004-10-25,20000.0,500000.0,0
2004-10-27,45000.0,1138500.0,0
2004-10-28,20000.0,508200.0,0
2004-10-29,25000.0,641600.0,0
2004-11-01,25000.0,647400.0,0
2004-11-02,50000.0,1308700.0,0
2004-11-03,25000.0,670400.0,0
2004-11-04,20000.0,500800.0,0
2004-11-05,25000.0,646000.0,0
2004-11-08,43000.0,1109341.6,0
2004-11-09,75120.0,1945299.6,0
2004-11-10,25000.0,640700.0,0
2004-11-11,5000.0,130000.0,0
2004-11-12,25000.0,643800.0,0
2004-11-15,65000.0,1731200.0,0
2004-11-16,130000.0,3496690.0,0
2004-11-17,199900.0,5527500.0,0
2004-11-18,45100.0,1230400.0,0
2004-11-19,51040.0,1402267.2,0
2004-11-22,25000.0,656250.0,0
2004-11-23,33960.0,900177.6,0
2004-11-24,25000.0,659800.0,0
2004-11-26,25000.0,655000.0,0
2004-11-29,25000.0,657750.0,0
2004-12-01,95000.0,2624905.0,0
2004-12-02,9750.0,277875.0,0
2004-12-03,171535.0,5019598.74,0
2004-12-07,41514.0,1205754.24,0
2005-01-03,40000.0,1149500.0,0
2005-01-04,30000.0,824350.0,0
2005-01-05,25000.0,654250.0,0
2005-01-06,25000.0,650000.0,0
2005-01-07,25000.0,650000.0,0
2005-01-10,25000.0,650000.0,0
2005-01-11,25000.0,650000.0,0
2005-01-12,25000.0,651500.0,0
2005-01-13,25000.0,660000.0,0
2005-01-14,30000.0,795525.0,0
2005-01-18,30000.0,805250.0,0
2005-01-19,30000.0,814250.0,0
2005-01-20,30000.0,785750.0,0
2005-01-21,25000.0,650150.0,0
2005-01-24,25000.0,668500.0,0
2005-01-25,25000.0,650000.0,0
2005-01-26,25000.0,650000.0,0
2005-01-27,30000.0,794250.0,0
2005-01-28,30000.0,810300.0,0
2005-01-31,30000.0,798750.0,0
2005-02-01,30000.0,801500.0,0
2005-02-02,30000.0,809250.0,0
2005-02-03,30000.0,815100.0,0
2005-02-04,35000.0,955400.0,0
2005-02-07,40000.0,1153000.0,0
2005-02-08,145000.0,4302015.0,0
2005-02-09,30000.0,888000.0,0
2005-02-11,12500.0,375000.0,0
2005-02-14,15386.0,461406.83999999997,0
2005-02-15,67500.0,2094381.0,0
2005-02-16,18000.0,543125.0,0
2005-02-24,12500.0,387580.0,0
2005-02-25,564.0,18048.0,0
2005-02-28,39100.0,1251200.0,0
2005-03-01,68871.0,2210483.616,0
2005-05-31,27500.0,825525.0,0
2005-06-01,60000.0,1864738.0,0
2005-06-02,30000.0,918640.0,0
2005-06-03,30000.0,945000.0,0
2005-06-06,30000.0,938100.0,0
2005-06-07,30000.0,933600.0,0
2005-06-08,20000.0,610800.0,0
2005-06-09,10000.0,306400.0,0
2005-07-20,10565.0,338111.695,0
2005-08-29,18000.0,560160.0,0
2005-09-08,25000.0,775000.0,0
2005-09-13,10250.0,328000.0,0
2005-10-13,126600.0,4250500.0,0
2005-10-17,30000.0,990000.0,0
2005-10-18,20000.0,663395.3999999999,0
2005-10-20,35000.0,1190306.0,0
2005-10-24,20000.0,682060.0,0
2005-10-25,4500.0,153000.0,0
2005-11-03,326900.0,11597225.0,0
2005-11-04,19900.0,699054.0,0
2005-11-07,46600.0,1674502.56,0
2005-11-08,45000.0,1630022.0,0
2005-11-09,88500.0,3284130.0,0
2005-11-10,95000.0,3598750.5,0
2005-11-11,200.0,7598.0,0
2005-11-14,36699.0,1380959.5,0
2005-11-15,27416.0,1041685.0,0
2005-11-16,30685.0,1166030.0,0
2005-11-18,50000.0,1906009.9999999998,0
2005-11-23,50000.0,1905455.0,0
2005-11-29,20000.0,757086.0000000001,0
2005-12-01,245000.0,9553770.0,0
2005-12-06,18000.0,691432.2,0
2005-12-13,25000.0,925000.0,0
2005-12-14,8975.0,332183.5975,0
2005-12-15,25000.0,925000.0,0
2005-12-23,4701.0,173937.9402,0
2006-01-04,25000.0,925015.0,0
2006-01-05,30000.0,1121500.0,0
2006-01-06,40000.0,1525250.0,0
2006-01-09,40000.0,1557446.0,0
2006-01-10,40000.0,1564000.0,0
2006-01-11,40000.0,1536300.0,0
2006-01-12,40000.0,1573600.0000000002,0
2006-01-13,30000.0,1163400.0,0
2006-01-17,25000.0,941497.5,0
2006-01-18,30000.0,1117000.0,0
2006-01-19,252050.0,10700275.0,0
2006-01-20,20000.0,867600.0,0
2006-01-23,20828.0,882342.8124,0
2006-01-24,135874.0,5949732.9094,0
2006-01-25,20000.0,880002.0000000001,0
2006-01-26,30000.0,1346529.0,0
2006-01-27,55000.0,2552142.95,0
2006-01-30,60000.0,2812826.0,0
2006-02-06,20000.0,935000.0,0
2006-02-09,50000.0,2410620.0,0
2006-02-27,10000.0,425277.00000000006,0
2006-03-02,4000.0,178659.0,0
2006-03-15,40000.0,1796800.0,0
2006-03-16,10000.0,454900.0,0
2006-04-06,30000.0,1355300.0,0
2006-04-07,63905.0,2936383.1125,0
2006-04-13,52095.0,2450160.15,0
2006-04-18,16949.0,779823.49,0
2006-04-19,83000.0,3906763.2199999997,0
2006-04-20,73000.0,3507964.0,0
2006-04-27,53000.0,2599475.9,0
2006-05-03,121500.0,6133620.0,0
2006-05-04,136000.0,7161598.800000001,0
