date,shares,amount,buy_flag
2006-05-25,100.0,4029.9999999999995,1
2006-05-31,272500.0,10627500.0,1
2006-09-06,3500.0,199080.0,1
2007-05-29,4500.0,637920.0,0
2007-08-22,3000.0,435000.0,0
2007-08-23,2774.0,405004.0,0
2007-08-24,2226.0,311640.0,0
2007-10-12,29000.0,4746516.34,0
2007-10-31,6500.0,1157000.0,0
2007-11-06,56200.0,11218482.405000001,0
2007-11-07,3500.0,700000.0,0
2007-11-15,5000.0,925461.0,0
2007-11-20,10000.0,1790002.0,0
2007-11-26,10000.0,1860175.0,0
2007-11-29,5769.0,1153800.0,0
2008-01-07,26221.0,5191206.45,0
2008-01-08,13264.0,2667906.1,0
2008-01-22,13500.0,2295910.33,0
2008-01-31,3269.0,686490.0,0
2008-02-05,4000.0,860000.0,0
2008-02-06,27000.0,5495796.690000001,0
2008-02-08,10000.0,2050000.0,0
2008-02-11,2400.0,501600.0,0
2008-02-12,7600.0,1606381.0,0
2008-02-15,4904.0,977442.7,0
2008-02-19,15421.0,3171650.02,0
2008-02-20,5421.0,1090260.6099999999,0
2008-02-21,5421.0,1110187.8,0
2008-02-22,5422.0,1082575.0899999999,0
2008-02-25,20000.0,3963269.8,0
2008-02-26,9808.0,1918350.64,0
2008-03-03,5357.0,1022690.6399999999,0
2008-03-12,3151.0,630200.0,0
2008-03-25,20000.0,4497412.39,0
2008-04-14,20000.0,4509431.72,0
2008-05-02,64557.0,18942321.785,0
2008-05-06,2678.0,803400.0,0
2008-05-15,2678.0,768865.64,0
2008-05-27,28667.0,7914797.43,0
2008-06-25,16986.0,4970772.58,0
2008-07-02,60132.0,15473900.6566,0
2008-08-06,200.0,45980.200000000004,1
2008-08-06,4904.0,1132428.4558,0
2008-08-07,1058.0,240843.12,0
2008-08-11,48075.0,11489925.0,0
2009-01-05,20344.0,3122953.5928,0
2009-01-08,3803.0,573712.2919,0
2009-05-26,6907.0,1161541.4674,0
2009-08-04,27938.0,5536544.4,0
2009-08-07,200.0,41200.0,0
2009-08-11,2478.0,505958.92000000004,0
2009-08-20,8920.0,1779137.6894,0
2009-10-09,43600.0,9247855.370000001,0
2009-11-25,1543.8198,369350.752,0
2010-01-06,20901.0,5315135.4853,0
2010-01-11,3466.0,868616.3816,0
2010-01-15,1512.0,400680.72,0
2010-02-02,6300.0,1601387.0,0
2010-02-03,3664.0,918908.2168,0
2010-02-11,38729.0,8809792.523200002,0
2010-02-12,6685.0,1512295.422,0
2010-02-16,1685.0,380097.94200000004,0
2010-02-17,1685.0,380136.0,0
2010-02-18,1685.0,376597.5,0
2010-02-22,1372.0,309208.24,0
2010-03-01,3151.0,722651.0443,0
2010-03-03,33395.0,7781313.39,0
2010-03-08,2678.0,642721.56,0
2010-05-10,3496.0,978880.0,0
2010-05-12,3000.0,700081.8,0
2010-05-19,290.0,59322.371,1
2010-05-25,10673.0,2198057.157,0
2010-05-27,3000.0,628365.9,0
2010-06-02,8820.0,1773289.224,0
2010-06-03,8820.0,1784708.4780000001,0
2010-06-04,8820.0,1754718.714,0
2010-06-07,8820.0,1788039.792,0
2010-06-08,8820.0,1742014.386,0
2010-06-09,8820.0,1737087.534,0
2010-06-10,8820.0,1785539.3220000002,0
2010-06-11,8820.0,1798388.298,0
2010-06-14,8820.0,1805518.386,0
2010-06-15,8820.0,1819906.452,0
2010-06-16,8820.0,1849289.4,0
2010-06-17,8820.0,1888152.966,0
2010-06-18,8820.0,1887519.6900000002,0
2010-06-21,8820.0,1932171.8220000002,0
2010-06-22,8820.0,1966551.3,0
2010-06-23,8820.0,1929154.5,0
2010-06-24,8820.0,1906520.6160000002,0
2010-06-25,8820.0,1894609.206,0
2010-06-28,8820.0,1878207.534,0
2010-06-29,8809.0,1791442.2850000001,0
2011-01-05,10610.0,2447846.893,0
2011-01-06,10610.0,2452311.5810000002,0
2011-01-07,10610.0,2453725.894,0
2011-01-10,10610.0,2452726.432,0
2011-01-11,10610.0,2434111.187,0
2011-01-12,10610.0,2452163.041,0
2011-01-13,10610.0,2465132.705,0
2011-01-14,10610.0,2494685.799,0
2011-01-18,10610.0,2517703.133,0
2011-01-19,10610.0,2509336.087,0
2011-01-20,10610.0,2467400.062,0
2011-01-21,10610.0,2490926.676,0
2011-01-24,10610.0,2517742.39,0
2011-01-25,10610.0,2538991.037,0
2011-01-26,10610.0,2547340.046,0
2011-01-27,10610.0,2532129.55,0
2011-01-28,10610.0,2505344.605,0
2011-01-31,10610.0,2492697.485,0
2011-02-01,10610.0,2535548.092,0
2011-02-02,10590.0,2548687.887,0
2011-02-16,1000.0,256192.0,0
2011-02-25,2500.0,617500.0,0
2011-02-28,3000.0,723591.0,0
2011-04-25,4397.0,1198929.7375,0
2011-05-09,2600.0,720226.0,0
2011-05-10,807.0,225960.0,0
2011-05-11,17673.0,4948471.3833,0
2011-05-12,1000.0,280000.0,0
2011-05-19,808.0,229366.96,0
2011-05-27,12701.0,3619785.0,0
2011-07-05,7420.0,2342500.678,0
2011-07-06,7420.0,2327711.876,0
2011-07-07,7420.0,2370690.0,0
2011-07-08,7420.0,2344720.0,0
2011-07-11,7420.0,2288776.91,0
2011-07-12,7420.0,2278627.092,0
2011-07-13,7420.0,2286384.702,0
2011-07-14,7420.0,2285838.59,0
2011-07-15,7420.0,2280754.406,0
2011-07-18,7420.0,2270662.464,0
2011-07-19,7420.0,2306509.968,0
2011-07-20,7420.0,2285859.366,0
2011-07-21,7420.0,2308001.388,0
2011-07-22,7420.0,2322170.62,0
2011-07-25,7420.0,2351472.942,0
2011-07-26,7420.0,2334007.0039999997,0
2011-07-27,7420.0,2318853.88,0
2011-07-28,7420.0,2263100.0,0
2011-07-29,7420.0,2240379.96,0
2011-08-02,7386.0,2261105.724,0
2011-08-11,1264.0,407080.0,0
2011-08-12,1005.0,332403.75,0
2011-08-15,1200.0,396000.0,0
2011-08-17,12513.0,4147219.8777,0
2011-08-31,7957.0,2665595.0,0
2011-11-07,1000.0,365000.0,0
2011-11-11,4207.0,1556590.0,0
2011-11-29,100.0,36000.0,0
2011-11-30,900.0,331893.0,0
2011-12-01,1000.0,375000.0,0
2011-12-02,2627.0,1004954.812,0
2012-01-09,7030.0,2426784.12,0
2012-01-10,7030.0,2454693.2199999997,0
2012-01-11,7030.0,2396210.65,0
2012-01-12,7030.0,2396316.1,0
2012-01-13,7030.0,2391434.468,0
2012-01-17,7030.0,2423063.844,0
2012-01-18,7030.0,2479423.354,0
2012-01-19,7030.0,2465790.778,0
2012-01-20,7030.0,2436295.0069999998,0
2012-01-23,7030.0,2410407.735,0
2012-01-24,7030.0,2389651.66,0
2012-01-25,7030.0,2401806.5300000003,0
2012-01-26,7030.0,2467592.567,0
2012-01-27,7030.0,2447370.069,0
2012-01-30,7030.0,2450133.562,0
2012-01-31,7030.0,2493873.519,0
2012-02-01,7030.0,2525751.054,0
2012-02-02,7030.0,2644196.0089999996,0
2012-02-03,7030.0,2736265.81,0
2012-02-06,7033.0,2730215.5231,0
2012-02-16,1160.0,455145.024,0
2012-02-29,12694.0,5374926.718699999,0
2012-03-01,4680.0,1961674.2066000002,0
2012-03-02,8437.0,3514010.5,0
2012-03-07,4655.0,1918687.1935,0
2012-03-15,9364.0,3927636.16,0
2012-05-15,7350.0,3055033.1440000003,0
2012-07-18,3660.0,1586097.6,0
2012-07-19,3600.0,1549709.64,0
2012-07-20,3660.0,1551511.698,0
2012-07-23,3660.0,1510971.3420000002,0
2012-07-24,3660.0,1502029.23,0
2012-07-25,3660.0,1500627.816,0
2012-07-26,3660.0,1547550.114,0
2012-07-27,3660.0,1552352.4,0
2012-07-30,3660.0,1619679.198,0
2012-07-31,3660.0,1589936.574,0
2012-08-01,3660.0,1566381.5459999999,0
2012-08-02,3660.0,1544696.0459999999,0
2012-08-03,3660.0,1563990.102,0
2012-08-07,3660.0,1528850.808,0
2012-08-08,3660.0,1546973.298,0
2012-08-09,3660.0,1549634.8499999999,0
2012-08-10,3660.0,1559502.576,0
2012-08-13,3660.0,1546152.36,0
2012-08-14,3660.0,1581237.1199999999,0
2012-08-15,3676.0,1578224.0644,0
2012-08-28,4935.0,2092389.1506000003,0
2012-09-10,2231.0,980947.2745,0
2012-09-14,812.556,368168.22978840006,0
2012-10-08,3600.0,1705000.65,0
2012-11-13,9463.0,4490874.836,0
2012-11-14,9463.0,4406266.153,0
2012-11-15,9463.0,4316405.505,0
2012-11-16,9463.0,4354683.34,0
2012-11-19,9463.0,4454262.489,0
2012-11-20,9463.0,4525376.934,0
2012-11-21,9463.0,4533523.6307,0
2012-11-23,9463.0,4533699.6425,0
2012-11-26,9463.0,4541409.1486,0
2012-11-27,9463.0,4537959.885100001,0
2012-11-28,9463.0,4511700.060099999,0
2012-11-29,14609.0,7121201.9467,0
2012-11-30,9463.0,4598712.3451,0
2012-12-03,9463.0,4653887.3129,0
2012-12-04,9463.0,4589036.4276,0
2012-12-05,9463.0,4523905.4375,0
2012-12-06,9463.0,4513976.8579,0
2012-12-07,9463.0,4522483.1486,0
2012-12-10,9463.0,4525231.2038,0
2012-12-11,9471.0,4571224.5579,0
2013-01-17,11872.0,6213534.1184,0
2013-01-18,11872.0,6125898.576,0
2013-01-22,11872.0,6124713.7504,0
2013-01-23,11872.0,6126952.8096,0
2013-01-24,11872.0,6203025.023999999,0
2013-01-25,11872.0,6163477.0176,0
2013-01-28,11872.0,6123640.5216,0
2013-01-29,11872.0,6168339.788799999,0
2013-01-30,11872.0,6118641.222399999,0
2013-01-31,11872.0,6120806.6751999995,0
2013-02-01,11872.0,6136592.8736,0
2013-02-04,11872.0,6130961.984,0
2013-02-05,11872.0,6165669.776000001,0
2013-02-06,11872.0,6180089.507200001,0
2013-02-07,11872.0,6165116.5408,0
2013-02-08,11872.0,6188302.556799999,0
2013-02-11,0.1145,59.99994650000001,1
2013-02-11,11872.0,6205211.8464,0
2013-02-12,11872.0,6176087.455999999,0
2013-02-13,11872.0,6159001.273600001,0
2013-02-14,11869.0,6194006.1898,0
2013-02-19,8321.0,4352027.7853999995,0
2013-02-20,8321.0,4316800.831900001,0
2013-02-21,8321.0,4295491.583,0
2013-02-22,8321.0,4315438.6842,0
2013-02-25,8321.0,4327594.8331,0
2013-02-26,8321.0,4245517.3212,0
2013-02-27,8321.0,4260740.5907,0
2013-02-28,8321.0,4301340.4139,0
2013-03-01,8321.0,4301212.2705,0
2013-03-04,8321.0,4312126.094099999,0
2013-03-05,10247.0,5396792.2315,0
2013-03-06,8321.0,4386708.0492,0
2013-03-07,8321.0,4387124.9313,0
2013-03-08,9755.0,5147966.214,0
2013-03-11,8321.0,4412883.4189,0
2013-03-12,8321.0,4366060.3198,0
2013-03-13,8321.0,4371443.174699999,0
2013-03-14,8321.0,4401898.8668,0
2013-03-15,8321.0,4356442.0759000005,0
2013-03-18,8318.0,4302130.321400001,0
2013-05-06,31064.0,17122133.8653,0
2013-05-07,3790.0,2084500.0,0
2013-05-10,0.216,120.08304000000001,1
2013-05-13,3009.0,1663977.0,0
2013-05-14,3193.0,1816817.0,0
2013-05-16,5678.0,3249777.1812000005,0
2013-07-17,2137.0,1260190.8233,0
2013-07-18,2137.0,1277743.9276,0
2013-07-19,2137.0,1276688.0359,0
2013-07-22,2137.0,1277487.4876,0
2013-07-23,2137.0,1282756.6885,0
2013-07-24,2137.0,1268983.7235,0
2013-07-25,2137.0,1275619.5359,0
2013-07-26,2137.0,1274276.4314,0
2013-07-29,2137.0,1274866.8845,0
2013-07-30,2137.0,1285098.6268,0
2013-07-31,2137.0,1311091.1715,0
2013-08-01,2137.0,1369160.7273,0
2013-08-02,2137.0,1373715.7428,0
2013-08-05,17417.0,11177191.1888,0
2013-08-06,2137.0,1381867.9704,0
2013-08-07,2137.0,1383484.6109,0
2013-08-08,2137.0,1377655.9434,0
2013-08-09,2137.0,1372711.1391,0
2013-08-12,2137.0,1349474.6833000001,0
2013-08-13,2137.0,1350710.9378,0
2013-08-14,2145.0,1354315.0335,0
2013-11-06,1500.0,1102500.0,0
2013-11-11,4338.0,3202050.7,0
