date,shares,amount,buy_flag
2003-07-30,20000.0,443250.0,0
2003-08-05,5000.0,112000.0,1
2003-08-11,19600.0,469420.0,0
2003-08-20,5317.0,121652.95999999999,0
2003-10-24,2500.0,59750.0,1
2003-10-28,5319.0,130262.31,0
2003-11-10,120191.0,3143695.2379999994,0
2003-11-11,72350.0,1883538.0,0
2003-11-12,10000.0,263650.0,0
2003-11-24,22000.0,565800.0,0
2004-02-18,74255.0,2003721.8,0
2004-02-25,5000.0,139750.0,1
2004-05-11,22000.0,583220.0,0
2004-07-27,60000.0,1617000.0,0
2004-07-30,7500.0,205425.0,1
2004-10-20,38000.0,1083200.0,0
2004-10-22,36000.0,1032150.0000000001,0
2004-10-26,2000.0,56560.0,0
2004-10-27,2000.0,57941.0,0
2004-11-01,9000.0,263250.0,0
2004-11-02,22000.0,648280.6000000001,0
2004-11-24,15009.0,456273.6,0
2004-12-10,7500.0,238350.0,1
2004-12-10,133000.0,4200873.3,0
2004-12-13,201000.0,6391800.0,0
2004-12-15,12000.0,385800.0,0
2005-01-31,10000.0,324099.99999999994,1
2005-02-03,5000.0,0.0,1
2005-02-10,2500.0,80250.0,1
2005-03-11,2000.0,65168.0,0
2005-04-25,2000.0,60520.0,0
2005-04-25,23000.0,697160.0,1
2005-05-02,52000.0,1530880.0,0
2005-05-03,2000.0,59960.0,0
2005-05-04,2000.0,60273.0,0
2005-08-01,7000.0,218400.0,0
2005-08-10,44000.0,1441704.0,0
2005-08-11,5000.0,170950.0,0
2005-09-12,124000.0,4203514.0,0
2005-09-13,30000.0,996081.0,0
2005-11-02,155.0,4955.349999999999,1
2005-11-15,14104.0,470509.44,0
2005-12-13,8000.0,282400.0,0
2005-12-13,20000.0,699325.0,1
2006-01-25,3075000.0,68694878.0,0
2006-02-01,36000.0,1260360.0,0
2006-02-09,99000.0,3601070.0,0
2006-02-10,2000.0,72540.0,0
2006-02-13,2749.0,100475.95,0
2006-02-14,34200.0,1247616.0,0
2006-03-09,2000.0,69101.0,0
2006-03-15,2000.0,68420.0,0
2006-05-10,23974.0,859834.56,0
2006-05-18,4100000.0,252150000.0,0
2006-05-24,441099.0,27127588.5,0
2006-07-26,36000.0,1241860.0,0
2006-07-28,16200.0,563760.0,0
2006-07-31,70250.0,2486990.5,0
2006-08-01,24222.0,847856.22,0
2006-09-13,40111.0,1525866.77,0
2006-10-06,16539967.0,743636916.32,0
2006-10-20,15000.0,615000.0,0
2006-10-23,48000.0,2008200.0,0
2006-10-27,10000.0,418200.0,0
2006-10-30,15750.0,658332.0,0
2006-11-10,6000.0,252134.0,0
2006-12-11,25000.0,1088487.0,0
2006-12-12,100000.0,4318047.0,0
2007-01-25,34000.0,1494413.0,0
2007-02-01,40750.0,1807816.0,0
2007-02-13,21524.0,965667.44,0
2007-03-15,47000.0,2043739.9999999998,0
2007-04-23,57300.0,2785043.0,0
2007-04-24,2200.0,106942.0,0
2007-05-17,1200.0,66384.0,0
2007-06-11,12000.0,616468.0,0
2007-06-15,20000.0,1049786.0,0
2007-09-14,166000.0,8897520.0,0
2007-09-17,123000.0,6764067.85,0
2007-10-22,64000.0,3577600.0,0
2007-10-23,120000.0,6794747.149999999,0
2007-10-24,22250.0,1268612.5,0
2007-10-25,7500.0,434228.0,0
2007-11-15,30910.0,1760288.45,0
2007-12-11,110937.0,6880325.0,0
2007-12-12,20000.0,1263400.0,0
2008-02-05,2000.0,108580.0,1
2008-02-12,30630.0,1730465.8,0
