date,shares,amount,buy_flag
2012-05-22,334544829.0,12572409315.881998,0
2012-08-08,47846.0,1006201.38,1
2012-08-16,13000000.0,259752425.70999998,0
2012-08-17,7208068.0,139058919.07999998,0
2012-08-20,150000.0,2922885.0,0
2012-08-21,150000.0,2907600.0,0
2012-08-22,150000.0,2896470.0,0
2012-08-23,150000.0,2926590.0,0
2012-08-24,150000.0,2915025.0,0
2012-08-27,150000.0,2883675.0,0
2012-08-28,150000.0,2889434.9999999995,0
2012-08-29,150000.0,2878770.0,0
2012-08-30,150000.0,2878620.0,0
2012-08-31,150000.0,2724480.0,0
2012-09-04,150000.0,2668995.0,0
2012-09-05,150000.0,2779500.0,0
2012-09-06,2775000.0,52671442.5,0
2012-09-07,2775000.0,52971697.5,0
2012-10-25,3563387.0,81151150.18319999,0
2012-10-31,751279.0,15813564.279599998,0
2012-11-01,6700.0,141665.47,0
2012-11-05,31429.0,663199.0435,0
2012-11-06,176452.0,3748434.626,0
2012-11-08,153000.0,3141656.1,0
2012-11-13,12000.0,235200.00000000003,0
2012-11-14,12000.0,240959.99999999997,0
2012-11-16,7857.0,180239.58000000002,0
2012-11-19,2812349.0,66050395.9679,0
2012-11-20,136350.0,3123437.625,0
2012-11-21,125.0,3041.25,0
2012-11-26,15714.0,391907.16000000003,0
2012-11-29,15714.0,423335.16000000003,0
2012-12-03,173657.0,4846164.229499999,0
2012-12-04,40.0,1082.3999999999999,0
2012-12-05,946588.0,26202165.628799997,0
2012-12-11,12000.0,336960.0,0
2012-12-12,12000.0,335880.0,0
2012-12-17,290269.0,7769739.183,0
2012-12-18,74538.0,2079624.2148000002,0
2012-12-31,55000.0,1452973.5,0
2013-01-02,68126.0,1872760.92,0
2013-01-03,508118.0,14166617.4568,0
2013-01-07,90555.0,2610638.415,0
2013-01-08,12000.0,354034.8,0
2013-01-09,12000.0,355923.6,0
2013-01-10,39285.0,1215477.9000000001,0
2013-01-14,70714.0,2266030.13,0
2013-01-16,352903.0,10627522.0232,0
2013-01-28,70714.0,2254362.32,0
2013-01-29,68360.0,2187355.9359999998,0
2013-02-01,1193649.0,36066369.1703,0
2013-02-04,1674405.0,48027798.515200004,0
2013-02-05,11700.0,330525.0,0
2013-02-11,55000.0,1571075.0,0
2013-02-12,63270.0,1746141.567,0
2013-02-13,12000.0,328200.0,0
2013-02-19,19557.0,557204.5800000001,0
2013-02-20,11700.0,338013.0,0
2013-02-21,176452.0,4875469.1856,0
2013-02-25,55000.0,1496726.0,0
2013-02-28,51270.0,1376086.8,0
2013-03-04,8126.0,225577.76,0
2013-03-05,176452.0,4923198.474,0
2013-03-11,55000.0,1539384.0,0
2013-03-12,12000.0,337200.0,0
2013-03-13,63270.0,1745338.425,0
2013-03-14,11700.0,317070.0,0
2013-03-15,11700.0,316134.0,0
2013-03-20,176452.0,4600390.0552,0
2013-03-25,98413.0,2513861.2750000004,0
2013-03-27,11700.0,292500.0,0
2013-03-28,11700.0,305253.0,0
2013-04-02,8126.0,209488.28,0
2013-04-04,7857.0,211667.58000000002,0
2013-04-08,207875.0,5598161.3604,0
2013-04-09,12000.0,318960.0,0
2013-04-10,23700.0,639900.0,0
2013-04-11,62970.0,1730911.9980000001,0
2013-04-18,176452.0,4550376.2184,0
2013-04-23,11700.0,306540.0,0
2013-04-24,11700.0,303264.0,0
2013-04-29,51270.0,1392185.58,0
2013-05-03,1331609.0,38001058.1593,0
2013-05-06,11700.0,331461.0,0
2013-05-07,188152.0,5129811.932,0
2013-05-13,51270.0,1363987.08,0
2013-05-14,12000.0,322440.0,0
2013-05-15,12125.0,326405.0,0
2013-05-21,45000.0,1164100.5,0
2013-05-22,188277.0,4792700.11,0
2013-05-23,11700.0,289809.0,0
2013-05-28,34180.0,836056.472,0
2013-05-29,125.0,2973.75,0
2013-06-03,41700.0,1010007.0,0
2013-06-04,19200.0,457980.0,0
2013-06-05,125.0,2918.75,0
2013-06-11,55980.0,1354780.3360000001,0
2013-06-12,12125.0,292940.0,0
2013-06-13,176452.0,4154388.5664,0
2013-06-17,37500.0,895406.25,0
2013-06-18,11700.0,281853.0,0
2013-06-19,26825.0,660028.5,0
2013-06-24,176452.0,4186285.5328,0
2013-06-26,44105.0,1080681.62,0
2013-07-01,45000.0,1117152.0,0
2013-07-02,11700.0,288990.0,0
2013-07-03,11825.0,286401.5,0
2013-07-09,14019.0,351596.52,0
2013-07-10,188577.0,4836553.659200001,0
2013-07-15,45000.0,1296081.0,0
2013-07-16,14897.0,393131.83,0
2013-07-17,11825.0,311825.25,0
2013-07-23,178739.0,4670591.8632000005,0
2013-07-24,125.0,3287.5,0
2013-07-25,167308.0,5606491.08,0
2013-07-29,145375.0,5015951.75,0
2013-07-30,63718.0,2339543.955,0
2013-07-31,200000.0,7600000.0,0
2013-08-01,11700.0,436293.0,0
2013-08-02,11700.0,440856.0,0
2013-08-06,2287.0,89421.7,0
2013-08-07,2372291.0,91115202.7051,0
2013-08-12,90000.0,3434724.0,0
2013-08-13,14287.0,546192.0099999999,0
2013-08-14,23700.0,872871.0,0
2013-08-15,12700.0,461703.8,0
2013-08-16,871.0,32209.579999999998,0
2013-08-20,2397.0,91948.92,0
2013-08-22,176452.0,6797749.1796,0
2013-08-23,221610.0,8854027.2,0
2013-08-26,90000.0,3725377.92,0
2013-08-27,2397.0,97438.05,0
2013-08-28,11700.0,467649.0,0
2013-08-29,11700.0,478530.0,0
2013-09-03,2397.0,100362.39,0
2013-09-06,29177.0,1256945.16,0
2013-09-10,190849.0,8346506.614399999,0
2013-09-11,12000.0,520560.00000000006,0
2013-09-17,4332.0,184110.0,0
2013-09-24,2397.0,116278.47,0
2013-09-25,176452.0,8655967.5416,0
2013-10-01,2397.0,119730.15000000001,0
2013-10-08,14397.0,728344.23,0
2013-10-09,12000.0,568680.0,0
2013-10-14,284.0,13693.684799999999,0
2013-10-15,2539.0,126950.0,0
2013-10-16,3964.0,198239.63999999998,0
2013-10-22,2977.0,161740.41,0
2013-10-29,2977.0,151052.98,0
2013-11-05,2977.0,142211.29,0
2013-11-06,1218000.0,60329901.319800004,0
2013-11-07,18000.0,887040.0,0
2013-11-12,914677.0,42770367.541600004,0
2013-11-13,11700.0,540657.0,0
2013-11-18,35000.0,1696100.0,0
2013-11-20,283334.0,13288252.4568,0
2013-11-25,11700.0,541710.0,0
2013-11-26,11700.0,521703.00000000006,0
2013-11-27,500.0,22985.0,0
2013-12-02,25000.0,1172437.5,0
2013-12-04,283334.0,13437377.438799998,0
2013-12-10,511700.0,25578153.0,0
2013-12-11,29700.0,1501335.0,0
2013-12-12,18000.0,918540.0,0
2013-12-16,25000.0,1331250.0,0
2013-12-19,283334.0,15481215.716400001,0
2013-12-23,11700.0,649350.0,0
2013-12-24,11700.0,681759.0,0
2013-12-26,42995739.0,2366917066.95,0
2013-12-30,25000.0,1372500.0,0
2014-01-07,283334.0,16401095.5142,0
2014-01-08,18000.0,1036620.0000000001,0
2014-01-09,29700.0,1742202.0,0
2014-01-10,11700.0,668421.0,0
2014-01-13,25000.0,1447250.0,0
2014-01-15,140362.0,8139863.0309999995,0
2014-01-22,11700.0,687960.0,0
2014-01-23,11700.0,659529.0,0
2014-01-27,25000.0,1367250.0,0
2014-01-28,283334.0,15508918.716,0
2014-01-29,500.0,27300.0,0
2014-01-31,1274869.0,78066481.3284,0
2014-02-04,11700.0,725400.0,0
2014-02-05,11700.0,733824.0,0
2014-02-10,25000.0,1607000.0,0
2014-02-11,28000.0,1785280.0,0
2014-02-12,283334.0,18305756.4056,0
2014-02-18,175014.0,11704614.8144,0
2014-02-19,18000.0,1206900.0,0
2014-02-20,29700.0,2011581.0,0
2014-02-21,11700.0,814671.0,0
2014-02-24,308334.0,21716740.5876,0
2014-03-03,3000.0,200640.0,0
2014-03-05,11700.0,815490.0,0
2014-03-06,11700.0,840644.9999999999,0
2014-03-10,25000.0,1768750.0,0
2014-03-11,283334.0,20312488.6882,0
2014-03-12,18000.0,1256759.9999999998,0
2014-03-13,18000.0,1283220.0,0
2014-03-17,68501.0,4666599.325800001,0
2014-03-18,11700.0,804375.0,0
2014-03-19,11700.0,808821.0,0
2014-03-20,283334.0,19110528.3478,0
2014-03-24,25000.0,1679250.0,0
2014-04-01,3000.0,181470.0,0
2014-04-02,295034.0,18600533.346,0
2014-04-03,11700.0,731601.0,0
2014-04-07,25000.0,1396750.0,0
2014-04-09,18000.0,1072620.0,0
2014-04-10,18000.0,1135620.0,0
2014-04-15,157814.0,9328063.322900001,0
2014-04-16,11700.0,699777.0,0
2014-04-21,25000.0,1486750.0,0
2014-04-22,283334.0,17813916.915,0
2014-04-29,11700.0,656136.0,0
2014-04-30,11700.0,673452.0,0
2014-05-01,3000.0,181260.0,0
2014-05-05,303334.0,18415828.6578,0
2014-05-06,5435.0,331426.3,0
2014-05-07,18000.0,1057500.0,0
2014-05-08,18000.0,1030680.0,0
2014-05-12,11700.0,679419.0,0
2014-05-13,11700.0,697905.0,0
2014-05-15,216341.0,12609785.321500001,0
2014-05-19,292709.0,17156113.884400003,0
2014-05-20,48791.0,2879989.88,0
2014-05-28,31700.0,2009146.0,0
2014-05-29,11700.0,747162.0,0
2014-06-02,8936.0,564933.9199999999,0
2014-06-05,283334.0,18009654.1,0
2014-06-09,5435.0,341107.6655,0
2014-06-10,25000.0,1595600.0,0
2014-06-11,18000.0,1175759.9999999998,0
2014-06-12,18000.0,1184940.0,0
2014-06-16,24051.0,1540942.3816,0
2014-06-17,20000.0,1282000.0,0
2014-06-18,283334.0,18315657.345200002,0
2014-06-23,4483.0,288256.89999999997,0
2014-07-01,292268.0,19898530.1516,0
2014-07-07,5437.0,360364.36,0
2014-07-08,20000.0,1301200.0,0
