date,shares,amount,buy_flag
2003-12-02,37000.0,616790.0000000001,0
2003-12-22,7223.0,120653.33,0
2004-03-22,14280.0,233763.6,0
2005-05-04,5591.0,116236.89,0
2005-05-17,100000.0,2025000.0,0
2005-07-22,100000.0,2042500.0,0
2005-12-13,5819.0,114052.40000000001,0
2005-12-14,9800.0,194236.0,0
2006-08-25,100000.0,2010000.0000000002,0
2006-11-16,10200.0,224400.0,0
2006-11-29,10200.0,226440.0,0
2007-01-31,41480.0,1032022.3999999999,0
2007-02-01,3000.0,74970.0,1
2007-04-20,450000.0,13883487.0,0
2007-04-27,35529.0,1124114.43,0
2007-05-01,467513.0,14726758.63,0
2007-05-21,78014.0,2605667.6,0
2008-04-24,110000.0,2008773.7000000002,1
2008-10-28,5000.0,66350.0,1
2008-10-29,5000.0,70250.0,1
2008-11-21,5000.0,69400.0,1
2010-02-24,79755.0,2950935.0,0
2010-02-26,37000.0,1368300.0,0
2010-03-01,26933.0,1006216.88,0
2010-03-04,20000.0,741036.75,0
2010-03-05,10000.0,375000.0,0
2011-05-04,29755.0,1087723.71,0
2011-05-18,63881.0,2376876.3200000003,0
2011-08-12,15800.0,502365.75,1
2011-08-15,32000.0,1016837.64,1
2011-10-04,100.0,3135.0,0
2011-11-11,30000.0,1077000.33,0
2012-02-08,42466.0,1629667.4,0
2012-02-17,42367.0,1643003.2297999999,0
2012-05-10,27377.0,1054014.5,0
2012-08-01,30500.0,1350787.05,0
2012-08-09,62324.0,2758245.49,0
2012-11-05,476300.0,21677929.48,0
2012-11-12,61380.0,2702045.808,0
2013-05-06,286202.0,12899064.311,0
2013-05-07,54532.0,2458466.156,0
2013-05-13,5404.0,249398.9232,0
2013-05-15,34208.0,1596203.4336,0
2013-08-07,50638.0,2458611.6226,0
2013-10-31,500.0,22565.0,0
2014-02-10,60000.0,3277630.5,0
2014-02-11,69520.0,3821619.856,0
2014-02-13,43870.0,2414569.704,0
2014-02-14,5990.0,332276.33999999997,0
2014-04-04,145225.0,8195164.3625,0
2014-04-10,10047.0,575108.0124,0
2014-05-09,10220.0,562100.0,0
2014-05-14,10527.0,588583.5186,0
2014-06-10,9985.0,579753.064,0
2014-06-27,72290.0,4211253.95,0
2014-07-07,180047.0,10650932.3508,0
2014-07-10,9987.0,579544.6113,0
2014-08-04,28669.0,1623720.4192000001,0
2014-08-11,10058.0,573306.0,0
2014-08-25,22000.0,1313380.2,0
2014-09-10,9814.0,593591.9388,0
2014-10-10,9895.0,591033.2975,0
2014-11-10,10000.0,579784.0,0
2014-11-24,5000.0,295663.12,0
2014-11-26,10000.0,596300.0,0
2014-12-08,50000.0,3100000.0,0
2014-12-10,9846.0,590760.0,0
2015-01-09,8840.0,552266.624,0
2015-01-15,74200.0,4636223.76,0
2015-02-09,5000.0,293797.0,0
2015-02-11,135864.0,7956372.4632,0
2015-02-18,5164.0,302958.97,0
2015-04-29,252526.0,15109187.5466,0
2015-05-04,56064.0,3374794.9056,0
2015-05-08,38368.0,2339949.216,0
2015-05-11,10634.0,642767.8764000001,0
2015-07-31,31831.0,1880804.5987,0
2015-10-28,5000.0,274237.0,0
2015-10-29,55979.0,3076092.0432,0
2015-11-04,5000.0,277669.0,0
2016-04-14,131040.0,7352942.688,0
2016-05-10,100021.0,5451144.5,0
2016-05-19,1230.0,67096.5,0
2016-05-20,38647.0,2117855.6,0
2016-07-01,112379.0,6486950.0,0
2016-07-05,72621.0,4211347.5,0
2016-08-05,392000.0,24231095.786399998,0
2016-08-10,3000.0,189090.0,0
2016-09-01,39200.0,2454308.08,0
