date,shares,amount,buy_flag
2004-01-27,1164745.0,33140937.507,0
2004-01-28,1000000.0,28114469.5,0
2004-01-29,1100000.0,30631294.08,0
2004-02-02,3120000.0,85785096.58,0
2004-02-03,2000000.0,54636238.0,0
2004-02-04,3000000.0,81454047.94299999,0
2004-02-05,3000000.0,81032576.60000001,0
2004-02-06,3000200.0,81169091.59,0
2004-02-09,3000000.0,80986793.442,0
2004-03-01,240000.0,6379300.0,0
2004-03-04,102000.0,2684640.0,0
2004-04-01,60000.0,1499192.0,0
2004-04-23,60000.0,1644000.0,0
2004-04-27,140000.0,3801750.0,0
2004-04-29,2000000.0,53317021.0,0
2004-04-30,1500000.0,39727280.748,0
2004-05-03,2560000.0,67579984.53999999,0
2004-05-04,1060000.0,27857386.619999997,0
2004-05-05,2000000.0,52801646.559999995,0
2004-05-06,2000000.0,52360239.28,0
2004-05-07,2000000.0,52412390.690000005,0
2004-05-10,2000000.0,51698760.88999999,0
2004-05-11,3000000.0,77832720.7,0
2004-05-12,3821007.0,98127283.08000001,0
2004-06-01,60000.0,1560900.0,0
2004-06-02,40000.0,1048000.0,0
2004-06-04,30000.0,786000.0,0
2004-06-07,65000.0,1697716.6700000002,0
2004-06-08,60000.0,1590400.0,0
2004-06-17,500000.0,13893000.0,0
2004-06-18,500000.0,14050000.0,0
2004-07-01,120000.0,3434400.0,0
2004-07-21,560000.0,16501150.0,0
2004-07-27,75000.0,2151750.0,0
2004-07-27,1108.0,31799.6,1
2004-07-28,2000000.0,56877962.49,0
2004-07-29,2000000.0,56933010.0,0
2004-07-30,2000000.0,57188435.04,0
2004-08-02,2120000.0,60020781.38300001,0
2004-08-03,2000000.0,56118900.0,0
2004-08-04,3000000.0,84270690.67,0
2004-08-05,2000000.0,55449962.510000005,0
2004-08-06,4000000.0,109988831.83000003,0
2004-08-09,1000000.0,27178226.46,0
2004-09-01,120000.0,3265300.0,0
2004-09-03,200670.0,5463324.0,0
2004-09-14,46.0,1263.62,1
2004-10-01,120000.0,3338100.0,0
2004-10-28,153746.0,0.0,0
2004-10-29,103321.0,2882655.9,0
2004-11-01,120000.0,3362700.0,0
2004-11-08,198399.0,5830946.61,1
2004-11-08,442998.0,12928681.619999997,0
2004-11-10,722912.0,21484944.64,0
2004-11-11,50000.0,1500000.0,0
2004-11-12,198081.0,5980065.390000001,1
2004-11-12,200000.0,6012000.0,0
2004-11-15,2040800.0,55747185.95,0
2004-11-16,2000000.0,54365236.8,0
2004-11-17,1000000.0,27249500.0,0
2004-11-18,2000000.0,54130900.0,0
2004-11-19,2000000.0,53897000.0,0
2004-11-22,2000000.0,53010750.0,0
2004-11-23,3000000.0,79603667.90699998,0
2004-11-24,2000000.0,53325813.379999995,0
2004-11-26,1000000.0,26686440.9,0
2004-11-29,2500000.0,67119220.25999999,0
2004-11-30,500000.0,13432060.180000002,0
2004-12-01,104000.0,2809994.2,0
2004-12-02,12000.0,327460.0,0
2004-12-03,126160.0,3442425.6,0
2004-12-06,910.0,24870.3,0
2005-01-13,15000.0,398850.0,1
2005-02-02,2000000.0,52763450.0,0
2005-02-03,3000000.0,78650379.23,0
2005-02-04,2000000.0,52507266.239999995,0
2005-02-07,2000000.0,52327150.34,0
2005-02-08,3000000.0,78729046.81199999,0
2005-02-09,1000000.0,26161000.0,0
2005-02-10,3000000.0,78202499.06,0
2005-02-11,4000000.0,103973055.00000003,0
2005-03-04,100000.0,2524500.0,0
2005-03-07,564444.0,14401024.204,0
2005-05-03,116667.0,2943508.41,0
2005-05-04,1000000.0,25223504.060000006,0
2005-05-05,1190000.0,30007150.0,0
2005-05-06,2000000.0,50651206.169999994,0
2005-05-09,3000000.0,75474151.0,0
2005-05-10,3180000.0,79297000.0,0
2005-05-11,3000000.0,74515016.197,0
2005-05-12,3000000.0,74970726.41000001,0
2005-05-13,4000000.0,100899387.94000003,0
2005-05-24,44444.0,1143988.5599999998,0
2005-05-31,893.0,23128.699999999997,0
2005-06-02,16000.0,412000.0,0
2005-06-06,100000.0,2536000.0,0
2005-07-27,6000000.0,154264778.82,0
2005-07-28,1000000.0,25764536.5,0
2005-07-29,2000000.0,51518235.870000005,0
2005-08-01,2000000.0,51870861.94,0
2005-08-02,4073100.0,108191634.75,0
2005-08-03,4000000.0,108912970.59999998,0
2005-08-04,2030000.0,55281287.94,0
2005-08-05,22800.0,630340.0,0
2005-08-12,100000.0,2704250.0,0
2005-08-15,18934.0,513111.4,0
2005-08-22,259.0,6948.969999999999,0
2005-08-31,16059.0,438994.21,0
2005-09-06,15000.0,406400.0,0
2005-11-02,8000.0,207520.0,0
2005-11-03,2000000.0,52936500.0,0
2005-11-04,2000000.0,53193586.022999994,0
2005-11-07,2050000.0,55157752.5,0
2005-11-08,2055000.0,55623078.73,0
2005-11-09,2330100.0,63029129.114,0
2005-11-10,2025000.0,54678346.620000005,0
2005-11-11,1060000.0,28933453.893000003,0
2005-11-14,3133940.0,54853811.779999994,0
2005-11-15,2040000.0,55981633.38,0
2005-11-16,3030000.0,84009972.47999999,0
2005-11-17,55000.0,1533387.5,0
2005-11-18,650000.0,18208615.59,0
2005-11-21,20000.0,541150.36,0
2005-11-22,222222.0,6222216.0,0
2005-11-23,200000.0,5597000.0,0
2005-12-01,7175.0,201150.0,0
2006-01-10,196000.0,5242887.0,0
2006-01-31,45000.0,1271500.0,0
2006-02-01,590.0,16461.0,0
2006-02-02,50000.0,1381000.0,0
2006-02-03,3000000.0,82584243.94,0
2006-02-06,3000000.0,81643557.53,0
2006-02-07,3000000.0,80852792.24,0
2006-02-08,2150000.0,57778880.20999999,0
2006-02-09,2000000.0,53724650.57999998,0
2006-02-10,4196000.0,111936991.61000001,0
2006-02-13,2000000.0,53041984.0,0
2006-02-14,1000000.0,26438789.629999995,0
