date,shares,amount,buy_flag
2003-10-15,215000.0,11575510.0,0
2003-10-30,534659.0,3288152.85,0
2003-12-19,32086.0,0.0,0
2003-12-22,62642.0,3577599.24,0
2004-01-05,50000.0,2874170.0,0
2004-01-06,100000.0,5785331.0,0
2004-01-08,50000.0,2913250.0,0
2004-01-12,25000.0,1458750.0,0
2004-01-13,25000.0,1452940.0,0
2004-01-20,23063.0,0.0,0
2004-03-19,1000000.0,1000000.0,0
2004-03-30,65391.0,3724179.18,0
2004-12-23,79812.0,4379340.52,0
2004-12-29,51495.0,2840129.05,0
2005-01-04,50220.0,2757792.4,0
2005-03-08,1673913.0,30130434.0,0
2005-03-22,35000.0,2001430.0,0
2005-03-31,57652.0,3289667.88,0
2005-04-14,8345736.0,138539217.60000002,0
2005-04-15,54000.0,809460.0,1
2005-04-18,21200.0,313548.0,1
2005-04-19,24885.0,361396.2,1
2005-04-29,5000.0,78950.0,1
2005-05-03,2700.0,41553.0,1
2005-05-04,2000.0,30930.0,1
2005-05-05,54800.0,776300.0,1
2005-05-06,2500.0,38855.0,1
2005-05-09,500.0,8025.0,1
2005-05-13,3000.0,48150.0,1
2005-05-16,10000.0,157000.0,0
2005-05-17,800.0,12640.0,1
2005-05-18,5500.0,89430.00000000001,1
2005-05-19,500.0,8250.0,1
2005-05-20,1060.0,17246.2,1
2005-05-23,15000.0,243300.0,1
2005-05-24,4000.0,64200.0,1
2005-05-25,28500.0,441255.0,1
2005-05-26,5000.0,75340.0,1
2005-05-27,25000.0,303250.0,1
2005-05-31,500.0,8520.0,1
2005-06-01,200.0,3350.0,1
2005-06-03,700.0,11872.0,1
2005-06-06,10000.0,132000.0,1
2005-06-08,400.0,6800.0,1
2005-06-09,500.0,8450.0,1
2005-06-13,1900.0,32338.0,1
2005-06-14,500.0,8575.0,1
2005-06-16,5400.0,92408.0,1
2005-06-17,3000.0,53190.0,1
2005-06-17,2143077.0,26788462.5,0
2005-06-20,5966.0,104762.95999999999,1
2005-06-21,4519.0,79715.16,1
2005-06-23,15800.0,265898.0,1
2005-06-24,1200.0,20760.0,1
2005-06-27,14099.0,238179.15000000002,1
2005-06-28,2300.0,40204.0,1
2005-06-30,100.0,1820.0,1
2005-07-05,6300.0,116927.99999999999,1
2005-07-06,500.0,9000.0,1
2005-07-06,5476.0,293839.96,0
2005-07-08,1000.0,18000.0,1
2005-07-18,200.0,3579.9999999999995,1
