date,shares,amount,buy_flag
2005-12-15,1960934.0,133931792.19999999,1
2009-05-22,640909.0,704999900.0,0
2009-05-22,29375000.0,705000000.0,1
2009-06-11,17178055.0,471365829.20000005,1
2013-10-28,0.024,0.69816,1
2013-11-15,0.026,0.79196,1
2013-12-18,0.013,0.39897,0
2014-01-16,0.063,2.00781,1
2014-01-17,0.048,1.57584,1
2014-01-31,0.019,0.56145,1
2014-04-08,0.058,1.7023000000000001,0
2014-04-23,125000.0,126624.99999999999,1
2014-05-06,125000.0,127000.0,0
2014-05-09,0.04,1.18,1
2014-05-13,0.048,1.4601600000000001,1
2014-06-24,0.017,0.54706,0
2014-08-21,210000.0,214200.0,1
2014-08-21,210000.0,222600.0,0
2014-09-04,210000.0,214200.0,1
2014-09-04,210000.0,222600.0,0
2014-09-05,140000.0,141400.0,1
2014-09-05,140000.0,147000.0,0
2014-09-15,49000.0,49244.99999999999,0
2014-09-16,100000.0,100400.0,0
2014-09-18,70000.0,70700.0,1
2014-09-18,70000.0,73500.0,0
2014-09-24,20000.0,20059.999999999996,0
2014-09-25,65000.0,65064.99999999999,0
2014-09-25,250000.0,249750.0,1
2014-09-26,280000.0,291200.0,0
2014-09-26,280000.0,280000.0,1
2014-10-09,140000.0,141400.0,1
2014-10-09,140000.0,147000.0,0
2014-10-10,70000.0,70700.0,1
2014-10-10,205000.0,209580.0,0
2014-10-17,70000.0,70000.0,1
2014-10-17,70000.0,72800.0,0
2014-10-22,150000.0,150749.99999999997,1
2014-10-24,70000.0,70349.99999999999,0
2014-11-07,140000.0,140000.0,1
2014-11-07,140000.0,145600.0,0
2014-11-18,39000.0,39350.99999999999,1
2014-11-19,0.006,0.21216,1
2014-12-11,0.114,4.29552,0
2014-12-16,0.044,1.56596,0
2015-02-26,0.015,0.5449499999999999,1
2015-07-16,0.01,0.4007,1
2015-07-23,0.039,1.58067,1
2015-12-14,0.049,1.55673,0
2015-12-14,0.118,3.8149399999999996,1
2015-12-16,0.008,0.26680000000000004,1
2016-02-18,0.069,1.66014,1
2016-03-02,0.014,0.36385999999999996,0
2016-03-03,0.113,2.93687,1
2016-04-01,0.039,0.97656,0
2016-04-11,0.026,0.62764,0
2016-05-31,0.018,0.49266,1
2016-05-31,0.1,2.7720000000000002,0
2016-07-13,0.035,0.9513,1
2016-07-26,0.104,3.03992,1
2016-08-03,0.059,1.67678,1
2016-10-19,0.06,1.9758,1
2016-10-24,0.053,1.7749700000000002,1
2016-11-08,0.058,1.9778000000000002,1
2016-11-30,0.076,3.1426,0
2016-12-07,0.017,0.7248800000000001,0
2017-01-13,0.062,2.7453600000000002,1
2017-04-18,0.009,0.37089,1
2017-05-10,0.007,0.3017,0
2017-05-31,0.238,9.93412,1
2017-09-12,0.015,0.68625,1
2017-09-19,2122.366,101321.75284,1
2017-10-09,0.018,0.88884,0
2017-10-13,175.546,8468.33904,0
2017-11-30,0.104,5.367439999999999,0
2017-12-01,167.04,8662.6944,0
2018-01-16,176.692,9633.247840000002,0
2018-03-12,0.018,1.0603799999999999,1
2018-04-03,743.284,39438.649040000004,1
2018-05-15,0.012,0.6580800000000001,0
2018-05-21,278.964,15158.903760000001,0
2018-05-30,1971.347,99986.71983999999,0
2018-05-31,0.134,6.7187600000000005,0
2018-09-13,667.027,31790.50682,0
2018-10-08,0.008,0.37616000000000005,0
2018-11-30,0.023,1.02097,1
2019-01-09,0.045,1.8756,0
2019-01-16,0.012,0.53388,1
2019-02-27,0.009,0.38214,0
2019-03-07,0.008,0.32936000000000004,0
2019-03-15,0.198,8.581320000000002,1
2019-04-24,0.002,0.09473999999999999,0
2019-05-14,1429.279,63374.23086,1
2019-05-28,0.008,0.33736,1
2019-07-17,0.001,0.043840000000000004,1
2019-08-02,179.34,7946.60508,1
2019-08-13,0.012,0.48828,1
2019-08-27,0.005,0.19899999999999998,1
2019-09-03,0.002,0.08145999999999999,1
2019-09-06,0.081,3.41658,0
2019-09-20,0.01,0.4368,1
2019-09-26,0.003,0.12783,0
2019-10-29,0.002,0.09364,0
2019-11-08,0.009,0.44234999999999997,0
2019-11-19,0.01,0.49369999999999997,0
2019-11-26,0.008,0.39527999999999996,0
2019-12-26,0.002,0.1022,0
2020-02-06,1495.42,82173.32900000001,0
2020-02-19,0.001,0.05632,1
2020-02-26,0.002,0.09446,0
2020-02-27,0.005,0.23125,1
2020-03-11,0.001,0.03878,1
2020-03-26,0.001,0.03544,1
2020-03-30,2.314,80.61976000000001,0
2020-04-09,0.0,0.0,1
2020-04-27,0.31,11.9505,0
2020-05-07,0.001,0.038840000000000006,1
2020-05-15,0.208,7.75424,0
2020-05-29,0.004,0.1768,1
2020-06-24,2.1710000000000003,101.92845,0
2020-10-19,1020122.131,986884.43631,0
