date,shares,amount,buy_flag
2004-04-06,15000.0,266250.0,0
2004-11-17,108644.0,1325218.04,0
2005-01-05,5000.0,70750.0,0
2005-01-06,8800.0,126486.0,0
2006-01-04,18288.0,255882.0,0
2006-01-05,50000.0,701900.0,0
2006-01-06,10000.0,143702.0,0
2006-01-09,25000.0,368500.0,0
2006-02-08,200000.0,3262000.0,0
2006-02-09,25000.0,407000.0,0
2006-02-14,185000.0,3021017.0,0
2006-02-15,39284.0,643864.76,0
2006-04-27,20000.0,345200.0,0
2006-04-28,172500.0,2952337.4999999995,0
2006-05-05,50000.0,852830.0,0
2006-08-03,25000.0,395750.0,0
2006-08-16,10000.0,165834.0,0
2006-09-26,2893.0,39258.01,0
2006-11-19,20000.0,279800.0,0
2007-02-14,6393.0,78569.97,0
2007-07-23,127717.0,1751140.9,0
2007-10-09,17400.0,188094.0,0
2009-10-01,42000.0,319919.208,0
2009-10-02,20000.0,147600.0,0
2009-10-07,19158.0,156137.7,0
2009-10-08,24000.0,198240.0,0
2009-11-17,4931.0,37673.3331,0
2009-12-28,94750.0,983038.5,0
2009-12-31,20000.0,215000.0,0
2010-01-04,3750.0,40822.5,0
2010-01-07,30000.0,325050.81,0
2010-02-01,3750.0,34022.5,0
2010-02-16,28517.0,248098.9,0
2010-03-01,3750.0,35960.0,0
2010-04-01,13750.0,149261.0,0
2010-04-05,20750.0,215592.5,0
2010-04-06,20000.0,209800.0,0
2010-04-20,66419.0,715680.7542,0
2010-04-26,13657.0,150002.09,0
2010-05-03,3750.0,36586.5,0
2010-06-01,3750.0,33185.5,0
2010-06-30,135000.0,1179173.921,0
2010-07-01,13750.0,116680.99999999999,0
2010-07-14,40000.0,354402.25,0
2010-07-23,40000.0,336000.0,0
2010-07-26,80000.0,670423.5400000002,0
2010-07-28,23385.0,197603.24999999997,0
2010-10-28,1000.0,8000.0,0
2010-10-29,20250.0,166026.19900000002,0
2010-11-01,93750.0,774391.7000000001,0
2010-11-04,160000.0,1363115.8747999999,0
2010-11-05,60000.0,510237.68000000005,0
2010-11-08,75000.0,623282.75,0
2010-11-15,40000.0,302269.15,0
2010-11-17,105583.0,765307.67,0
2010-12-06,3750.0,30000.0,0
2011-01-03,10000.0,81600.0,0
2011-01-04,40000.0,340015.35,0
2011-02-07,30000.0,335047.5,0
2011-02-14,124250.0,1468115.375,0
2011-02-15,95125.0,1106935.46,0
2011-02-16,25000.0,293855.0,0
2011-03-28,150000.0,1755000.0,0
2011-03-29,115000.0,1341754.0,0
2011-04-01,20000.0,228423.0,0
2011-04-06,150000.0,1681733.5,0
2011-04-18,65000.0,675814.1000000001,0
2011-04-20,300000.0,3375727.6143000005,0
2011-04-25,269750.0,3058138.645,0
2011-04-27,215000.0,2520010.9267,0
2011-04-29,36574.0,415421.46939999994,0
2011-05-02,10000.0,112794.365,0
2012-05-15,125504.0,764890.8518,0
2012-12-03,4000.0,24023.9,0
2013-01-02,4000.0,26274.0,0
2013-01-25,50000.0,400350.0,0
2013-02-01,4000.0,30919.25,0
2013-03-01,4000.0,33053.06,0
2013-04-01,4000.0,38416.75,0
2013-04-09,12500.0,118002.0,0
2013-04-18,366193.0,3412676.2900000005,0
2013-04-19,159750.0,1487933.7068,0
2013-04-22,40000.0,373755.165,0
2013-04-23,186250.0,1753355.71,0
2013-04-25,174000.0,1654741.5,0
2013-04-26,63000.0,598500.0,0
2013-04-29,10000.0,93919.18800000001,0
2013-05-01,4000.0,37021.0,0
2013-05-02,119750.0,1116209.75,0
2013-05-03,110000.0,1057034.6749999998,0
2013-05-07,20000.0,198013.33000000002,0
2013-05-08,20000.0,200000.0,0
2013-05-13,2000.0,21400.0,0
2013-05-14,38000.0,404229.5,0
2013-06-03,50100.0,585981.76,0
2013-06-17,40000.0,530991.25,0
2013-06-21,48346.0,667425.855,0
2013-06-24,94750.0,1269828.5,0
2013-06-25,100000.0,1365901.215,0
2013-06-26,193750.0,2722895.9,0
2013-06-28,40000.0,564124.625,0
2013-07-01,550125.0,7923138.3149999995,0
2013-07-05,124750.0,1784679.66,0
2013-07-10,400.0,5748.0,0
2013-07-24,68213.0,899534.1943999998,0
2013-08-01,79000.0,1066292.695,0
2013-08-13,80000.0,1141137.5,0
2013-08-14,482425.0,7222606.8,0
2013-09-03,77400.0,1081649.25,0
2013-09-04,111250.0,1671629.2399999998,0
2013-09-05,1600.0,22576.0,0
2013-09-09,1600.0,24672.0,0
2013-10-01,12000.0,210611.0,0
2013-10-07,26750.0,497581.5,0
2013-10-17,175651.0,2977038.5212000003,0
2013-10-31,76429.0,1338812.1599999997,0
2013-11-01,4000.0,70344.92,0
2013-11-07,25475.0,458550.0,0
2013-11-11,773619.0,14044315.070200002,0
2013-11-12,397249.0,7378092.6863,0
2013-11-13,203703.0,3826491.8592,0
2013-11-21,165250.0,3305000.0,0
2014-01-02,8000.0,173440.0,0
2014-01-09,268492.0,6313490.736,0
2014-01-10,385000.0,9034001.0,0
2014-01-13,73750.0,1729007.875,0
2014-01-14,91250.0,2150117.125,0
2014-01-15,37000.0,874395.1,0
2014-01-16,100000.0,2302870.0,0
2014-02-03,2000.0,46126.0,0
2014-02-05,10000.0,232195.0,0
2014-02-10,75000.0,1873672.5,0
2014-02-11,23200.0,574798.3200000001,0
2014-02-12,15000.0,375015.0,0
2014-03-03,2000.0,48723.0,0
2014-03-05,10000.0,250799.99999999997,0
