date,shares,amount,buy_flag
2004-10-25,15916.0,1092868.4605,0
2004-10-26,33333.0,2316485.8200000003,0
2004-10-27,4294.0,297264.68,0
2004-11-09,6669.0,475835.01999999996,0
2004-11-10,2000.0,142860.0,0
2004-11-16,2000.0,145280.0,0
2004-11-23,3000.0,217211.0,0
2004-11-30,3000.0,212659.0,0
2005-01-31,8000.0,613716.0,0
2005-02-02,10000.0,774659.0,0
2005-02-25,11520.0,918075.76,0
2005-05-03,1000.0,40760.0,1
2005-05-23,3500.0,140980.0,0
2005-06-28,7088.0,298772.96,0
2005-07-11,16000.0,693881.0,0
2005-07-13,2185.0,95703.0,0
2005-10-17,500.0,22075.0,0
2006-01-03,667.0,27920.62,0
2006-02-15,1066.0,44239.0,0
2006-02-17,1801.0,75515.93,0
2006-03-01,3930.0,164779.9,0
2006-06-12,75000.0,3131401.4,0
2006-06-15,36728.0,1503652.7,0
2006-09-15,1500.0,66735.0,0
2006-10-17,500.0,23160.0,0
2006-11-15,12500.0,656224.0,0
2006-12-15,14000.0,767480.0,0
2006-12-19,7500.0,407420.10000000003,0
2007-02-16,2620.0,154187.0,0
2007-03-01,22051.0,1279399.5,0
2007-03-05,24200.0,1391201.0,0
2007-03-15,57500.0,3397590.0,0
2007-04-16,2000.0,121400.0,0
2007-05-01,229.0,14816.300000000001,0
2007-05-17,500.0,32515.0,1
2007-06-15,9500.0,575225.0,0
2007-09-17,19577.0,1193034.4,0
2007-12-06,934.0,66323.34000000001,0
2007-12-17,2000.0,138580.0,0
2008-03-05,24500.0,1526129.0,0
2008-03-14,5364.0,325824.72,0
2008-03-17,65500.0,3998572.0,0
2008-05-07,25000.0,1656359.0,0
2008-06-16,1000.0,67270.0,0
2008-06-17,1000.0,68000.0,0
2008-09-12,616.0,34208.636,0
2008-09-15,1000.0,54840.0,0
2008-11-07,10652.0,483882.77900000004,0
2008-12-15,1000.0,46890.0,0
2008-12-15,10000.0,459008.5,1
2009-04-30,24000.0,1297918.8,0
2009-05-01,24000.0,1320000.0,0
2009-05-11,10000.0,570730.0,0
2009-06-01,15000.0,857868.0,0
2009-06-08,4027.0,222129.31999999998,0
2009-06-10,60000.0,3288840.0,0
2009-07-01,9000.0,513323.1,0
2009-08-17,10000.0,564305.0,0
2009-09-01,24707.0,1379769.7,0
2009-09-15,13966.0,765729.2446,0
2009-11-02,2000.0,98820.0,0
2009-11-10,10000.0,506237.0,0
