date,shares,amount,buy_flag
2003-07-28,8800.0,233288.0,0
2003-08-04,5000.0,124700.0,0
2003-08-07,4300.0,98900.0,1
2003-08-11,8800.0,205392.0,0
2003-08-18,5000.0,125250.0,0
2003-08-20,2533.0,68391.0,0
2003-08-21,2534.0,73486.0,0
2003-08-22,5674.0,164199.5,0
2003-08-25,8800.0,250888.0,0
2003-08-26,2500.0,72075.0,0
2003-09-02,5000.0,166000.0,0
2003-09-03,2496.0,87360.0,0
2003-09-08,10086.0,346146.0,0
2003-09-15,5000.0,172250.0,0
2003-09-22,8800.0,320760.0,0
2003-09-29,5000.0,162500.0,0
2003-10-06,8800.0,352352.0,0
2003-10-13,5000.0,222200.0,0
2003-10-17,10000.0,500300.0,0
2003-10-20,8800.0,449620.0,0
2003-10-27,5000.0,257700.0,0
2003-10-30,17708.0,1067615.32,0
2003-11-03,8000.0,463120.0,0
2003-11-04,928.0,53851.840000000004,0
2003-11-10,5000.0,234000.0,0
2003-11-17,8000.0,370880.0,0
2003-11-24,5000.0,227399.99999999997,0
2003-12-01,8000.0,395280.0,0
2003-12-08,5000.0,235700.0,0
2003-12-15,8000.0,381840.0,0
2003-12-22,5000.0,254000.0,0
2003-12-29,8000.0,468080.0,0
2003-12-30,4000.0,234040.0,0
2004-01-05,5000.0,272500.0,0
2004-01-12,8000.0,497040.0,0
2004-01-15,16519.0,1071106.29,0
2004-01-20,5000.0,327700.00000000006,0
2004-01-22,14853.0,1122530.44,0
2004-01-23,34557.0,2625045.6300000004,0
2004-01-26,3849152.0,290806393.6,0
2004-02-02,5000.0,368350.0,0
2004-02-09,5000.0,387000.0,0
2004-02-17,10000.0,357800.0,0
2004-02-23,12000.0,417280.00000000006,0
2004-03-01,10000.0,343200.0,0
2004-03-08,10000.0,330500.0,0
2004-03-15,10000.0,303000.0,0
2004-03-22,10000.0,301000.0,0
2004-03-29,10000.0,303800.0,0
2004-04-05,10000.0,350500.0,0
2004-04-12,10000.0,375200.0,0
2004-04-19,10000.0,298000.0,0
2004-04-26,10000.0,295000.0,0
2004-04-28,200000.0,5629500.0,1
2004-04-29,50000.0,1335400.0,1
2004-04-30,115000.0,2988470.5,1
2004-05-03,10000.0,252900.0,0
2004-05-10,10000.0,264500.0,0
2004-05-13,4738.0,142140.0,0
2004-05-17,10000.0,296900.0,0
2004-05-24,10000.0,314200.0,0
2004-05-27,1000.0,33220.0,0
2004-06-01,10000.0,322900.0,0
2004-06-03,1000.0,32400.0,0
2004-06-07,10000.0,317100.0,0
2004-06-14,10000.0,302100.0,0
2004-06-21,10000.0,295500.0,0
2004-06-28,11000.0,355400.0,0
2004-07-06,10000.0,315800.0,0
2004-07-12,10000.0,333200.0,0
2004-07-19,10000.0,218700.0,0
2004-07-19,50000.0,1022475.0,1
2004-07-26,10000.0,201600.0,0
2004-08-02,10000.0,198100.0,0
2004-08-05,1500.0,26250.0,0
2004-08-26,2500.0,39025.0,0
2004-09-02,4000.0,56400.0,0
2004-09-09,2500.0,37500.0,0
2004-09-16,2500.0,40225.0,0
2004-09-23,2500.0,42175.00000000001,0
2004-09-30,2500.0,40525.0,0
2004-10-07,2500.0,44550.0,0
2004-10-14,2500.0,43600.0,0
2004-10-21,2500.0,25375.0,0
2004-10-28,2500.0,24550.0,0
2004-11-04,2500.0,25625.0,0
2004-11-11,2500.0,26200.0,0
2004-11-18,2500.0,29525.0,0
2004-11-24,2500.0,27100.0,0
2004-12-02,2500.0,27875.0,0
2004-12-09,2500.0,28375.0,0
2004-12-16,2500.0,32700.0,0
2004-12-23,2500.0,29250.0,0
2005-01-06,2500.0,27775.0,0
2005-01-13,2500.0,27275.0,0
2005-01-18,2000.0,22100.0,0
2005-01-20,2500.0,27425.0,0
2005-01-25,2000.0,25160.0,0
2005-01-27,2500.0,27400.000000000004,0
2005-01-31,2000.0,22660.0,0
2005-02-03,4500.0,52180.0,0
2005-02-10,2500.0,28600.0,0
2005-02-14,2000.0,22300.0,0
2005-02-17,2500.0,27325.0,0
2005-02-24,2500.0,25275.0,0
2005-02-28,2000.0,22060.0,0
2005-03-03,2075.0,22140.25,0
2005-03-28,2000.0,19780.0,0
2005-04-08,2000.0,23780.0,0
2005-04-11,4000.0,48000.0,0
2005-04-25,2000.0,22280.0,0
2005-04-28,1381.0,15619.11,0
2005-05-04,1966.0,23375.74,0
2005-05-05,2034.0,23484.26,0
2005-05-09,2000.0,23000.0,0
2005-05-11,2000.0,23780.0,0
2005-05-12,2000.0,26000.0,0
2005-05-16,2000.0,29780.0,0
2005-05-19,7569.0,143359.62,0
2005-05-23,6000.0,95880.0,0
2005-05-26,2000.0,29060.0,0
2005-06-02,4000.0,58880.0,0
2005-06-06,6000.0,88220.0,0
2005-06-09,4000.0,60200.0,0
