date,shares,amount,buy_flag
2012-02-21,700000.0,7139999.999999999,0
2012-06-13,337500.0,5687500.0,1
2012-06-28,2650000.0,47700000.0,0
2012-07-03,397500.0,7155000.0,0
2012-11-20,45305827.0,1217820629.7600002,0
2013-02-01,870000.0,24003611.0388,0
2013-02-05,80000.0,2372658.59,0
2013-02-13,134194.0,3919944.3899999997,0
2013-02-14,120000.0,3868229.67,0
2013-02-15,130000.0,4385074.9368,0
2013-02-19,250000.0,8341680.57,0
2013-02-20,79305.0,2648137.95,0
2013-02-26,70097.0,2184039.54,0
2013-02-27,48810.0,1557580.791,0
2013-03-01,130000.0,4219190.16,0
2013-03-05,40000.0,1419256.0,0
2013-03-06,42500.0,1560572.25,0
2013-03-12,100000.0,3788000.0000000005,0
2013-03-13,128300.0,4812026.999999999,0
2013-03-14,150000.0,5581655.5,0
2013-03-15,105000.0,3916914.0,0
2013-03-18,66700.0,2396955.0,0
2013-04-01,130000.0,4586967.1992,0
2013-04-15,50000.0,1751312.0,0
2013-04-16,10000.0,350811.0,0
2013-04-17,10000.0,358600.0,0
2013-04-22,12500.0,452867.5,0
2013-04-25,125000.0,5133155.25,0
2013-04-26,70000.0,2970793.0,0
2013-05-01,754028.0,29738122.70879999,0
2013-05-02,40768.0,1610860.5024,0
2013-05-03,8200.0,333134.7,0
2013-05-06,38324.0,1549076.2000000002,0
2013-05-07,2200.0,88166.0,0
2013-05-08,169645.0,6733713.726,0
2013-05-10,40895.0,1636821.8400000003,0
2013-05-13,57946.0,2309879.12,0
2013-05-14,119380.0,4774105.95,0
2013-05-15,148606.0,6024803.62,0
2013-05-16,90444.0,3640542.74,0
2013-05-17,79705.0,3199358.7,0
2013-05-20,96850.0,3928468.4399999995,0
2013-05-21,122855.0,4901227.903,0
2013-05-22,20458.0,805788.993,0
2013-06-03,90000.0,3252378.0,0
2013-06-11,37500.0,1494221.0,0
2013-06-13,20000.0,736734.71,0
2013-06-17,30000.0,1138323.0,0
2013-07-01,40000.0,1633957.3599999999,0
2013-07-10,31500.0,1375393.95,0
2013-07-12,25000.0,1154095.0,0
2013-07-15,50000.0,2264399.0,0
2013-08-01,125000.0,5583148.8048,0
2013-08-02,80000.0,3641642.0,0
2013-08-05,62000.0,2752186.5165,0
2013-08-06,141908.0,6022635.78,0
2013-08-07,50000.0,2082825.0,0
2013-08-09,56882.0,2421466.74,0
2013-08-12,83118.0,3506184.8400000003,0
2013-08-13,20000.0,832806.0000000001,0
2013-08-15,230000.0,9934250.0,0
2013-08-23,5664.0,261676.80000000002,0
2013-08-26,99804.0,4716111.5516,0
2013-08-29,63161.0,2957057.0,0
2013-08-30,4370.0,205433.7,0
2013-09-03,102000.0,4783702.850000001,0
2013-09-04,50000.0,2353453.95,0
2013-09-05,50000.0,2385755.5856,0
2013-09-10,29000.0,1435418.8,0
2013-09-13,20000.0,967406.75,0
2013-09-16,30000.0,1462628.55,0
2013-10-01,102000.0,5229195.9431,0
2013-10-02,50000.0,2598767.623,0
2013-10-03,50000.0,2605851.0,0
2013-10-14,20000.0,1026171.2252000001,0
2013-10-15,55500.0,2797783.01,0
2013-11-01,125000.0,6712070.29,0
2013-11-04,62000.0,3350466.0,0
2013-11-05,50000.0,2752875.1874,0
2013-11-06,82500.0,4415401.0184,0
2013-11-13,20000.0,1043916.6800000002,0
2013-11-15,26668.0,1414588.0592,0
2013-12-02,102000.0,5351132.739999999,0
2013-12-03,57500.0,2994492.75,0
2013-12-04,75000.0,3937135.3381999996,0
2013-12-13,20000.0,998354.8,0
2013-12-16,25000.0,1286282.8495999998,0
2014-01-02,40000.0,2226176.8708,0
2014-01-06,72000.0,4014502.911,0
2014-01-07,67500.0,3893900.1689999998,0
2014-01-08,50000.0,2899183.25,0
2014-01-13,20000.0,1182866.48,0
2014-01-15,25000.0,1476252.48,0
2014-02-03,135000.0,8429871.4972,0
2014-02-05,146961.0,9331662.17,0
2014-02-06,103039.0,6467657.31,0
2014-02-07,79777.0,5205818.17,0
2014-02-10,64309.0,4222451.691000001,0
2014-02-11,50000.0,3296732.0257,0
2014-02-12,75000.0,4962729.9763,0
2014-02-13,65000.0,4345725.6036,0
2014-02-18,161860.0,10922480.8,0
2014-02-19,28140.0,1868475.4,0
2014-02-24,10000.0,690514.0,0
2014-02-28,12091.0,839991.9974999999,0
2014-03-03,120000.0,8015365.932100001,0
2014-03-04,51400.0,3621361.8187999995,0
2014-03-05,50000.0,3527317.5671999995,0
2014-03-06,50000.0,3440731.8186000003,0
2014-03-07,27777.0,1886175.99,0
2014-03-11,15000.0,998716.5000000001,0
2014-03-12,16000.0,1062613.98,0
2014-03-13,40000.0,2715301.9545,0
2014-03-17,10000.0,669196.42,0
2014-03-19,45000.0,3057676.5,0
2014-04-01,120000.0,7357139.4395,0
2014-04-07,27777.0,1425121.67,0
2014-04-14,27500.0,1381314.9100000001,0
2014-04-15,10000.0,506016.62,0
2014-04-16,41000.0,2137555.1167,0
2014-04-22,51400.0,2811616.4888,0
2014-04-23,50000.0,2678618.7205000003,0
2014-04-24,50000.0,2469351.5508000003,0
2014-05-01,120000.0,6192584.268499999,0
2014-05-07,119256.0,5552559.36,0
2014-05-08,150744.0,7077949.666800001,0
2014-05-09,31000.0,1442903.06,0
2014-05-13,71400.0,3420452.214,0
2014-05-14,50000.0,2394587.3929,0
2014-05-15,60000.0,2821607.3809,0
2014-05-22,27777.0,1391905.47,0
2014-05-23,25000.0,1294129.8,0
2014-06-02,120000.0,6036773.74,0
2014-06-03,51400.0,2573885.92,0
2014-06-04,50000.0,2541921.428,0
2014-06-05,50000.0,2640728.3812,0
2014-06-11,76000.0,4293343.9513,0
2014-06-13,30000.0,1737878.28,0
2014-06-16,40000.0,2396080.64,0
2014-07-01,120000.0,7641679.0964,0
2014-07-10,16000.0,883956.75,0
2014-07-11,15500.0,886671.3,0
2014-07-14,30000.0,1739906.96,0
2014-07-15,10000.0,564479.74,0
2014-07-21,51400.0,2995518.52,0
2014-07-22,60000.0,3559206.3231,0
2014-07-23,50000.0,2915593.3,0
2014-08-01,120000.0,6815007.2808,0
2014-08-05,51400.0,2936527.7344000004,0
2014-08-06,50000.0,2784335.9807,0
2014-08-07,50000.0,2774321.02,0
2014-08-13,45000.0,2464696.5,0
2014-08-14,16000.0,879702.4,0
2014-08-15,10000.0,547666.08,0
2014-08-22,10000.0,600000.0,0
2014-08-25,50000.0,2938465.0,0
2014-09-02,165000.0,10138515.9328,0
2014-09-09,51400.0,3234706.6737,0
2014-09-10,66000.0,4099051.0134000005,0
2014-09-11,50000.0,3129639.6483,0
2014-09-12,16000.0,999177.6,0
2014-09-15,44000.0,2598617.742,0
2014-09-16,6000.0,360000.0,0
2014-10-01,120000.0,6902550.0,0
2014-10-03,15000.0,895971.95,0
2014-10-13,30000.0,1666440.075,0
2014-10-14,16000.0,888759.99,0
2014-10-15,10000.0,562610.8366,0
2014-10-17,10000.0,600000.0,0
2014-10-20,51400.0,3059506.0075,0
2014-10-21,50000.0,3019797.3914,0
2014-10-22,50000.0,2965269.7865,0
2014-10-23,30000.0,1950000.0,0
2014-10-27,40000.0,2567036.0,0
2014-11-03,130000.0,8705676.5351,0
2014-11-04,20000.0,1332069.8999999997,0
2014-11-11,97400.0,6648145.1,0
2014-11-12,50000.0,3393094.1160000004,0
2014-11-13,90000.0,6045931.2322,0
2014-11-17,40000.0,2617535.0670000003,0
2014-11-18,53518.0,3488774.1984,0
2014-11-21,16482.0,1073721.5382,0
2014-12-01,221400.0,13662697.319600001,0
2014-12-03,50000.0,3082512.1364,0
2014-12-09,15000.0,917331.38,0
2014-12-10,16000.0,1004354.63,0
2014-12-15,105000.0,6627981.053599999,0
2015-01-02,70000.0,4699084.8655,0
2015-01-05,46300.0,3108177.6312,0
2015-01-06,13700.0,910292.52,0
2015-01-07,15000.0,996476.9999999999,0
2015-01-12,17000.0,1142007.55,0
2015-01-13,40000.0,2723561.1393999998,0
2015-01-15,10000.0,648130.1100000001,0
2015-01-20,51600.0,3293553.6152,0
2015-01-21,50000.0,3298650.4282,0
2015-01-22,50000.0,3295404.802,0
2015-01-29,25000.0,1830000.0,0
2015-02-02,175000.0,12573607.0882,0
2015-02-06,8300.0,622635.29,0
