date,shares,amount,buy_flag
2004-02-18,50000.0,1175450.0,0
2004-03-04,15215.0,334836.318,0
2004-05-19,55628.0,1205236.4488,0
2004-05-21,25000.0,524165.0,1
2004-08-12,54000.0,557320.0,1
2004-08-17,893224.0,9660010.72,1
2004-08-18,227778.0,2567058.0599999996,1
2004-08-19,46803.0,538234.5,1
2004-09-03,552331.0,7138712.4757,1
2004-12-14,20000.0,459350.0,0
2004-12-21,16000.0,362560.0,0
2005-03-01,167104.0,4846684.416,0
2005-03-02,161746.0,4594330.4316,0
2005-03-03,131132.0,3626206.3092,0
2005-03-04,195753.0,5421379.335,0
2005-03-07,122433.0,3446435.9139,0
2005-03-08,49832.0,1315664.4640000002,0
2005-03-09,199987.0,5213221.1186,0
2005-05-16,28000.0,703427.2,0
2005-05-18,25000.0,642905.0,0
2005-05-23,25000.0,661855.0,0
2005-06-03,10000.0,282337.0,0
2005-07-01,28000.0,743834.0,0
2005-08-16,20000.0,600740.0,0
2005-09-02,91250.0,2776774.0,0
2005-09-13,1550.0,50747.0,0
2005-09-30,100000.0,3414759.9999999995,0
2005-10-03,28000.0,967397.2,0
2005-11-14,20000.0,676724.0,0
2005-11-15,50000.0,1752150.0,0
2006-01-03,28000.0,1032040.8,0
2006-02-27,11657.0,552888.0129,0
2006-02-28,226678.0,10685532.9166,0
2006-03-01,50000.0,2448450.0,0
2006-03-10,218750.0,10564312.5,0
2006-03-14,20000.0,982098.0,0
2006-03-17,6601.0,322128.8,0
2006-03-20,164098.0,8002288.1994,0
2006-03-21,19301.0,977221.2106,0
2006-03-30,85000.0,4850593.0,0
2006-05-05,202741.0,6304985.2817,0
2006-05-22,437500.0,10359125.0,0
2006-08-21,462500.0,12272581.25,0
2006-08-28,25000.0,687265.0,0
2006-09-05,25000.0,704940.0,0
2006-12-05,762500.0,27792308.75,0
2006-12-06,460000.0,16762344.000000002,0
2006-12-08,375816.0,13374821.6896,0
2006-12-11,339184.0,12312695.6592,0
2006-12-14,75000.0,2787135.0,0
2006-12-18,25000.0,955439.9999999999,0
2006-12-26,25000.0,928534.9999999999,0
2007-01-03,83500.0,3050078.45,0
2007-01-04,101500.0,3623610.9000000004,0
2007-01-08,25000.0,851542.5,0
2007-01-16,25000.0,878457.5,0
2007-01-22,25000.0,800617.5000000001,0
2007-01-29,25000.0,766187.5,0
2007-02-05,25000.0,810757.5000000001,0
2007-02-12,25000.0,836595.0,0
2007-02-16,3200.0,106815.04,0
2007-02-20,25000.0,823065.0000000001,0
2007-02-21,437500.0,14181737.5,0
2007-02-26,25000.0,810767.5,0
2007-03-05,25000.0,730200.0,0
2007-03-12,20616.0,624856.5288,0
2007-04-05,129360.0,3924665.976,0
2007-04-16,30000.0,910920.0,0
2007-05-04,10000.0,335835.99999999994,0
2007-05-18,10000.0,347198.0,0
2007-05-21,437500.0,15410062.5,0
2007-05-29,100000.0,3395370.0,0
2007-06-11,100000.0,3649640.0,0
2007-06-21,200000.0,8435060.0,0
2007-06-28,100000.0,4206444.52,0
2007-07-05,141834.0,6155170.098,0
2007-08-20,40000.0,1800044.0,0
2007-08-21,437500.0,20162800.0,0
2007-09-04,190000.0,9836368.0,0
2007-09-07,337833.0,17230241.050000004,0
2007-09-27,195778.0,7165448.350000001,0
2007-11-21,656250.0,19582500.0,0
2007-12-14,60000.0,2103203.46,0
2007-12-26,58389.0,2102004.0,0
2007-12-27,50000.0,1812877.1099999999,0
2008-03-18,93000.0,1695390.0,0
2008-03-19,93000.0,1681439.9999999998,0
2008-04-09,93000.0,1806060.0000000002,0
2008-04-10,93000.0,1852560.0000000002,0
2008-05-28,93000.0,2192940.0,0
2008-05-29,93000.0,2167830.0,0
2008-06-17,93000.0,1938120.0,0
2008-06-18,93000.0,1845120.0,0
2008-07-10,93000.0,1100190.0,0
2008-07-11,93000.0,1078800.0,0
2008-08-28,93000.0,1220160.0,0
2008-08-29,93000.0,1184820.0,0
2008-09-11,93000.0,958830.0,0
2008-09-12,93000.0,930000.0,0
2008-10-16,93000.0,678900.0,0
2008-10-17,93000.0,716100.0,0
2009-06-02,90000.0,977400.0,0
2009-06-16,43412.0,475361.39999999997,0
2009-06-17,43412.0,484477.92,0
2009-06-18,43412.0,484043.8,0
2009-08-27,217061.0,3017147.9,0
2009-08-28,131825.0,1932136.25,0
2009-08-31,86825.0,1252884.75,0
2009-09-09,86825.0,1368362.0,0
