date,shares,amount,buy_flag
2004-07-27,6500000.0,75600000.0,1
2005-10-31,3939131.0,81185489.91,1
2006-04-04,2938.0,47683.74,1
2006-06-06,365.0,7475.2,1
2008-05-08,213888.0,5409227.52,1
2008-05-29,924.0,2226.84,1
2008-09-02,4654.0,13636.220000000001,1
2008-11-19,4747.0,19225.35,1
2009-02-23,5444.0,13120.04,1
2009-05-06,65922.0,1153635.0,1
2009-05-29,2451.0,6421.62,1
2009-08-21,3431.0,8268.710000000001,1
2010-02-26,1872.0,4511.52,1
2010-04-23,55223.0,993461.7699999999,1
2010-06-08,1351.0,3255.9100000000003,1
2010-08-23,37214.0,91009.11000000002,1
2010-11-26,17083.0,46689.69,1
2011-01-19,42800.0,65419.0,0
2011-01-20,51400.0,70061.49,0
2011-01-21,69500.0,87218.34999999999,0
2011-01-24,72800.0,87221.62,0
2011-01-25,93005.0,104567.4,0
2011-01-26,74500.0,87130.31999999999,0
2011-02-25,20993.0,55416.680000000015,1
2011-04-13,1785714.0,4999999.199999999,1
2011-11-22,50530.0,206400.37,1
2012-02-23,84893.0,291282.89999999997,1
2012-09-20,1551896.0,30137820.320000004,0
2014-06-15,14777.0,209833.4,0
2014-09-22,325000.0,4875000.0,1
2015-03-18,3000.0,43500.0,0
2015-03-19,46141.0,669044.5,0
2015-06-11,27875.0,395825.0,0
2015-06-12,5919.0,84049.8,0
2015-06-16,1120.0,15982.4,0
2015-07-13,20611.0,292717.422,0
2015-07-14,27861.0,401477.01,0
2015-07-15,3566.0,50844.028,0
2016-02-17,375000.0,3000000.0,1
2016-04-12,300000.0,3000000.0,1
2016-05-11,277777.0,4999986.0,1
2016-10-31,339.0,4407.0,0
2016-10-31,84615.0,1099995.0,1
2017-02-22,749.0,16369.6197,0
2017-02-23,4999.0,105159.9638,0
2017-02-24,5398.0,112999.5728,0
2017-02-27,57844.0,1212306.1208000001,0
2017-02-28,7847.0,163670.3719,0
2017-03-01,7778.0,162658.2028,0
2017-03-15,560000.0,2800000.0,1
2017-05-16,20081.0,528724.6976,0
2017-05-17,22534.0,574900.9284,0
2017-05-18,9019.0,229963.75629999998,0
2017-05-24,17451.0,436364.0001,0
2017-05-25,53.0,1325.0,0
2017-05-26,5300.0,133267.44,0
2017-05-31,35539.0,850896.0614,0
2017-06-01,10722.0,256176.4572,0
2017-06-02,14867.0,348949.3038,0
2017-06-05,4780.0,110487.788,0
2017-06-06,7274.0,167160.88439999998,0
2017-06-07,4840.0,106999.332,0
2017-06-08,700.0,15400.0,0
2017-06-16,53200.0,1130207.4,0
2017-06-19,3220.0,70898.604,0
2017-07-05,266667.0,4000005.0,1
2017-12-12,1523000.0,27870900.0,0
2018-04-23,766666.0,11499990.0,1
2018-05-07,15548.0,157190.28,0
2018-05-08,26557.0,266366.70999999996,0
2018-05-09,51230.0,517935.3,0
2018-05-10,22725.0,230204.25000000003,0
2018-05-11,19550.0,196673.0,0
2018-07-16,300.0,1545.0,0
2018-07-17,12500.0,58875.0,0
2018-07-23,30600.0,130050.0,0
2018-07-24,700.0,2877.0,0
2018-07-25,12460.0,47846.4,0
2018-07-26,7937.0,28811.309999999998,0
2018-07-27,6458.0,21828.04,0
2018-07-30,2000.0,6540.0,0
2018-07-31,4500.0,13815.0,0
2018-08-01,8181.0,26342.820000000003,0
2018-08-02,4702.0,15657.66,0
2018-08-06,2942.0,8884.84,0
2018-08-07,1739.0,5164.83,0
2018-08-08,1000.0,2780.0,0
2018-08-09,235.0,582.8,0
2018-08-10,5615.0,13700.6,0
2018-08-13,1600.0,3776.0,0
2018-08-14,3300.0,7457.999999999999,0
2018-08-15,2635.0,5665.25,0
2018-08-16,8808.0,18496.8,0
2018-08-17,8700.0,18270.0,0
2018-08-20,25688.0,67562.4,0
2019-03-13,132738.0,281404.56,0
2019-03-14,13800.0,25944.0,0
2019-03-15,43800.0,84096.0,0
2019-03-26,177762.0,179539.62,0
2019-03-27,50749.0,50241.51,0
2019-03-28,88835.0,83504.9,0
2019-03-29,169640.0,254520.0,0
2019-04-01,137519.0,150222.55,0
2019-04-02,51754.0,50201.38,0
2019-04-03,58033.0,55711.68,0
2019-04-04,47900.0,48379.0,0
2019-04-05,24661.0,25154.22,0
2019-04-08,27525.0,28075.5,0
2019-04-09,32991.0,33320.91,0
2019-04-10,140230.0,152850.7,0
2019-04-11,57438.0,62033.04,0
2019-04-12,30908.0,32144.32,0
2019-04-15,28794.0,28506.06,0
2019-04-22,7100.0,6887.0,0
2019-04-23,27554.0,28380.62,0
2019-04-24,16403.0,16895.09,0
2019-04-25,563096.0,579988.88,0
2019-04-26,138704.0,142865.12,0
2019-05-28,168630.0,2360820.0,1
2019-11-12,250000.0,3000000.0,1
2020-06-02,5669.0,54875.92,0
2020-06-03,5208.0,50934.24,0
2020-06-04,4088.0,39040.4,0
2020-06-05,8652.0,83578.32,0
2020-06-08,5659.0,54665.94,0
2020-06-09,7000.0,65660.0,0
2020-06-10,8532.0,80712.72,0
2020-06-11,7200.0,66312.0,0
2020-06-12,1500.0,13785.0,0
2020-06-15,6164.0,55784.200000000004,0
2020-06-16,8600.0,79980.0,0
2020-06-17,4622.0,42845.939999999995,0
2020-06-18,900.0,8135.999999999999,0
2020-06-19,1001312.0,8260824.0,0
2020-06-30,125000.0,2125000.0,1
