date,shares,amount,buy_flag
2006-03-02,300000.0,3852799.3,0
2006-03-15,500000.0,6500833.0,0
2006-03-16,1500000.0,20250000.0,0
2006-03-23,84000.0,1163940.0,0
2006-03-27,150000.0,2075564.7000000002,0
2006-03-28,50000.0,691000.0,0
2006-03-29,50000.0,685000.0,0
2006-04-05,929012.0,13004668.0,0
2006-04-17,54000.0,737574.5,0
2006-04-18,73269.0,1025766.0,0
2006-04-19,1027719.0,14388454.1,0
2006-04-24,656272.0,9518984.0,0
2006-04-26,150000.0,2205272.17,0
2006-06-20,54000.0,777600.0,0
2006-06-23,108000.0,1620000.0,0
2006-06-30,6307726.0,30907857.400000002,1
2006-07-03,10106340.0,49521066.0,1
2006-07-18,1570.0,22765.0,0
2006-07-19,55000.0,829512.0,0
2006-07-20,50000.0,756478.0,0
2006-07-27,500000.0,7437220.0,0
2006-08-21,200000.0,3103675.0,0
2006-09-22,1072375.0,19004454.9906,0
2006-09-26,700000.0,12602308.0,0
2006-09-27,112500.0,2028500.3059999999,0
2006-10-02,200000.0,3574052.77,0
2006-10-03,1650000.0,29125222.79,0
2006-10-04,400000.0,7197700.0,0
2006-10-06,1870000.0,34184364.03,0
2006-10-09,319000.0,5867592.24,0
2006-10-10,198651.0,3708369.72,0
2006-10-16,600000.0,11449927.0,0
2006-10-18,93800.0,1764101.5999999999,0
2006-10-18,6200.0,116064.0,1
2006-10-19,197490.0,3715362.2,0
2006-10-20,50000.0,950000.0,0
2006-10-26,1500000.0,28044532.209999997,0
2006-10-30,1000000.0,18301131.060000002,0
2006-10-31,1000000.0,18525791.630000003,0
2006-11-01,1000000.0,18513776.41,0
2006-11-02,1000000.0,18229453.52,0
2006-11-03,1000000.0,17930059.259999998,0
2006-11-06,1000000.0,18067712.329999994,0
2006-11-07,1000000.0,18134577.68,0
2006-11-08,1000000.0,18201382.3,0
2006-11-09,1000000.0,18610051.92,0
2006-11-13,500000.0,9500000.0,0
2006-12-14,2767237.0,37357699.5,1
