date,shares,amount,buy_flag
2003-07-30,2953.0,137255.44,0
2003-10-09,218006.0,10495801.59,0
2003-10-16,27625.0,1318053.75,0
2004-02-11,140330.0,7155162.5,0
2004-02-13,23372.0,1181763.92,0
2004-02-23,14788.0,769123.88,0
2004-03-30,85.0,4537.3,1
2004-04-23,85806.0,4716436.3,0
2004-04-27,2512.0,137356.16,0
2004-10-04,354972.0,17825029.0,0
2004-10-13,52305.0,2523824.35,0
2004-11-04,6500.0,326300.0,0
2005-02-07,117935.0,6471003.5,0
2005-02-08,40000.0,2200000.0,0
2005-02-09,147997.0,5404791.5,0
2005-02-10,100000.0,2776544.0,0
2005-02-11,175726.0,3775448.82,0
2005-02-14,177463.0,594731.3,0
2005-02-15,60000.0,0.0,0
2005-02-16,60000.0,0.0,0
2005-02-17,55000.0,0.0,0
2005-02-18,60000.0,0.0,0
2005-02-22,55000.0,0.0,0
2005-02-23,60000.0,0.0,0
2005-02-24,100000.0,0.0,0
2005-02-25,85000.0,0.0,0
2005-02-28,65000.0,0.0,0
2005-03-01,67500.0,0.0,0
2005-03-02,50000.0,0.0,0
2005-03-03,55000.0,0.0,0
2005-03-04,137500.0,0.0,0
2005-03-07,53000.0,0.0,0
2005-03-08,50000.0,1387500.0,0
2005-03-09,60000.0,1657200.0,0
2005-03-10,66500.0,0.0,0
2005-03-11,70500.0,0.0,0
2005-03-14,60000.0,0.0,0
2005-03-15,65000.0,0.0,0
2005-03-16,41000.0,0.0,0
2005-03-17,26000.0,0.0,0
2005-03-18,25500.0,0.0,0
2005-04-18,200849.0,7975812.6,0
2005-04-19,62400.0,0.0,0
2005-04-20,53000.0,0.0,0
2005-04-21,93000.0,0.0,0
2005-04-22,63000.0,0.0,0
2005-04-25,55000.0,0.0,0
2005-04-26,65900.0,0.0,0
2005-04-27,70000.0,0.0,0
2005-04-28,71500.0,0.0,0
2005-04-29,42000.0,0.0,0
2005-05-02,27700.0,0.0,0
2005-05-03,49200.0,0.0,0
2005-05-04,115000.0,0.0,0
2005-05-05,65000.0,0.0,0
2005-05-06,36300.0,0.0,0
2005-05-09,45000.0,0.0,0
2005-05-10,57300.0,0.0,0
2005-05-11,48400.0,0.0,0
2005-05-12,75000.0,0.0,0
2005-05-13,57000.0,0.0,0
2005-05-16,40000.0,0.0,0
2005-05-17,65000.0,0.0,0
2005-05-18,49900.0,0.0,0
2005-05-19,75000.0,0.0,0
2005-05-20,70000.0,0.0,0
2005-05-23,44000.0,0.0,0
2005-05-24,64000.0,0.0,0
2005-05-25,38000.0,0.0,0
2005-05-26,60000.0,0.0,0
2005-05-27,80800.0,0.0,0
2005-05-31,45000.0,0.0,0
2005-06-01,95400.0,0.0,0
2005-06-02,12200.0,0.0,0
2005-06-03,73000.0,0.0,0
2005-06-13,37000.0,0.0,0
2005-06-14,28700.0,0.0,0
2005-06-15,45000.0,0.0,0
2005-06-16,35000.0,0.0,0
2005-06-17,85400.0,0.0,0
2005-06-20,37000.0,0.0,0
2005-06-21,25300.0,0.0,0
2005-06-22,60000.0,0.0,0
2005-06-23,30000.0,0.0,0
2005-06-24,75000.0,0.0,0
2005-06-27,32000.0,0.0,0
2005-06-28,63000.0,0.0,0
2005-06-29,55000.0,0.0,0
2005-06-30,42500.0,0.0,0
2005-07-01,32500.0,0.0,0
2005-07-05,65000.0,0.0,0
2005-07-06,50000.0,0.0,0
2005-07-07,90000.0,0.0,0
2005-07-08,70000.0,0.0,0
2005-07-11,55000.0,0.0,0
2005-07-12,50000.0,0.0,0
2005-07-13,25000.0,0.0,0
2005-07-14,62300.0,0.0,0
2005-07-15,36000.0,0.0,0
2005-07-18,25100.0,0.0,0
2005-07-19,75000.0,0.0,0
2005-07-20,48000.0,0.0,0
2005-07-21,30000.0,0.0,0
2005-07-22,50000.0,0.0,0
2005-07-25,20700.0,0.0,0
2005-07-26,78400.0,0.0,0
2005-07-27,50000.0,0.0,0
2005-07-28,48400.0,0.0,0
2005-07-29,39255.0,0.0,0
2005-08-01,43000.0,0.0,0
2005-08-02,54000.0,0.0,0
2005-08-03,75000.0,0.0,0
2005-08-04,38100.0,0.0,0
2005-08-05,15100.0,0.0,0
2005-08-08,71103.0,2645480.54,0
2005-08-09,30500.0,0.0,0
2005-08-10,70400.0,0.0,0
2005-08-11,70000.0,0.0,0
2005-08-12,40000.0,0.0,0
2005-08-15,17700.0,0.0,0
2005-08-16,26000.0,0.0,0
2005-08-17,52000.0,0.0,0
2005-08-18,75000.0,0.0,0
2005-08-19,80000.0,0.0,0
2005-08-23,3000.0,87510.0,0
2005-08-25,10000.0,0.0,0
2005-08-26,26400.0,0.0,0
2005-09-06,13300.0,0.0,0
2005-09-07,15000.0,0.0,0
2005-09-08,23000.0,0.0,0
2005-09-09,42000.0,0.0,0
2005-09-12,16000.0,0.0,0
2005-09-13,17900.0,0.0,0
2005-09-14,15000.0,0.0,0
2005-09-15,22405.0,0.0,0
2005-09-16,23000.0,0.0,0
2005-09-19,8000.0,0.0,0
2005-09-20,6000.0,0.0,0
2005-09-21,14500.0,0.0,0
2005-09-22,15000.0,0.0,0
2005-09-23,36600.0,0.0,0
2005-09-26,16200.0,0.0,0
2005-09-27,25000.0,0.0,0
2005-09-28,18100.0,0.0,0
2005-09-29,20000.0,0.0,0
2005-09-30,10900.0,0.0,0
2005-10-03,181847.0,3195775.2199999997,0
2005-10-04,15000.0,0.0,0
2005-10-05,14000.0,0.0,0
2005-10-06,18000.0,0.0,0
2005-10-07,40000.0,0.0,0
2005-10-10,16400.0,0.0,0
2005-10-11,15000.0,0.0,0
2005-10-12,34200.0,0.0,0
2005-10-13,47203.0,0.0,0
2005-10-14,27400.0,0.0,0
2005-10-17,11000.0,0.0,0
2005-10-18,14700.0,0.0,0
2005-10-19,12000.0,0.0,0
2005-10-20,25039.0,211971.75,0
2005-10-21,21491.0,309782.5,0
2005-10-24,17200.0,0.0,0
2005-10-25,22000.0,0.0,0
2005-10-26,21700.0,0.0,0
2005-10-27,16000.0,0.0,0
2005-10-28,39407.0,1484106.08,0
2005-10-31,9400.0,0.0,0
2005-11-01,16000.0,0.0,0
2005-11-02,20000.0,0.0,0
2005-11-03,1900.0,0.0,0
2005-11-04,26500.0,0.0,0
2005-11-07,13100.0,0.0,0
2005-11-08,21900.0,0.0,0
2005-11-09,33639.0,212663.16,0
2005-11-10,22000.0,0.0,0
2005-11-11,25000.0,0.0,0
2005-11-14,20000.0,0.0,0
2005-11-15,20000.0,0.0,0
2005-11-16,19400.0,0.0,0
2005-11-17,20000.0,0.0,0
2005-11-18,20000.0,0.0,0
2005-11-21,20000.0,0.0,0
2005-11-22,25000.0,0.0,0
2005-11-23,35000.0,0.0,0
2005-11-25,22000.0,0.0,0
2005-11-28,6200.0,0.0,0
2005-11-29,20000.0,0.0,0
2005-11-30,7900.0,0.0,0
2005-12-01,28000.0,0.0,0
2005-12-02,31000.0,0.0,0
2005-12-05,5000.0,0.0,0
2005-12-06,20000.0,0.0,0
2005-12-07,20000.0,0.0,0
2005-12-08,15000.0,0.0,0
2005-12-09,32250.0,946215.0,0
2005-12-16,14990.0,0.0,0
2006-02-10,279285.0,16041072.75,0
2006-02-13,87500.0,0.0,0
2006-02-14,124600.0,0.0,0
2006-02-15,123500.0,0.0,0
2006-02-16,113000.0,0.0,0
2006-02-17,116400.0,0.0,0
2006-02-21,122000.0,0.0,0
2006-02-22,110258.0,1476116.26,0
2006-02-23,136000.0,0.0,0
2006-02-24,161000.0,0.0,0
2006-02-27,86639.0,217356.86,0
2006-02-28,80600.0,0.0,0
2006-03-01,168639.0,1100793.85,0
2006-03-02,150000.0,0.0,0
2006-03-03,148000.0,0.0,0
2006-03-06,83800.0,0.0,0
2006-03-07,121500.0,2449022.0,0
2006-03-08,72000.0,0.0,0
2006-03-09,147500.0,0.0,0
2006-03-10,150143.0,0.0,0
2006-03-13,86700.0,0.0,0
2006-03-14,125500.0,0.0,0
2006-03-15,146200.0,0.0,0
