date,shares,amount,buy_flag
2003-08-25,2306.5259,199998.860789,0
2003-10-07,5000.0,475000.0,0
2003-10-29,10283.0,1002594.33,0
2003-10-30,6092.0,595019.32,0
2003-10-31,13503.0,1322794.0,0
2003-11-03,8000.0,785600.0,0
2003-11-04,10433.0,1017019.2729999999,0
2003-11-21,2015.0,194135.175,0
2003-11-24,4044.0,392964.07999999996,0
2004-01-02,2500.0,250000.0,0
2004-02-02,18718.0,1897831.88,0
2004-02-04,3691.0,376482.0,0
2004-02-10,18743.0,1913744.47,0
2004-02-18,11039.0,1138335.45,0
2004-03-10,5000.0,525000.0,0
2004-05-04,8000.0,848032.0,0
2004-05-05,61234.0,6536705.880000001,0
2004-06-08,2500.0,275000.0,0
2004-06-10,4100.0,452027.87,1
2004-08-03,31238.0,1686863.28,0
2004-08-04,16000.0,868856.0,0
2004-08-16,15232.0,834454.6560000001,0
2004-08-23,1000.0,54880.0,0
2004-10-05,3760.0,203528.80000000002,0
2004-11-01,16000.0,815854.0,0
2004-11-17,57087.0,3102678.45,0
2004-11-29,14867.0,800766.354,0
2005-02-01,16000.0,844490.0,0
2005-02-17,19000.0,1012716.0,0
2005-02-24,14935.0,802852.95,0
2005-04-29,9383.0,507452.006,0
2005-05-02,16000.0,868376.0,0
2005-05-12,9984.0,554890.752,0
2005-05-17,21050.0,1158592.0,0
2005-05-27,29056.0,1615223.04,0
2005-08-03,16000.0,883526.0,0
2005-08-05,42458.0,2295157.9,0
2005-08-11,10000.0,536628.0,0
2005-08-22,30212.0,1669707.36,0
2005-08-31,9894.0,547336.08,0
2005-11-02,3030.0,168043.8,0
2005-11-29,7036.0,405203.24000000005,0
2006-01-30,1000.0,59350.0,1
2006-02-03,68803.0,4127362.827,0
2006-02-07,27326.0,1620662.22,0
2006-02-08,14744.0,877002.608,0
2006-02-13,4030.0,240147.7,0
2006-02-14,25032.0,1499216.8399999999,0
2006-02-16,76586.0,4625826.62,0
2006-02-17,572.0,34640.32,0
2006-02-21,1370.0,83397.38,0
2006-02-22,4030.0,245830.0,0
2006-02-23,5000.0,309000.0,0
2006-02-24,22666.0,1385467.2,0
2006-05-25,7000.0,386330.0,0
2006-05-30,25934.0,1424554.6199999999,0
2006-05-31,108804.0,5911779.5600000005,0
2006-11-01,36308.0,2294665.6,0
2007-02-02,8050.0,524977.119,0
2007-02-06,20000.0,1299689.0,0
2007-02-07,4030.0,259653.30299999999,0
2007-02-13,2784.0,178452.4,0
2007-02-22,1000.0,64480.00000000001,0
2007-05-08,20000.0,1237671.0,0
2007-05-17,4650.0,294938.33999999997,0
2007-05-30,2140.0,136451.4,0
2007-08-06,2000.0,127100.0,0
2007-08-08,11025.0,718300.8,0
2007-08-09,14320.0,943458.0,0
2007-08-10,56208.0,3679853.6,0
2007-08-11,600.0,39438.0,0
2007-11-06,20000.0,1405901.0,0
2007-11-12,9543.0,680883.9099999999,0
2007-11-15,6223.0,449487.29000000004,0
2007-11-28,15000.0,1105445.01,0
2008-02-04,3530.0,234259.8,0
2008-02-06,20000.0,1299349.0,0
2008-05-07,20000.0,1318986.1800000002,0
2008-05-20,14000.0,927157.0,0
2008-05-22,73.0,4750.183,0
2008-05-22,1000.0,65670.0,1
2008-05-30,1282.0,84228.9152,0
2008-08-06,2620.0,177297.496,0
2008-08-11,12761.0,884528.715,0
2008-08-12,43935.0,3077260.2675,0
2008-08-15,8484.0,609066.0647999999,0
2008-08-21,43943.0,3061772.468,0
2008-08-27,3100.0,217523.58999999997,0
2008-08-28,7650.0,535622.4,0
2008-11-06,20000.0,1262434.0,0
2008-11-14,9330.0,604806.987,0
2008-11-19,2000.0,128320.0,0
2008-11-21,667.111,42088.03299,0
2008-11-28,2000.0,128100.0,0
2009-02-10,20000.0,1022159.9999999999,0
2009-05-22,20000.0,1063424.0,0
2009-08-06,3800.0,204737.91999999998,1
2009-08-11,7.0,373.8,1
2009-08-12,20000.0,1046526.0000000001,0
2009-08-25,44.0,2284.92,1
2009-11-05,20000.0,1197600.0,0
2009-11-09,15700.0,962307.9500000001,0
2009-11-13,21467.0,1321594.388,0
2009-11-13,7385.2719,457591.446924,1
2010-02-03,9611.0,600353.81,0
2010-02-18,17500.0,1093312.5,0
2010-02-22,13276.0,842919.792,0
2010-05-04,17500.0,1082088.0,0
2010-05-07,1660.0,99954.078,1
2010-05-10,12.0,749.04,0
2010-05-18,39.0,2465.19,0
2010-08-06,31800.0,1896081.3599999999,0
2010-08-09,4540.0,275187.56,0
2010-10-28,6423.0,407533.56930000003,1
2010-11-01,2417.0,154446.3,0
2010-11-04,31622.0,2047284.1728,0
2010-11-09,35522.0,2301076.0857999995,0
2010-11-11,4714.0,302497.38,0
2011-04-29,1278.0,82523.016,1
2011-05-02,20737.0,1351575.4490000003,0
2011-05-04,2416.0,160478.45119999998,0
2011-05-10,3500.0,229730.2,0
2011-08-17,11948.0,738505.88,0
2011-10-31,6299.0,408049.22000000003,1
2011-11-08,18366.0,1173194.3676,0
2012-02-24,34632.0,2316499.016,0
2012-02-27,27344.0,1823963.926,0
2012-02-28,10408.0,698963.8112,0
2012-04-30,1205.0,76574.135,1
2012-05-30,9906.0,621106.2000000001,0
2012-08-06,69230.0,4561431.025,0
2012-08-10,5073.186,338736.62921999994,0
2012-08-13,32276.0,2150359.4516,0
2012-08-14,99245.0,6609716.999999999,0
2012-08-17,49152.0,3293110.98,0
2012-08-23,8718.0,581490.6000000001,0
2012-08-28,83622.0,5596957.405,0
2012-08-30,15023.0,1003557.4322,0
2012-08-31,133426.0,8935632.618199999,0
2012-10-26,5564.0,390251.7268,1
2012-11-21,56602.0,3863958.1708,0
2012-11-26,18996.0,1314773.9472,0
2013-01-28,52224.0,3850760.9856,0
2013-01-30,22460.0,1684870.5899999999,0
2013-02-01,36577.0,2761912.7328000003,0
2013-02-04,18888.0,1422925.5912000001,0
2013-02-14,7230.0,555413.661,0
2013-04-29,18888.0,1466624.868,0
2013-04-30,133187.0,10262691.314199999,0
2013-05-28,6810.0,551358.0299999999,0
2013-08-02,15548.0,1263741.44,0
2013-08-05,11192.0,911812.24,0
2013-08-08,15000.0,1233522.0,0
2013-08-09,24022.0,1961252.168,0
2013-08-14,3694.0,301049.918,0
2013-08-20,18891.0,1510033.843,0
2013-08-21,7000.0,556206.7000000001,0
2013-08-22,15928.0,1261488.8810999999,0
2013-08-23,4475.0,357098.08290000004,0
2013-08-27,16228.0,1263512.08,0
2013-08-28,2049.0,158019.0849,0
2013-09-13,1168.0,92415.664,0
2013-10-28,1965.0,159106.05,0
2013-10-29,22990.0,1894146.1,0
2013-11-12,103321.0,8575643.0,0
2013-11-19,47096.0,3970209.5599999996,0
2013-11-20,11750.0,995833.65,0
2013-11-25,15480.0,1326203.592,0
2013-11-26,14638.0,1247303.98,0
2014-02-14,79763.0,6221514.0,0
2014-02-20,121168.0,9473265.6272,0
2014-02-21,57197.0,4504309.5076,0
2014-02-26,19309.0,1515864.6304,0
2014-02-27,89277.0,6937795.372300001,0
2014-02-28,965.0,75959.01,0
2014-04-24,219134.0,17710124.84,0
2014-04-25,21781.0,1773810.7548,0
2014-04-28,145541.0,11974713.535600001,0
2014-05-01,18112.0,1491729.2543,0
2014-05-09,64872.0,5363886.4597000005,0
2014-05-12,5420.0,443988.514,0
2014-05-15,3336.0,270262.70399999997,0
2014-05-19,48724.0,3896195.1704,0
2014-05-29,49326.0,3955969.8630000004,0
2014-06-02,100000.0,8043600.000000001,0
2014-06-12,31165.0,2486722.2662000004,0
2014-08-06,209568.0,16859710.55,0
2014-08-08,35282.0,2852782.5612,0
2014-08-13,67478.0,5498539.2992,0
2014-08-19,39165.0,3223123.3929999997,0
2014-08-21,11757.0,975831.0,0
2014-08-22,84212.0,7025692.186000001,0
2014-08-25,51637.0,4316130.627599999,0
2014-08-27,2407.0,200786.16319999998,0
2014-08-28,2447.0,203343.0083,0
2014-08-29,16052.0,1330710.8,0
2014-10-28,11235.0,971300.5785000001,0
2014-10-29,33300.0,2876955.4340999997,0
2014-10-30,59596.0,5118903.0664,0
2014-10-31,5559.0,483855.91589999996,0
2014-11-05,54195.0,4810453.5176,0
2014-11-06,40563.0,3610013.5653999997,0
2015-01-28,115976.0,10011496.6392,0
2015-01-29,2629.0,225258.50379999998,0
2015-02-03,2629.0,224944.0754,0
2015-02-13,47582.0,4073404.6141999997,0
2015-02-19,2408.0,205144.50319999998,0
2015-02-23,21151.0,1802851.534,0
2015-02-24,10500.0,896965.6499999999,0
2015-02-26,97010.0,8271125.8390999995,0
2015-02-27,19250.0,1637265.1300000001,0
2015-04-27,14578.0,1179001.5812,0
2015-05-01,3952.0,315039.2128,0
2015-05-18,5599.0,451878.49299999996,0
2015-05-20,2093.0,168735.7763,0
2015-05-27,50500.0,4014750.0,0
2015-05-29,8000.0,633600.0,0
2015-08-03,62083.0,4749349.5,0
2015-08-13,5360.0,406479.88800000004,0
2015-08-18,24654.0,1854200.2205999997,0
2015-08-24,97122.0,6635610.9366,0
2015-08-28,9897.0,702785.9700000001,0
2015-09-15,1119.0,77997.76890000001,0
2015-10-26,144091.0,11166920.7115,0
2015-10-28,41720.0,3196736.5919999997,0
2015-10-30,3376.0,259010.43360000002,0
2015-11-02,94073.0,7173306.7,0
2015-11-03,2337.0,180129.88379999998,0
2015-11-16,3382.0,253169.26619999998,0
2015-11-30,9352.0,707468.4515000001,0
2015-12-01,92510.0,7030752.8,0
2015-12-07,92500.0,7215000.0,0
2015-12-16,441.0,35280.0,0
2016-01-27,39236.0,3096932.2299999995,0
2016-01-28,180915.0,14319851.5,0
2016-01-29,169051.0,13548664.3185,0
2016-02-01,51278.0,4165565.1319999998,0
2016-02-08,69286.0,5677453.8,0
2016-02-09,33671.0,2764442.9736,0
2016-02-10,32131.0,2666873.0,0
2016-02-17,68072.0,5602893.9256,0
2016-02-23,21940.0,1799044.8960000002,0
2016-02-25,5142.0,422593.2132,0
2016-02-26,35447.0,2875453.0323,0
2016-02-29,12593.0,1017123.3696999999,0
2016-04-29,85925.0,6875641.1674999995,0
2016-05-02,85925.0,6959925.0,0
2016-05-03,11903.0,966577.4694999999,0
2016-05-05,93536.0,7668690.1425,0
2016-05-18,8385.0,667461.9315,0
2016-05-27,1881.0,153116.5977,0
2016-06-03,1529.0,125933.3328,0
2016-08-03,436720.0,37496466.81740001,0
2016-08-04,55310.0,4761665.555000001,0
2016-08-05,103440.0,8891484.266800001,0
2016-08-09,8627.0,743744.0224,0
2016-08-10,22312.0,1924410.0,0
2016-08-11,42292.0,3674991.4444,0
2016-08-12,84098.0,7328109.4,0
2016-08-15,53473.0,4657168.934300001,0
2016-08-16,33243.0,2880070.4666999998,0
2016-08-17,38998.0,3365496.2016,0
2016-08-19,3664.0,319650.6576,0
2016-08-24,6142.0,535342.2478,0
2016-08-26,9289.0,818164.1846,0
2016-09-08,20000.0,1760032.0,0
2016-09-19,10000.0,885750.0,0
2016-09-28,3501.0,313339.5,0
2016-11-02,9573.0,831893.7000000001,0
2017-01-23,115910.0,10089882.842799999,0
2017-01-24,36227.0,3169862.5,0
2017-01-30,7000.0,607250.0,0
2017-01-31,10000.0,870000.0,0
2017-02-01,31116.0,2720938.6199999996,0
2017-02-02,35219.0,3099272.0,0
2017-02-09,48000.0,4251374.4,0
2017-02-14,56935.0,5006732.9495,0
2017-02-15,45697.0,4109815.5500000003,0
2017-02-16,55458.0,5042327.8244,0
2017-02-17,49412.0,4480564.5064,0
2017-02-21,75909.0,6947760.981500001,0
2017-02-22,61208.0,5604002.493600001,0
2017-02-28,23886.0,2178285.9474,0
2017-05-01,2668.1677,233025.22652981,0
2017-05-04,3837.0,333819.0,0
2017-05-17,62350.0,5379225.7443,0
2017-05-19,29621.0,2547805.8835,0
