date,shares,amount,buy_flag
2020-09-30,31568804.0,322935001.9369,0
2020-10-01,13972298.0,133315415.5282,0
2020-10-02,4908085.0,44652812.8179,0
2020-11-16,3657994.0,57452352.8295,0
2020-11-17,1145931.0,20212255.5297,0
2020-11-18,533000.0,9772964.977200001,0
2020-11-19,533000.0,9887416.5,0
2020-11-20,371753.0,6898584.3258,0
2020-11-23,1043791.0,21001963.322300002,0
2020-11-24,100000.0,2250000.0,0
2020-11-27,80305.0,2520773.95,0
2020-12-02,1285123.0,28756472.5555,0
2021-01-04,1285123.0,30275970.210599996,0
2021-02-02,1285123.0,40595398.250300005,0
2021-02-18,21876034.0,551944339.4655,0
2021-02-19,1150000.0,32672010.0,0
2021-02-22,836667.0,24620285.2018,0
2021-02-23,276083.0,7262047.8392,0
2021-03-01,12000.0,299690.4,0
2021-03-16,140455.0,3662038.914,0
2021-03-30,327190.0,7094090.123300001,0
2021-03-31,307939.0,7178154.6404,0
2021-04-01,12000.0,278150.73,0
2021-04-06,1368465.0,31675161.736500002,0
2021-04-07,638629.0,14736938.941100001,0
2021-04-08,638629.0,14808209.9375,0
2021-04-13,76000.0,1900000.0,0
2021-04-19,638629.0,13959599.722299999,0
2021-04-20,638629.0,13887354.821099998,0
2021-04-21,638629.0,14283013.0048,0
2021-05-03,11000.0,247394.40000000002,0
2021-05-04,669029.0,14273802.9934,0
2021-05-05,638629.0,13727649.6695,0
2021-05-06,638629.0,12859938.3926,0
2021-05-13,2845.0,52935.4153,0
2021-05-19,638629.0,13195228.269000001,0
2021-05-20,914251.0,18757914.2796,0
2021-05-21,745311.0,15541671.865999999,0
2021-05-24,50000.0,1050155.0,0
2021-05-25,79439.0,1717232.8630000001,0
2021-06-01,100600.0,2316279.04,0
2021-06-02,30000.0,731835.0,0
2021-06-07,638629.0,15594042.922,0
2021-06-08,638629.0,15630837.076700002,0
2021-06-09,638629.0,15638746.952,0
2021-06-15,3900.0,98306.13,0
2021-06-17,26100.0,658106.28,0
2021-06-21,638629.0,16064356.0448,0
2021-06-22,638629.0,16100028.6787,0
2021-06-23,638629.0,16604102.785500001,0
2021-06-28,9000.0,243000.0,0
2021-07-01,11000.0,276120.46,0
2021-07-06,735729.0,18219942.1103,0
2021-07-07,638629.0,14741425.346099999,0
2021-07-08,638629.0,14663113.4287,0
2021-07-19,172540.0,3676706.6033,0
2021-07-21,638629.0,14354016.9927,0
2021-07-22,638629.0,14099076.2959,0
2021-07-23,638629.0,13936992.2557,0
2021-08-02,649629.0,14323959.3097,0
2021-08-03,683629.0,15014844.4933,0
2021-08-04,638629.0,14222842.5961,0
2021-08-12,54000.0,1334880.0,0
2021-08-13,3262.0,81550.0,0
2021-08-17,15000.0,361008.0,0
2021-08-18,31900.0,815843.1699999999,0
2021-08-20,1826189.0,43715480.184200004,0
2021-08-23,860293.0,21191962.8306,0
2021-08-24,1419004.0,35690984.673999995,0
2021-08-25,79439.0,1959620.6409999998,0
2021-08-31,100000.0,2618620.0,0
2021-09-01,34000.0,891085.6000000001,0
2021-09-07,838629.0,22269571.0385,0
2021-09-08,639529.0,16336420.901999999,0
2021-09-09,657274.0,17099749.8441,0
2021-09-16,9000.0,251100.0,0
2021-09-20,18000.0,486026.0604,0
2021-09-21,78000.0,2078911.7740000002,0
2021-09-22,114000.0,3127020.0,0
2021-09-23,161820.0,4635598.3599000005,0
2021-09-28,638629.0,16462333.940699998,0
2021-09-29,638629.0,15949891.215499999,0
2021-09-30,638629.0,15507056.858199999,0
2021-10-01,34000.0,819804.6,0
2021-10-05,60000.0,1399416.0,0
2021-10-12,638629.0,15047376.498000002,0
2021-10-13,638629.0,15363625.5788,0
2021-10-14,638629.0,15620929.2029,0
2021-10-26,638629.0,16456782.763299998,0
2021-10-27,638629.0,16187776.303299999,0
2021-10-28,638629.0,16288232.645,0
2021-10-29,9000.0,233178.3,0
2021-11-01,34000.0,893809.0,0
2021-11-02,132445.0,3445597.7935,0
2021-11-03,656184.0,16990096.1798,0
2021-11-04,638629.0,16851695.0117,0
2021-11-05,638629.0,16643693.5464,0
2021-11-11,25000.0,571420.0,0
2021-11-16,638629.0,14632459.236699998,0
2021-11-17,638629.0,14473312.8899,0
2021-11-18,638629.0,13838080.7016,0
2021-11-22,927066.0,19249386.262800004,0
2021-11-23,327580.0,6670806.362000001,0
2021-11-24,498363.0,10481145.0983,0
2021-11-26,274446.0,5732212.2224,0
2021-11-29,189695.0,3976784.9494999996,0
2021-11-30,189696.0,3911586.8962,0
2021-12-01,34000.0,688977.356,0
2022-01-04,33000.0,598778.12,0
2022-02-01,33000.0,465214.2,0
2022-02-22,584706.0,6209811.6024,0
2022-02-23,238792.0,2594170.7984999996,0
2022-02-24,186082.0,2106872.3257,0
2022-03-01,36500.0,438616.85,0
2022-04-01,36500.0,501944.35,0
2022-05-20,471170.0,3810116.2049999996,0
2022-05-23,219488.0,1763234.8992,0
2022-05-24,131413.0,991261.4002999999,0
2022-06-09,11377.0,101101.7105,0
2022-06-24,98949.0,998011.2486,0
2022-07-01,37076.0,341080.662,0
2022-07-22,125000.0,1243475.0,0
2022-08-02,105553.0,1163236.2812,0
2022-08-22,321900.0,2620941.99,0
2022-08-23,276541.0,2238958.8982999995,0
2022-08-24,225329.0,1853849.2817,0
2022-08-25,50000.0,413790.0,0
2022-11-21,325475.0,2333818.4875,0
2022-11-22,325478.0,2335857.9626,0
2022-11-23,185989.0,1347732.0907,0
2022-11-25,50000.0,362190.0,0
2022-12-06,809398.0,5664167.204,0
2022-12-07,809398.0,5774569.091200001,0
2023-01-03,7000.0,44662.799999999996,0
2023-02-15,363091.0,3548219.8659,0
2023-02-21,412252.0,3525084.4016,0
2023-02-22,424487.0,3543320.3351000003,0
2023-02-23,515162.0,4185269.7432000004,0
2023-02-24,50000.0,402440.0,0
2023-03-01,21900.0,169725.0,0
2023-03-15,7000.0,54950.0,0
2023-04-03,21900.0,182884.71,0
2023-05-01,21900.0,169490.67,0
2023-05-10,66909.0,678984.7721,0
2023-05-11,4611.0,46438.7643,0
2023-05-12,500.0,5000.0,0
2023-05-17,160965.0,1647329.1230000001,0
2023-05-22,1251097.0,14718280.437099999,0
2023-05-23,50000.0,640775.9360999999,0
2023-05-24,231479.0,2813117.9911999996,0
2023-05-30,1031533.0,15472995.0,0
