date,shares,amount,buy_flag
2008-03-28,546500.0,27245540.7,1
2008-03-31,37500.0,1974375.0,1
2008-04-01,15841.0,805493.2259999999,1
2008-05-09,171099.0,8851481.6769,0
2008-05-13,25000.0,1312500.0,1
2008-05-15,131599.0,6934833.0233,0
2008-05-21,5929.0,313671.9663,0
2008-06-09,2500.0,123547.49999999999,1
2008-06-10,4000.0,195036.0,1
2008-10-24,4700.0,188000.0,1
2008-12-23,10000.0,423000.0,0
2008-12-24,4500.0,191160.0,0
2009-02-03,445.0,16902.88,1
2009-06-10,6999.0,300047.13,0
2009-11-11,8404.0,415944.21440000006,0
2009-12-18,7964.0,390591.99079999997,0
2009-12-22,7419.0,368512.1166,0
2010-03-22,26946.0,1420842.705,0
2010-04-23,1500.0,76337.25,1
2010-05-25,1700.0,73748.0,1
2010-05-26,1700.0,74766.0,1
2010-07-07,98.0,4572.288,0
2010-07-27,1500.0,76755.0,1
2010-08-10,50.0,2637.1,0
2010-08-24,1500.0,77289.0,1
2010-09-17,16972.0,939753.18,0
2010-09-23,241469.0,13405256.815,0
2010-09-24,257089.0,14429648.850999998,0
2010-10-22,1300.0,75027.03,1
2010-10-26,14568.0,861988.56,0
2010-10-27,18418.0,1078017.5100000002,0
2010-11-19,2922.0,172931.93399999998,0
2010-11-22,1300.0,77147.98,1
2010-12-15,3180.0,189146.4,0
2010-12-16,26382.0,1564452.5999999999,0
2010-12-20,1592.0,94711.264,0
2010-12-20,6000.0,360536.39999999997,1
2010-12-22,2600.0,152960.34,0
2011-02-22,1751.0,108351.88,0
2011-03-07,1200.0,76260.0,1
2011-04-25,2399.0,161723.3072,0
2011-04-28,1100.0,75537.0,1
2011-05-04,9358.0,647532.4248,0
2011-05-09,20755.0,1423182.803,0
2011-05-20,12734.0,892904.01,0
2011-05-24,1100.0,75900.0,1
2011-06-23,1150.0,75543.5,1
2011-07-25,1050.0,74812.5,1
2011-07-29,4232.0,301981.5544,0
2011-08-26,1100.0,75581.0,1
2011-10-06,425.0,26889.75,1
2011-10-13,18.0,1185.48,1
2011-10-26,1100.0,76692.0,1
2011-11-28,2344.0,170694.768,0
2011-11-29,313.0,23403.636000000002,1
2012-01-20,16.0,1186.56,1
2012-02-15,2294.0,187308.3116,0
2012-02-21,1000.0,81960.0,1
2012-02-27,9147.0,758300.9352000001,0
2012-04-20,14.0,1207.5,1
2012-04-24,1000.0,86830.0,1
2012-05-11,70000.0,5994800.0,0
2012-07-24,1000.0,87880.0,1
2012-08-06,82487.0,7631133.7974,0
2012-08-06,30.0,2784.0,1
2012-08-24,1000.0,88500.0,1
2012-10-01,0.363,32.648219999999995,0
2012-10-22,33.0,2912.25,1
2012-11-01,1000.0,88274.0,1
2012-11-12,1854.0,157793.7546,0
2012-11-14,25000.0,2110000.0,0
