date,shares,amount,buy_flag
2003-07-28,283040.0,10867344.3,0
2003-07-29,270000.0,10254756.0,0
2003-07-31,177968.0,6749870.7312,0
2003-08-01,36000.0,1338810.6,0
2003-08-04,43040.0,1574237.0,0
2003-08-07,32000.0,1166304.0,0
2003-08-11,40540.0,1424981.0,0
2003-08-13,2500.0,92675.0,0
2003-08-18,43040.0,1644263.85,0
2003-08-19,100000.0,3824600.0000000005,0
2003-08-25,43040.0,1664286.0,0
2003-08-27,6000.0,240060.0,0
2003-09-02,151040.0,6205579.600000001,0
2003-09-04,25000.0,1027500.0,0
2003-09-05,50000.0,2073750.0,0
2003-09-08,43040.0,1770942.4,0
2003-09-15,43040.0,1836307.6,0
2003-09-17,108000.0,4860110.4,0
2003-09-18,70000.0,3150000.0,0
2003-09-22,43040.0,1909075.2,0
2003-09-29,43040.0,1810146.6,0
2003-10-01,42000.0,1764960.0,0
2003-10-06,49040.0,2145932.65,0
2003-10-13,221040.0,9940744.0,0
2003-10-20,43040.0,1869933.7,0
2003-10-27,43040.0,1911631.0,0
2003-11-03,259040.0,12338081.45,0
2003-11-10,63040.0,3003736.0,0
2003-11-12,68000.0,3224448.8000000003,0
2003-11-17,43040.0,2013811.6,0
2003-11-24,43040.0,1909881.95,0
2003-12-01,69040.0,3109615.8619999997,0
2003-12-08,92960.0,4569087.0,0
2003-12-11,55000.0,2723650.0,0
2003-12-12,12000.0,601440.0,0
2003-12-15,41500.0,2150644.0,0
2003-12-22,36500.0,1856504.5,0
2003-12-29,34000.0,1798600.0,0
2004-01-02,32000.0,1734636.8,0
2004-01-05,40000.0,2139200.0,0
2004-01-12,36000.0,2121260.0,0
2004-01-13,5000.0,300655.0,0
2004-01-20,34000.0,2027420.0,0
2004-01-26,34000.0,1927460.0,0
2004-02-02,40000.0,2334400.0,0
2004-02-09,34000.0,1955340.0,0
2004-02-13,5000.0,292800.0,0
2004-02-17,34000.0,1973700.0,0
2004-02-23,34000.0,2142000.0,0
2004-03-01,40000.0,2532000.0,0
2004-03-04,50000.0,3087250.0,0
2004-03-05,150000.0,9480450.0,0
2004-03-08,34000.0,2165800.0,0
2004-03-12,130970.0,8210508.600000001,0
2004-03-15,39000.0,2437980.0,0
2004-03-22,34000.0,2153900.0,0
2004-03-29,34000.0,2149480.0,0
2004-04-05,52500.0,3537330.7499999995,0
2004-04-12,46500.0,3136425.0,0
2004-04-13,5000.0,337954.99999999994,0
2004-04-19,46500.0,3009480.0,0
2004-04-26,46500.0,3089925.0,0
2004-05-03,52500.0,3276000.0,0
2004-05-10,46500.0,2902995.0,0
2004-05-13,5000.0,316900.0,0
2004-05-17,46500.0,2891835.0,0
2004-05-24,46500.0,3042495.0,0
2004-06-01,52500.0,3492300.0,0
2004-06-07,46500.0,3136890.0,0
2004-06-14,51500.0,3559015.0,0
2004-06-21,46500.0,3088065.0,0
2004-06-28,46500.0,3227565.0,0
2004-07-06,52500.0,3773175.0,0
2004-07-12,46500.0,3261510.0,0
2004-07-13,5000.0,352620.0,0
2004-07-19,46500.0,3175020.0,0
2004-07-26,126500.0,8896610.0,0
2004-08-02,71667.0,4336751.6391,0
2004-08-03,3367.0,242428.0404,0
2004-08-06,30000.0,1041279.0,1
2004-08-09,46500.0,3147120.0,0
2004-08-12,1500.0,103207.35,1
2004-08-13,5000.0,347380.0,0
2004-08-16,93000.0,3188040.0,0
2004-08-20,378400.0,14140881.120000001,0
2004-08-23,171106.0,6466331.093,0
2004-08-27,125600.0,4836052.16,0
2004-08-30,93000.0,3529350.0,0
2004-08-31,50000.0,1890680.0,0
2004-09-01,92000.0,3489338.1999999997,0
2004-09-02,90400.0,3437008.0,0
2004-09-07,147000.0,5696932.4,0
2004-09-09,36306.0,1442521.764,0
2004-09-10,400.0,15632.400000000001,0
2004-09-13,196300.0,7833300.0,0
2004-09-14,42000.0,1711920.0,0
2004-09-15,45000.0,1825110.0,0
2004-09-20,68000.0,2584000.0,0
2004-09-22,29800.0,1154750.0,0
2004-09-27,68000.0,2580600.0,0
2004-09-29,29800.0,1132996.0000000002,0
2004-10-01,77500.0,3047598.5500000003,0
2004-10-04,131500.0,5363546.55,0
2004-10-06,29800.0,1220310.0,0
2004-10-11,69500.0,2852251.5,0
2004-10-13,39800.0,1670282.0,0
2004-10-14,50000.0,2113030.0,0
2004-10-15,20000.0,850000.0,0
2004-10-18,69500.0,2928825.05,0
2004-10-20,29800.0,1270076.0,0
2004-10-25,69500.0,2905235.45,0
2004-10-27,29800.0,1192298.0,0
2004-11-01,147500.0,6034302.4,0
2004-11-03,29800.0,1224780.0,0
2004-11-08,68000.0,2582640.0,0
2004-11-10,29800.0,1162200.0,0
2004-11-11,1500.0,60000.0,0
2004-11-15,129500.0,5214242.7,0
2004-11-17,29800.0,1207776.12,0
2004-11-22,69500.0,2773200.0,0
2004-11-24,29800.0,1220012.0,0
2004-11-29,71600.0,2966610.0,0
2004-12-01,137800.0,5786412.6,0
2004-12-06,89500.0,3868203.95,0
2004-12-08,29800.0,1282294.0,0
2004-12-13,79500.0,3470923.1,0
2004-12-15,79800.0,3503220.0,0
2004-12-20,69500.0,3020651.35,0
2004-12-22,29800.0,1299280.0,0
2004-12-27,69500.0,3105487.05,0
2004-12-29,29800.0,1290638.0,0
2005-01-03,277067.0,11819528.52,0
2005-01-05,29800.0,1256070.0,0
2005-01-10,48500.0,2086257.85,0
2005-01-12,29800.0,1289446.0,0
2005-01-13,10000.0,426530.0,0
2005-01-18,98500.0,4125930.000000001,0
2005-01-19,29800.0,1265010.0,0
2005-01-24,47000.0,1776130.0,0
2005-01-26,29800.0,1092170.0,0
2005-01-31,47000.0,1736180.0,0
2005-02-01,38000.0,1412285.2,0
2005-02-02,29800.0,1095448.0,0
2005-02-07,74733.0,2740459.1100000003,0
2005-02-09,29800.0,1080846.0000000002,0
2005-02-14,52000.0,1878005.5,0
2005-02-15,50000.0,1848000.0,0
2005-02-16,29800.0,1091276.0,0
2005-02-22,47000.0,1612288.0,0
2005-02-23,24800.0,861056.0,0
2005-02-28,47000.0,1733830.0,0
2005-03-01,56000.0,2031128.0,0
2005-03-02,29800.0,1070714.0,0
2005-03-07,74733.0,2648537.52,0
2005-03-08,26000.0,983036.6,0
2005-03-09,29800.0,1073098.0,0
2005-03-14,52000.0,1952289.9999999998,0
2005-03-16,29800.0,1127930.0,0
2005-03-21,47000.0,1706570.0,0
2005-03-23,29800.0,1070858.0,0
2005-03-28,107000.0,2756454.5999999996,0
2005-03-29,17500.0,302345.0,0
2005-03-30,33922.0,1145990.5,0
2005-03-31,22458.0,387400.5,0
2005-04-01,51018.0,1648942.5755,0
2005-04-04,47000.0,1681190.0000000002,0
2005-04-06,59544.0,1523074.1824,0
2005-04-07,75000.0,1189515.0,0
2005-04-11,47000.0,1641240.0,0
2005-04-13,29800.0,1025042.0,0
2005-04-18,47000.0,1507760.0,0
2005-04-20,24800.0,818152.0,0
2005-04-25,47000.0,1598000.0,0
2005-04-27,24800.0,846672.0,0
2005-05-02,82733.0,2886614.95,0
